wavelength_A,flux
1.650000000000000000e+03,nan
1.651400000000000091e+03,nan
1.652800000000000182e+03,nan
1.654200000000000273e+03,nan
1.655600000000000364e+03,nan
1.657000000000000455e+03,nan
1.658400000000000546e+03,nan
1.659800000000000637e+03,nan
1.661200000000000728e+03,nan
1.662600000000000819e+03,nan
1.664000000000000909e+03,nan
1.665400000000001000e+03,nan
1.666800000000001091e+03,nan
1.668200000000001182e+03,nan
1.669600000000001273e+03,6.529738898409776952e-13
1.671000000000001364e+03,7.184808136870569366e-13
1.672400000000001455e+03,8.425622332324609934e-13
1.673800000000001546e+03,8.343895540555708043e-13
1.675200000000001637e+03,8.366680298483068917e-13
1.676600000000001728e+03,8.389465056410429791e-13
1.678000000000001819e+03,8.366391694688020619e-13
1.679400000000001910e+03,7.760310218001328445e-13
1.680800000000002001e+03,7.271119556455618366e-13
1.682200000000002092e+03,7.606811905069781556e-13
1.683600000000002183e+03,7.408014731239966558e-13
1.685000000000002274e+03,7.267307223646221460e-13
1.686400000000002365e+03,8.301490515528877206e-13
1.687800000000002456e+03,9.602913259163932312e-13
1.689200000000002547e+03,7.058127563010461661e-13
1.690600000000002638e+03,7.029006527725959540e-13
1.692000000000002728e+03,6.646655618341018327e-13
1.693400000000002819e+03,6.883573986500981098e-13
1.694800000000002910e+03,6.562792605719255836e-13
1.696200000000003001e+03,5.996021703837904889e-13
1.697600000000003092e+03,5.736914028303411953e-13
1.699000000000003183e+03,5.573792416793143515e-13
1.700400000000003274e+03,5.558980756473727152e-13
1.701800000000003365e+03,5.534568215662073073e-13
1.703200000000003456e+03,5.380052478934733280e-13
1.704600000000003547e+03,5.062894513182200880e-13
1.706000000000003638e+03,4.745736547429668481e-13
1.707400000000003729e+03,4.780728241842783599e-13
1.708800000000003820e+03,4.606742316036218465e-13
1.710200000000003911e+03,3.950046200970559269e-13
1.711600000000004002e+03,3.666810886367881265e-13
1.713000000000004093e+03,3.901969782414348758e-13
1.714400000000004184e+03,4.937557910353033962e-13
1.715800000000004275e+03,6.378715315326472343e-13
1.717200000000004366e+03,8.513227108256214506e-13
1.718600000000004457e+03,9.619558350426419800e-13
1.720000000000004547e+03,9.822524715961905483e-13
1.721400000000004638e+03,9.930372044482729746e-13
1.722800000000004729e+03,9.581610592570382430e-13
1.724200000000004820e+03,9.468515164752238488e-13
1.725600000000004911e+03,9.346077169998727158e-13
1.727000000000005002e+03,9.181417933076001290e-13
1.728400000000005093e+03,9.016758696153273401e-13
1.729800000000005184e+03,8.860517697067278372e-13
1.731200000000005275e+03,8.637829498204889505e-13
1.732600000000005366e+03,8.480692949559171876e-13
1.734000000000005457e+03,8.448469476699412021e-13
1.735400000000005548e+03,8.429734686122292671e-13
1.736800000000005639e+03,8.352060097647943749e-13
1.738200000000005730e+03,7.880399190745274265e-13
1.739600000000005821e+03,7.506993783463927569e-13
1.741000000000005912e+03,7.966478501730307089e-13
1.742400000000006003e+03,7.798549729462071696e-13
1.743800000000006094e+03,7.898622707268287071e-13
1.745200000000006185e+03,7.683092637513789277e-13
1.746600000000006276e+03,7.519795120822499749e-13
1.748000000000006366e+03,7.796034793693105880e-13
1.749400000000006457e+03,7.709180284364569099e-13
1.750800000000006548e+03,7.623519404651406696e-13
1.752200000000006639e+03,7.536994314368661632e-13
1.753600000000006730e+03,7.501822943444725037e-13
1.755000000000006821e+03,7.653251847523155064e-13
