# 2024TVI of8b05040 G750L CCD z=0.03 a2center=894.6 extrsize=15 exptime=1070.0 mode=adaptive_es15@0.98 flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5089.4283 5242.1111 3.437857e-16 1.663650e-16 8.059871e-02 512 0
5094.1623 5246.9871 1.078820e-16 1.058452e-16 4.291265e-02 512 0
5098.8963 5251.8632 1.381480e-16 6.600378e-17 7.815977e-02 512 0
5103.6303 5256.7392 1.098437e-16 5.069502e-17 8.077765e-02 512 0
5108.3644 5261.6153 7.386546e-17 4.527690e-17 6.622627e-02 528 0
5113.0985 5266.4915 2.960954e-16 3.643217e-17 3.181053e-01 512 0
5117.8327 5271.3677 2.215596e-17 2.859331e-17 2.695789e-02 512 0
5122.5669 5276.2439 2.283730e-16 2.757209e-17 3.228079e-01 512 0
5127.3011 5281.1202 1.932168e-16 4.045316e-17 3.056250e-01 528 0
5132.0354 5285.9965 2.241390e-16 2.329173e-17 3.934532e-01 512 0
5136.7697 5290.8728 1.536713e-16 2.261053e-17 2.951851e-01 0 0
5141.5041 5295.7492 2.025778e-16 2.105429e-17 4.251323e-01 16 0
5146.2385 5300.6256 1.919434e-16 2.070329e-17 4.338476e-01 16 0
5150.9729 5305.5021 1.284667e-16 1.888102e-17 3.018087e-01 0 0
5155.7073 5310.3786 1.250608e-16 2.175123e-17 3.053974e-01 272 0
5160.4418 5315.2551 1.699637e-16 2.555400e-17 4.204146e-01 16 0
5165.1764 5320.1317 1.927248e-16 3.372962e-17 4.803046e-01 16 0
5169.9110 5325.0083 9.899249e-17 2.491837e-17 2.414418e-01 16 0
5174.6456 5329.8849 1.428234e-16 4.275910e-17 3.442533e-01 16 0
5179.3802 5334.7616 2.155594e-16 2.023835e-17 5.091323e-01 16 0
5184.1149 5339.6383 1.466436e-16 2.312636e-17 3.370789e-01 16 0
5188.8496 5344.5151 8.154217e-17 2.230159e-17 1.823481e-01 16 0
5193.5844 5349.3919 1.665066e-16 2.100321e-17 3.659614e-01 16 0
5198.3192 5354.2687 2.312389e-16 1.932768e-17 5.012567e-01 0 0
5203.0540 5359.1456 2.502687e-16 2.021812e-17 5.338629e-01 0 0
5207.7888 5364.0225 1.441259e-16 2.166884e-17 3.021282e-01 16 0
5212.5237 5368.8994 1.322766e-16 2.585318e-17 2.744239e-01 16 0
5217.2587 5373.7764 1.847397e-16 1.851825e-17 3.831950e-01 0 0
5221.9936 5378.6534 9.697367e-17 2.201984e-17 1.998561e-01 16 0
5226.7286 5383.5305 1.552517e-16 1.936042e-17 3.224058e-01 0 0
5231.4637 5388.4076 1.107723e-16 2.625765e-17 2.309599e-01 16 0
5236.1987 5393.2847 2.095260e-16 2.220124e-17 4.443969e-01 0 0
5240.9339 5398.1619 1.202426e-16 2.052971e-17 2.568854e-01 0 0
5245.6690 5403.0391 1.690008e-16 2.135003e-17 3.680570e-01 16 0
5250.4042 5407.9163 2.248609e-16 2.266799e-17 5.002014e-01 16 0
5255.1394 5412.7936 2.322691e-16 3.968453e-17 5.271939e-01 16 0
5259.8746 5417.6709 1.124368e-16 2.003860e-17 2.585684e-01 16 0
5264.6099 5422.5482 1.944448e-16 1.748500e-17 4.597263e-01 0 0
5269.3452 5427.4256 1.991222e-16 1.712530e-17 4.810788e-01 0 0
5274.0806 5432.3030 1.599056e-16 1.724672e-17 3.933908e-01 16 0
5278.8160 5437.1804 1.345973e-16 1.562014e-17 3.375413e-01 0 0
5283.5514 5442.0579 2.001747e-16 1.629911e-17 5.149560e-01 0 0
5288.2868 5446.9354 1.639242e-16 2.062710e-17 4.295178e-01 16 0
5293.0223 5451.8130 1.606630e-16 4.050266e-17 4.295478e-01 16 0
5297.7578 5456.6906 1.421416e-16 1.513915e-17 3.871656e-01 0 0
5302.4934 5461.5682 2.020053e-16 1.524473e-17 5.636314e-01 0 0
5307.2290 5466.4458 1.613288e-16 1.497162e-17 4.562185e-01 0 0
5311.9646 5471.3235 3.110065e-17 2.951202e-17 8.861201e-02 16 0
5316.7002 5476.2013 1.543666e-16 1.362586e-17 4.485830e-01 0 0
5321.4359 5481.0790 1.064262e-16 2.098445e-17 3.115360e-01 16 0
5326.1717 5485.9568 1.576788e-16 1.391678e-17 4.680109e-01 0 0
5330.9074 5490.8346 1.147041e-16 1.919071e-17 3.423217e-01 16 0
5335.6432 5495.7125 1.423842e-16 1.349539e-17 4.287094e-01 0 0
5340.3790 5500.5904 1.757845e-16 1.391483e-17 5.341835e-01 0 0
5345.1149 5505.4683 1.522366e-16 1.357670e-17 4.637022e-01 0 0
5349.8507 5510.3463 7.813980e-17 2.013059e-17 2.373276e-01 16 0
5354.5866 5515.2242 1.794769e-16 2.401552e-17 5.518654e-01 16 0
5359.3226 5520.1023 1.659714e-16 1.464057e-17 5.112453e-01 16 0
5364.0586 5524.9803 1.372247e-16 1.615394e-17 4.227752e-01 16 0
5368.7946 5529.8584 1.765714e-16 1.374080e-17 5.472822e-01 0 0
5373.5306 5534.7365 1.882513e-16 1.802004e-17 5.848427e-01 16 0
5378.2667 5539.6147 1.247515e-16 1.589757e-17 3.858900e-01 16 0
5383.0028 5544.4929 1.222670e-16 1.676630e-17 3.789103e-01 16 0
5387.7389 5549.3711 1.533694e-16 1.331897e-17 4.777372e-01 0 0
5392.4751 5554.2494 1.871773e-16 1.350633e-17 5.856335e-01 0 0
5397.2113 5559.1276 1.097535e-16 1.285782e-17 3.416276e-01 16 0
5401.9475 5564.0060 1.073910e-16 1.382047e-17 3.352353e-01 16 0
5406.6838 5568.8843 1.738485e-16 1.335064e-17 5.479458e-01 0 0
5411.4201 5573.7627 1.384866e-16 1.278771e-17 4.363523e-01 0 0
5416.1564 5578.6411 1.127059e-16 1.480048e-17 3.552364e-01 16 0
5420.8928 5583.5196 1.137162e-16 1.547299e-17 3.599374e-01 16 0
5425.6292 5588.3980 1.382180e-16 2.482375e-17 4.405296e-01 16 0
5430.3656 5593.2765 2.066281e-16 2.453778e-17 6.656293e-01 16 0
5435.1020 5598.1551 1.298221e-16 1.526109e-17 4.177214e-01 16 0
5439.8385 5603.0336 1.846154e-16 1.302620e-17 6.003615e-01 0 0
5444.5750 5607.9122 1.788487e-16 1.610516e-17 5.849341e-01 16 0
5449.3115 5612.7909 1.354199e-16 1.597085e-17 4.433026e-01 16 0
5454.0481 5617.6695 8.203530e-17 1.343932e-17 2.683235e-01 16 0
5458.7847 5622.5482 1.815478e-16 1.759871e-17 6.030777e-01 16 0
5463.5213 5627.4270 1.495139e-16 1.419360e-17 4.982645e-01 16 0
5468.2580 5632.3057 1.463349e-16 2.272283e-17 4.901278e-01 16 0
5472.9947 5637.1845 9.646904e-17 2.596796e-17 3.231067e-01 16 0
5477.7314 5642.0633 1.723484e-16 1.264755e-17 5.844121e-01 0 0
5482.4681 5646.9422 1.328089e-16 1.400211e-17 4.507332e-01 16 0
5487.2049 5651.8210 7.236266e-17 1.287629e-17 2.448875e-01 16 0
5491.9417 5656.7000 1.480086e-16 1.402494e-17 5.066327e-01 16 0
5496.6785 5661.5789 1.660383e-16 1.649113e-17 5.716754e-01 16 0
5501.4154 5666.4579 1.185671e-16 1.246022e-17 4.079272e-01 0 0
5506.1523 5671.3369 1.269900e-16 1.394966e-17 4.390494e-01 16 0
5510.8892 5676.2159 1.338990e-16 1.155357e-17 4.649369e-01 0 0
5515.6261 5681.0949 1.298952e-16 1.210589e-17 4.524515e-01 0 0
5520.3631 5685.9740 9.595137e-17 1.164423e-17 3.340380e-01 0 0
5525.1001 5690.8531 1.000528e-16 1.435815e-17 3.495898e-01 16 0
5529.8372 5695.7323 1.791335e-16 1.461420e-17 6.326510e-01 16 0
5534.5742 5700.6114 6.769135e-17 2.151167e-17 2.369087e-01 16 0
5539.3113 5705.4906 5.472492e-17 1.621488e-17 1.916896e-01 16 0
5544.0484 5710.3699 1.270408e-16 1.263630e-17 4.498228e-01 0 0
