# obs_wvl flux error
5.290000000000000000e+03 2.623035815468902555e-16 1.776874443973812727e-17
5.299758755935860790e+03 2.593655534689770036e-16 1.228369483779962964e-17
5.309517511871721581e+03 2.260014150818874261e-16 1.247492013020606921e-17
5.319276267807582371e+03 2.318478531350060129e-16 1.727294729316439683e-17
5.329035023743443162e+03 2.019175116870821549e-16 2.647133467711965841e-17
5.338793779679303952e+03 2.131830918097004169e-16 1.534000131579646278e-17
5.348552535615164743e+03 2.252397765911498784e-16 1.318192139202949406e-17
5.358311291551025533e+03 3.118802337866835691e-16 1.345344117111730054e-17
5.368070047486886324e+03 2.156887231828033326e-16 1.409678362641032391e-17
5.377828803422747114e+03 2.300536038509366786e-16 1.640599555873441555e-17
5.387587559358607905e+03 2.536045389278819616e-16 1.248861526015829650e-17
5.397346315294468695e+03 2.444198024542580205e-16 1.284508965912814285e-17
5.407105071230329486e+03 2.207850793025623127e-16 1.501881364612348894e-17
5.416863827166190276e+03 2.208081029117117860e-16 1.639425411393580609e-17
5.426622583102051067e+03 2.164190205489463916e-16 1.367778415157047077e-17
5.436381339037911857e+03 1.939082033506275630e-16 1.367704869871423066e-17
5.446140094973772648e+03 2.074766083556682686e-16 1.262750261798696540e-17
5.455898850909633438e+03 2.256984771987013587e-16 1.221403228412423681e-17
5.465657606845494229e+03 2.164161561122892185e-16 1.153519007799887039e-17
5.475416362781355019e+03 1.987765648615030434e-16 1.230356412458529773e-17
5.485175118717215810e+03 2.377201601486545426e-16 1.128500997971868597e-17
5.494933874653076600e+03 2.141076249601276181e-16 9.957073944125399187e-18
5.504692630588937391e+03 2.412287356858066884e-16 1.021511148470538780e-17
5.514451386524798181e+03 2.316332534058741077e-16 1.400812197147253736e-17
5.524210142460658972e+03 2.405064629990388648e-16 1.167173274047493739e-17
5.533968898396519762e+03 1.972274309000979807e-16 1.023966198828631032e-17
5.543727654332380553e+03 2.286914669145913577e-16 1.089108942143804993e-17
5.553486410268241343e+03 2.355729494854155903e-16 8.838124168882485534e-18
5.563245166204102134e+03 2.164789044471347422e-16 8.816880834938713077e-18
5.573003922139962924e+03 2.245953579803854653e-16 8.803099423337286239e-18
5.582762678075823715e+03 2.001317367983282349e-16 1.056868604527546270e-17
5.592521434011684505e+03 2.259180108205544218e-16 1.481208680862937955e-17
5.602280189947545296e+03 2.228671417137039107e-16 8.754995511675440209e-18
5.612038945883406086e+03 1.973773836076471331e-16 1.028500896411268114e-17
5.621797701819266877e+03 2.293096065068464494e-16 1.070605078773114560e-17
5.631556457755127667e+03 2.192987998021371464e-16 1.419886944675141537e-17
5.641315213690988458e+03 2.164694975573096718e-16 1.111364932852212536e-17
5.651073969626849248e+03 2.411171771535677169e-16 9.328870882271111878e-18
5.660832725562710039e+03 2.078612207330304989e-16 1.015964953332695808e-17
5.670591481498570829e+03 2.192722691130474428e-16 9.071873681574458105e-18
5.680350237434431619e+03 2.179339101658315137e-16 7.883490610805221301e-18
5.690108993370292410e+03 1.933703580800429986e-16 9.249348342304901582e-18
5.699867749306153200e+03 1.695138270484184912e-16 1.291690422820463066e-17
5.709626505242013991e+03 2.031290534482976886e-16 8.327680644619595883e-18
5.719385261177874781e+03 2.076151957955352470e-16 8.289177270987963026e-18
5.729144017113735572e+03 1.217274711974087090e-16 2.010663642379624500e-17
5.738902773049596362e+03 2.096132842586153506e-16 1.200133594568069166e-17
5.748661528985457153e+03 2.080806489516342796e-16 8.783696823100666456e-18
5.758420284921317943e+03 1.907911750995640088e-16 9.343433958343353521e-18
5.768179040857178734e+03 1.749110852082522958e-16 9.351467935164494515e-18
5.777937796793039524e+03 1.870911456345621181e-16 1.001909701637677784e-17
5.787696552728900315e+03 2.077088115412177346e-16 7.737915338645830001e-18
5.797455308664761105e+03 2.053298444357335915e-16 7.977682296552731326e-18
5.807214064600621896e+03 2.178808501321984171e-16 1.073236673247456487e-17
5.816972820536482686e+03 1.615318839619326245e-16 1.702996291029463657e-17
5.826731576472343477e+03 1.981653379998240690e-16 8.362841781943628841e-18
5.836490332408204267e+03 1.826458807753812416e-16 8.034069220651421740e-18
5.846249088344065058e+03 2.108538555001998240e-16 7.440987024984849692e-18
5.856007844279925848e+03 1.660934644732293991e-16 1.009028769192324700e-17
5.865766600215786639e+03 1.735513124871361589e-16 8.518106733817517253e-18
5.875525356151647429e+03 1.858831959250569928e-16 7.853111684997750739e-18
5.885284112087508220e+03 1.837347111132650082e-16 7.804014230208968837e-18
5.895042868023369010e+03 2.032679994134130522e-16 7.601397193338794799e-18
5.904801623959229801e+03 2.071707143262571391e-16 7.337057164792952429e-18
5.914560379895090591e+03 1.468723401279915538e-16 9.291045892158095087e-18
5.924319135830951382e+03 1.977334533113239216e-16 8.580625963407428151e-18
5.934077891766812172e+03 2.087559230933927185e-16 7.424394216264547185e-18
5.943836647702672963e+03 2.065711772673965544e-16 7.372908798678044435e-18
5.953595403638533753e+03 2.179470054382411677e-16 7.533211262597879469e-18
5.963354159574394544e+03 2.270536604893163613e-16 7.854726139108371343e-18
5.973112915510255334e+03 1.873342236958606317e-16 9.001171325956675662e-18
5.982871671446116125e+03 1.984729321046791089e-16 7.423220141643963142e-18
