# 2025RYZ ofgd03040 G750L CCD z=0.016201 a2center=895.8 extrsize=15 exptime=1060.0 mode=adaptive_es15@0.98 flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5157.9912 5241.5558 2.958672e-16 2.259313e-16 6.006236e-02 528 0
5162.7896 5246.4320 3.051123e-16 1.114384e-16 1.141144e-01 512 0
5167.5881 5251.3082 1.735562e-16 7.848008e-17 9.472197e-02 512 0
5172.3867 5256.1845 2.710805e-16 6.465283e-17 1.925926e-01 528 0
5177.1852 5261.0608 -2.595341e-17 9.003949e-17 -2.424896e-02 16912 0
5181.9838 5265.9372 2.371806e-16 4.116076e-17 2.484114e-01 528 0
5186.7825 5270.8135 2.303997e-16 3.362799e-17 2.802784e-01 512 0
5191.5812 5275.6900 2.631214e-16 2.953457e-17 3.653710e-01 512 0
5196.3799 5280.5664 1.962748e-16 4.357632e-17 3.048346e-01 528 0
5201.1787 5285.4429 2.399383e-16 2.473758e-17 4.146272e-01 512 0
5205.9775 5290.3195 2.563367e-16 2.190806e-17 4.878705e-01 0 0
5210.7763 5295.1961 2.837827e-16 2.146254e-17 5.900744e-01 16 0
5215.5752 5300.0727 2.613820e-16 1.980629e-17 5.882266e-01 16 0
5220.3741 5304.9494 2.231178e-16 1.847356e-17 5.235133e-01 0 0
5225.1730 5309.8261 2.213501e-16 2.006025e-17 5.413939e-01 16 0
5229.9720 5314.7028 2.403566e-16 2.423173e-17 5.957440e-01 16 0
5234.7710 5319.5796 2.197670e-16 3.006704e-17 5.477161e-01 16 0
5239.5701 5324.4564 2.484853e-16 2.334612e-17 6.129948e-01 16 0
5244.3692 5329.3332 1.678431e-16 5.062188e-17 4.056362e-01 16 0
5249.1683 5334.2101 2.199413e-16 1.921811e-17 5.210558e-01 16 0
5253.9675 5339.0870 2.059392e-16 2.666730e-17 4.762688e-01 16 0
5258.7667 5343.9640 2.210288e-16 2.434912e-17 4.998962e-01 16 0
5263.5660 5348.8410 2.139709e-16 2.078856e-17 4.727402e-01 16 0
5268.3652 5353.7180 2.561129e-16 1.999586e-17 5.567551e-01 0 0
5273.1646 5358.5951 3.795716e-16 2.223512e-17 8.160170e-01 0 0
5277.9639 5363.4722 2.292708e-16 2.322044e-17 4.832298e-01 16 0
5282.7633 5368.3493 1.889205e-16 2.337237e-17 3.933589e-01 16 0
5287.5627 5373.2265 2.589960e-16 2.038444e-17 5.389969e-01 0 0
5292.3622 5378.1037 1.892074e-16 2.936296e-17 3.916530e-01 16 0
5297.1617 5382.9810 2.857451e-16 2.095133e-17 5.966438e-01 0 0
5301.9612 5387.8583 2.481981e-16 1.981814e-17 5.207299e-01 0 0
5306.7608 5392.7356 2.255958e-16 2.201838e-17 4.773618e-01 0 0
5311.5604 5397.6130 2.481723e-16 2.098388e-17 5.328066e-01 0 0
5316.3600 5402.4904 2.594430e-16 1.888061e-17 5.658967e-01 0 0
5321.1597 5407.3678 2.214198e-16 2.152567e-17 4.905422e-01 0 0
5325.9594 5412.2453 1.713787e-16 4.068905e-17 3.856214e-01 16 0
5330.7591 5417.1228 2.342473e-16 2.224351e-17 5.408117e-01 16 0
5335.5589 5422.0003 2.519257e-16 1.922841e-17 5.949770e-01 0 0
5340.3587 5426.8779 2.441997e-16 1.933393e-17 5.891371e-01 0 0
5345.1586 5431.7555 1.106088e-16 3.613717e-17 2.696652e-01 16 0
5349.9585 5436.6331 2.218619e-16 1.719733e-17 5.574585e-01 0 0
5354.7584 5441.5108 2.340785e-16 1.654952e-17 6.009917e-01 0 0
5359.5583 5446.3885 1.957433e-16 1.907874e-17 5.118476e-01 16 0
5364.3583 5451.2663 2.009535e-16 3.075355e-17 5.366547e-01 16 0
5369.1583 5456.1441 2.303460e-16 1.606285e-17 6.288937e-01 0 0
5373.9584 5461.0219 2.456449e-16 1.608175e-17 6.848087e-01 0 0
5378.7585 5465.8997 2.355920e-16 1.613765e-17 6.674448e-01 16 0
5383.5586 5470.7776 1.381992e-16 3.090027e-17 3.948401e-01 16 0
5388.3587 5475.6555 2.234249e-16 1.469895e-17 6.507556e-01 0 0
