# 2025WHV ofgd04010 G230LB CCD z=0.11 a2center=89.6 extrsize=7 exptime=1909.8 mode=adaptive_es7@0.98 flags=center_mismatch(90vs893)
# rest_wvl obs_wvl flux error net dq mask
1503.9590 1669.3944 -2.499847e-14 9.987882e-15 -6.784184e-02 16912 0
1505.1924 1670.7636 -4.457747e-14 9.364653e-15 -1.254850e-01 16400 0
1506.4259 1672.1328 -6.055318e-14 1.043423e-14 -1.768149e-01 16400 0
1507.6594 1673.5019 -2.159224e-14 1.047673e-14 -6.537353e-02 16400 0
1508.8929 1674.8711 3.682396e-14 7.155774e-15 5.809120e-02 0 0
1510.1264 1676.2403 -1.328794e-14 8.974072e-15 -4.321758e-02 16400 0
1511.3600 1677.6096 -1.434890e-14 7.485500e-15 -4.834282e-02 16384 0
1512.5935 1678.9788 -8.234685e-15 8.444130e-15 -2.871327e-02 16400 0
1513.8271 1680.3481 -6.728118e-14 1.052057e-14 -2.426898e-01 16400 0
1515.0607 1681.7174 -9.786988e-15 6.333615e-15 -3.648092e-02 16400 0
1516.2943 1683.0867 -1.998211e-15 4.751957e-15 -9.995814e-03 0 0
1517.5279 1684.4560 -5.614694e-15 4.846791e-15 -2.228717e-02 16384 0
1518.7615 1685.8253 -3.120015e-14 7.384736e-15 -1.275565e-01 16400 0
1519.9952 1687.1946 -1.049891e-14 4.901527e-15 -4.417412e-02 16384 0
1521.2288 1688.5640 -2.419003e-14 6.836610e-15 -1.045879e-01 16400 0
1522.4625 1689.9334 -1.493085e-14 5.370230e-15 -6.628951e-02 16400 0
1523.6962 1691.3028 1.326849e-14 4.119863e-15 2.476334e-02 0 0
1524.9299 1692.6722 -3.144631e-15 4.019146e-15 -1.467374e-02 16384 0
1526.1636 1694.0416 2.414000e-15 4.623194e-15 -4.251273e-04 0 0
1527.3974 1695.4111 -1.217756e-13 1.172541e-14 -5.951636e-01 16400 0
1528.6311 1696.7805 1.910885e-14 4.714065e-15 4.385676e-02 0 0
1529.8649 1698.1500 1.234894e-14 4.041622e-15 2.620974e-02 0 0
1531.0986 1699.5195 -4.252517e-15 4.386020e-15 -2.215619e-02 16384 0
1532.3324 1700.8890 -2.953288e-15 3.636369e-15 -1.569944e-02 16384 0
1533.5662 1702.2585 -2.216902e-14 4.483432e-15 -1.201743e-01 16400 0
1534.8001 1703.6281 5.821659e-15 3.929225e-15 1.009960e-02 0 0
1536.0339 1704.9976 5.408933e-15 4.109325e-15 9.229198e-03 0 0
1537.2677 1706.3672 -3.039701e-14 6.089041e-15 -1.741974e-01 16400 0
1538.5016 1707.7368 -6.676880e-16 3.394994e-15 -7.908653e-03 0 0
1539.7355 1709.1064 -4.940111e-15 6.038140e-15 -2.931583e-02 16400 0
1540.9694 1710.4760 8.876309e-15 3.239400e-15 2.129080e-02 0 0
1542.2033 1711.8456 -6.275253e-15 3.618497e-15 -3.849915e-02 16400 0
1543.4372 1713.2153 -3.300146e-15 3.103591e-15 -2.057609e-02 16384 0
1544.6711 1714.5850 -4.505497e-15 3.104572e-15 -2.853686e-02 16384 0
1545.9051 1715.9546 9.874914e-16 3.024620e-15 -2.803454e-03 0 0
1547.1391 1717.3243 2.491392e-14 3.910843e-15 8.260231e-02 16 0
1548.3730 1718.6941 1.970406e-13 1.978767e-14 9.549590e-01 16 0
1549.6070 1720.0638 -2.251239e-16 2.758642e-15 -6.638573e-03 0 0
1550.8410 1721.4335 1.602368e-14 3.201460e-15 5.177364e-02 0 0
1552.0750 1722.8033 7.696698e-15 3.376596e-15 2.122456e-02 16 0
1553.3091 1724.1731 1.830176e-14 3.089784e-15 6.264788e-02 0 0
1554.5431 1725.5429 5.078089e-16 3.051296e-15 -4.076622e-03 0 0
1555.7772 1726.9127 -7.338193e-15 9.875627e-15 -5.293617e-02 16400 0
1557.0113 1728.2825 6.635912e-15 3.797215e-15 1.876519e-02 16 0
1558.2454 1729.6524 -7.274719e-15 3.049812e-15 -5.389785e-02 16400 0
1559.4795 1731.0222 1.335602e-14 3.092666e-15 4.674596e-02 0 0
1560.7136 1732.3921 -1.289359e-14 2.945025e-15 -9.805940e-02 16400 0
1561.9477 1733.7620 1.116048e-15 2.512155e-15 -1.549072e-03 0 0
1563.1819 1735.1319 1.614608e-15 2.418947e-15 4.509334e-04 0 0
1564.4160 1736.5018 9.487160e-15 2.523022e-15 3.289492e-02 16 0
1565.6502 1737.8717 -2.424333e-16 2.431809e-15 -6.704562e-03 0 0
1566.8844 1739.2417 5.871121e-15 2.433528e-15 1.833745e-02 0 0
1568.1186 1740.6116 -1.704046e-15 2.452467e-15 -1.397350e-02 16384 0
1569.3528 1741.9816 -4.807966e-17 2.352650e-15 -5.920850e-03 0 0
1570.5870 1743.3516 7.223319e-15 2.368868e-15 2.527656e-02 0 0
1571.8213 1744.7216 5.003856e-15 2.616496e-15 1.575543e-02 16 0
1573.0555 1746.0916 9.863852e-16 2.372349e-15 -1.516444e-03 0 0
1574.2898 1747.4617 -4.894823e-15 2.689647e-15 -4.259449e-02 16384 0
1575.5241 1748.8317 -3.945086e-15 2.198054e-15 -3.473080e-02 16384 0
1576.7584 1750.2018 -3.307474e-15 2.573061e-15 -2.945108e-02 16384 0
1577.9927 1751.5719 5.083024e-15 2.270131e-15 1.746814e-02 0 0
1579.2270 1752.9420 4.078478e-15 2.079027e-15 1.299079e-02 0 0
1580.4613 1754.3121 -4.054025e-15 1.931104e-15 -3.725283e-02 16384 0
1581.6957 1755.6822 6.913765e-15 1.953846e-15 2.721921e-02 0 0
1582.9301 1757.0524 2.411399e-16 2.220511e-15 -4.511887e-03 0 0
1584.1644 1758.4225 3.057160e-15 1.988661e-15 8.860274e-03 0 0
1585.3988 1759.7927 -1.100563e-15 1.950402e-15 -1.071715e-02 0 0
1586.6332 1761.1629 -1.039880e-14 2.348635e-15 -1.005094e-01 16400 0
1587.8677 1762.5331 -6.334009e-15 3.051978e-15 -6.182598e-02 16400 0
1589.1021 1763.9033 -1.963686e-14 2.831841e-15 -1.935416e-01 16400 0
1590.3365 1765.2735 -4.762122e-15 2.003494e-15 -4.738835e-02 16384 0
1591.5710 1766.6438 1.748140e-15 2.042885e-15 3.141867e-03 0 0
1592.8055 1768.0141 2.848274e-14 2.630980e-15 1.616096e-01 0 0
1594.0399 1769.3843 3.793676e-15 2.001506e-15 1.398175e-02 0 0
1595.2744 1770.7546 7.045798e-15 2.081882e-15 3.190074e-02 0 0
1596.5089 1772.1249 -1.295570e-14 2.481415e-15 -1.350304e-01 16400 0
1597.7435 1773.4952 -1.431219e-14 2.140331e-15 -1.505067e-01 16400 0
1598.9780 1774.8656 -7.085616e-16 1.921222e-15 -9.166754e-03 0 0
1600.2125 1776.2359 -1.272846e-14 5.171668e-15 -1.362218e-01 16400 0
1601.4471 1777.6063 5.091472e-16 2.039121e-15 -2.795783e-03 0 0
1602.6817 1778.9767 9.089092e-15 2.090083e-15 4.625477e-02 0 0
1603.9163 1780.3471 1.620722e-15 1.819443e-15 3.334504e-03 0 0
1605.1509 1781.7175 -4.583839e-15 2.027013e-15 -5.074247e-02 16400 0
