# obs_wvl flux error
1.586000000000000000e+03 5.050004400536035338e-15 1.140423286475637905e-14
1.589096259778512831e+03 -3.462780999554724752e-15 5.540511150324813838e-15
1.592192519557025662e+03 -1.260228081865926068e-14 3.846594949243843640e-15
1.595288779335538493e+03 -2.793807630342829843e-15 3.270699671795248763e-15
1.598385039114051324e+03 2.307620580713307465e-15 2.759089007628592032e-15
1.601481298892564155e+03 6.760676246211237471e-15 2.547144385533883123e-15
1.604577558671076986e+03 1.363323196319187884e-15 1.729172286656252751e-15
1.607673818449589817e+03 2.025303137687937750e-16 1.390041844345788249e-15
1.610770078228102648e+03 4.189101780415779145e-16 1.208010312540659886e-15
1.613866338006615479e+03 -3.485869402737642366e-16 9.898408423291912748e-16
1.616962597785128310e+03 -1.127157542170253782e-15 7.717318096266696919e-16
1.620058857563641141e+03 7.841423136327724446e-16 8.493215790964295243e-16
1.623155117342153972e+03 5.227211191865771584e-16 7.213743575238158386e-16
1.626251377120666803e+03 1.460518337712684413e-15 7.095393760192512849e-16
1.629347636899179633e+03 -1.540760375577712221e-16 5.415361159961376868e-16
1.632443896677692464e+03 5.702350007438245263e-16 5.456778025266139240e-16
1.635540156456205295e+03 6.423657635706803762e-16 4.922871902902682444e-16
1.638636416234718126e+03 3.584038346059492023e-16 4.373489682471030320e-16
1.641732676013230957e+03 5.458220219349022448e-16 4.260290070231472633e-16
1.644828935791743788e+03 7.849276586143236593e-16 4.137959002918443058e-16
1.647925195570256619e+03 6.993746121521596928e-16 3.881230791971893927e-16
1.651021455348769450e+03 -1.432889086221443152e-16 2.809693323596047779e-16
1.654117715127282281e+03 1.432524288687851143e-16 2.930504453127147356e-16
1.657213974905795112e+03 1.216651751522166517e-15 3.675348790232276323e-16
1.660310234684307943e+03 8.327333362665471614e-16 3.280541918258479609e-16
1.663406494462820774e+03 7.031517821460058391e-16 3.088210114346900107e-16
1.666502754241333605e+03 4.782012694620639437e-16 2.892917228673891376e-16
1.669599014019846436e+03 2.950233965385984409e-16 2.545289322094670757e-16
1.672695273798359267e+03 8.506752362135892571e-16 2.855633450127975317e-16
1.675791533576872098e+03 1.027598339999483175e-15 2.894359892730425954e-16
1.678887793355384929e+03 3.223568619929492983e-16 2.308052540558207778e-16
1.681984053133897760e+03 3.493364542850290531e-16 2.240709289704354859e-16
1.685080312912410591e+03 9.237850007282021183e-16 2.632069675544498865e-16
1.688176572690923422e+03 2.943194226602121017e-16 2.144080590737387501e-16
1.691272832469436253e+03 8.103328132830334731e-16 2.409220982949336502e-16
1.694369092247949084e+03 5.951976099521359874e-16 2.172227831457082391e-16
1.697465352026461915e+03 3.944281044601704798e-16 1.980621030963472395e-16
1.700561611804974746e+03 5.855952322648893359e-16 2.035224996440469976e-16
1.703657871583487577e+03 8.434888342479821910e-16 2.188310596692699960e-16
1.706754131362000408e+03 6.437444369458101013e-16 2.070436005388890779e-16
1.709850391140513238e+03 5.998206290143139970e-16 1.982638640741662278e-16
1.712946650919026069e+03 2.979965391833389881e-16 1.745981779420257343e-16
1.716042910697538900e+03 4.114034977862357644e-16 1.826314575563977915e-16
1.719139170476051731e+03 3.920555325960949633e-16 1.812299222412774887e-16
1.722235430254564562e+03 5.785192027236432765e-16 1.889677222026442883e-16
1.725331690033077393e+03 4.149925317125647658e-16 1.681662609966793215e-16
1.728427949811590224e+03 6.290219001476585569e-16 1.854927613919840456e-16
1.731524209590103055e+03 3.338335270719640719e-16 1.594913280519329535e-16
1.734620469368615886e+03 1.802044649931087914e-16 1.465747619885829432e-16
1.737716729147128717e+03 2.871841188331280050e-16 1.565568035690300649e-16
1.740812988925641548e+03 1.718684050548059748e-16 1.397285454984017975e-16
1.743909248704154379e+03 1.704032488456915393e-16 1.367891834748544366e-16
1.747005508482667210e+03 6.856046708336724302e-16 1.708599132724394792e-16
1.750101768261180041e+03 5.182497180240060250e-16 1.535030646629768733e-16
1.753198028039692872e+03 6.764706883961645265e-16 1.651188149329550571e-16
1.756294287818205703e+03 3.492028086477654229e-16 1.419529067191251906e-16
1.759390547596718534e+03 2.950087906327739838e-16 1.357938342652687663e-16
1.762486807375231365e+03 8.586543599823541316e-16 1.700251224081170459e-16
1.765583067153744196e+03 5.456073993932839023e-16 1.429460159965795564e-16
1.768679326932257027e+03 4.331832909682009572e-16 1.350727277389064717e-16
