epoch,detector,grating,scale,slope,intercept,factor
2014-12-15,MAMA,G230L,none,None,None,None
2014-12-15,CCD,G430L,none,None,None,None
2014-12-15,CCD,G750L,none,None,None,None
2014-12-17,MAMA,G230L,none,None,None,None
2014-12-17,CCD,G430L,none,None,None,None
2014-12-17,CCD,G750L,none,None,None,None
2014-12-19,MAMA,G230L,none,None,None,None
2014-12-19,CCD,G430L,none,None,None,None
2014-12-19,CCD,G750L,none,None,None,None
2014-12-22,MAMA,G230L,none,None,None,None
2014-12-22,CCD,G430L,none,None,None,None
2014-12-22,CCD,G750L,none,None,None,None
2014-12-24,MAMA,G230L,none,None,None,None
2014-12-24,CCD,G430L,none,None,None,None
2014-12-24,CCD,G750L,none,None,None,None
2014-12-26,MAMA,G230L,none,None,None,None
2014-12-26,CCD,G430L,none,None,None,None
2014-12-26,CCD,G750L,none,None,None,None
2014-12-29,MAMA,G230L,none,None,None,None
2014-12-29,CCD,G430L,none,None,None,None
2014-12-29,CCD,G750L,none,None,None,None
2015-01-01,MAMA,G230L,none,None,None,None
2015-01-01,CCD,G430L,none,None,None,None
2015-01-01,CCD,G750L,none,None,None,None
2015-01-04,MAMA,G230L,none,None,None,None
2015-01-04,CCD,G430L,none,None,None,None
2015-01-04,CCD,G750L,none,None,None,None
2015-01-11,MAMA,G230L,none,None,None,None
2015-01-11,CCD,G430L,none,None,None,None
2015-01-11,CCD,G750L,none,None,None,None
