# ASASSN14LP ock403020 G430L CCD z=0.0051 a2center=894.4 extrsize=15 exptime=100.0 mode=adaptive_es15@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
2871.7641 2886.4101 1.046639e-13 6.652713e-14 4.825829e-01 512 0
2874.4952 2889.1552 9.421930e-14 4.981958e-14 5.730432e-01 528 0
2877.2264 2891.9002 9.788551e-14 4.029996e-14 7.422611e-01 512 0
2879.9575 2894.6453 2.882881e-14 3.330855e-14 2.683273e-01 512 0
2882.6887 2897.3904 1.156705e-14 2.853511e-14 1.395807e-01 512 0
2885.4199 2900.1356 -2.065276e-14 2.661555e-14 -2.942015e-01 16912 0
2888.1512 2902.8808 3.062593e-14 2.246958e-14 4.070761e-01 512 0
2890.8824 2905.6259 3.227884e-14 2.022229e-14 4.884191e-01 512 0
2893.6137 2908.3712 2.581092e-14 1.940388e-14 4.390188e-01 528 0
2896.3450 2911.1164 -1.425138e-14 1.596406e-14 -3.145982e-01 16896 0
2899.0763 2913.8616 4.591316e-14 1.498252e-14 9.625719e-01 512 0
2901.8077 2916.6069 3.409247e-14 1.340594e-14 7.863980e-01 528 0
2904.5391 2919.3522 2.008481e-14 1.181773e-14 5.108956e-01 528 0
2907.2705 2922.0975 9.083910e-15 1.047304e-14 2.538815e-01 512 0
2910.0019 2924.8429 2.154528e-14 9.496289e-15 6.963224e-01 528 0
2912.7333 2927.5882 3.326225e-14 9.109878e-15 1.241308e+00 528 0
2915.4648 2930.3336 3.905649e-14 8.177134e-15 1.685200e+00 528 0
2918.1962 2933.0790 3.876194e-13 1.496103e-14 2.098601e+01 528 0
2920.9277 2935.8245 1.589831e-14 7.661674e-15 8.574755e-01 528 0
2923.6592 2938.5699 2.772029e-14 5.422579e-15 1.766424e+00 528 0
2926.3908 2941.3154 1.753266e-14 4.589262e-15 1.238681e+00 512 0
2929.1224 2944.0609 3.199890e-14 4.265367e-15 2.643644e+00 528 0
2931.8539 2946.8064 2.069316e-14 3.740481e-15 1.872455e+00 528 0
2934.5855 2949.5519 1.822864e-14 3.419531e-15 1.827881e+00 528 0
2937.3172 2952.2975 2.149361e-14 3.096975e-15 2.412148e+00 512 0
2940.0488 2955.0431 2.187135e-14 2.873950e-15 2.713951e+00 528 0
2942.7805 2957.7887 2.366374e-14 2.748046e-15 3.227608e+00 528 0
2945.5122 2960.5343 1.993545e-14 2.442260e-15 2.926399e+00 512 0
2948.2439 2963.2799 2.384203e-14 2.335395e-15 3.802700e+00 512 0
2950.9756 2966.0256 2.421068e-14 2.272782e-15 4.111941e+00 528 0
2953.7074 2968.7713 1.845725e-14 2.055730e-15 3.273242e+00 0 0
2956.4391 2971.5170 2.182678e-14 2.026421e-15 4.085067e+00 0 0
2959.1709 2974.2627 2.311871e-14 1.994780e-15 4.526185e+00 0 0
2961.9027 2977.0085 2.415548e-14 2.012104e-15 4.896198e+00 16 0
2964.6346 2979.7542 2.453917e-14 1.908940e-15 5.133206e+00 16 0
2967.3664 2982.5000 2.361808e-14 2.274601e-15 5.045403e+00 16 0
2970.0983 2985.2458 2.211148e-14 1.861603e-15 4.815878e+00 16 0
2972.8302 2987.9916 2.399251e-14 1.798773e-15 5.331263e+00 0 0
2975.5621 2990.7375 2.043574e-14 1.741418e-15 4.581492e+00 0 0
2978.2941 2993.4834 2.374848e-14 1.767813e-15 5.428622e+00 16 0
2981.0260 2996.2293 2.258038e-14 1.708630e-15 5.213928e+00 0 0
2983.7580 2998.9752 2.040529e-14 1.676739e-15 4.745586e+00 0 0
2986.4900 3001.7211 2.216695e-14 1.767664e-15 5.234015e+00 16 0
2989.2220 3004.4670 2.619780e-14 2.327946e-15 6.307054e+00 16 0
2991.9540 3007.2130 2.190626e-14 1.645501e-15 5.302325e+00 16 0
2994.6861 3009.9590 2.018103e-14 1.611354e-15 4.936038e+00 0 0
2997.4182 3012.7050 2.337568e-14 1.625242e-15 5.839334e+00 0 0
3000.1503 3015.4510 2.419131e-14 1.862658e-15 6.148977e+00 16 0
3002.8824 3018.1971 2.171133e-14 1.559337e-15 5.587285e+00 0 0
3005.6145 3020.9432 2.273314e-14 1.558040e-15 5.967647e+00 0 0
3008.3467 3023.6892 2.691708e-14 1.583120e-15 7.246748e+00 0 0
3011.0789 3026.4354 2.208443e-14 1.529526e-15 6.015416e+00 16 0
3013.8110 3029.1815 2.197945e-14 1.477022e-15 6.105403e+00 0 0
3016.5433 3031.9276 2.312068e-14 1.474325e-15 6.566164e+00 0 0
3019.2755 3034.6738 2.386284e-14 1.478182e-15 6.922070e+00 16 0
3022.0077 3037.4200 2.164957e-14 1.427616e-15 6.381260e+00 16 0
3024.7400 3040.1662 2.551511e-14 1.525034e-15 7.714878e+00 16 0
3027.4723 3042.9124 2.644908e-14 1.428899e-15 8.158429e+00 16 0
3030.2046 3045.6587 2.537936e-14 1.392827e-15 7.958948e+00 0 0
3032.9369 3048.4049 2.748739e-14 1.398834e-15 8.795364e+00 0 0
3035.6693 3051.1512 2.676250e-14 1.385506e-15 8.699053e+00 16 0
3038.4016 3053.8975 3.101325e-14 1.407155e-15 1.029328e+01 0 0
3041.1340 3056.6438 3.085183e-14 1.408019e-15 1.039699e+01 16 0
