# obs_wvl flux error
2.968000000000000000e+03 1.586164909516277539e-14 3.610610329932325647e-15
2.973494264885577650e+03 1.995113523448043834e-14 2.382790947071458451e-15
2.978988529771155299e+03 2.330734319152003794e-14 2.315666198541315635e-15
2.984482794656732949e+03 2.363712414227146605e-14 2.314610752545523012e-15
2.989977059542310599e+03 2.678237178773372672e-14 2.160800318258193809e-15
2.995471324427888248e+03 2.369526118364291921e-14 2.071559514335100864e-15
3.000965589313465898e+03 2.230698486426055428e-14 2.042508696012127445e-15
3.006459854199043548e+03 2.202976583179808042e-14 2.198810835647295255e-15
3.011954119084621198e+03 2.114812930696591561e-14 1.932014479671718289e-15
3.017448383970198847e+03 2.111889963954474378e-14 1.947663979654732791e-15
3.022942648855776497e+03 2.185932629211507259e-14 1.812437888958486578e-15
3.028436913741354147e+03 1.942758155071801543e-14 1.741088277295321924e-15
3.033931178626931796e+03 1.892360104858442686e-14 1.737284600423529027e-15
3.039425443512509446e+03 2.196483883024253685e-14 1.695614005498626380e-15
3.044919708398087096e+03 2.238834835792912704e-14 1.592577258498710761e-15
3.050413973283664745e+03 2.018697595613754970e-14 1.554669842200508865e-15
3.055908238169242395e+03 2.413810473020506660e-14 1.602415868251660067e-15
3.061402503054820045e+03 2.220008130852275282e-14 1.494358797324563753e-15
3.066896767940397694e+03 2.705023822639283121e-14 1.472964402607697039e-15
3.072391032825975344e+03 2.750897539177467278e-14 1.448487254644499534e-15
3.077885297711552994e+03 3.109243705808950171e-14 1.462204120983329143e-15
3.083379562597130644e+03 3.292570076150720634e-14 1.508496690554371767e-15
3.088873827482708293e+03 3.352183372232225816e-14 1.429447940872890726e-15
3.094368092368285943e+03 3.404250718030504223e-14 1.425812813097072525e-15
3.099862357253863593e+03 3.478092615658176633e-14 1.429634273847547720e-15
3.105356622139441242e+03 3.323272853716274363e-14 1.471259349731569850e-15
3.110850887025018892e+03 3.842100509928420734e-14 1.422554124453133871e-15
3.116345151910596542e+03 3.241639071264687174e-14 1.464031750750409781e-15
3.121839416796174191e+03 3.490592321432040188e-14 1.373733240445531825e-15
3.127333681681751841e+03 3.617844052075605074e-14 1.372866329683031380e-15
3.132827946567329491e+03 3.393380350311358377e-14 1.366956097955978901e-15
3.138322211452907140e+03 3.122055600062763603e-14 1.377997166152889472e-15
3.143816476338484790e+03 3.218444178157206104e-14 1.304992038744780855e-15
3.149310741224062440e+03 3.242111526082256125e-14 1.411378757196504400e-15
3.154805006109640090e+03 3.012169765751557643e-14 1.385901660849087275e-15
3.160299270995217739e+03 3.156309750379015570e-14 1.327693890434514619e-15
3.165793535880795389e+03 2.892291812965956684e-14 1.221027093796868567e-15
3.171287800766373039e+03 3.007023899751357302e-14 1.221317976669920978e-15
3.176782065651950688e+03 2.599117089462466915e-14 1.188520794630215030e-15
3.182276330537528338e+03 2.793893643272266448e-14 1.178344631804224571e-15
3.187770595423105988e+03 2.755430209539288359e-14 1.160608089309387469e-15
3.193264860308683637e+03 2.627327664924988463e-14 1.132859154211340635e-15
3.198759125194261287e+03 2.690932383942078135e-14 1.127559132317322379e-15
3.204253390079838937e+03 3.146243771806309615e-14 1.268255772303945381e-15
3.209747654965416586e+03 2.547764617362926035e-14 1.135654650230973913e-15
3.215241919850994236e+03 2.553344984507396598e-14 1.098603245443178853e-15
3.220736184736571886e+03 2.401806689544605348e-14 1.052174745220888183e-15
3.226230449622149536e+03 2.486037697277781042e-14 1.064415706368257776e-15
3.231724714507727185e+03 2.258343137303184409e-14 1.066969642547979236e-15
3.237218979393304835e+03 2.438732727122531626e-14 1.046827491074236614e-15
3.242713244278882485e+03 2.650259380066712774e-14 1.032074664042412568e-15
3.248207509164460134e+03 2.372719584063291911e-14 1.012847102887355563e-15
3.253701774050037784e+03 2.570709826855370111e-14 1.027775945835024896e-15
3.259196038935615434e+03 2.489335613998934740e-14 1.002941610220614408e-15
3.264690303821193083e+03 2.243384815127076835e-14 9.902436936852000263e-16
3.270184568706770733e+03 2.691990623805347460e-14 1.007496394973999697e-15
3.275678833592348383e+03 2.548237532024872842e-14 9.877421094892403392e-16
3.281173098477926033e+03 2.600541507128947336e-14 9.956448482722014033e-16
3.286667363363503682e+03 2.965982773287421886e-14 1.008675961371951379e-15
3.292161628249081332e+03 2.577638519623897865e-14 9.668746004315945093e-16
3.297655893134658982e+03 2.774041116389023487e-14 9.768403988291632177e-16
3.303150158020236631e+03 2.946101052323353707e-14 9.850667664281640789e-16
3.308644422905814281e+03 2.636261710914763396e-14 9.585641173013046617e-16
3.314138687791391931e+03 2.778548674634545433e-14 9.595207071918905835e-16
3.319632952676969580e+03 2.761938126546580986e-14 9.540972407177557111e-16
3.325127217562547230e+03 3.141195348301384992e-14 1.026242321200655235e-15
3.330621482448124880e+03 3.164968326407757763e-14 9.903880566409829937e-16
3.336115747333702529e+03 3.139303129523474312e-14 9.682707977820689592e-16
3.341610012219280179e+03 3.282996101388420251e-14 9.635704337197027293e-16
3.347104277104857829e+03 4.224121667027580660e-14 1.170868302275853006e-15
3.352598541990435479e+03 3.820977131337400287e-14 9.968384388675202849e-16
3.358092806876013128e+03 4.036351920051045783e-14 9.940882876135126076e-16
3.363587071761590778e+03 4.063144157393116874e-14 9.880338467997460235e-16
3.369081336647168428e+03 4.321977995323871695e-14 1.002082667954047844e-15
3.374575601532746077e+03 4.051688687971693080e-14 9.790719433103366546e-16
3.380069866418323727e+03 4.127612013441508236e-14 9.812994788561283032e-16
3.385564131303901377e+03 4.086823464851830565e-14 9.707058499883367979e-16
3.391058396189479026e+03 4.129675719767350548e-14 9.910103497858929353e-16
