# obs_wvl flux error
2.969000000000000000e+03 1.422385564699050506e-14 3.023752660334259488e-15
2.974494213381157351e+03 1.613381563052527322e-14 2.170330061206939333e-15
2.979988426762314703e+03 1.038173141237173686e-14 2.106851741422862884e-15
2.985482640143472054e+03 1.351210459389922780e-14 2.024021237091920948e-15
2.990976853524629405e+03 1.281656504393864605e-14 1.888149607508296249e-15
2.996471066905786756e+03 1.627501136609864887e-14 1.871914861128820506e-15
3.001965280286944108e+03 1.141840111439038103e-14 1.869618583903314975e-15
3.007459493668101459e+03 1.381900320267656495e-14 1.882517816068835991e-15
3.012953707049258810e+03 1.377374233164375502e-14 1.748982867990520169e-15
3.018447920430416161e+03 1.359666638258577322e-14 1.722129838705702374e-15
3.023942133811573513e+03 1.071782068592304236e-14 1.598167586624065155e-15
3.029436347192730864e+03 1.224091239826216932e-14 1.551850655702727198e-15
3.034930560573888215e+03 1.050207705284930819e-14 1.496450004689484714e-15
3.040424773955045566e+03 1.215282025455681803e-14 1.493627824095635631e-15
3.045918987336202918e+03 1.146420320074693750e-14 1.387575654040065093e-15
3.051413200717360269e+03 1.362609584432316784e-14 1.365634773742295190e-15
3.056907414098517620e+03 1.223962752095475767e-14 1.350005503971033345e-15
3.062401627479674971e+03 1.500101780370100616e-14 1.310181758441290527e-15
3.067895840860832323e+03 1.335819644749342983e-14 1.262077139570326113e-15
3.073390054241989674e+03 1.204076565465751309e-14 1.232750495339091539e-15
3.078884267623147025e+03 1.352654276560510699e-14 1.233623584829038520e-15
3.084378481004304376e+03 1.586818006314820721e-14 1.285342006113940358e-15
3.089872694385461728e+03 1.642459146511771723e-14 1.196622391136517695e-15
3.095366907766619079e+03 1.755208207338544139e-14 1.201146728148444060e-15
3.100861121147776430e+03 1.788156970080673653e-14 1.191806470437589603e-15
3.106355334528933781e+03 1.555649736487079162e-14 1.169789653211741554e-15
3.111849547910091133e+03 1.740086162393976681e-14 1.177365229516220115e-15
3.117343761291248484e+03 1.591308010429101146e-14 1.156740936196595464e-15
3.122837974672405835e+03 1.885606873972632736e-14 1.178279312290417421e-15
3.128332188053563186e+03 2.072641780089326355e-14 1.169696280833591818e-15
3.133826401434720538e+03 1.797739947366524567e-14 1.141345565083697065e-15
3.139320614815877889e+03 1.838993236409309690e-14 1.209120208834483428e-15
3.144814828197035240e+03 1.738715153443949367e-14 1.102050894108908704e-15
3.150309041578192591e+03 1.807302932108421621e-14 1.103173218849883151e-15
3.155803254959349943e+03 1.855887465947826565e-14 1.088401272086464187e-15
3.161297468340507294e+03 1.879627677441328470e-14 1.144561699092143662e-15
3.166791681721664645e+03 1.735629406704029911e-14 1.052557330793294083e-15
3.172285895102821996e+03 1.857549871016630375e-14 1.056858776019502144e-15
3.177780108483979348e+03 1.624148444401638411e-14 1.032069691232592287e-15
3.183274321865136699e+03 1.885409687010576949e-14 1.028101458919372790e-15
3.188768535246294050e+03 1.812625125997245339e-14 1.007897487468124229e-15
3.194262748627451401e+03 1.818372086665856686e-14 9.973311761238717534e-16
3.199756962008608753e+03 1.854317679462516395e-14 9.921742395430325337e-16
3.205251175389766104e+03 2.003774826763733848e-14 1.085133174270738092e-15
3.210745388770923455e+03 1.764432826179527192e-14 1.024859492909694463e-15
3.216239602152080806e+03 1.710028043580022542e-14 9.504205756215303577e-16
3.221733815533238158e+03 1.717075891887189102e-14 9.351814394720123193e-16
3.227228028914395509e+03 1.816412803543460945e-14 9.364016398291852772e-16
3.232722242295552860e+03 1.620240146473753226e-14 9.354992552818823380e-16
3.238216455676710211e+03 1.745096089414170564e-14 9.339787617453325358e-16
3.243710669057867563e+03 1.508464067325352703e-14 8.855225331626969784e-16
3.249204882439024914e+03 1.470836123128267325e-14 8.800934190952676989e-16
3.254699095820182265e+03 1.528343471565521828e-14 8.836237040984970274e-16
3.260193309201339616e+03 1.391650951191197903e-14 8.524200174603913449e-16
3.265687522582496968e+03 1.387715138512733244e-14 8.586555136619611043e-16
3.271181735963654319e+03 1.718885033465571899e-14 8.711815376617891666e-16
3.276675949344811670e+03 1.572295729630473797e-14 8.490201437571758856e-16
3.282170162725969021e+03 1.534833932642781355e-14 8.431224965600962183e-16
3.287664376107126373e+03 1.542089804597564792e-14 8.395586805973474866e-16
3.293158589488283724e+03 1.549120259896768092e-14 8.314728642186982129e-16
3.298652802869441075e+03 1.667700858944094241e-14 8.342152782097081178e-16
3.304147016250598426e+03 1.629256911265958041e-14 8.219759032623258385e-16
3.309641229631755778e+03 1.557219558951624613e-14 8.106496579518868715e-16
3.315135443012913129e+03 1.595686074182775224e-14 8.035066040048412541e-16
3.320629656394070480e+03 1.556219973291788800e-14 8.039844347188887172e-16
3.326123869775227831e+03 1.851895249942552195e-14 9.332744732855864033e-16
3.331618083156385183e+03 1.899688280623195761e-14 8.248416785811903748e-16
3.337112296537542534e+03 1.785714916769167903e-14 8.064637012384492203e-16
3.342606509918699885e+03 2.008702257369507249e-14 8.158174792428366815e-16
3.348100723299857236e+03 4.035226054561461315e-14 1.102455658033523555e-15
3.353594936681014588e+03 2.004335856481853933e-14 8.169165362593108289e-16
3.359089150062171939e+03 2.189589349010744233e-14 8.085320731316010570e-16
3.364583363443329290e+03 2.249435001120496134e-14 8.026353213445961734e-16
3.370077576824486641e+03 2.292065949545585479e-14 8.040977201409279368e-16
3.375571790205643993e+03 2.010972108876754714e-14 8.100416184054446361e-16
3.381066003586801344e+03 2.335951794808750234e-14 7.987638240899745841e-16
