# obs_wvl flux error
2.968000000000000000e+03 9.632655187819666454e-15 3.713148918790517075e-15
2.970747103416956634e+03 1.732155826467679590e-14 2.898681382192543184e-15
2.973494206833913267e+03 6.858600777790804224e-15 2.669831935816918207e-15
2.976241310250869901e+03 9.530211338805324152e-17 2.704547451926357510e-15
2.978988413667826535e+03 1.153785600456520435e-14 2.632248340332489518e-15
2.981735517084783169e+03 1.224383141434271374e-14 2.808477191611639226e-15
2.984482620501739802e+03 5.429446530969153225e-16 2.549462377313298891e-15
2.987229723918696436e+03 -4.800404396579481623e-16 2.373336030867661356e-15
2.989976827335653070e+03 1.154332218995783735e-14 2.432845101029289710e-15
2.992723930752609704e+03 1.114910275891357204e-14 2.369609977444491671e-15
2.995471034169566337e+03 4.409031312243500238e-15 2.285724641071799227e-15
2.998218137586522971e+03 7.347092133521682993e-15 2.300183317020796612e-15
3.000965241003479605e+03 1.561537638727220260e-14 2.389492428585101899e-15
3.003712344420436239e+03 7.926646482270330813e-15 2.773887181578321652e-15
3.006459447837392872e+03 -1.327430873369326687e-15 2.277649466501868043e-15
3.009206551254349506e+03 -5.195464764677065908e-17 2.261641668155342155e-15
3.011953654671306140e+03 7.717962299723419122e-15 2.243649670076390276e-15
3.014700758088262774e+03 2.327681595906254943e-15 2.357257138244309287e-15
3.017447861505219407e+03 -1.411814016965079756e-15 2.115631802219905564e-15
3.020194964922176041e+03 9.475232390226910619e-15 2.109928694967840300e-15
3.022942068339132675e+03 7.243180646295576412e-15 2.017953752454712381e-15
3.025689171756089308e+03 3.276221357809880704e-16 1.990645863235292979e-15
3.028436275173045942e+03 5.329930365744971195e-15 1.955447831004612637e-15
3.031183378590002576e+03 3.737216605853403367e-15 1.941393886890088117e-15
3.033930482006959210e+03 3.171050181704293845e-15 1.877251054225172232e-15
3.036677585423915843e+03 2.777246766342071019e-15 1.839531069449378579e-15
3.039424688840872477e+03 8.254925212541701443e-15 1.918756762909563402e-15
3.042171792257829111e+03 1.138999667096416779e-14 1.843182316626473890e-15
3.044918895674785745e+03 5.332694747133212629e-15 1.732402054348353889e-15
3.047665999091742378e+03 4.510638588747529212e-15 1.707987268460094278e-15
3.050413102508699012e+03 8.910474613566190646e-15 1.736671039660091951e-15
3.053160205925655646e+03 8.443264046685841430e-15 1.690150374583442978e-15
3.055907309342612280e+03 5.879025533766940607e-15 1.665806734671107264e-15
3.058654412759568913e+03 7.253604461851040180e-15 1.651175544493919850e-15
3.061401516176525547e+03 1.125244178957451205e-14 1.665929068542283067e-15
3.064148619593482181e+03 6.099955217468373282e-15 1.574178917577051861e-15
3.066895723010438815e+03 3.578588065109497039e-15 1.549150173530026439e-15
3.069642826427395448e+03 7.449977292566218279e-15 1.557658365625051622e-15
3.072389929844352082e+03 6.891061560728063509e-15 1.524060185395266768e-15
3.075137033261308716e+03 5.243204708353036339e-15 1.511998290945788638e-15
3.077884136678265349e+03 5.444003951183314422e-15 1.528751226875451345e-15
3.080631240095221983e+03 9.203534977692784368e-15 1.539787667020562237e-15
3.083378343512178617e+03 1.090527306930380663e-14 1.644733165671061319e-15
3.086125446929135251e+03 6.989109811168350846e-15 1.485601437036307420e-15
3.088872550346091884e+03 8.348304091154898324e-15 1.473725319820295358e-15
3.091619653763048518e+03 1.052226792142803947e-14 1.511964233801394925e-15
3.094366757180005152e+03 4.599124891568805693e-15 1.425362888885257918e-15
3.097113860596961786e+03 5.596393135544874545e-15 1.431471588432054224e-15
3.099860964013918419e+03 8.620444144032640534e-15 1.450907262556476961e-15
3.102608067430875053e+03 8.532580411575058837e-15 1.447576972843780553e-15
3.105355170847831687e+03 2.750943980784760566e-15 1.384181268712421536e-15
3.108102274264788321e+03 7.061833340866883985e-15 1.424605235746608687e-15
3.110849377681744954e+03 1.216948815114224141e-14 1.465511372917985418e-15
3.113596481098701588e+03 1.064736884769634423e-14 1.593293255602981913e-15
3.116343584515658222e+03 5.525298661823643986e-15 1.441797172808426071e-15
3.119090687932614856e+03 7.776510243182447688e-15 1.408780612603508683e-15
3.121837791349571489e+03 1.340805459675238565e-14 1.468288570857942542e-15
3.124584894766528123e+03 1.019130688996474591e-14 1.404117066239714399e-15
3.127331998183484757e+03 5.454894049730486299e-15 1.424305634204688246e-15
3.130079101600441390e+03 1.062143058191082405e-14 1.415228007820093809e-15
3.132826205017398024e+03 9.022973397811087836e-15 1.399210090303666971e-15
3.135573308434354658e+03 7.338138068426389054e-15 1.358533868467420264e-15
3.138320411851311292e+03 5.125583307476922418e-15 1.486913712511539318e-15
3.141067515268267925e+03 9.843763185628785897e-15 1.407576164499038406e-15
3.143814618685224559e+03 9.513095104628871708e-15 1.348651833669937520e-15
3.146561722102181193e+03 4.315993579066552225e-15 1.312839686799499313e-15
3.149308825519137827e+03 4.509495516862743202e-15 1.307787761435787497e-15
3.152055928936094460e+03 1.204288368797198839e-14 1.377508629753738751e-15
3.154803032353051094e+03 1.076833565114655978e-14 1.333021451994085012e-15
3.157550135770007728e+03 7.375089152651686369e-15 1.314740183697726238e-15
3.160297239186964362e+03 1.197301809551723893e-14 1.468528201807337477e-15
3.163044342603920995e+03 1.197230862900614031e-14 1.332244718421659987e-15
3.165791446020877629e+03 6.375444239548362283e-15 1.259589443044439971e-15
