# ASASSN14LP ock410040 G750L CCD z=0.0051 a2center=894.6 extrsize=25 exptime=84.0 mode=adaptive_clamphi flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5216.5485 5243.1529 4.258563e-14 3.071109e-15 1.109988e+01 512 0
5221.4003 5248.0295 2.340973e-14 1.461629e-15 1.007501e+01 512 0
5226.2522 5252.9060 2.947790e-14 1.135797e-15 1.800150e+01 512 0
5231.1040 5257.7827 2.986673e-14 9.356562e-16 2.358277e+01 512 0
5235.9559 5262.6593 2.952282e-14 8.024405e-16 2.860403e+01 512 0
5240.8079 5267.5360 3.303823e-14 7.479171e-16 3.801065e+01 528 0
5245.6599 5272.4127 3.891879e-14 7.040791e-16 5.190314e+01 512 0
5250.5119 5277.2895 4.216544e-14 6.727613e-16 6.395543e+01 512 0
5255.3639 5282.1663 4.356900e-14 6.401257e-16 7.405348e+01 528 0
5260.2160 5287.0431 4.618405e-14 6.102125e-16 8.696906e+01 528 0
5265.0682 5291.9200 4.849931e-14 5.916138e-16 1.002062e+02 0 0
5269.9204 5296.7969 4.661448e-14 5.506033e-16 1.047980e+02 16 0
5274.7726 5301.6739 4.766764e-14 5.319017e-16 1.150707e+02 16 0
5279.6248 5306.5509 4.745293e-14 5.173268e-16 1.195425e+02 0 0
5284.4771 5311.4279 4.704929e-14 5.089040e-16 1.228408e+02 16 0
5289.3294 5316.3050 4.681686e-14 5.037791e-16 1.234024e+02 16 0
5294.1818 5321.1821 4.715318e-14 5.033530e-16 1.247447e+02 16 0
5299.0342 5326.0593 5.308384e-14 5.923919e-16 1.384988e+02 16 0
5303.8866 5330.9365 4.672073e-14 5.385543e-16 1.199065e+02 16 0
5308.7391 5335.8137 4.542773e-14 5.117409e-16 1.136119e+02 16 0
5313.5916 5340.6909 4.506574e-14 5.145280e-16 1.102333e+02 0 0
5318.4442 5345.5682 4.409914e-14 5.194337e-16 1.053408e+02 16 0
5323.2968 5350.4456 4.315183e-14 5.247942e-16 1.007591e+02 16 0
5328.1494 5355.3230 4.290475e-14 5.264688e-16 9.846757e+01 16 0
5333.0021 5360.2004 4.304256e-14 5.290499e-16 9.711479e+01 0 0
5337.8548 5365.0778 4.234897e-14 5.292012e-16 9.456907e+01 16 0
