# obs_wvl flux error
1.583000000000000000e+03 -2.441188256315646177e-14 1.812970516171675400e-14
1.584548336271380094e+03 -1.625784222527034058e-14 1.139272454052197293e-14
1.586096672542760189e+03 -6.947363307191545076e-15 1.046410575259268241e-14
1.587645008814140283e+03 1.454345444614294238e-15 7.797627706460901841e-15
1.589193345085520377e+03 3.798382070115107849e-15 7.093834109985685714e-15
1.590741681356900472e+03 7.363718222657567470e-15 6.006213411615241225e-15
1.592290017628280566e+03 3.911813471129693113e-15 5.875256271548412297e-15
1.593838353899660660e+03 -8.749159057601012980e-15 3.889363712375662385e-15
1.595386690171040755e+03 -2.719355026087130973e-15 4.204168507825049850e-15
1.596935026442420849e+03 -3.065617715707404235e-15 3.538656179979760683e-15
1.598483362713800943e+03 -9.894907322733724280e-15 2.428810705340304723e-15
1.600031698985181038e+03 -7.855828503082825001e-15 2.338666576134718058e-15
1.601580035256561132e+03 2.051117500740094061e-15 2.947591261372316639e-15
1.603128371527941226e+03 2.281823399074729512e-15 2.649418005079957296e-15
1.604676707799321321e+03 -2.643877727516303679e-15 1.995612957388572568e-15
1.606225044070701415e+03 -6.230645201865092853e-16 1.989086726424079653e-15
1.607773380342081509e+03 -2.161153592484447378e-15 1.668659119150354741e-15
1.609321716613461604e+03 -4.049197325388775202e-15 1.326195025073367262e-15
1.610870052884841698e+03 -3.515385798806948936e-15 1.243403446992124467e-15
1.612418389156221792e+03 -5.786352696637413683e-16 1.431891376416687720e-15
1.613966725427601887e+03 -1.586826560167886777e-15 1.193575364338394593e-15
1.615515061698981981e+03 -2.500410821746133544e-15 1.015153734189978746e-15
1.617063397970362075e+03 -2.354116343665377854e-15 9.590144177494742742e-16
1.618611734241742170e+03 -3.451910468294855885e-16 1.085304102818304937e-15
1.620160070513122264e+03 1.830369374047469157e-16 1.066395419307771567e-15
1.621708406784502358e+03 1.491441983436850887e-16 9.589463859504764091e-16
1.623256743055882453e+03 -9.078262517076804191e-16 8.213655918406926148e-16
1.624805079327262547e+03 -5.510667093338103179e-16 8.252487776959470065e-16
1.626353415598642641e+03 -9.923746640081146369e-16 7.242508580230481373e-16
1.627901751870022736e+03 -1.418516450080934439e-15 6.202138112487404637e-16
1.629450088141402830e+03 -1.081603058499160874e-15 6.408944381035338491e-16
1.630998424412782924e+03 -1.356251928588040296e-15 5.519176815515676464e-16
1.632546760684163019e+03 2.803812389792546208e-16 7.012052254294031029e-16
1.634095096955543113e+03 6.466584760747951944e-16 6.872479414949399808e-16
1.635643433226923207e+03 -4.422146103096477741e-16 5.806319760445546562e-16
1.637191769498303302e+03 -8.807648814537132182e-16 4.973418897399656760e-16
1.638740105769683396e+03 8.610192324856679521e-16 6.466485582882914752e-16
1.640288442041063490e+03 -7.084580035351901611e-16 4.669029788570064279e-16
1.641836778312443585e+03 -1.600842490381992425e-16 5.202000080703265659e-16
1.643385114583823679e+03 9.845601065469647639e-17 5.173107883033194189e-16
1.644933450855203773e+03 2.979314806353672802e-16 5.296307516149890321e-16
1.646481787126583868e+03 -7.482447878545051490e-16 4.036174957758682641e-16
1.648030123397963962e+03 2.059641295542316816e-16 4.879954608764704865e-16
1.649578459669344056e+03 -5.567151951665800639e-17 4.520171322527062271e-16
1.651126795940724151e+03 -1.537807755207481260e-16 4.288086584590510441e-16
1.652675132212104245e+03 1.455602681239825111e-16 4.434717464544159654e-16
1.654223468483484339e+03 1.335778695649058455e-16 4.264551739344179921e-16
1.655771804754864434e+03 -5.337747118795276017e-16 3.593150899357018563e-16
1.657320141026244528e+03 -7.804780028815004091e-16 3.155073240970448223e-16
1.658868477297624622e+03 -6.436729559282917255e-17 3.918207316615980787e-16
1.660416813569004717e+03 1.459494138018981898e-16 3.881214037440099597e-16
1.661965149840384811e+03 -3.689510496816547559e-16 3.376079941646363789e-16
1.663513486111764905e+03 -2.329537802143891015e-16 3.445309319139932755e-16
1.665061822383145000e+03 7.633531040179730936e-17 3.652509889246403330e-16
1.666610158654525094e+03 -9.712006192724950157e-17 3.417144696530062374e-16
1.668158494925905188e+03 5.239055520060249444e-16 3.970907515069772305e-16
1.669706831197285283e+03 -1.710137938337945057e-16 3.292397517989376339e-16
1.671255167468665377e+03 2.913350444931510719e-16 3.581747170794651529e-16
1.672803503740045471e+03 -5.644835914898059235e-16 2.635409653434339602e-16
1.674351840011425566e+03 2.514788972446358801e-17 3.206987646715142172e-16
1.675900176282805660e+03 -1.966056297014215726e-16 2.956324004028242240e-16
1.677448512554185754e+03 -4.753859690582598784e-16 2.534436809963880823e-16
1.678996848825565849e+03 -1.510360024112929263e-16 2.862537065842188103e-16
1.680545185096945943e+03 -3.405196163677210517e-16 2.588723366108357532e-16
1.682093521368326037e+03 2.804083065713743539e-16 3.149582416570905019e-16
1.683641857639706132e+03 7.629489920965401089e-17 2.943133474867417456e-16
1.685190193911086226e+03 -4.325103302180181204e-16 2.376321061716341073e-16
1.686738530182466320e+03 -1.783748871383104402e-16 2.482588905548342418e-16
1.688286866453846415e+03 -1.726252298191309357e-16 2.498563277820750172e-16
1.689835202725226509e+03 -1.945497254976017259e-16 2.375178759643483877e-16
1.691383538996606603e+03 1.607782038867241697e-17 2.639266334634382356e-16
1.692931875267986698e+03 -1.265291935337823513e-16 2.431086401848505894e-16
1.694480211539366792e+03 -2.866472718374259948e-16 2.226227958697543472e-16
1.696028547810746886e+03 -1.806115226288250162e-16 2.206607613882992790e-16
1.697576884082126981e+03 1.266324725263582560e-16 2.605319365912859403e-16
1.699125220353507075e+03 -1.559527479443067239e-16 2.200355010977580232e-16
1.700673556624887169e+03 1.841314777438192565e-16 2.500427068045827969e-16
