# ASASSN14LP ock406010 G230L MAMA z=0.0051 a2center=514.4 extrsize=11 exptime=1400.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1568.8317 1576.8328 0.000000e+00 0.000000e+00 -3.909644e-03 2564 0
1570.3676 1578.3765 0.000000e+00 0.000000e+00 5.623308e-03 2564 0
1571.9035 1579.9202 1.169602e-13 2.646339e-13 1.280211e-03 2564 0
1573.4394 1581.4640 3.951073e-14 4.623680e-14 3.251328e-03 2564 0
1574.9754 1583.0077 -2.488403e-14 2.407644e-14 -3.827655e-03 2048 0
1576.5113 1584.5515 -7.107554e-16 1.563048e-14 -1.603008e-04 0 0
1578.0472 1586.0953 -7.459453e-15 1.260186e-14 -2.218725e-03 0 0
1579.5832 1587.6391 -8.505746e-15 9.251279e-15 -3.143099e-03 0 0
1581.1192 1589.1829 -6.337843e-16 8.248375e-15 -2.800069e-04 0 0
1582.6551 1590.7267 -4.020867e-15 6.600589e-15 -2.067851e-03 0 0
1584.1911 1592.2705 2.959456e-17 6.816445e-15 1.737149e-05 0 0
1585.7271 1593.8143 1.984607e-15 6.009615e-15 1.321130e-03 0 0
1587.2631 1595.3581 -6.806044e-15 4.543100e-15 -5.143853e-03 0 0
1588.7991 1596.9020 -1.905232e-15 4.414482e-15 -1.622507e-03 0 0
1590.3351 1598.4458 -6.858274e-15 3.435067e-15 -6.580835e-03 0 0
1591.8711 1599.9897 4.382594e-16 3.680922e-15 4.699911e-04 0 0
1593.4072 1601.5336 -2.495129e-15 2.953409e-15 -2.986162e-03 0 0
1594.9432 1603.0774 -1.349566e-15 2.815234e-15 -1.788842e-03 0 0
1596.4793 1604.6213 -2.353582e-15 2.467909e-15 -3.449083e-03 0 0
1598.0153 1606.1652 -2.773158e-15 2.108208e-15 -4.463081e-03 0 0
1599.5514 1607.7091 -3.013951e-15 1.920045e-15 -5.319464e-03 0 0
1601.0875 1609.2530 -6.090941e-16 1.976499e-15 -1.172016e-03 0 0
1602.6236 1610.7969 -2.559154e-15 1.580448e-15 -5.363229e-03 0 0
1604.1597 1612.3409 8.165082e-16 1.772442e-15 1.853863e-03 0 0
1605.6958 1613.8848 3.621985e-16 1.602350e-15 8.901237e-04 0 0
1607.2319 1615.4288 -9.572475e-16 1.362958e-15 -2.534138e-03 0 0
1608.7680 1616.9727 3.011548e-16 1.398848e-15 8.578349e-04 0 0
1610.3041 1618.5167 2.805631e-15 1.503035e-15 8.562098e-03 0 0
1611.8403 1620.0607 -1.415882e-15 1.066350e-15 -4.622929e-03 0 0
1613.3764 1621.6046 1.203859e-15 1.188102e-15 4.189349e-03 0 0
1614.9126 1623.1486 -1.170695e-15 9.315555e-16 -4.335143e-03 0 0
1616.4488 1624.6926 -6.213485e-16 9.313018e-16 -2.440236e-03 0 0
1617.9849 1626.2367 3.846552e-16 9.707990e-16 1.599282e-03 0 0
1619.5211 1627.7807 5.308503e-16 9.114149e-16 2.329873e-03 0 0
1621.0573 1629.3247 7.242982e-16 9.068419e-16 3.349298e-03 0 0
1622.5935 1630.8687 7.500151e-16 8.488199e-16 3.645178e-03 0 0
1624.1297 1632.4128 5.015707e-16 7.943997e-16 2.557047e-03 0 0
1625.6659 1633.9568 -4.872319e-16 6.589197e-16 -2.600185e-03 0 0
1627.2022 1635.5009 -1.062928e-16 6.976969e-16 -5.926231e-04 0 0
1628.7384 1637.0450 -3.382359e-16 6.218734e-16 -1.966759e-03 0 0
1630.2747 1638.5891 -2.449189e-16 6.042187e-16 -1.482424e-03 0 0
1631.8109 1640.1332 1.686259e-16 6.229990e-16 1.060874e-03 0 0
1633.3472 1641.6773 -1.755022e-17 5.856947e-16 -1.145580e-04 0 0
1634.8835 1643.2214 -8.474742e-16 4.736592e-16 -5.732414e-03 0 0
1636.4198 1644.7655 1.356498e-17 5.518485e-16 9.492540e-05 0 0
1637.9560 1646.3096 -3.451335e-16 4.964376e-16 -2.495985e-03 0 0
1639.4923 1647.8538 1.287619e-16 5.206112e-16 9.609649e-04 0 0
1641.0287 1649.3979 -7.605863e-16 4.208816e-16 -5.852393e-03 0 0
1642.5650 1650.9421 -4.776137e-16 4.357047e-16 -3.783684e-03 0 0
1644.1013 1652.4862 -7.746346e-16 3.876808e-16 -6.311896e-03 0 0
1645.6376 1654.0304 -2.723742e-17 4.451057e-16 -2.280180e-04 0 0
1647.1740 1655.5746 -2.730320e-16 4.220087e-16 -2.346627e-03 0 0
1648.7103 1657.1188 -4.761258e-16 3.820930e-16 -4.196869e-03 0 0
1650.2467 1658.6630 1.732157e-16 4.409040e-16 1.564878e-03 0 0
1651.7831 1660.2072 -4.630413e-16 3.558684e-16 -4.283370e-03 0 0
1653.3195 1661.7514 -8.168933e-17 3.936747e-16 -7.732968e-04 0 0
1654.8559 1663.2956 -4.102344e-16 3.491172e-16 -3.970535e-03 0 0
1656.3923 1664.8399 -4.652553e-16 3.358249e-16 -4.601601e-03 0 0
1657.9287 1666.3841 -7.370451e-16 2.941119e-16 -7.443488e-03 0 0
1659.4651 1667.9284 -3.567829e-16 3.314618e-16 -3.677367e-03 0 0
1661.0015 1669.4726 -4.366347e-16 3.212418e-16 -4.589956e-03 0 0
1662.5380 1671.0169 -1.527731e-16 3.346214e-16 -1.637192e-03 0 0
1664.0744 1672.5612 -1.296980e-16 3.305310e-16 -1.416118e-03 0 0
1665.6108 1674.1055 2.206223e-16 3.538496e-16 2.453321e-03 0 0
1667.1473 1675.6498 2.376449e-16 3.542643e-16 2.690066e-03 0 0
1668.6838 1677.1941 -3.740798e-16 2.848884e-16 -4.308955e-03 0 0
1670.2203 1678.7384 4.228124e-16 3.597421e-16 4.953822e-03 0 0
1671.7568 1680.2827 2.626776e-16 3.368773e-16 3.129360e-03 0 0
1673.2933 1681.8271 -3.139458e-16 2.751276e-16 -3.801457e-03 0 0
1674.8298 1683.3714 -1.280934e-17 3.055602e-16 -1.575963e-04 0 0
1676.3663 1684.9157 -2.329853e-16 2.805763e-16 -2.911440e-03 0 0
1677.9028 1686.4601 2.035393e-16 3.068787e-16 2.582589e-03 0 0
1679.4393 1688.0045 -5.775393e-17 2.819838e-16 -7.438138e-04 0 0
1680.9759 1689.5489 -1.984883e-16 2.594884e-16 -2.593981e-03 0 0
1682.5124 1691.0933 -1.579204e-16 2.681925e-16 -2.093532e-03 0 0
1684.0490 1692.6376 -3.454782e-17 2.746075e-16 -4.644633e-04 0 0
1685.5856 1694.1821 -2.644191e-16 2.473617e-16 -3.604006e-03 0 0
1687.1221 1695.7265 -9.823958e-17 2.534167e-16 -1.357148e-03 0 0
1688.6587 1697.2709 -1.160978e-16 2.583638e-16 -1.625165e-03 0 0
1690.1953 1698.8153 -2.070728e-16 2.399641e-16 -2.936443e-03 0 0
1691.7319 1700.3598 -6.320055e-17 2.487257e-16 -9.077057e-04 0 0
1693.2686 1701.9042 3.761803e-16 2.905419e-16 5.470174e-03 0 0
1694.8052 1703.4487 -1.838276e-16 2.322655e-16 -2.705873e-03 0 0
1696.3418 1704.9932 -2.333443e-16 2.236092e-16 -3.476124e-03 0 0
1697.8785 1706.5376 2.476614e-16 2.651232e-16 3.733173e-03 0 0
1699.4151 1708.0821 -5.418882e-17 2.353481e-16 -8.263565e-04 0 0
1700.9518 1709.6266 -1.232470e-16 2.285959e-16 -1.901091e-03 0 0
1702.4884 1711.1711 -1.654761e-16 2.172426e-16 -2.581405e-03 0 0
1704.0251 1712.7156 1.651243e-16 2.507434e-16 2.604757e-03 0 0
1705.5618 1714.2602 7.365003e-18 2.336926e-16 1.174629e-04 0 0
1707.0985 1715.8047 4.330842e-16 2.702449e-16 6.982666e-03 0 0
1708.6352 1717.3492 9.060941e-17 2.328451e-16 1.476693e-03 0 0
1710.1719 1718.8938 -1.832634e-16 2.041103e-16 -3.018693e-03 0 0
1711.7086 1720.4384 3.250200e-16 2.478388e-16 5.410525e-03 0 0
1713.2454 1721.9829 1.349291e-16 2.313762e-16 2.269792e-03 0 0
1714.7821 1723.5275 -5.979433e-17 2.079978e-16 -1.016397e-03 0 0
1716.3189 1725.0721 1.355769e-16 2.246606e-16 2.328537e-03 0 0
1717.8556 1726.6167 7.637011e-17 2.152391e-16 1.325258e-03 0 0
1719.3924 1728.1613 1.843829e-16 2.253423e-16 3.232561e-03 0 0
1720.9292 1729.7059 -2.689486e-16 1.741082e-16 -4.763531e-03 0 0
1722.4660 1731.2505 3.161600e-17 2.095667e-16 5.656760e-04 0 0
1724.0027 1732.7952 -9.323070e-17 1.900227e-16 -1.685003e-03 0 0
1725.5396 1734.3398 -1.447333e-16 1.861159e-16 -2.642144e-03 0 0
1727.0764 1735.8845 -1.252181e-16 1.857456e-16 -2.308735e-03 0 0
1728.6132 1737.4291 -3.360204e-17 1.924263e-16 -6.256857e-04 0 0
1730.1500 1738.9738 -3.793657e-17 1.893300e-16 -7.133437e-04 0 0
1731.6869 1740.5185 7.850622e-17 2.012992e-16 1.490589e-03 0 0
1733.2237 1742.0631 -4.146754e-16 1.424533e-16 -7.949367e-03 0 0
1734.7606 1743.6078 -1.083719e-16 1.758702e-16 -2.097369e-03 0 0
1736.2974 1745.1525 -2.496697e-16 1.621833e-16 -4.877638e-03 0 0
1737.8343 1746.6973 2.351101e-16 2.031472e-16 4.636222e-03 0 0
1739.3712 1748.2420 1.728483e-16 1.934282e-16 3.439915e-03 0 0
1740.9081 1749.7867 -1.918014e-16 1.605775e-16 -3.852024e-03 0 0
1742.4450 1751.3314 1.653052e-16 1.961850e-16 3.350560e-03 0 0
1743.9819 1752.8762 -2.364141e-16 1.472103e-16 -4.836162e-03 0 0
1745.5188 1754.4210 8.522801e-17 1.861788e-16 1.759298e-03 0 0
1747.0557 1755.9657 1.512603e-16 1.870275e-16 3.150515e-03 0 0
1748.5927 1757.5105 -1.627679e-16 1.539894e-16 -3.420263e-03 0 0
1750.1296 1759.0553 1.430686e-16 1.852695e-16 3.032784e-03 0 0
1751.6666 1760.6001 2.241475e-16 1.860793e-16 4.792620e-03 0 0
1753.2035 1762.1449 -2.299830e-16 1.433865e-16 -4.959659e-03 0 0
1754.7405 1763.6897 4.973616e-17 1.708489e-16 1.081643e-03 0 0
1756.2775 1765.2345 -1.828879e-16 1.418069e-16 -4.010784e-03 0 0
1757.8145 1766.7793 -2.223794e-16 1.380266e-16 -4.917147e-03 0 0
1759.3515 1768.3242 1.446186e-16 1.749448e-16 3.223999e-03 0 0
1760.8885 1769.8690 2.431971e-16 1.802602e-16 5.465470e-03 0 0
1762.4255 1771.4139 1.407672e-16 1.720158e-16 3.188943e-03 0 0
1763.9626 1772.9588 -1.608156e-16 1.400372e-16 -3.671986e-03 0 0
1765.4996 1774.5036 1.437484e-16 1.690279e-16 3.308122e-03 0 0
1767.0366 1776.0485 1.527532e-16 1.674296e-16 3.542666e-03 0 0
1768.5737 1777.5934 -6.037499e-17 1.464976e-16 -1.411031e-03 0 0
1770.1108 1779.1383 1.507503e-16 1.696729e-16 3.550108e-03 0 0
1771.6478 1780.6832 2.000065e-16 1.667716e-16 4.745814e-03 0 0
1773.1849 1782.2281 -7.983909e-17 1.413418e-16 -1.908713e-03 0 0
1774.7220 1783.7731 -4.945514e-17 1.434908e-16 -1.191177e-03 0 0
1776.2591 1785.3180 3.453867e-17 1.494441e-16 8.380961e-04 0 0
1777.7962 1786.8630 -1.748879e-17 1.466795e-16 -4.275179e-04 0 0
1779.3333 1788.4079 2.273120e-16 1.660337e-16 5.597796e-03 0 0
1780.8704 1789.9529 3.314558e-17 1.470823e-16 8.222538e-04 0 0
1782.4076 1791.4979 1.382832e-16 1.538168e-16 3.455712e-03 0 0
1783.9447 1793.0428 -2.016558e-17 1.395516e-16 -5.076384e-04 0 0
1785.4819 1794.5878 8.541646e-17 1.455767e-16 2.166069e-03 0 0
1787.0190 1796.1328 4.440817e-17 1.437401e-16 1.134414e-03 0 0
