# obs_wvl flux error
1.138000000000000000e+03 -2.521984871743371259e-13 1.167267231921145344e-16
1.139162693084169632e+03 -2.912222009498823109e-15 2.119806525852665810e-15
1.140325386168339264e+03 -2.415859119748876322e-15 4.013797802691225679e-19
1.141488079252508896e+03 -1.595302862630559424e-15 3.489042569522935805e-19
1.142650772336678529e+03 -1.041620421657813355e-15 2.234161896125424883e-19
1.143813465420848161e+03 -2.726599468480393837e-16 2.621692526487688768e-16
1.144976158505017793e+03 -5.118640768052197846e-16 1.582604142777460506e-18
1.146138851589187425e+03 6.057349891225047272e-17 1.943489012469827730e-16
1.147301544673357057e+03 5.593424888972952985e-17 1.607066316353987026e-16
1.148464237757526689e+03 -5.256688574883567128e-17 1.085536249376740074e-16
1.149626930841696321e+03 -9.290113902973797345e-17 8.190282143677883762e-17
1.150789623925865953e+03 -9.838861374300831146e-17 6.523613341524923602e-17
1.151952317010035586e+03 1.248934066538593590e-16 1.082299383559340841e-16
1.153115010094205218e+03 4.618491592808441673e-17 7.991961122701442581e-17
1.154277703178374850e+03 3.465817148391384450e-17 7.272302494234771448e-17
1.155440396262544482e+03 1.835217356469742681e-16 9.213595282030063214e-17
1.156603089346714114e+03 1.404956807095669529e-16 8.116013941159146935e-17
1.157765782430883746e+03 2.194826324921760658e-16 8.833674128844771651e-17
1.158928475515053378e+03 3.287461136904176089e-16 1.003350413125772540e-16
1.160091168599223010e+03 2.137763135120853372e-16 8.289358174336505901e-17
1.161253861683392643e+03 3.958118190796312331e-16 9.977768111382182830e-17
1.162416554767562275e+03 2.738822260335417630e-16 8.509430871286919872e-17
1.163579247851731907e+03 3.634226066283151296e-16 9.226476295557077173e-17
1.164741940935901539e+03 1.493708439630183737e-16 6.508794806464576897e-17
1.165904634020071171e+03 1.628478813862506360e-16 6.494680839597747600e-17
1.167067327104240803e+03 3.810326479441414273e-16 8.689171143822418946e-17
1.168230020188410435e+03 1.605965784748471515e-16 6.325299854999868438e-17
1.169392713272580067e+03 2.449836150200636210e-16 7.182608847700651391e-17
1.170555406356749700e+03 3.544315608149009944e-16 8.022971508594244011e-17
1.171718099440919332e+03 3.972636579913105122e-16 8.248536291325694556e-17
1.172880792525088964e+03 2.369416550900163344e-16 6.504091367873532981e-17
1.174043485609258596e+03 1.754465938114556597e-16 5.710625394104865289e-17
1.175206178693428228e+03 3.828284935541804418e-16 7.627476738576543133e-17
1.176368871777597860e+03 3.266303554883134098e-16 7.061633138661266022e-17
1.177531564861767492e+03 3.930120399548735352e-16 7.475812380142238969e-17
1.178694257945937125e+03 2.465620106863980204e-16 6.036471678389939424e-17
1.179856951030106757e+03 3.531322077056971851e-16 6.888874820717938739e-17
1.181019644114276389e+03 3.035623965561586516e-16 6.364752772899672904e-17
1.182182337198446021e+03 2.259748829728189792e-16 5.524257471878431046e-17
1.183345030282615653e+03 3.168292287503604146e-16 6.271050394468016796e-17
1.184507723366785285e+03 2.366241746039896808e-16 5.454856600149757921e-17
1.185670416450954917e+03 2.725748570482258408e-16 5.653468294932013257e-17
1.186833109535124549e+03 2.016443879588795580e-16 4.934987059402027544e-17
1.187995802619294182e+03 1.039272184797620422e-16 3.889231553813564546e-17
1.189158495703463814e+03 2.735647035207148101e-16 5.473794917012833869e-17
1.190321188787633446e+03 1.929534379297861945e-16 4.570237100772285106e-17
1.191483881871803078e+03 2.348172813080404253e-16 4.897402415750274092e-17
1.192646574955972710e+03 2.778029813931355606e-16 5.203479286631833852e-17
1.193809268040142342e+03 2.609733306390227129e-16 4.979718345181542670e-17
1.194971961124311974e+03 2.673526527876658809e-16 4.957004774620252826e-17
1.196134654208481606e+03 4.096579623384077173e-16 5.917952693453825978e-17
1.197297347292651239e+03 3.339694605865731850e-16 5.229999490250038661e-17
1.198460040376820871e+03 4.615864170232572629e-16 6.070175872393340696e-17
1.199622733460990503e+03 5.224635569812392154e-16 6.385710875075869361e-17
1.200785426545160135e+03 3.309631373019611388e-16 5.018946659095325066e-17
1.201948119629329767e+03 3.410200799488802386e-16 5.086585515109030296e-17
1.203110812713499399e+03 1.787138827467068952e-16 3.824436075097681313e-17
1.204273505797669031e+03 2.088783163161882023e-16 4.060897245508000644e-17
1.205436198881838664e+03 3.233622823979553947e-16 4.815816307908974411e-17
1.206598891966008296e+03 4.221620119328850585e-16 5.322111853314301919e-17
1.207761585050177928e+03 4.634816652577348458e-16 5.566457465908780972e-17
1.208924278134347560e+03 5.965559025159571994e-16 6.170535215081292119e-17
1.210086971218517192e+03 6.137034660051723442e-16 6.534628159457617729e-17
1.211249664302686824e+03 2.274849241860769852e-16 6.473871442167808559e-17
1.212412357386856456e+03 -5.738007291274142471e-17 8.215802706597295582e-17
1.213575050471026088e+03 9.119688140051611745e-17 2.101210973513583664e-16
1.214737743555195721e+03 2.302538835779364057e-16 2.982794694146512396e-16
1.215900436639365353e+03 -2.075931622082865435e-16 2.980686780904162109e-16
1.217063129723534985e+03 2.149545726828453974e-16 2.936323023801338972e-16
1.218225822807704617e+03 2.962828507567302396e-17 2.320706930767676792e-16
1.219388515891874249e+03 2.139522719234966696e-16 9.336797045983985028e-17
1.220551208976043881e+03 8.137911649580617567e-17 5.316111136700568072e-17
1.221713902060213513e+03 1.338375506574881209e-16 4.656057631497116943e-17
1.222876595144383145e+03 1.264826594050334638e-16 4.020181654867949420e-17
1.224039288228552778e+03 2.572461963124404939e-16 4.198542568921032873e-17
1.225201981312722410e+03 3.217231141913156225e-16 4.372557053633721741e-17
1.226364674396892042e+03 4.015698505460847834e-16 4.430741158613669160e-17
1.227527367481061674e+03 3.937537025447679180e-16 4.356832739084641735e-17
1.228690060565231306e+03 2.708257268131219825e-16 3.617993894133142899e-17
1.229852753649400938e+03 1.718118280783009544e-16 2.943783605293797783e-17
1.231015446733570570e+03 1.707894895863230951e-16 2.920194568334659278e-17
1.232178139817740202e+03 1.793868534425192425e-16 2.936523623587707672e-17
1.233340832901909835e+03 2.129315287634308122e-16 3.151314286418817014e-17
1.234503525986079467e+03 3.079677424046409310e-16 3.625330294167807536e-17
1.235666219070249099e+03 4.749776296802829698e-16 4.468921264309296362e-17
1.236828912154418731e+03 4.822775313895941339e-16 4.403806790317196162e-17
1.237991605238588363e+03 6.177372505814056310e-16 5.020547852494373444e-17
1.239154298322757995e+03 7.340403110756101043e-16 5.428966575898066166e-17
1.240316991406927627e+03 7.023750920227716755e-16 5.125147607286791509e-17
1.241479684491097260e+03 7.820232752789779344e-16 5.439240579460567326e-17
1.242642377575266892e+03 6.753827047239996057e-16 5.131006285726224492e-17
1.243805070659436524e+03 5.322410151827011336e-16 4.516312883619160261e-17
1.244967763743606156e+03 3.350927577806291658e-16 3.539761175651072977e-17
1.246130456827775788e+03 1.236638069667483706e-16 2.243670883954899873e-17
1.247293149911945420e+03 6.414702286172674295e-17 1.832049201974620048e-17
1.248455842996115052e+03 -1.769707490043658736e-18 9.879377563727532916e-18
1.249618536080284684e+03 -3.438062395194493951e-18 9.782737897294571344e-18
1.250781229164454317e+03 2.708227521142875976e-17 1.450052186013736125e-17
1.251943922248623949e+03 1.178120292703587495e-16 2.254532558509856930e-17
1.253106615332793581e+03 1.982105880046937943e-16 2.795042166496097174e-17
1.254269308416963213e+03 2.616042101409211085e-16 3.127687706801283626e-17
1.255432001501132845e+03 2.087787964285679668e-16 2.753048484039092514e-17
1.256594694585302477e+03 2.149889564318055280e-16 2.819253387053701735e-17
1.257757387669472109e+03 1.697539359459041332e-16 2.549338583906943344e-17
1.258920080753641741e+03 1.870063892371906738e-16 2.667324045029049725e-17
1.260082773837811374e+03 1.344871765468500920e-16 2.276595737051086323e-17
1.261245466921981006e+03 5.906665116159075877e-17 1.649471999453506285e-17
1.262408160006150638e+03 4.478918121092796818e-17 1.528140542339563016e-17
1.263570853090320270e+03 2.581190795953330265e-17 1.319002244267300550e-17
1.264733546174489902e+03 3.901937771375602322e-17 1.472669350606915038e-17
1.265896239258659534e+03 7.471592956700206616e-17 1.790208642875323628e-17
1.267058932342829166e+03 8.185314034852956072e-17 1.861261244516992380e-17
1.268221625426998799e+03 1.522831911344775315e-16 2.364789304491056383e-17
1.269384318511168431e+03 1.935563405741236749e-16 2.554001496755232525e-17
1.270547011595338063e+03 2.582729681570122339e-16 2.949474041796365525e-17
1.271709704679507695e+03 3.947641866092700985e-16 3.597773262476681039e-17
1.272872397763677327e+03 4.805939285319054677e-16 3.897557883751137397e-17
1.274035090847846959e+03 5.993935722791709235e-16 4.375584098412111693e-17
1.275197783932016591e+03 7.256437431431991298e-16 4.803870887141653858e-17
1.276360477016186223e+03 7.410326542965652845e-16 4.800883220670915463e-17
1.277523170100355856e+03 8.230090610761988631e-16 5.089710543213409271e-17
1.278685863184525488e+03 7.553465168688667773e-16 4.844395240695565096e-17
1.279848556268695120e+03 7.698935739091332820e-16 4.768612449178537148e-17
1.281011249352864752e+03 7.275284629611547648e-16 4.631854176376855149e-17
1.282173942437034384e+03 8.006211257793565866e-16 4.949074126266232065e-17
1.283336635521204016e+03 6.208469092837733493e-16 4.338861863166743460e-17
1.284499328605373648e+03 6.137578502900595505e-16 4.302855023236819533e-17
1.285662021689543280e+03 5.231572462750578786e-16 3.941757979073058409e-17
1.286824714773712913e+03 4.187867949954897197e-16 3.659314105262463041e-17
1.287987407857882545e+03 3.280225198382954886e-16 3.195692130002387540e-17
1.289150100942052177e+03 4.318122854836178759e-16 3.653349108157120080e-17
