# obs_wvl flux error
2.968000000000000000e+03 7.968398401837265885e-15 1.691308252547506963e-15
2.973493699308838131e+03 8.896457262687515695e-15 1.214295528654457946e-15
2.978987398617676263e+03 6.995468389626952755e-15 1.123685576988068253e-15
2.984481097926514394e+03 7.238260863289247096e-15 1.100977774373206427e-15
2.989974797235352526e+03 5.913269023735051401e-15 1.018924180793378549e-15
2.995468496544190657e+03 5.765422680996897751e-15 1.025134821511872312e-15
3.000962195853028788e+03 6.566895003496728896e-15 1.020332976491226972e-15
3.006455895161866920e+03 6.982288230986657945e-15 9.956704894327709229e-16
3.011949594470705051e+03 6.769081736534731673e-15 9.499199075829937666e-16
3.017443293779543183e+03 7.853634370353300608e-15 9.506588237102459113e-16
3.022936993088381314e+03 8.472369969901791608e-15 9.022989733832055894e-16
3.028430692397219445e+03 6.737222166415525553e-15 8.554825850708451103e-16
3.033924391706057577e+03 8.572263914235098644e-15 8.496672165593809601e-16
3.039418091014895708e+03 5.706876963913036357e-14 2.002720270445926781e-15
3.044911790323733840e+03 7.056872873067066057e-15 7.957299802592541256e-16
3.050405489632571971e+03 5.686912317952765064e-15 7.510976229664895942e-16
3.055899188941410102e+03 5.733924365438756447e-15 7.677354023533871113e-16
3.061392888250248234e+03 6.307815288541461734e-15 6.964963516772188090e-16
3.066886587559086365e+03 8.165013804009101393e-15 6.922285132603067838e-16
3.072380286867924497e+03 7.272175663942139656e-15 6.755801510303719507e-16
3.077873986176762628e+03 5.630365675883734060e-15 6.544940612283614169e-16
3.083367685485600759e+03 6.100310051127433607e-15 6.617402631948467628e-16
3.088861384794438891e+03 5.972138531003628600e-15 7.601493016480890553e-16
3.094355084103277022e+03 8.159931007201847126e-15 6.691397878122343031e-16
3.099848783412115154e+03 3.415360648041810167e-14 8.157414726809607962e-16
3.105342482720953285e+03 4.293788486566723688e-14 8.470559081261686478e-16
3.110836182029791416e+03 8.638826376858650031e-15 6.454595921718454151e-16
3.116329881338629548e+03 7.415398778218250340e-15 6.428876283221134762e-16
3.121823580647467679e+03 7.324878002462200134e-15 6.766365544532151794e-16
3.127317279956305811e+03 9.350704983603333756e-15 6.148461991119067194e-16
3.132810979265143942e+03 1.010279567673827077e-14 6.329499006266776886e-16
3.138304678573982073e+03 8.493235649797810146e-15 6.325237902842553570e-16
3.143798377882820205e+03 1.095898922063771709e-14 6.557278927532358802e-16
3.149292077191658336e+03 1.000392626585805891e-14 6.342355752316240920e-16
3.154785776500496468e+03 1.071209267568646715e-14 6.266235870959322890e-16
3.160279475809334599e+03 1.172960205329876540e-14 7.360226947537467981e-16
3.165773175118172730e+03 9.506207789450640331e-15 6.177547438304884284e-16
3.171266874427010862e+03 1.261887568535069486e-14 6.003640662660699001e-16
3.176760573735848993e+03 1.068136421823073064e-14 6.064921237330848821e-16
3.182254273044687125e+03 1.133623008433495712e-14 5.861517161969334804e-16
3.187747972353525256e+03 1.110831558340542874e-14 5.681485305836362172e-16
3.193241671662363387e+03 1.091722316993496212e-14 5.651482212207591427e-16
3.198735370971201519e+03 9.738760469073680497e-15 5.471381350737783076e-16
3.204229070280039650e+03 9.475789824688105823e-15 5.680264575421058741e-16
3.209722769588877782e+03 1.000306668433597245e-14 5.521746449546848803e-16
3.215216468897715913e+03 8.952586894228383161e-15 5.645959655051597820e-16
3.220710168206554044e+03 9.727716052272822801e-15 7.831000478125408096e-16
3.226203867515392176e+03 8.399779586816494492e-15 5.308429670168213365e-16
3.231697566824230307e+03 7.843175299402848699e-15 5.262326129523377701e-16
3.237191266133068439e+03 7.870977565749599693e-15 4.941215440922510988e-16
3.242684965441906570e+03 7.267056300171143444e-15 4.715751610482855514e-16
3.248178664750744701e+03 5.388371971540909687e-15 4.706461834856870878e-16
3.253672364059582833e+03 7.054862329190343927e-15 4.719829035712247913e-16
3.259166063368420964e+03 6.818019468314208582e-15 4.684856080000430995e-16
3.264659762677259096e+03 6.387862540553519208e-15 4.607017400804920674e-16
3.270153461986097227e+03 6.366842975067006822e-15 4.609720232425136556e-16
3.275647161294935358e+03 5.592237867423525772e-15 4.528582203604054535e-16
3.281140860603773490e+03 5.397303736762706221e-15 4.476748258117495605e-16
3.286634559912611621e+03 6.348975990626925124e-15 4.427499577883408919e-16
3.292128259221449753e+03 7.039851159565115958e-15 4.387123506814782542e-16
3.297621958530287884e+03 6.271268405218236922e-15 4.437753587811203481e-16
3.303115657839126015e+03 6.358959695898044331e-15 4.292035969934965182e-16
3.308609357147964147e+03 6.146508657857422233e-15 4.289449396376520002e-16
3.314103056456802278e+03 5.747756149005622728e-15 4.231979946517532315e-16
3.319596755765640410e+03 6.191445975456925584e-15 4.326713321601688733e-16
3.325090455074478541e+03 6.891807272450802257e-15 4.341059974032538998e-16
3.330584154383316672e+03 6.657021840312911057e-15 4.588587159563492495e-16
3.336077853692154804e+03 6.541236699299454016e-15 4.372971306308016776e-16
3.341571553000992935e+03 7.188017165595389727e-15 4.329405181934104079e-16
3.347065252309831067e+03 7.405615397390674394e-15 5.423056970131050073e-16
3.352558951618669198e+03 6.877185004213075892e-15 4.271656217809367647e-16
3.358052650927507329e+03 7.063532832468168381e-15 4.274837096342245441e-16
3.363546350236345461e+03 7.326595903884915451e-15 4.120527045933331474e-16
3.369040049545183592e+03 7.854071354400135176e-15 4.218264603332872634e-16
3.374533748854021724e+03 6.388642762127044223e-15 4.114790674883685940e-16
3.380027448162859855e+03 7.455990959769967880e-15 4.310802250339012526e-16
3.385521147471697986e+03 8.731678429091577962e-15 4.371845081922557299e-16
3.391014846780536118e+03 7.989559167238677356e-15 4.444993864828906097e-16
3.396508546089374249e+03 6.900971356498495277e-15 4.078325871901953308e-16
3.402002245398212381e+03 8.137884125261485757e-15 4.129766285631689669e-16
3.407495944707050512e+03 9.174713093633433946e-15 3.973813033831272911e-16
3.412989644015888643e+03 7.549150930147486856e-15 4.016677367784747235e-16
3.418483343324726775e+03 8.397761981554014812e-15 4.623643456457128148e-16
3.423977042633564906e+03 8.355765840947479190e-15 4.098577713802139416e-16
3.429470741942403038e+03 8.743142680558052652e-15 4.140721919169593056e-16
3.434964441251241169e+03 8.917200408187258135e-15 4.418977351804717084e-16
3.440458140560079300e+03 8.823901091777351216e-15 3.905679926067025297e-16
3.445951839868917432e+03 8.913546981724324121e-15 3.957917775534542933e-16
3.451445539177755563e+03 9.666722495811667435e-15 4.112916687255156990e-16
3.456939238486593695e+03 8.940337845361603619e-15 4.014886392115254792e-16
3.462432937795431826e+03 9.267353755206836489e-15 3.856314309399357613e-16
3.467926637104269957e+03 9.638511565680155300e-15 3.970409921954165718e-16
3.473420336413108089e+03 9.982887950849045832e-15 3.781143928421165429e-16
3.478914035721946220e+03 9.347664839333592433e-15 3.898376327595269768e-16
3.484407735030784352e+03 1.002585693364754505e-14 3.947084912496001302e-16
3.489901434339622483e+03 1.020555036381026866e-14 4.096619543531657874e-16
3.495395133648460614e+03 1.378702056743882624e-14 5.051027482182486460e-16
3.500888832957298746e+03 1.199662918297590716e-14 3.901909166553080246e-16
3.506382532266136877e+03 1.190963390791576905e-14 3.949734813303574650e-16
3.511876231574975009e+03 1.303936152680095471e-14 3.908263196519681314e-16
3.517369930883813140e+03 1.196299717107355948e-14 4.047693090778521643e-16
3.522863630192651271e+03 1.216977526391691960e-14 3.997393273155934944e-16
3.528357329501489403e+03 1.274684169300384503e-14 4.144864491728238292e-16
3.533851028810327534e+03 1.381282283660707589e-14 4.180782455667521395e-16
3.539344728119165666e+03 1.353230150718205863e-14 4.015173926218148564e-16
3.544838427428003797e+03 1.406268757710097028e-14 3.951716368685723328e-16
3.550332126736841929e+03 1.446466421221834025e-14 4.229758302676484588e-16
3.555825826045680060e+03 1.445500439240927981e-14 4.054040569854926899e-16
3.561319525354518191e+03 1.484431396762223211e-14 4.422154096188785216e-16
3.566813224663356323e+03 1.529150046542726679e-14 4.234567370342432862e-16
3.572306923972194454e+03 1.530663518661885524e-14 4.198815808183299311e-16
3.577800623281032586e+03 1.555439873748175474e-14 4.159323356322137480e-16
3.583294322589870717e+03 1.477378640198993916e-14 4.183010523153006149e-16
3.588788021898708848e+03 1.582760015317031072e-14 4.360841415849843323e-16
3.594281721207546980e+03 1.637684371565214797e-14 4.315540674149650728e-16
3.599775420516385111e+03 1.590914180952974431e-14 4.215118280119546903e-16
3.605269119825223243e+03 1.639179543583754257e-14 4.376119352256493942e-16
3.610762819134061374e+03 1.509337211461152207e-14 4.547153314914743400e-16
3.616256518442899505e+03 1.607443203430914638e-14 4.235822412193319110e-16
3.621750217751737637e+03 1.550259572029481930e-14 4.044307718063831090e-16
3.627243917060575768e+03 1.550773125282678348e-14 4.294852761372871752e-16
3.632737616369413900e+03 1.639533402930073849e-14 4.101656253152676355e-16
3.638231315678252031e+03 1.643442197528952671e-14 4.465954371503495645e-16
3.643725014987090162e+03 1.603338038950473828e-14 4.080404797381399717e-16
3.649218714295928294e+03 1.725231681975867961e-14 4.136570070733758844e-16
3.654712413604766425e+03 1.608457187944174821e-14 4.379599119801570195e-16
3.660206112913604557e+03 1.603097823797480113e-14 4.415088743728985782e-16
3.665699812222442688e+03 1.672049605687447250e-14 4.395029818351169163e-16
3.671193511531280819e+03 1.748902627981139440e-14 4.221526119649951647e-16
3.676687210840118951e+03 1.673482030607699154e-14 4.287160363101463709e-16
3.682180910148957082e+03 1.562734805763803662e-14 4.207528721649528358e-16
3.687674609457795214e+03 1.466525668945473875e-14 4.083453522605111650e-16
3.693168308766633345e+03 1.560901103237931395e-14 4.051362440776380416e-16
3.698662008075471476e+03 2.066828628103632136e-14 4.848316500433865907e-16
3.704155707384309608e+03 1.268700853772604347e-14 4.059256837912882494e-16
3.709649406693147739e+03 1.271915037911495638e-14 3.915711623240471471e-16
3.715143106001985871e+03 1.093697308666253870e-14 3.761030880297844136e-16
3.720636805310824002e+03 1.088951660895467579e-14 3.681690746369043784e-16
3.726130504619662133e+03 1.124327953856034860e-14 3.599476701229682660e-16
