# AT2020UXZ oeax01020 G430L CCD z=0.008246 a2center=888.4 extrsize=17 exptime=100.0 mode=adaptive_clamphi flags=none
# rest_wvl obs_wvl flux error net dq mask
2862.3097 2885.9123 8.737689e-14 7.288561e-14 3.833990e-01 512 0
2865.0320 2888.6571 -7.751568e-14 5.413268e-14 -5.413610e-01 16896 0
2867.7544 2891.4019 -1.514242e-13 4.310872e-14 -1.318002e+00 16896 0
2870.4767 2894.1467 9.459490e-14 3.753630e-14 7.588627e-01 512 0
2873.1991 2896.8915 2.857576e-15 3.123217e-14 -4.958215e-02 512 0
2875.9215 2899.6363 -2.475023e-14 2.714149e-14 -3.441038e-01 512 0
2878.6439 2902.3812 -4.394048e-14 2.403632e-14 -6.864089e-01 16912 0
2881.3664 2905.1261 -1.272164e-14 2.194395e-14 -2.682257e-01 512 0
2884.0888 2907.8710 1.327490e-15 2.121223e-14 -6.832916e-02 528 0
2886.8113 2910.6160 6.713564e-15 1.812142e-14 3.068265e-02 528 0
2889.5338 2913.3609 -2.359366e-14 1.570876e-14 -5.686517e-01 16912 0
2892.2563 2916.1059 -9.377193e-15 1.425178e-14 -2.511749e-01 16912 0
2894.9789 2918.8509 -1.280323e-14 1.299162e-14 -3.842342e-01 16912 0
2897.7015 2921.5959 4.211072e-15 1.161140e-14 8.509941e-02 528 0
2900.4241 2924.3410 -7.285352e-16 1.013448e-14 -4.385467e-02 528 0
2903.1467 2927.0860 1.273920e-14 9.089433e-15 4.051086e-01 512 0
2905.8693 2929.8311 -9.256236e-16 8.964969e-15 -5.725321e-02 528 0
2908.5920 2932.5762 1.265537e-14 7.374559e-15 5.317623e-01 528 0
2911.3147 2935.3214 1.057263e-14 7.941284e-15 5.036166e-01 528 0
2914.0374 2938.0665 4.451940e-15 5.383495e-15 2.219446e-01 512 0
2916.7601 2940.8117 2.502096e-15 4.733593e-15 1.300426e-01 512 0
2919.4829 2943.5569 5.108628e-15 4.298926e-15 3.387271e-01 512 0
2922.2056 2946.3021 1.021469e-14 3.880339e-15 8.160803e-01 528 0
2924.9284 2949.0474 9.951583e-15 3.508108e-15 8.886563e-01 528 0
2927.6512 2951.7927 5.802365e-15 3.147094e-15 5.490713e-01 528 0
2930.3741 2954.5379 1.111810e-14 2.912038e-15 1.234434e+00 512 0
2933.0969 2957.2832 6.234538e-15 2.733458e-15 7.236891e-01 528 0
2935.8198 2960.0286 5.278008e-15 2.505298e-15 6.574029e-01 512 0
2938.5427 2962.7739 7.083274e-15 2.273006e-15 9.782479e-01 512 0
2941.2656 2965.5193 6.433173e-15 2.281170e-15 9.397803e-01 528 0
2943.9886 2968.2647 6.763056e-15 2.046421e-15 1.052842e+00 0 0
2946.7115 2971.0101 1.273153e-14 2.177421e-15 2.183503e+00 16 0
2949.4345 2973.7555 6.582000e-15 1.903938e-15 1.120285e+00 16 0
2952.1575 2976.5010 8.968536e-15 1.904965e-15 1.618986e+00 16 0
2954.8805 2979.2465 6.157971e-15 1.770392e-15 1.113751e+00 0 0
2957.6036 2981.9920 6.167680e-15 1.965636e-15 1.142140e+00 16 0
2960.3266 2984.7375 7.446339e-15 1.734182e-15 1.433108e+00 16 0
2963.0497 2987.4830 8.288851e-15 1.707624e-15 1.636840e+00 0 0
2965.7728 2990.2286 5.102488e-15 1.633545e-15 9.842051e-01 0 0
2968.4959 2992.9741 4.448477e-15 1.667947e-15 8.591373e-01 16 0
2971.2191 2995.7197 6.655439e-15 1.664969e-15 1.347421e+00 0 0
2973.9422 2998.4654 5.495369e-15 1.659236e-15 1.108147e+00 16 0
2976.6654 3001.2110 5.383011e-15 1.624269e-15 1.096449e+00 16 0
2979.3886 3003.9566 1.100106e-14 1.838903e-15 2.401244e+00 16 0
2982.1118 3006.7023 5.026459e-15 1.549235e-15 1.044531e+00 16 0
2984.8351 3009.4480 5.969408e-15 1.522315e-15 1.276971e+00 0 0
2987.5583 3012.1937 6.654683e-15 1.513056e-15 1.458310e+00 0 0
2990.2816 3014.9395 8.192387e-15 1.749300e-15 1.855186e+00 16 0
2993.0049 3017.6852 8.227882e-15 1.474182e-15 1.896311e+00 0 0
2995.7282 3020.4310 6.462313e-15 1.504649e-15 1.488419e+00 16 0
2998.4516 3023.1768 1.000132e-14 1.456334e-15 2.428231e+00 0 0
3001.1749 3025.9226 7.630820e-15 1.444811e-15 1.852080e+00 16 0
3003.8983 3028.6685 5.670654e-15 1.367213e-15 1.371763e+00 16 0
3006.6217 3031.4143 8.047277e-15 1.411471e-15 2.043405e+00 16 0
3009.3451 3034.1602 8.697439e-15 1.369824e-15 2.267686e+00 16 0
3012.0686 3036.9061 9.012794e-15 1.383219e-15 2.404452e+00 16 0
3014.7920 3039.6520 1.054684e-13 3.887553e-15 3.214540e+01 16 0
3017.5155 3042.3979 8.263085e-15 1.286729e-15 2.277938e+00 0 0
3020.2390 3045.1439 7.187159e-15 1.310635e-15 1.997672e+00 16 0
3022.9625 3047.8899 5.046895e-15 1.203225e-15 1.388526e+00 0 0
3025.6860 3050.6359 5.896691e-15 1.233638e-15 1.671848e+00 16 0
3028.4096 3053.3819 6.081043e-15 1.181399e-15 1.757417e+00 0 0
3031.1332 3056.1279 6.191569e-15 1.289373e-15 1.820896e+00 16 0
3033.8568 3058.8739 4.150701e-15 1.127964e-15 1.199781e+00 16 0
3036.5804 3061.6200 6.149255e-15 1.130131e-15 1.863971e+00 0 0
3039.3040 3064.3661 9.699173e-15 1.153231e-15 3.085461e+00 16 0
3042.0276 3067.1122 7.902565e-15 1.120015e-15 2.513265e+00 16 0
3044.7513 3069.8583 6.655639e-15 1.101678e-15 2.120074e+00 16 0
3047.4750 3072.6045 7.045118e-15 1.097156e-15 2.283175e+00 16 0
3050.1987 3075.3506 8.671563e-15 1.099529e-15 2.890066e+00 16 0
3052.9224 3078.0968 3.451512e-15 1.048391e-15 1.081304e+00 16 0
3055.6461 3080.8430 6.610476e-15 1.084332e-15 2.209839e+00 16 0
3058.3699 3083.5892 6.261993e-15 1.076728e-15 2.105065e+00 0 0
3061.0937 3086.3354 5.008612e-15 1.056016e-15 1.669989e+00 16 0
3063.8175 3089.0817 7.466216e-15 1.033415e-15 2.586837e+00 256 0
3066.5413 3091.8280 7.103705e-15 1.092664e-15 2.470454e+00 16 0
3069.2651 3094.5742 8.184864e-15 1.094880e-15 2.893244e+00 16 0
3071.9889 3097.3206 9.557857e-15 1.040422e-15 3.433629e+00 16 0
3074.7128 3100.0669 8.495755e-15 1.189801e-15 3.043172e+00 16 0
3077.4367 3102.8132 1.290108e-13 2.233804e-15 5.172343e+01 8208 0
3080.1606 3105.5596 7.683187e-15 1.006972e-15 2.757658e+00 0 0
3082.8845 3108.3059 8.267308e-15 1.015608e-15 2.995070e+00 0 0
3085.6084 3111.0523 8.290040e-15 1.056684e-15 3.016549e+00 0 0
3088.3324 3113.7988 9.976687e-15 1.073780e-15 3.690921e+00 16 0
3091.0563 3116.5452 7.146144e-15 1.040841e-15 2.595745e+00 0 0
3093.7803 3119.2916 4.540361e-15 1.018273e-15 1.599795e+00 0 0
3096.5043 3122.0381 7.850146e-15 1.141200e-15 2.898034e+00 16 0
3099.2283 3124.7846 9.895443e-15 1.013127e-15 3.729272e+00 0 0
3101.9524 3127.5311 8.437636e-15 9.942340e-16 3.163446e+00 0 0
3104.6764 3130.2776 1.076736e-14 1.007886e-15 4.124313e+00 0 0
3107.4005 3133.0241 9.688577e-15 1.037358e-15 3.707523e+00 16 0
3110.1246 3135.7707 1.017448e-14 1.025433e-15 3.928833e+00 0 0
3112.8487 3138.5172 7.053663e-15 1.024368e-15 2.673442e+00 16 0
3115.5728 3141.2638 9.601960e-15 1.059714e-15 3.739717e+00 16 0
3118.2969 3144.0104 1.235605e-14 1.073219e-15 4.917671e+00 16 0
3121.0211 3146.7570 9.507867e-15 1.041990e-15 3.748230e+00 16 0
3123.7453 3149.5037 9.513821e-15 1.027031e-15 3.775538e+00 16 0
3126.4695 3152.2503 1.183920e-14 1.038088e-15 4.794780e+00 16 0
3129.1937 3154.9970 1.025362e-14 1.009906e-15 4.145532e+00 0 0
3131.9179 3157.7437 1.025878e-14 1.035997e-15 4.178122e+00 16 0
3134.6421 3160.4904 1.242671e-14 1.271364e-15 5.156333e+00 16 0
3137.3664 3163.2371 1.208710e-14 1.039665e-15 5.045475e+00 0 0
3140.0906 3165.9838 7.326417e-15 9.959088e-16 2.984962e+00 16 0
3142.8149 3168.7306 1.113918e-14 9.888290e-16 4.698298e+00 16 0
3145.5392 3171.4773 1.400371e-14 9.675162e-16 6.028006e+00 0 0
3148.2635 3174.2241 1.136343e-14 1.003705e-15 4.871559e+00 16 0
3150.9879 3176.9709 9.651038e-15 9.808764e-16 4.127551e+00 16 0
3153.7122 3179.7177 1.218583e-14 9.860462e-16 5.323522e+00 16 0
3156.4366 3182.4646 1.150658e-14 9.395779e-16 5.047167e+00 0 0
