# obs_wvl flux error
5.290000000000000000e+03 5.549127285751855441e-15 2.440696153104322084e-16
5.299758417391145485e+03 4.989973388187989151e-15 1.562817305065095977e-16
5.309516834782290971e+03 4.714452557067132153e-15 1.499477081354510703e-16
5.319275252173436456e+03 4.689612977335820641e-15 1.457741205638614780e-16
5.329033669564581942e+03 4.659566313873911288e-15 1.606167522395246399e-16
5.338792086955727427e+03 4.192729179727545531e-15 1.431658758649942611e-16
5.348550504346872913e+03 4.421952660675616286e-15 1.535342361840188885e-16
5.358308921738018398e+03 5.154759475889648402e-15 1.725736033462645423e-16
5.368067339129163884e+03 5.284633172438434008e-15 1.672992568137777255e-16
5.377825756520309369e+03 4.839869160388780282e-15 1.622994704429782260e-16
5.387584173911454855e+03 5.304685419742478583e-15 1.625103655441533044e-16
5.397342591302600340e+03 5.642406285106448883e-15 1.598535004201756531e-16
5.407101008693745825e+03 8.048254931810567986e-15 1.707864204313739320e-16
5.416859426084891311e+03 9.803085386925406488e-15 1.921045258946111405e-16
5.426617843476036796e+03 5.675971407331903162e-15 1.475587041673575729e-16
5.436376260867182282e+03 5.301460563032464015e-15 1.398149025420227464e-16
5.446134678258327767e+03 5.813686032728986139e-15 1.371798256853114724e-16
5.455893095649473253e+03 5.162454912744534657e-15 1.377436619437462965e-16
5.465651513040618738e+03 4.782436851150664307e-15 1.270633964111214061e-16
5.475409930431764224e+03 4.674983463471669025e-15 1.267741570242961694e-16
5.485168347822909709e+03 4.814419093619747438e-15 1.192006701816497897e-16
5.494926765214055195e+03 4.486432717598616800e-15 1.145341775813113907e-16
5.504685182605200680e+03 4.435346835826452846e-15 1.137444607941820294e-16
5.514443599996346165e+03 9.661148437435271103e-15 1.671147035126154182e-16
5.524202017387491651e+03 4.761562087188833054e-15 1.148925321285803901e-16
5.533960434778637136e+03 5.018428579608549113e-15 1.237966097477125490e-16
5.543718852169782622e+03 5.081557896234938147e-15 1.208375663969468910e-16
5.553477269560928107e+03 5.252893931726587880e-15 1.187325987409820962e-16
5.563235686952073593e+03 5.256696269980980845e-15 1.262644832976344054e-16
5.572994104343219078e+03 5.649091726389533659e-15 1.269838534240810480e-16
5.582752521734364564e+03 5.743813759393604060e-15 1.267183066714758589e-16
5.592510939125510049e+03 6.408816819072240074e-15 1.217880718621066404e-16
5.602269356516655535e+03 6.226690994175381640e-15 1.442660001405955293e-16
5.612027773907801020e+03 6.263086295634537280e-15 1.241591766070687729e-16
5.621786191298946505e+03 9.095316458143685151e-15 1.500788252473987900e-16
5.631544608690091991e+03 1.079035496394681921e-14 1.442827704205021515e-16
5.641303026081237476e+03 6.504550264587378719e-15 1.263961021639890406e-16
5.651061443472382962e+03 6.064416419339612879e-15 1.245710419278447128e-16
5.660819860863528447e+03 6.348979212949258474e-15 1.227203971012106498e-16
5.670578278254673933e+03 6.504660739617007378e-15 1.131826225585178432e-16
