# AT2020YVU oeax02020 G430L CCD z=0.01 a2center=81.4 extrsize=9 exptime=100.0 mode=fixed flags=finder_fail,extended_host
# rest_wvl obs_wvl flux error net dq mask
2868.4700 2897.1547 3.112219e-13 2.396865e-14 7.151484e-01 512 0
2871.1836 2899.8954 9.128966e-14 1.986239e-14 -6.848408e-02 512 0
2873.8972 2902.6362 -2.265421e-14 1.764058e-14 -3.533859e-01 16912 0
2876.6108 2905.3769 2.023650e-13 1.666632e-14 5.674312e-01 528 0
2879.3244 2908.1177 2.090765e-13 1.506938e-14 8.396496e-01 512 0
2882.0381 2910.8585 -3.302645e-14 1.269455e-14 -7.093318e-01 16912 0
2884.7518 2913.5993 7.628566e-14 1.169727e-14 3.352645e-02 528 0
2887.4656 2916.3402 -3.069749e-13 1.532271e-14 -8.191916e+00 16912 0
2890.1793 2919.0811 1.067176e-13 1.063186e-14 4.658876e-01 528 0
2892.8931 2921.8220 -1.543947e-14 8.206288e-15 -5.150789e-01 16896 0
2895.6069 2924.5630 6.500471e-14 7.524160e-15 1.980592e-01 528 0
2898.3207 2927.3040 2.201850e-14 6.759293e-15 -7.589937e-02 528 0
2901.0346 2930.0450 5.882434e-14 6.212450e-15 3.029488e-01 512 0
2903.7485 2932.7860 -3.178699e-14 6.318689e-15 -1.735657e+00 16912 0
2906.4624 2935.5271 -3.070008e-15 5.675632e-15 -1.913862e-01 16912 0
2909.1764 2938.2681 3.162017e-14 4.056279e-15 1.478716e-01 512 0
2911.8903 2941.0093 -1.035198e-14 3.382630e-15 -8.284099e-01 16912 0
2914.6043 2943.7504 -3.286207e-15 2.992994e-15 -2.950481e-01 16896 0
2917.3184 2946.4916 4.166466e-14 2.866368e-15 8.185251e-01 512 0
2920.0324 2949.2328 -6.381541e-15 2.570901e-15 -7.082939e-01 16912 0
2922.7465 2951.9740 -3.807462e-15 2.197200e-15 -4.659485e-01 16896 0
2925.4606 2954.7152 2.465930e-14 2.108055e-15 4.615002e-01 512 0
2928.1748 2957.4565 2.153307e-14 2.068628e-15 4.046874e-01 528 0
2930.8889 2960.1978 -1.777602e-14 1.874274e-15 -2.812129e+00 16912 0
2933.6031 2962.9391 -7.110684e-15 1.606012e-15 -1.205701e+00 16912 0
2936.3173 2965.6805 1.418743e-14 1.550493e-15 2.245053e-01 512 0
2939.0316 2968.4219 1.325216e-14 1.459082e-15 2.145571e-01 512 0
2941.7458 2971.1633 -3.442073e-15 1.366185e-15 -6.816752e-01 16896 0
2944.4601 2973.9047 -2.682647e-15 1.335765e-15 -5.528503e-01 16912 0
2947.1744 2976.6462 1.465693e-14 1.320894e-15 3.931268e-01 512 0
2949.8888 2979.3877 6.163152e-15 1.265835e-15 -1.974809e-02 0 0
2952.6031 2982.1292 -4.577793e-15 1.248370e-15 -1.023769e+00 16384 0
2955.3175 2984.8707 -1.132026e-15 1.279096e-15 -2.585398e-01 16400 0
2958.0320 2987.6123 1.354461e-14 1.205632e-15 4.021062e-01 0 0
2960.7464 2990.3539 -2.221748e-15 1.145581e-15 -5.233250e-01 16384 0
2963.4609 2993.0955 9.422422e-15 1.165267e-15 1.490742e-01 0 0
2966.1754 2995.8371 2.016764e-14 1.247029e-15 1.176557e+00 0 0
2968.8899 2998.5788 1.200084e-14 1.146955e-15 3.323368e-01 0 0
2971.6044 3001.3205 9.595087e-15 1.137576e-15 1.773047e-01 0 0
2974.3190 3004.0622 6.185393e-15 1.110325e-15 1.052700e-02 0 0
2977.0336 3006.8040 1.560568e-14 1.150894e-15 7.160301e-01 16 0
2979.7482 3009.5457 -2.907620e-15 1.081823e-15 -7.442193e-01 16400 0
2982.4629 3012.2875 1.051542e-14 1.098462e-15 2.736529e-01 0 0
2985.1776 3015.0293 1.947476e-14 1.140349e-15 1.329302e+00 0 0
2987.8923 3017.7712 1.362757e-14 1.060479e-15 5.924041e-01 0 0
2990.6070 3020.5131 -9.102747e-16 9.947317e-16 -2.480372e-01 16384 0
2993.3218 3023.2550 1.418701e-14 1.049801e-15 7.140781e-01 0 0
2996.0365 3025.9969 4.828976e-15 1.012150e-15 -1.862971e-02 16 0
2998.7513 3028.7388 -2.224515e-15 9.287792e-16 -6.406351e-01 16384 0
3001.4662 3031.4808 -2.779651e-15 9.134438e-16 -8.160634e-01 16400 0
3004.1810 3034.2228 2.076963e-15 9.094946e-16 -1.161606e-01 0 0
3006.8959 3036.9648 1.018235e-14 9.261564e-16 3.906378e-01 0 0
3009.6108 3039.7069 -3.809536e-15 9.228209e-16 -1.183368e+00 16400 0
3012.3257 3042.4490 -3.885964e-15 8.752345e-16 -1.228917e+00 16400 0
3015.0407 3045.1911 7.843349e-15 8.784965e-16 2.172077e-01 16 0
3017.7556 3047.9332 1.025775e-14 8.810427e-16 4.791310e-01 0 0
3020.4706 3050.6753 -1.961368e-15 8.067112e-16 -6.520056e-01 16384 0
3023.1856 3053.4175 -1.667159e-15 8.024985e-16 -5.627966e-01 16384 0
3025.9007 3056.1597 3.252744e-15 7.982941e-16 -5.599160e-02 0 0
3028.6158 3058.9019 1.195281e-14 8.330392e-16 8.166798e-01 0 0
3031.3309 3061.6442 1.730934e-15 7.886015e-16 -1.185181e-01 0 0
3034.0460 3064.3864 -8.824911e-15 9.078962e-16 -3.154224e+00 16400 0
3036.7611 3067.1287 6.533042e-15 7.735372e-16 1.771295e-01 16 0
3039.4763 3069.8710 -9.683725e-16 7.391010e-16 -3.553644e-01 16384 0
3042.1915 3072.6134 6.654027e-15 7.681342e-16 2.036319e-01 16 0
3044.9067 3075.3558 6.335923e-15 7.413137e-16 1.810377e-01 0 0
3047.6219 3078.0981 6.752483e-15 7.445372e-16 2.283599e-01 0 0
3050.3372 3080.8406 -1.341386e-15 7.171265e-16 -5.150000e-01 16400 0
3053.0525 3083.5830 7.058389e-15 7.278272e-16 2.754090e-01 0 0
3055.7678 3086.3255 8.432829e-15 7.305100e-16 4.578228e-01 0 0
3058.4831 3089.0679 2.096742e-15 7.049538e-16 -9.465528e-02 0 0
3061.1985 3091.8105 -2.843342e-15 6.756583e-16 -1.126626e+00 16384 0
3063.9139 3094.5530 1.177121e-14 7.576377e-16 1.089139e+00 0 0
3066.6293 3097.2955 8.321469e-15 7.086643e-16 4.722592e-01 0 0
3069.3447 3100.0381 -1.318100e-15 6.871317e-16 -5.304723e-01 16400 0
3072.0601 3102.7807 -1.798797e-15 6.594578e-16 -7.270639e-01 16384 0
3074.7756 3105.5234 -8.783021e-16 6.858943e-16 -3.564405e-01 16400 0
3077.4911 3108.2660 5.485746e-15 6.873567e-16 1.455557e-01 0 0
3080.2066 3111.0087 8.358469e-15 7.016745e-16 5.044540e-01 16 0
3082.9222 3113.7514 6.231059e-15 6.782084e-16 2.265771e-01 0 0
3085.6377 3116.4941 7.884399e-15 6.817183e-16 4.428304e-01 0 0
3088.3533 3119.2368 7.170766e-15 6.782050e-16 3.475310e-01 0 0
3091.0689 3121.9796 -5.184629e-15 6.675775e-16 -2.156873e+00 16400 0
3093.7845 3124.7224 6.387424e-15 6.865377e-16 2.573228e-01 16 0
3096.5002 3127.4652 1.352901e-14 7.345624e-16 1.668167e+00 16 0
3099.2159 3130.2080 -2.575774e-15 6.278866e-16 -1.087751e+00 16384 0
3101.9316 3132.9509 -1.057456e-15 6.425810e-16 -4.489594e-01 16400 0
3104.6473 3135.6938 5.757298e-15 6.611292e-16 2.000430e-01 0 0
3107.3630 3138.4367 7.095580e-15 6.615855e-16 3.728788e-01 0 0
3110.0788 3141.1796 8.676206e-15 7.433060e-16 6.373707e-01 16 0
3112.7946 3143.9225 1.883143e-15 6.490541e-16 -9.765121e-02 16 0
3115.5104 3146.6655 5.405661e-15 6.371585e-16 1.758925e-01 0 0
3118.2262 3149.4085 -1.924141e-16 6.233308e-16 -1.895830e-01 0 0
3120.9421 3152.1515 -1.393185e-15 6.272438e-16 -6.166272e-01 16400 0
