# obs_wvl flux error
6.297000000000000000e+03 1.387325829912901438e-15 2.967935949241084061e-17
6.298112440468523346e+03 1.375961007556598595e-15 1.896527289300668873e-17
6.299224880937046692e+03 1.402236266735391208e-15 1.805008547238167090e-17
6.300337321405570037e+03 1.450740419692797157e-15 2.073609618167572707e-17
6.301449761874093383e+03 1.467634939082744532e-15 2.047383091427956209e-17
6.302562202342616729e+03 1.480521333004753441e-15 2.041397269092534374e-17
6.303674642811140075e+03 1.523770654291616898e-15 1.945049841498777111e-17
6.304787083279663420e+03 1.521501495901449796e-15 2.059824331195407209e-17
6.305899523748186766e+03 1.488453419841768833e-15 2.240265148645110134e-17
6.307011964216710112e+03 1.484630248061901463e-15 2.099209245132790691e-17
6.308124404685233458e+03 1.502429942934007654e-15 2.185643859645643642e-17
6.309236845153756803e+03 1.430570763207738939e-15 1.847997591919857952e-17
6.310349285622280149e+03 1.448788731798933054e-15 2.321737798758838854e-17
6.311461726090803495e+03 1.419523223600347220e-15 1.861217620402921229e-17
6.312574166559326841e+03 1.391558991091269214e-15 4.036690230124299441e-17
6.313686607027850187e+03 1.434691275303285084e-15 2.223834267162494351e-17
6.314799047496373532e+03 1.416130758515071759e-15 1.911990757307616505e-17
6.315911487964896878e+03 1.401608964980491963e-15 1.782698626539150378e-17
6.317023928433420224e+03 1.411984334001918912e-15 1.799361576521536033e-17
6.318136368901943570e+03 1.357757554201290408e-15 1.988296844105980027e-17
6.319248809370466915e+03 1.427600065614707193e-15 1.873799580297760898e-17
6.320361249838990261e+03 1.421752768330367979e-15 1.862320549263217861e-17
6.321473690307513607e+03 1.438131094165301110e-15 1.884150814066450144e-17
6.322586130776036953e+03 1.449372219481212643e-15 1.882658396565448738e-17
6.323698571244560299e+03 1.509781635091421241e-15 1.828243835653832696e-17
6.324811011713083644e+03 1.486383038222931412e-15 1.966920788527669120e-17
6.325923452181606990e+03 1.478582440648312330e-15 1.894827477005326246e-17
6.327035892650130336e+03 1.505258143578910730e-15 2.793962458604189091e-17
6.328148333118653682e+03 1.555694455659067085e-15 2.558143499080416056e-17
6.329260773587177027e+03 1.440318479006022224e-15 2.053261719818760583e-17
6.330373214055700373e+03 1.546089788629263145e-15 2.506674874857606884e-17
6.331485654524223719e+03 1.416343802030347875e-15 2.004772442039467442e-17
6.332598094992747065e+03 1.387596691531130019e-15 1.882125835054035099e-17
6.333710535461270410e+03 1.349191420884822758e-15 1.831184833550081693e-17
6.334822975929793756e+03 1.344296679930211427e-15 1.847934155583491285e-17
6.335935416398317102e+03 1.338457061192534833e-15 2.001585542867492641e-17
6.337047856866840448e+03 1.359289794422197926e-15 1.977243968975984635e-17
6.338160297335363794e+03 1.410066224340099259e-15 1.873328948807217047e-17
6.339272737803887139e+03 1.472367945462879594e-15 1.821314217934383989e-17
6.340385178272410485e+03 1.461382579524639541e-15 1.806274226302029867e-17
6.341497618740933831e+03 1.446504427178663750e-15 1.925550671890954025e-17
6.342610059209457177e+03 1.499350936459362922e-15 2.239726837961841242e-17
6.343722499677980522e+03 1.480304115232177209e-15 1.828877809688961821e-17
6.344834940146503868e+03 1.497629527508510752e-15 2.196215992574911711e-17
6.345947380615027214e+03 1.658553240151430636e-15 2.431376840490286869e-17
6.347059821083550560e+03 1.577322722098054329e-15 1.865750254361893038e-17
6.348172261552073905e+03 1.493726224337688562e-15 1.838814151390272029e-17
6.349284702020597251e+03 1.489907818184859440e-15 1.797120110404925872e-17
6.350397142489120597e+03 1.443343410039289491e-15 1.906370868729999757e-17
6.351509582957643943e+03 1.356169833382673168e-15 3.942022160481836772e-17
6.352622023426167289e+03 1.455171386026019990e-15 1.834171494387457307e-17
6.353734463894690634e+03 1.424265315818757968e-15 1.839794051147978356e-17
6.354846904363213980e+03 1.428356306761909666e-15 1.783249554076674418e-17
6.355959344831737326e+03 1.422417959019129680e-15 1.783264987164779980e-17
6.357071785300260672e+03 1.429106797307724669e-15 1.877053918445001918e-17
6.358184225768784017e+03 1.435544752356075665e-15 1.939808626888689027e-17
6.359296666237307363e+03 1.422939906776183064e-15 1.812650178301551765e-17
6.360409106705830709e+03 1.413297521429997905e-15 1.887565913038914463e-17
6.361521547174354055e+03 1.398244955534927677e-15 1.943400938793389360e-17
6.362633987642877401e+03 1.399200617780658393e-15 1.967812753148430284e-17
6.363746428111400746e+03 1.395447205226374815e-15 1.780772719573512480e-17
6.364858868579924092e+03 1.459313982038165835e-15 1.838001209779383183e-17
6.365971309048447438e+03 1.454223986499460758e-15 2.492326941273661879e-17
6.367083749516970784e+03 1.503003592015326731e-15 1.881102868191037126e-17
6.368196189985494129e+03 1.510880646182231416e-15 1.854734441532062029e-17
6.369308630454017475e+03 1.490056425377094101e-15 1.824373665038831291e-17
6.370421070922540821e+03 1.423156750856294737e-15 1.811736473936227565e-17
6.371533511391064167e+03 1.425773380807292123e-15 1.813278999469609196e-17
6.372645951859587512e+03 1.432074847414128873e-15 2.660523514601292490e-17
6.373758392328110858e+03 1.361786117869527983e-15 2.435050112139685663e-17
6.374870832796634204e+03 1.343696374407377696e-15 1.739036751382654612e-17
6.375983273265157550e+03 1.301779055786514435e-15 1.824306322148707965e-17
6.377095713733680896e+03 1.265588108658221819e-15 1.868063646325615990e-17
6.378208154202204241e+03 1.303842816923584452e-15 1.836750949130917592e-17
6.379320594670727587e+03 1.291624152740138444e-15 1.710869654133434379e-17
6.380433035139250933e+03 1.330848383631990369e-15 1.697441204222726964e-17
6.381545475607774279e+03 1.361371813708968722e-15 1.788819217687989376e-17
6.382657916076297624e+03 1.398392946900513331e-15 1.920946290843655775e-17
6.383770356544820970e+03 1.415432936636698699e-15 1.929996231668553935e-17
6.384882797013344316e+03 1.425729118622273714e-15 1.789774950213901446e-17
6.385995237481867662e+03 1.522028741544470764e-15 1.921209615799142434e-17
6.387107677950391007e+03 1.497190492900042299e-15 2.244621367613688022e-17
6.388220118418914353e+03 1.515269894503374281e-15 1.847875620698958323e-17
6.389332558887437699e+03 1.556251244108091544e-15 2.449325800765994511e-17
6.390444999355961045e+03 1.538072542104069232e-15 1.928998090131228342e-17
6.391557439824484391e+03 1.511681365117928092e-15 2.142023289420366412e-17
6.392669880293007736e+03 1.518335763780914976e-15 1.864499458940511559e-17
6.393782320761531082e+03 1.484863853735937301e-15 1.975335990718683161e-17
6.394894761230054428e+03 1.515968540530037739e-15 1.996208942864717444e-17
6.396007201698577774e+03 1.490181855745074539e-15 1.807508825854963923e-17
6.397119642167101119e+03 1.461722484882749396e-15 1.795195835884041988e-17
6.398232082635624465e+03 1.526274612247352511e-15 2.350697722873707294e-17
6.399344523104147811e+03 1.460067413316899340e-15 1.851554844552248463e-17
6.400456963572671157e+03 1.476501430349781685e-15 1.901365125265769887e-17
6.401569404041194502e+03 1.468243772806547484e-15 4.416491884026329628e-17
6.402681844509717848e+03 1.507831851516850494e-15 2.044044925510206470e-17
6.403794284978241194e+03 1.472904913118714095e-15 1.959428459233468335e-17
6.404906725446764540e+03 1.468110325180191260e-15 1.812840704154819244e-17
6.406019165915287886e+03 1.507187730812853476e-15 2.118693259191357026e-17
6.407131606383811231e+03 1.513204633109802861e-15 1.858485646005868513e-17
6.408244046852334577e+03 1.479462482750504684e-15 1.755339046240598630e-17
6.409356487320857923e+03 1.460427395877629671e-15 2.140867616215472719e-17
6.410468927789381269e+03 1.470348079360197587e-15 1.883189341831399716e-17
6.411581368257904614e+03 1.447575470649294819e-15 1.871486789472970068e-17
6.412693808726427960e+03 1.482503460314925400e-15 1.876894013120836325e-17
6.413806249194951306e+03 1.491305768057772723e-15 1.908406032724955058e-17
6.414918689663474652e+03 1.489582751535441564e-15 2.135157108922542230e-17
6.416031130131997998e+03 1.497260107771936109e-15 3.156079715716442762e-17
6.417143570600521343e+03 1.466106999943984192e-15 1.784525016594972413e-17
6.418256011069044689e+03 1.695303994468421964e-15 2.470367157432523861e-17
6.419368451537568035e+03 1.543691983719503704e-15 1.973690815893279348e-17
6.420480892006091381e+03 1.537710629457896343e-15 2.073850412136044072e-17
6.421593332474614726e+03 1.475178879863602050e-15 1.840832348202693922e-17
6.422705772943138072e+03 1.518237406274698316e-15 1.956902523401545171e-17
6.423818213411661418e+03 1.504076816058649914e-15 2.085194373300243312e-17
6.424930653880184764e+03 1.479666919614115873e-15 1.812218510401032134e-17
6.426043094348708109e+03 1.464751802730974389e-15 2.543406984805731166e-17
6.427155534817231455e+03 1.450271643739050509e-15 1.832885611124462664e-17
6.428267975285754801e+03 1.457288976089776480e-15 1.719561757464273485e-17
6.429380415754278147e+03 1.453814376260442203e-15 1.751803714500862496e-17
6.430492856222801493e+03 1.403684391973734877e-15 1.753265775578193689e-17
6.431605296691324838e+03 1.462067578219194581e-15 1.771481123771149325e-17
6.432717737159848184e+03 1.411007715132559637e-15 1.744916508946511402e-17
6.433830177628371530e+03 1.441821099677452551e-15 1.816670211741904565e-17
6.434942618096894876e+03 1.459674447986604017e-15 1.724766314397508919e-17
6.436055058565418221e+03 1.441629060050277350e-15 1.859902881574963862e-17
6.437167499033941567e+03 1.422992270944203652e-15 1.821918455851288708e-17
