# obs_wvl flux error
2.967000000000000000e+03 1.673045183735709113e-15 1.258001474800825303e-15
2.969746655424696655e+03 -3.743422769112857172e-15 1.016117781622697174e-15
2.972493310849393310e+03 -1.493559978513238545e-15 9.280267988184900864e-16
2.975239966274089966e+03 -7.330181456056229787e-16 9.173637164842036347e-16
2.977986621698786621e+03 8.124392778034111646e-16 8.798594703947350119e-16
2.980733277123483276e+03 -2.317449337160729403e-15 9.923562333139398828e-16
2.983479932548179931e+03 -4.320749542257358154e-16 8.642951208602469536e-16
2.986226587972876587e+03 -1.691343433694989325e-17 8.209505923228984096e-16
2.988973243397573242e+03 -9.162814601763543466e-17 8.067417790624707089e-16
2.991719898822269897e+03 4.546957470534471032e-17 8.028423776877636982e-16
2.994466554246966552e+03 -2.370786630372194958e-16 7.814401670334818627e-16
2.997213209671663208e+03 -3.434180691309869511e-16 8.013420246167222177e-16
2.999959865096359863e+03 -6.172169191868212360e-16 8.154235188534886926e-16
3.002706520521056518e+03 -1.029432502683151798e-15 9.799663705389705663e-16
3.005453175945753173e+03 -4.111839131004096705e-16 7.829733876892780647e-16
3.008199831370449829e+03 2.404272070489216406e-17 7.465834177604651774e-16
3.010946486795146484e+03 9.875529933282448818e-16 7.385712127077252866e-16
3.013693142219843139e+03 -1.507939053620069854e-15 9.081228091301778462e-16
3.016439797644539794e+03 -7.595324187786226312e-16 7.245723406282682810e-16
3.019186453069236450e+03 -5.962344942005978487e-16 7.093474963946116504e-16
3.021933108493933105e+03 1.435980182995183454e-15 7.014919126556434759e-16
3.024679763918629760e+03 5.046668879698702609e-14 1.240941931568623732e-15
3.027426419343326415e+03 1.324029879715925392e-14 7.343109713415135026e-16
3.030173074768023071e+03 -3.787497747865047380e-16 6.508891057412409965e-16
3.032919730192719726e+03 -4.663863441678348110e-16 6.528296894470067862e-16
3.035666385617416381e+03 2.475160374787128846e-16 6.815221335043103450e-16
3.038413041042113036e+03 -2.871974830663045009e-15 7.245365806440796461e-16
3.041159696466809692e+03 -2.531661368910400607e-17 6.211706891498810559e-16
3.043906351891506347e+03 -1.368087177289438259e-15 6.550014334192183279e-16
3.046653007316203002e+03 -6.077975361664691809e-16 5.864504801973227149e-16
3.049399662740899657e+03 -8.786186573425705906e-16 5.955213487654709578e-16
3.052146318165596313e+03 -1.205913830787647151e-16 5.721810514632033354e-16
3.054892973590292968e+03 -1.040860381453417445e-16 6.144681926182497899e-16
3.057639629014989623e+03 2.654227729536107243e-16 5.619924236433512756e-16
3.060386284439686278e+03 4.043834434285131950e-16 5.437436870176337066e-16
3.063132939864382934e+03 -2.568980321934577945e-17 5.321067803592713860e-16
3.065879595289079589e+03 2.672403439077806781e-16 5.312692118356205533e-16
3.068626250713776244e+03 8.660085724225482612e-16 5.261479897794899550e-16
3.071372906138472899e+03 6.043195710451333206e-16 5.178694974301935640e-16
3.074119561563169555e+03 3.294564645064243537e-16 5.224689191246064620e-16
3.076866216987866210e+03 -7.185997710966221917e-16 5.227070165718659112e-16
3.079612872412562865e+03 -7.590419671122334941e-16 8.555314732787798064e-16
3.082359527837259520e+03 1.522211072094428014e-15 5.432635392393307451e-16
3.085106183261956176e+03 1.335189705585879660e-15 5.037024493361684532e-16
3.087852838686652831e+03 1.145894938212518760e-15 5.019880988163314139e-16
3.090599494111349486e+03 -3.835480179847111359e-18 5.160885335167395873e-16
3.093346149536046141e+03 -1.024750628852715825e-15 5.343768346341561861e-16
3.096092804960742797e+03 1.867471419661433982e-17 4.811364032518612792e-16
3.098839460385439452e+03 1.759369767909425981e-15 5.388899730145796594e-16
3.101586115810136107e+03 5.357269270687286261e-14 1.327565154909220726e-15
3.104332771234832762e+03 1.423260999497787161e-14 6.679179999436209785e-16
3.107079426659529418e+03 -9.879724582091971062e-16 6.021689248846566804e-16
3.109826082084226073e+03 -2.454361685501227133e-16 4.850307068864695304e-16
3.112572737508922728e+03 -7.043163713605176743e-17 4.813440580447604282e-16
3.115319392933619383e+03 1.424624896343297366e-15 4.771174786923684952e-16
3.118066048358316039e+03 6.015838326778657557e-16 4.773442155561073101e-16
3.120812703783012694e+03 -5.407435398490519001e-16 5.251468129221919922e-16
3.123559359207709349e+03 -7.924850293987256749e-16 4.713856750145717830e-16
3.126306014632406004e+03 -3.393893056775191105e-16 4.589474698547325017e-16
3.129052670057102659e+03 1.332684363573414173e-16 4.538839484272804258e-16
3.131799325481799315e+03 -2.612157665746999366e-16 4.640847127124841015e-16
3.134545980906495970e+03 -2.082724441134275868e-16 4.641894548454733454e-16
3.137292636331192625e+03 -3.941034865303898090e-16 4.890269122019017350e-16
3.140039291755889280e+03 -5.456731880267113508e-16 4.825235069167608754e-16
3.142785947180585936e+03 -1.652849633868951640e-15 5.054576812390605273e-16
3.145532602605282591e+03 -9.461557430618801356e-16 4.575873787570981558e-16
3.148279258029979246e+03 -3.064261925261840948e-16 4.378476775305310660e-16
3.151025913454675901e+03 -4.274033340778484173e-16 4.381562956306626218e-16
3.153772568879372557e+03 8.339360302920108892e-16 4.407652470421512237e-16
3.156519224304069212e+03 -8.802193622950238116e-16 5.116053024428791759e-16
3.159265879728765867e+03 -1.284920965392005894e-15 6.505937760615287027e-16
3.162012535153462522e+03 -9.764012316419456395e-17 4.418000401217147720e-16
3.164759190578159178e+03 4.313903755940427604e-18 4.199152599974220945e-16
3.167505846002855833e+03 4.845910611877503526e-16 4.215112493847460726e-16
3.170252501427552488e+03 5.575831490882797331e-16 4.225124612370151888e-16
3.172999156852249143e+03 -2.153249311429237095e-16 4.156631079117422677e-16
3.175745812276945799e+03 2.023248468463409466e-16 4.319654436964151224e-16
3.178492467701642454e+03 -1.535471427329029949e-16 4.207555237104199147e-16
3.181239123126339109e+03 -1.250373956022155100e-16 4.030232586488360282e-16
3.183985778551035764e+03 -2.489203813673565593e-16 4.082510429989609194e-16
3.186732433975732420e+03 -5.041563954538631717e-17 3.951071112084245181e-16
3.189479089400429075e+03 5.826856083176480273e-16 3.953011401407838405e-16
3.192225744825125730e+03 -4.322593972665555548e-16 3.941468799988731366e-16
3.194972400249822385e+03 -1.675893643006243388e-16 3.892542546868677650e-16
3.197719055674519041e+03 -2.891279317029117355e-17 3.921594088340681713e-16
3.200465711099215696e+03 -3.990378117291554661e-16 4.218495929772450862e-16
3.203212366523912351e+03 -6.562110204337933115e-16 3.851234636406978507e-16
3.205959021948609006e+03 3.280364241965656335e-16 3.906113848863737057e-16
3.208705677373305662e+03 1.254851925896038535e-17 4.681148093495309845e-16
3.211452332798002317e+03 -4.865789223432171560e-16 3.874811497973082816e-16
3.214198988222698972e+03 -8.978857155730457829e-16 3.966561948553619736e-16
3.216945643647395627e+03 -3.936170857577758971e-16 3.676055564156388826e-16
3.219692299072092283e+03 5.591310081118697965e-16 3.702109182383380986e-16
3.222438954496788938e+03 5.975188780031898175e-16 3.865678508471537135e-16
3.225185609921485593e+03 1.291544374678175595e-16 3.613823365408417159e-16
3.227932265346182248e+03 -5.980344381242608043e-16 3.585146767271977171e-16
3.230678920770878904e+03 -1.203132696191815686e-16 4.321103626409159180e-16
3.233425576195575559e+03 -3.921252891241007518e-16 3.592377238835138320e-16
3.236172231620272214e+03 -6.594544226758675551e-16 3.724392963113556506e-16
3.238918887044968869e+03 -4.445914284298385646e-16 3.497709590357833388e-16
3.241665542469665525e+03 -2.309737302714692765e-16 3.504557005054109687e-16
3.244412197894362180e+03 -5.551685818530868891e-16 3.470141246326594146e-16
3.247158853319058835e+03 4.642145844732551566e-16 3.537674511063889501e-16
3.249905508743755490e+03 -2.775590723058308982e-16 3.564249236789885482e-16
3.252652164168452146e+03 1.592727159148513367e-16 3.529267975767364767e-16
3.255398819593148801e+03 -8.571757628749769760e-17 3.413840792391108133e-16
3.258145475017845456e+03 1.436417577730998067e-16 3.431091048539954853e-16
3.260892130442542111e+03 1.021389401404017353e-16 3.477729181133629172e-16
3.263638785867238767e+03 -1.145370205780590759e-15 4.048758110031693165e-16
3.266385441291935422e+03 -8.157001729864446581e-16 3.893192892132573472e-16
3.269132096716632077e+03 -4.801725003993163752e-16 3.504641124014506425e-16
3.271878752141328732e+03 3.312564353236683314e-16 3.386630131129576582e-16
3.274625407566025387e+03 6.298699876915460969e-16 3.380978516497279532e-16
3.277372062990722043e+03 -3.401443029539395117e-16 3.358994182344064301e-16
3.280118718415418698e+03 -3.410793774690311217e-16 3.405943459821969427e-16
3.282865373840115353e+03 -1.788036067073037100e-16 3.309911035079521112e-16
3.285612029264812008e+03 -9.111803781278190468e-18 3.272733330031293052e-16
3.288358684689508664e+03 1.215499443367362112e-16 3.254575129873635638e-16
3.291105340114205319e+03 1.648885487853745131e-16 3.251280754013501149e-16
3.293851995538901974e+03 -9.431506789346733763e-17 3.222284647424319271e-16
3.296598650963598629e+03 -8.838696403922164838e-16 3.399736353438783393e-16
3.299345306388295285e+03 -4.686516568596570797e-16 3.210321089466624588e-16
3.302091961812991940e+03 -1.946370358288373534e-16 3.175835667478734618e-16
3.304838617237688595e+03 -1.566155693692255164e-16 3.156690807908976729e-16
3.307585272662385250e+03 1.945757978289576754e-16 3.169929675668834316e-16
3.310331928087081906e+03 -2.035040345448796841e-16 3.204075036147062327e-16
3.313078583511778561e+03 -1.714332576603222352e-16 3.151013720779665962e-16
3.315825238936475216e+03 -1.809564560533715462e-16 3.106756468380782986e-16
3.318571894361171871e+03 3.337135052249283666e-16 3.130802492649923170e-16
3.321318549785868527e+03 1.573472040601612921e-16 3.164271741270335674e-16
3.324065205210565182e+03 2.918361514919628586e-17 3.070066669003334217e-16
3.326811860635261837e+03 1.667583433864673303e-16 3.074513122793522588e-16
3.329558516059958492e+03 2.529301959963182227e-16 3.082857699585206568e-16
3.332305171484655148e+03 6.854343159544713948e-16 3.098971350270109325e-16
3.335051826909351803e+03 2.589007123007097700e-16 3.099066890778707531e-16
3.337798482334048458e+03 6.807822248031522194e-17 3.007519515841627118e-16
3.340545137758745113e+03 2.270800410059848377e-16 3.009906160394572383e-16
3.343291793183441769e+03 4.587189960703580017e-16 3.064478932995926821e-16
3.346038448608138424e+03 1.980871016996774974e-15 4.621306818723170376e-16
3.348785104032835079e+03 6.788219720108730021e-16 3.159139688522871712e-16
3.351531759457531734e+03 -3.015824330997314712e-16 3.184201223591954112e-16
3.354278414882228390e+03 -4.323040469240575389e-16 2.981045060078360015e-16
3.357025070306925045e+03 1.960755341379236455e-16 2.982591554459524801e-16
3.359771725731621700e+03 -2.083711987389046002e-16 3.346815306071656966e-16
3.362518381156318355e+03 -1.153776253064275922e-16 2.972128487320837180e-16
3.365265036581015011e+03 7.016812642289122926e-16 2.924756485126083503e-16
3.368011692005711666e+03 6.743603753015700936e-16 2.936051227538144115e-16
3.370758347430408321e+03 2.703810777298146772e-16 2.915790168143880956e-16
3.373505002855104976e+03 -3.777468956557329773e-16 2.888500033769694694e-16
3.376251658279801632e+03 -1.882931738107127018e-16 2.846028320274413182e-16
3.378998313704498287e+03 -3.673960678572094139e-16 2.845212744113601314e-16
3.381744969129194942e+03 6.779166971112287934e-17 2.821529223167178084e-16
3.384491624553891597e+03 3.185307558947929273e-16 2.852602215243885365e-16
3.387238279978588253e+03 -9.412344254917900429e-17 3.261303573592219743e-16
3.389984935403284908e+03 -2.318905348532937227e-16 3.065447497559666976e-16
3.392731590827981563e+03 1.996570876567086052e-16 2.855306217795712139e-16
3.395478246252678218e+03 -3.331850958155223253e-16 2.832476239540289152e-16
3.398224901677374874e+03 -4.363114635820820980e-16 2.882517948343976076e-16
3.400971557102071529e+03 9.515409424665984254e-17 2.903010291265905762e-16
