# obs_wvl flux error
1.138582954530172856e+03 7.284588378472442449e-15 3.227664333651048720e-18
1.139165909060345712e+03 3.284868334235944799e-15 1.461713159982156478e-18
1.139748863590518567e+03 8.150623358686104916e-15 4.341153838152166739e-15
1.140331818120691423e+03 3.797472225391096085e-15 2.251553643922437113e-15
1.140914772650864279e+03 2.856171767007867647e-15 1.739351212751024149e-15
1.141497727181037135e+03 8.124641626800565475e-16 4.976124548916113284e-17
1.142080681711209991e+03 5.853028031014817423e-16 3.287597308463373230e-19
1.142663636241382846e+03 1.328933095170152876e-15 8.955767244288073624e-16
1.143246590771555702e+03 2.666756948193087005e-15 1.336361501134473501e-15
1.143829545301728558e+03 9.540225481010918977e-16 6.249170400143815717e-16
1.144412499831901414e+03 2.178587349439493965e-16 2.197420457405391983e-17
1.144995454362074270e+03 4.442897267251925701e-16 4.236556692324156161e-16
1.145578408892247126e+03 6.728911657676450451e-16 4.534386213254319446e-16
1.146161363422419981e+03 4.626892216618580395e-16 3.479347713558593593e-16
1.146744317952592837e+03 2.204303806708434879e-16 2.038064566051608824e-16
1.147327272482765693e+03 6.189793540610767174e-17 8.519750787168850639e-18
1.147910227012938549e+03 2.776337008102071968e-16 2.332296138635427379e-16
1.148493181543111405e+03 4.804704360816491113e-16 3.091544087295443925e-16
1.149076136073284260e+03 2.412927290138934221e-16 1.965138174794645852e-16
1.149659090603457116e+03 2.229489561449126780e-16 1.979283395194104026e-16
1.150242045133629972e+03 4.956450571237274295e-16 2.742817355172844699e-16
1.150824999663802828e+03 5.174810931126682107e-16 2.836421015185335537e-16
1.151407954193975684e+03 1.569833512203360216e-16 1.430848760692913770e-16
1.151990908724148539e+03 2.845977306713145604e-16 2.001852154847956314e-16
1.152573863254321395e+03 8.747382516679311218e-16 3.283973222698327821e-16
1.153156817784494251e+03 4.656367940421524616e-16 2.283431334941075311e-16
1.153739772314667107e+03 2.183228025116883834e-16 1.478882365936158000e-16
1.154322726844839963e+03 2.133767986891933074e-16 1.549971877049583573e-16
1.154905681375012819e+03 2.978728914202701721e-16 1.761655225271853829e-16
1.155488635905185674e+03 3.820583871887951956e-16 1.930380986025803357e-16
1.156071590435358530e+03 2.784409848637053110e-16 1.612917103275240202e-16
1.156654544965531386e+03 6.250570962006071255e-16 2.397362433411408007e-16
1.157237499495704242e+03 3.506780782531556918e-16 1.695238315461336427e-16
1.157820454025877098e+03 2.449810671106268302e-16 1.463613074735924001e-16
1.158403408556049953e+03 4.112016309338253955e-16 1.909013174880887331e-16
1.158986363086222809e+03 2.298209075663186384e-16 1.354381805946517519e-16
1.159569317616395665e+03 1.584407037647844992e-16 1.313645496182737558e-16
1.160152272146568521e+03 4.840282850940626023e-16 1.920753435355636023e-16
1.160735226676741377e+03 2.879699700490703815e-16 1.449766589553616954e-16
1.161318181206914232e+03 2.039681687125443158e-16 1.283678763059602801e-16
1.161901135737087088e+03 1.872468643373583760e-16 1.220449115097072937e-16
1.162484090267259944e+03 -2.457618844422807372e-17 9.329894851171271468e-18
1.163067044797432800e+03 1.605898143023011884e-16 1.172051931154704993e-16
1.163649999327605656e+03 1.605087268297536270e-16 1.085042132125009384e-16
