# obs_wvl flux error
1.579000000000000000e+03 -5.650565085280057076e-12 3.512469612040880081e-12
1.580548240104273646e+03 2.112697874463582811e-14 4.974439523198798348e-14
1.582096480208547291e+03 6.863117591285812336e-15 1.478730346656569451e-14
1.583644720312820937e+03 6.896208181839814168e-15 9.051367243139609504e-15
1.585192960417094582e+03 4.305813173855870724e-15 6.577213303544975677e-15
1.586741200521368228e+03 4.817883403338283715e-15 5.381913550660521986e-15
1.588289440625641873e+03 8.279246840409718339e-16 4.254960235691471271e-15
1.589837680729915519e+03 4.244908221983052852e-15 3.850861306582963972e-15
1.591385920834189164e+03 2.289894900518321182e-15 3.181259733150040315e-15
1.592934160938462810e+03 5.239176401331033887e-15 3.013810546797714861e-15
1.594482401042736456e+03 -2.179107052593860407e-15 2.332321909360065436e-15
1.596030641147010101e+03 -4.844567146069669032e-16 2.158672892583681085e-15
1.597578881251283747e+03 2.699041316202216459e-15 2.055371875482184292e-15
1.599127121355557392e+03 -2.730253970104609875e-15 1.576693230733173240e-15
1.600675361459831038e+03 1.691867988216044888e-15 1.629226374017520001e-15
1.602223601564104683e+03 -1.822441224954048718e-15 1.277706649786200966e-15
1.603771841668378329e+03 1.015048306496024670e-16 1.254784314917317577e-15
1.605320081772651974e+03 1.820989866090178218e-15 1.202391716395189343e-15
1.606868321876925620e+03 -6.268783338851991939e-17 1.051671009271274360e-15
1.608416561981199266e+03 1.421279026732422237e-16 9.102415016715671707e-16
1.609964802085472911e+03 -1.709204027045044106e-15 7.723040184533522219e-16
1.611513042189746557e+03 -6.019323195458989030e-16 7.541997109875825218e-16
1.613061282294020202e+03 -2.520860579304771460e-16 7.189473433347406242e-16
1.614609522398293848e+03 -6.257814167301859691e-16 6.629787574081563800e-16
1.616157762502567493e+03 1.800163001628977457e-16 6.397430498502978278e-16
1.617706002606841139e+03 -1.412376923713517005e-16 5.612515930233860457e-16
1.619254242711114784e+03 7.379328080128545274e-17 5.592936556061588412e-16
1.620802482815388430e+03 4.573385278226724316e-16 5.391940207946300001e-16
1.622350722919662076e+03 9.279975731377020760e-16 5.240720852754894303e-16
1.623898963023935721e+03 4.104834350341323242e-16 4.654746814124609668e-16
1.625447203128209367e+03 2.025892661240187541e-16 4.539347825225450422e-16
1.626995443232483012e+03 4.534547366151826827e-16 4.240807100240844172e-16
1.628543683336756658e+03 -2.600167950339158351e-17 3.740984967106857749e-16
1.630091923441030303e+03 -1.863997435141485023e-17 3.690428326936046693e-16
1.631640163545303949e+03 -7.217137584715763611e-17 3.329927896002714135e-16
1.633188403649577594e+03 -5.563537446151471808e-17 3.346111782408829401e-16
1.634736643753851240e+03 1.863143203619140749e-16 3.260067150424320353e-16
1.636284883858124886e+03 -3.998569297353745152e-17 2.952307773516652332e-16
1.637833123962398531e+03 -5.233669365742780230e-17 2.867865565422231693e-16
1.639381364066672177e+03 7.556213031572403772e-17 2.832621078085086172e-16
1.640929604170945822e+03 -9.836977543509668843e-17 2.575642674545001883e-16
1.642477844275219468e+03 -1.134095473471163757e-16 2.493259566151202162e-16
1.644026084379493113e+03 3.486254944855918694e-16 2.659696578285653233e-16
1.645574324483766759e+03 5.243649142086735173e-16 2.683634410495253069e-16
1.647122564588040404e+03 -3.267882436119081747e-16 2.166248589721250580e-16
1.648670804692314050e+03 -6.006105535034231931e-16 2.046858560011346834e-16
1.650219044796587696e+03 -1.280531424527556443e-16 2.114175746194254057e-16
1.651767284900861341e+03 2.384740654817614207e-18 2.153112429207339991e-16
1.653315525005134987e+03 -5.254978184151671584e-16 1.874014288510824791e-16
1.654863765109408632e+03 3.361591307342800948e-17 2.042134218939732332e-16
1.656412005213682278e+03 2.093906055519420148e-16 2.030812738070493418e-16
1.657960245317955923e+03 -2.350282765167970572e-17 1.938722153633347916e-16
1.659508485422229569e+03 1.618502388016084770e-16 2.005976922217719555e-16
1.661056725526503214e+03 -2.470161749550395304e-16 1.674242849209534350e-16
1.662604965630776860e+03 2.086553052649459901e-16 1.879316360517423237e-16
1.664153205735050506e+03 -6.846301808142906116e-17 1.748548477347821989e-16
1.665701445839324151e+03 -2.917080998397656810e-17 1.684943382589838689e-16
1.667249685943597797e+03 3.100846549181727913e-16 1.843326830107432005e-16
1.668797926047871442e+03 -4.512525287737663323e-17 1.627292128247875709e-16
1.670346166152145088e+03 -1.351495747242331994e-16 1.588567171246587055e-16
1.671894406256418733e+03 2.597429384294164138e-16 1.727045634263842031e-16
1.673442646360692379e+03 1.259839138828238765e-16 1.583796440159870964e-16
1.674990886464966025e+03 1.419677246108552252e-17 1.573196491532012296e-16
1.676539126569239670e+03 1.653635470917719917e-16 1.543967396747464607e-16
1.678087366673513316e+03 2.196300227300737256e-16 1.607414962908087376e-16
1.679635606777786961e+03 1.914407813808998740e-16 1.487372469482917155e-16
1.681183846882060607e+03 2.817732132260042264e-16 1.566773224536779671e-16
1.682732086986334252e+03 1.868477647239756732e-16 1.456489507336524766e-16
1.684280327090607898e+03 -2.188158276228416156e-17 1.374709810313883901e-16
1.685828567194881543e+03 1.155133971960624759e-16 1.402095555487026755e-16
1.687376807299155189e+03 3.098671229148209487e-16 1.501757624594897793e-16
1.688925047403428835e+03 2.835826025579680038e-16 1.463114853958776020e-16
1.690473287507702480e+03 -1.221819375162386534e-17 1.266658106480259725e-16
1.692021527611976126e+03 1.296245383263779422e-16 1.355825912616496790e-16
1.693569767716249771e+03 1.614887362615805450e-16 1.342128159297048231e-16
1.695118007820523417e+03 2.108023616959284882e-16 1.349780793274988658e-16
