# AT2023IUC oeno03010 G230L MAMA z=0.07676 a2center=532.4 extrsize=11 exptime=1982.2 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1455.3992 1567.1156 0.000000e+00 0.000000e+00 -6.582008e-03 2564 0
1456.8327 1568.6592 0.000000e+00 0.000000e+00 -6.913964e-03 2564 0
1458.2663 1570.2028 0.000000e+00 0.000000e+00 -1.755105e-04 2564 0
1459.6998 1571.7464 0.000000e+00 0.000000e+00 -3.952040e-03 2564 0
1461.1334 1573.2900 0.000000e+00 0.000000e+00 -4.990085e-03 2560 0
1462.5669 1574.8336 0.000000e+00 0.000000e+00 1.042925e-02 512 0
1464.0005 1576.3772 0.000000e+00 0.000000e+00 -3.304717e-03 512 0
1465.4341 1577.9208 0.000000e+00 0.000000e+00 -4.992437e-03 512 0
1466.8677 1579.4644 -5.650565e-12 3.512470e-12 -4.650180e-03 0 0
1468.3012 1581.0081 -1.819099e-14 3.862444e-14 -1.324452e-03 0 0
1469.7349 1582.5517 8.222576e-15 2.209191e-14 1.192117e-03 0 0
1471.1685 1584.0954 -1.530749e-15 1.361726e-14 -3.326953e-04 0 0
1472.6021 1585.6390 2.820185e-15 1.057512e-14 8.175438e-04 0 0
1474.0357 1587.1827 7.661527e-15 9.070908e-15 2.778275e-03 0 0
1475.4693 1588.7264 8.920288e-16 7.062739e-15 3.885247e-04 0 0
1476.9030 1590.2701 9.592171e-15 6.774493e-15 4.879299e-03 0 0
1478.3366 1591.8138 7.295705e-17 5.188006e-15 4.246319e-05 0 0
1479.7703 1593.3575 6.764754e-15 5.125303e-15 4.458115e-03 0 0
1481.2040 1594.9012 -6.194140e-15 3.627808e-15 -4.645099e-03 0 0
1482.6377 1596.4449 2.088667e-15 3.759309e-15 1.763119e-03 0 0
1484.0713 1597.9887 5.248735e-15 3.617554e-15 5.002281e-03 0 0
1485.5050 1599.5324 -2.507985e-16 2.862502e-15 -2.670151e-04 0 0
1486.9387 1601.0762 2.262594e-15 2.765848e-15 2.692868e-03 0 0
1488.3725 1602.6199 -4.545284e-16 2.264359e-15 -5.990259e-04 0 0
1489.8062 1604.1637 2.099880e-15 2.251946e-15 3.063993e-03 0 0
1491.2399 1605.7075 1.023692e-15 1.977185e-15 1.640201e-03 0 0
1492.6736 1607.2513 3.128961e-15 2.003621e-15 5.504463e-03 0 0
1494.1074 1608.7951 -2.055471e-15 1.375078e-15 -3.941850e-03 0 0
1495.5411 1610.3389 -2.339316e-15 1.241082e-15 -4.891004e-03 0 0
1496.9749 1611.8827 -1.677523e-15 1.173277e-15 -3.799677e-03 0 0
1498.4087 1613.4265 -5.553244e-16 1.179601e-15 -1.362662e-03 0 0
1499.8425 1614.9704 2.714316e-16 1.186356e-15 7.175100e-04 0 0
