# AT2025JQJ ofhg10020 G230LB CCD z=0.0808 a2center=134.7 extrsize=7 exptime=2388.9 mode=fixed flags=finder_fail,extended_host,center_mismatch(135vs221)
# rest_wvl obs_wvl flux error net dq mask
1543.9208 1668.6696 5.135117e-15 6.910893e-15 6.936873e-03 512 0
1545.1880 1670.0392 2.108005e-14 6.052980e-15 3.375769e-02 0 0
1546.4553 1671.4089 -3.668316e-15 5.532292e-15 -1.053129e-02 16384 0
1547.7226 1672.7785 -5.699631e-15 6.215920e-15 -1.696544e-02 16400 0
1548.9898 1674.1482 4.821499e-14 6.866829e-15 9.281261e-02 0 0
1550.2572 1675.5179 4.019180e-14 6.344239e-15 7.861314e-02 0 0
1551.5245 1676.8877 1.295959e-14 5.383672e-15 2.064272e-02 0 0
1552.7918 1678.2574 2.156351e-16 5.454525e-15 -7.242289e-03 16 0
1554.0592 1679.6272 1.017495e-14 5.165308e-15 1.446973e-02 0 0
1555.3265 1680.9969 1.938913e-14 5.714215e-15 3.692727e-02 0 0
1556.5939 1682.3667 -7.488349e-15 4.640432e-15 -2.841842e-02 16384 0
1557.8613 1683.7365 4.282021e-15 4.377537e-15 6.412871e-03 0 0
1559.1287 1685.1063 -1.904290e-15 4.268966e-15 -8.337284e-03 16 0
1560.3962 1686.4762 1.300494e-14 4.211719e-15 2.960859e-02 0 0
1561.6636 1687.8460 -5.049298e-15 4.296532e-15 -2.159226e-02 16384 0
1562.9311 1689.2159 -9.793659e-15 4.554018e-15 -4.302363e-02 16384 0
1564.1985 1690.5858 -4.680120e-14 1.230818e-14 -2.110354e-01 16400 0
1565.4660 1691.9557 1.082132e-14 3.941598e-15 2.700274e-02 0 0
1566.7335 1693.3256 -5.606899e-15 3.878107e-15 -2.655603e-02 16384 0
1568.0011 1694.6955 -3.339699e-15 3.121636e-15 -1.618786e-02 16384 0
1569.2686 1696.0655 1.142916e-14 3.395663e-15 3.117795e-02 0 0
1570.5361 1697.4355 1.564501e-15 3.474431e-15 9.022560e-04 0 0
1571.8037 1698.8054 -1.966411e-15 3.169927e-15 -1.017538e-02 16384 0
1573.0713 1700.1754 -1.327726e-14 6.694236e-15 -7.012062e-02 16400 0
1574.3389 1701.5455 -2.829897e-15 5.094580e-15 -1.524618e-02 16400 0
1575.6065 1702.9155 4.033933e-15 2.960490e-15 9.529811e-03 0 0
1576.8741 1704.2855 -1.092909e-14 3.860898e-15 -6.117018e-02 16400 0
1578.1417 1705.6556 -1.035252e-14 5.660924e-15 -5.901403e-02 16400 0
1579.4094 1707.0257 1.788547e-16 2.890344e-15 -3.345411e-03 0 0
1580.6771 1708.3958 -3.768031e-15 2.759815e-15 -2.225447e-02 16384 0
1581.9447 1709.7659 -9.772798e-15 3.129363e-15 -5.871522e-02 16384 0
1583.2124 1711.1360 3.012801e-15 2.672070e-15 7.151886e-03 0 0
1584.4801 1712.5061 -1.855421e-15 2.581061e-15 -1.152135e-02 16384 0
1585.7479 1713.8763 9.382138e-16 3.607716e-15 -4.708041e-04 16 0
1587.0156 1715.2465 2.734158e-15 4.202452e-15 6.573728e-03 16 0
1588.2834 1716.6167 -4.210926e-15 3.065580e-15 -2.740633e-02 16400 0
1589.5511 1717.9869 -2.480200e-15 2.480564e-15 -1.638660e-02 16384 0
1590.8189 1719.3571 4.815591e-15 2.471272e-15 1.564668e-02 0 0
1592.0867 1720.7273 1.083586e-15 2.992003e-15 3.422722e-04 0 0
1593.3545 1722.0976 -8.060693e-15 3.345760e-15 -5.563526e-02 16400 0
1594.6223 1723.4678 -7.356947e-14 1.384666e-14 -5.149807e-01 16400 0
1595.8902 1724.8381 1.171102e-15 2.422376e-15 8.727638e-04 0 0
1597.1580 1726.2084 -5.567071e-15 3.118951e-15 -4.006007e-02 16400 0
1598.4259 1727.5787 -2.928947e-15 2.393393e-15 -2.136383e-02 16384 0
1599.6938 1728.9490 -1.431388e-15 2.105945e-15 -1.058101e-02 16384 0
1600.9617 1730.3194 3.613430e-15 2.091883e-15 1.230954e-02 0 0
