# AT2025JQJ ofhg10060 G750L CCD z=0.0808 a2center=894.3 extrsize=15 exptime=690.0 mode=adaptive_es15@0.98 flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
4850.0593 5241.9441 -8.221802e-16 2.619376e-16 -1.869380e-01 16896 0
4854.5713 5246.8206 -6.941637e-17 1.429205e-16 -2.935847e-02 512 0
4859.0832 5251.6971 -6.721580e-17 1.038629e-16 -4.193066e-02 528 0
4863.5952 5256.5737 4.555201e-16 8.526721e-17 3.161120e-01 528 0
4868.1072 5261.4503 3.938452e-16 8.436858e-17 3.384933e-01 528 0
4872.6193 5266.3269 3.256738e-17 5.190327e-17 2.951100e-02 512 0
4877.1314 5271.2036 4.935971e-17 4.340940e-17 5.473146e-02 512 0
4881.6435 5276.0803 1.429527e-16 4.014039e-17 1.903579e-01 512 0
4886.1557 5280.9571 -2.051163e-17 5.359359e-17 -3.385823e-02 16912 0
4890.6679 5285.8338 2.159080e-16 3.480817e-17 3.644423e-01 512 0
4895.1801 5290.7107 9.045925e-17 3.366065e-17 1.649569e-01 0 0
4899.6924 5295.5875 1.445104e-16 2.886680e-17 2.905304e-01 16 0
4904.2047 5300.4645 6.869270e-17 2.517376e-17 1.473472e-01 16 0
4908.7171 5305.3414 9.250049e-17 2.443655e-17 2.087145e-01 0 0
4913.2294 5310.2184 7.592085e-17 2.479524e-17 1.778845e-01 16 0
4917.7419 5315.0954 1.116561e-16 3.144599e-17 2.669399e-01 16 0
4922.2543 5319.9725 4.756865e-17 4.103059e-17 1.123534e-01 16 0
4926.7668 5324.8496 1.095001e-16 3.140965e-17 2.602648e-01 16 0
4931.2793 5329.7267 1.006323e-16 5.963326e-17 2.351745e-01 16 0
4935.7919 5334.6039 9.997102e-17 2.604416e-17 2.280845e-01 16 0
4940.3045 5339.4811 1.131645e-16 3.264848e-17 2.529017e-01 16 0
4944.8171 5344.3583 9.373820e-17 2.864014e-17 2.038144e-01 16 0
4949.3298 5349.2356 8.633558e-17 2.787979e-17 1.831071e-01 16 0
4953.8425 5354.1129 2.023603e-16 2.858645e-17 4.288960e-01 0 0
4958.3552 5358.9903 2.888188e-16 3.075996e-17 6.064336e-01 0 0
4962.8679 5363.8677 9.014904e-17 3.063168e-17 1.823422e-01 16 0
4967.3807 5368.7451 3.728648e-17 3.368811e-17 7.304046e-02 16 0
4971.8936 5373.6226 7.283697e-17 2.718863e-17 1.445232e-01 16 0
4976.4064 5378.5001 9.619923e-17 2.838167e-17 1.918510e-01 16 0
4980.9193 5383.3776 1.480909e-16 2.779911e-17 2.989495e-01 0 0
4985.4323 5388.2552 -1.616227e-17 3.787686e-17 -3.576061e-02 16400 0
4989.9452 5393.1328 1.307078e-16 2.689016e-17 2.676452e-01 0 0
4994.4582 5398.0105 1.342919e-16 2.645817e-17 2.788067e-01 0 0
4998.9713 5402.8881 1.204575e-16 2.974108e-17 2.533643e-01 16 0
5003.4843 5407.7659 1.180369e-16 2.862833e-17 2.526685e-01 16 0
5007.9974 5412.6436 -2.183008e-17 5.106487e-17 -5.201946e-02 16400 0
5012.5106 5417.5214 1.233023e-16 2.866851e-17 2.751660e-01 16 0
5017.0237 5422.3992 1.182660e-16 2.517169e-17 2.694985e-01 0 0
5021.5369 5427.2771 1.034209e-16 2.430258e-17 2.401979e-01 0 0
5026.0501 5432.1550 7.351071e-17 4.610150e-17 1.730847e-01 16 0
5030.5634 5437.0329 1.662468e-16 2.275791e-17 4.069158e-01 0 0
5035.0767 5441.9109 8.737145e-17 2.283003e-17 2.154051e-01 0 0
5039.5900 5446.7889 2.011352e-16 2.886711e-17 5.155876e-01 16 0
5044.1034 5451.6669 5.274652e-17 4.187842e-17 1.341086e-01 16 0
5048.6168 5456.5450 1.605217e-16 2.205382e-17 4.265940e-01 0 0
5053.1302 5461.4231 1.223719e-16 2.101843e-17 3.298423e-01 0 0
5057.6437 5466.3013 1.520730e-16 2.057333e-17 4.188140e-01 0 0
5062.1571 5471.1794 9.673156e-17 3.940655e-17 2.681489e-01 16 0
5066.6707 5476.0577 1.330633e-16 1.963066e-17 3.760295e-01 0 0
5071.1842 5480.9359 8.077794e-17 2.865308e-17 2.285952e-01 16 0
5075.6978 5485.8142 1.531187e-16 1.999393e-17 4.434361e-01 0 0
5080.2114 5490.6925 1.395248e-16 2.426362e-17 4.070936e-01 16 0
5084.7250 5495.5708 1.504734e-16 1.968729e-17 4.427317e-01 0 0
5089.2387 5500.4492 1.407767e-16 1.959831e-17 4.162917e-01 0 0
5093.7524 5505.3276 1.466833e-16 1.959313e-17 4.361658e-01 0 0
5098.2662 5510.2061 1.342173e-16 2.701011e-17 4.000126e-01 16 0
5102.7799 5515.0846 1.551563e-16 2.967197e-17 4.653851e-01 16 0
5107.2937 5519.9631 1.662310e-16 2.028966e-17 5.008086e-01 0 0
5111.8076 5524.8416 1.231988e-16 2.290793e-17 3.697647e-01 16 0
5116.3214 5529.7202 1.775730e-16 2.081467e-17 5.386748e-01 0 0
5120.8353 5534.5988 2.205475e-16 2.456576e-17 6.734008e-01 16 0
5125.3492 5539.4774 1.839830e-16 2.005479e-17 5.601237e-01 16 0
5129.8632 5544.3561 1.618743e-16 2.332014e-17 4.923852e-01 16 0
5134.3772 5549.2348 1.537337e-16 1.851426e-17 4.681573e-01 0 0
5138.8912 5554.1136 2.087058e-16 1.952456e-17 6.410062e-01 0 0
5143.4052 5558.9924 1.371222e-16 1.860410e-17 4.179895e-01 0 0
5147.9193 5563.8712 1.251436e-16 1.986450e-17 3.818229e-01 16 0
5152.4334 5568.7500 1.396315e-16 1.881217e-17 4.285626e-01 0 0
5156.9475 5573.6289 9.119028e-17 1.809062e-17 2.781477e-01 0 0
5161.4617 5578.5078 1.570343e-16 2.129879e-17 4.860113e-01 16 0
5165.9759 5583.3867 1.510178e-16 2.209869e-17 4.688231e-01 16 0
5170.4901 5588.2657 1.540203e-16 3.252903e-17 4.805453e-01 16 0
5175.0043 5593.1447 1.450971e-16 3.260048e-17 4.543367e-01 16 0
5179.5186 5598.0237 1.548664e-16 1.927684e-17 4.882429e-01 0 0
5184.0329 5602.9028 1.633835e-16 1.891456e-17 5.186509e-01 16 0
5188.5472 5607.7819 4.158954e-17 5.544336e-17 1.289684e-01 16 0
5193.0616 5612.6610 1.313100e-16 2.297182e-17 4.195213e-01 16 0
5197.5760 5617.5401 1.789091e-16 2.012668e-17 5.783074e-01 16 0
5202.0904 5622.4193 1.510945e-16 2.308791e-17 4.893183e-01 16 0
5206.6049 5627.2985 1.391304e-16 1.878619e-17 4.524802e-01 0 0
5211.1193 5632.1778 1.016871e-16 3.201176e-17 3.302838e-01 16 0
5215.6338 5637.0570 4.848287e-17 3.437075e-17 1.558143e-01 16 0
5220.1484 5641.9364 1.257000e-16 1.796311e-17 4.143364e-01 0 0
5224.6629 5646.8157 1.306325e-16 1.969300e-17 4.329224e-01 16 0
5229.1775 5651.6951 1.121355e-16 1.961473e-17 3.718856e-01 16 0
5233.6921 5656.5745 1.078648e-16 1.890282e-17 3.586104e-01 16 0
5238.2068 5661.4539 1.476339e-16 2.237349e-17 4.962134e-01 16 0
5242.7214 5666.3333 1.110351e-16 1.756371e-17 3.723573e-01 0 0
5247.2361 5671.2128 8.098619e-17 1.965264e-17 2.708602e-01 16 0
5251.7509 5676.0923 6.909403e-17 1.653391e-17 2.311702e-01 0 0
5256.2656 5680.9719 1.295265e-16 1.742924e-17 4.407781e-01 0 0
5260.7804 5685.8515 1.108576e-16 1.708012e-17 3.772120e-01 0 0
5265.2952 5690.7311 9.069218e-17 1.981518e-17 3.082639e-01 16 0
5269.8100 5695.6107 9.977657e-17 2.032949e-17 3.408423e-01 16 0
5274.3249 5700.4904 3.839193e-17 2.819076e-17 1.288328e-01 16 0
5278.8398 5705.3701 6.681682e-17 2.188736e-17 2.275084e-01 16 0
5283.3547 5710.2498 8.480253e-17 1.648394e-17 2.908834e-01 0 0
5287.8697 5715.1295 9.361296e-17 1.741632e-17 3.225111e-01 16 0
5292.3846 5720.0093 1.157443e-16 1.706638e-17 4.014565e-01 16 0
5296.8996 5724.8891 9.159374e-17 1.855409e-17 3.168055e-01 16 0
5301.4146 5729.7689 -5.349237e-17 4.306604e-17 -2.016392e-01 16400 0
5305.9297 5734.6488 1.232876e-16 1.846697e-17 4.310474e-01 0 0
5310.4448 5739.5287 3.283815e-17 2.665832e-17 1.118083e-01 16 0
5314.9598 5744.4086 1.514002e-16 1.648269e-17 5.342047e-01 0 0
5319.4750 5749.2886 1.243074e-16 1.800862e-17 4.378231e-01 16 0
5323.9901 5754.1685 8.474854e-17 1.700701e-17 2.968492e-01 0 0
5328.5053 5759.0485 9.442795e-17 1.814578e-17 3.324769e-01 16 0
5333.0205 5763.9286 8.070680e-17 2.921427e-17 2.840713e-01 16 0
5337.5357 5768.8086 1.102656e-16 1.592146e-17 3.919463e-01 0 0
5342.0510 5773.6887 1.468629e-16 1.994021e-17 5.270144e-01 16 0
5346.5663 5778.5688 7.746965e-17 1.707497e-17 2.751158e-01 16 0
5351.0816 5783.4489 1.039133e-16 1.552376e-17 3.725676e-01 0 0
5355.5969 5788.3291 1.154426e-16 1.728251e-17 4.162498e-01 16 0
5360.1122 5793.2093 1.086458e-16 1.793242e-17 3.925477e-01 16 0
5364.6276 5798.0895 1.177263e-16 1.823675e-17 4.275080e-01 16 0
5369.1430 5802.9698 1.556407e-16 1.767593e-17 5.705469e-01 0 0
5373.6584 5807.8500 9.225641e-17 1.648463e-17 3.354164e-01 16 0
5378.1739 5812.7303 1.187081e-16 1.992148e-17 4.352922e-01 16 0
5382.6894 5817.6107 5.101465e-17 2.725720e-17 1.842858e-01 16 0
5387.2049 5822.4910 1.327459e-16 1.556590e-17 4.908013e-01 0 0
5391.7204 5827.3714 1.068866e-16 1.847249e-17 3.943588e-01 16 0
5396.2359 5832.2518 8.063421e-17 1.499747e-17 2.964939e-01 0 0
5400.7515 5837.1322 1.269165e-16 1.534447e-17 4.723014e-01 0 0
5405.2671 5842.0127 8.863908e-17 1.871787e-17 3.280503e-01 16 0
5409.7827 5846.8931 1.204865e-16 1.544692e-17 4.496956e-01 0 0
5414.2983 5851.7736 1.313890e-16 1.534174e-17 4.921972e-01 0 0
5418.8140 5856.6542 6.957556e-17 2.354664e-17 2.574808e-01 16 0
5423.3297 5861.5347 1.185984e-16 1.520883e-17 4.444782e-01 0 0
5427.8454 5866.4153 9.692556e-17 1.865433e-17 3.620216e-01 16 0
5432.3611 5871.2959 1.078644e-16 1.615362e-17 4.041388e-01 0 0
5436.8769 5876.1765 1.122472e-16 1.506364e-17 4.211528e-01 0 0
5441.3927 5881.0572 6.449660e-17 2.032463e-17 2.392721e-01 16 0
5445.9085 5885.9379 1.219852e-16 1.568113e-17 4.587886e-01 0 0
5450.4243 5890.8186 5.772899e-17 1.461115e-17 2.137165e-01 0 0
5454.9402 5895.6993 5.634731e-17 1.526608e-17 2.084627e-01 16 0
5459.4560 5900.5801 9.477507e-17 1.533389e-17 3.543593e-01 0 0
5463.9719 5905.4608 7.684451e-17 1.470266e-17 2.859206e-01 0 0
5468.4878 5910.3416 6.127426e-17 1.572891e-17 2.267804e-01 0 0
5473.0038 5915.2225 -4.895623e-17 2.416790e-17 -1.982714e-01 16400 0
5477.5197 5920.1033 1.214614e-16 1.589959e-17 4.554437e-01 16 0
5482.0357 5924.9842 1.117901e-16 1.842693e-17 4.180950e-01 16 0
5486.5517 5929.8651 1.008692e-16 1.545955e-17 3.761132e-01 0 0
5491.0677 5934.7460 8.782689e-17 1.480066e-17 3.262616e-01 0 0
5495.5838 5939.6270 8.982763e-17 1.522534e-17 3.336092e-01 16 0
5500.0999 5944.5079 1.016194e-16 1.602401e-17 3.781339e-01 0 0
5504.6159 5949.3889 1.388731e-16 1.584006e-17 5.200051e-01 0 0
5509.1321 5954.2699 1.092802e-16 1.512317e-17 4.068716e-01 0 0
5513.6482 5959.1510 9.847729e-17 1.485789e-17 3.657560e-01 0 0
5518.1643 5964.0320 1.144033e-16 1.596195e-17 4.262055e-01 0 0
5522.6805 5968.9131 1.323290e-16 1.561524e-17 4.946316e-01 0 0
5527.1967 5973.7942 7.229352e-17 2.029760e-17 2.668212e-01 16 0
5531.7129 5978.6753 1.059108e-16 1.507925e-17 3.942861e-01 0 0
5536.2292 5983.5565 1.548953e-16 1.618157e-17 5.818191e-01 0 0
5540.7454 5988.4377 1.334394e-16 1.612952e-17 5.001178e-01 0 0
5545.2617 5993.3189 1.145603e-16 1.593847e-17 4.284025e-01 0 0
5549.7780 5998.2001 1.270154e-16 1.751007e-17 4.768258e-01 16 0
5554.2943 6003.0813 1.049956e-16 1.560654e-17 3.931910e-01 0 0
5558.8107 6007.9626 1.170410e-16 1.520596e-17 4.402798e-01 0 0
5563.3270 6012.8438 1.008599e-16 1.601465e-17 3.790391e-01 16 0
5567.8434 6017.7251 1.266753e-16 1.631188e-17 4.796668e-01 16 0
5572.3598 6022.6065 3.750795e-17 3.233744e-17 1.388026e-01 16 0
5576.8762 6027.4878 1.044473e-16 1.571500e-17 3.961235e-01 16 0
5581.3927 6032.3692 1.414842e-16 2.318187e-17 5.418345e-01 16 0
5585.9091 6037.2506 1.258103e-16 1.502286e-17 4.821777e-01 0 0
5590.4256 6042.1320 1.062317e-16 1.488624e-17 4.070452e-01 0 0
5594.9421 6047.0134 1.180393e-16 1.460202e-17 4.549413e-01 0 0
5599.4586 6051.8949 1.300629e-16 1.498273e-17 5.041806e-01 0 0
5603.9751 6056.7763 1.489255e-16 1.680309e-17 5.811890e-01 16 0
5608.4917 6061.6578 3.192500e-15 5.961728e-17 1.321552e+01 16 0
5613.0083 6066.5393 1.339557e-16 1.504298e-17 5.254809e-01 0 0
5617.5249 6071.4209 1.262684e-16 2.005755e-17 4.965472e-01 16 0
5622.0415 6076.3024 1.110258e-16 1.766900e-17 4.370055e-01 16 0
5626.5581 6081.1840 1.804391e-16 1.653734e-17 7.205331e-01 16 0
5631.0748 6086.0656 1.419109e-16 2.808925e-17 5.656588e-01 16 0
5635.5914 6090.9472 1.149146e-16 1.427528e-17 4.575141e-01 0 0
5640.1081 6095.8288 1.109667e-16 1.407292e-17 4.429366e-01 0 0
5644.6248 6100.7105 3.021174e-17 1.974745e-17 1.176980e-01 16 0
5649.1415 6105.5922 1.188321e-16 1.399304e-17 4.780193e-01 0 0
5653.6583 6110.4739 1.133116e-16 1.654610e-17 4.566508e-01 16 0
5658.1750 6115.3556 1.373543e-16 1.499721e-17 5.574190e-01 0 0
5662.6918 6120.2373 1.095512e-16 1.407062e-17 4.434964e-01 16 0
5667.2086 6125.1190 1.136700e-16 1.410452e-17 4.616448e-01 0 0
5671.7254 6130.0008 1.419675e-16 1.544242e-17 5.806250e-01 0 0
5676.2422 6134.8826 1.645921e-16 2.452354e-17 6.767709e-01 16 0
5680.7591 6139.7644 9.329390e-17 2.206933e-17 3.795393e-01 16 0
5685.2759 6144.6462 1.094254e-16 1.517611e-17 4.474566e-01 0 0
5689.7928 6149.5281 1.385135e-16 1.837725e-17 5.701553e-01 16 0
5694.3097 6154.4099 1.005586e-16 1.745859e-17 4.116224e-01 16 0
5698.8266 6159.2918 1.166550e-16 1.690924e-17 4.795842e-01 16 0
5703.3436 6164.1737 1.103531e-16 1.551867e-17 4.536330e-01 16 0
5707.8605 6169.0556 1.128389e-16 1.487394e-17 4.644699e-01 0 0
5712.3775 6173.9376 8.740564e-17 2.120975e-17 3.581261e-01 16 0
5716.8944 6178.8195 1.040688e-16 1.467140e-17 4.282443e-01 0 0
5721.4114 6183.7015 1.017997e-16 1.787192e-17 4.189603e-01 16 0
5725.9284 6188.5835 9.395373e-17 2.841731e-17 3.861629e-01 16 0
5730.4455 6193.4655 1.107714e-16 1.428551e-17 4.570707e-01 16 0
5734.9625 6198.3475 1.494561e-16 1.533767e-17 6.209062e-01 16 0
5739.4796 6203.2295 1.030287e-16 1.435505e-17 4.246368e-01 0 0
5743.9967 6208.1116 1.345814e-16 1.642409e-17 5.579697e-01 16 0
5748.5137 6212.9937 1.246410e-16 1.635308e-17 5.159193e-01 16 0
5753.0309 6217.8757 1.787751e-16 1.845926e-17 7.459900e-01 16 0
5757.5480 6222.7579 9.682347e-17 1.543462e-17 3.986183e-01 16 0
5762.0651 6227.6400 1.168805e-16 1.425758e-17 4.831674e-01 0 0
5766.5823 6232.5221 5.769262e-17 1.483789e-17 2.350115e-01 16 0
5771.0994 6237.4043 9.442236e-17 2.076358e-17 3.886124e-01 16 0
5775.6166 6242.2864 1.194091e-16 1.694909e-17 4.940133e-01 16 0
5780.1338 6247.1686 8.957058e-17 1.381083e-17 3.683888e-01 0 0
5784.6510 6252.0508 1.033794e-16 1.345464e-17 4.266170e-01 0 0
5789.1683 6256.9331 1.019769e-16 1.405737e-17 4.208990e-01 0 0
5793.6855 6261.8153 1.043724e-16 1.351454e-17 4.312388e-01 0 0
5798.2028 6266.6976 1.029330e-16 1.398395e-17 4.254605e-01 0 0
5802.7200 6271.5798 9.792100e-17 1.503059e-17 4.046522e-01 0 0
5807.2373 6276.4621 1.153667e-16 1.641990e-17 4.788954e-01 0 0
5811.7546 6281.3444 1.213428e-16 1.816468e-17 5.048478e-01 16 0
5816.2719 6286.2267 1.358313e-16 1.636079e-17 5.672626e-01 16 0
5820.7893 6291.1090 1.316945e-16 1.443874e-17 5.504616e-01 0 0
5825.3066 6295.9914 1.071441e-16 1.339910e-17 4.465749e-01 0 0
5829.8240 6300.8738 1.218451e-16 1.395827e-17 5.102704e-01 0 0
5834.3413 6305.7561 1.252562e-16 1.670917e-17 5.259374e-01 16 0
5838.8587 6310.6385 6.208726e-17 2.386487e-17 2.574920e-01 16 0
5843.3761 6315.5209 1.152634e-16 1.473455e-17 4.854085e-01 16 0
5847.8935 6320.4033 1.060815e-16 1.367184e-17 4.471455e-01 0 0
5852.4110 6325.2858 1.082821e-16 1.469440e-17 4.578195e-01 16 0
5856.9284 6330.1682 1.215520e-16 1.459531e-17 5.166799e-01 0 0
5861.4459 6335.0507 1.031837e-16 1.464610e-17 4.382488e-01 16 0
5865.9633 6339.9332 1.193873e-16 1.350239e-17 5.101553e-01 0 0
5870.4808 6344.8156 1.072478e-16 1.340646e-17 4.584972e-01 0 0
5874.9983 6349.6982 1.421605e-16 1.447146e-17 6.132724e-01 16 0
5879.5158 6354.5807 1.093192e-16 1.326009e-17 4.701978e-01 0 0
5884.0333 6359.4632 1.027308e-16 1.453861e-17 4.425008e-01 0 0
5888.5508 6364.3457 1.171181e-16 1.447120e-17 5.072737e-01 0 0
5893.0684 6369.2283 2.448691e-16 1.795753e-17 1.081091e+00 16 0
5897.5859 6374.1109 1.075955e-16 1.406036e-17 4.675936e-01 0 0
5902.1035 6378.9935 1.396874e-16 1.339736e-17 6.120256e-01 0 0
5906.6211 6383.8761 1.035080e-16 1.407806e-17 4.516118e-01 16 0
5911.1387 6388.7587 1.938070e-16 1.652093e-17 8.592750e-01 0 0
5915.6563 6393.6413 9.921687e-17 1.712580e-17 4.343278e-01 16 0
5920.1739 6398.5239 1.183202e-16 1.480741e-17 5.208784e-01 16 0
5924.6915 6403.4066 1.104703e-16 1.627501e-17 4.864395e-01 16 0
5929.2091 6408.2892 1.043259e-16 1.396331e-17 4.594997e-01 16 0
5933.7268 6413.1719 1.047593e-16 1.413205e-17 4.620882e-01 16 0
5938.2444 6418.0546 8.563915e-17 1.439377e-17 3.765814e-01 16 0
5942.7621 6422.9373 1.130098e-16 1.343809e-17 5.004243e-01 16 0
5947.2798 6427.8200 1.006111e-16 1.382256e-17 4.448132e-01 16 0
5951.7975 6432.7027 1.115574e-16 1.655514e-17 4.947086e-01 16 0
5956.3152 6437.5854 1.066932e-16 2.571415e-17 4.730045e-01 16 0
5960.8329 6442.4682 1.255620e-16 1.378931e-17 5.589596e-01 0 0
5965.3506 6447.3509 7.519933e-17 3.303382e-17 3.312943e-01 16 0
5969.8683 6452.2337 1.284587e-16 1.297666e-17 5.726482e-01 16 0
5974.3861 6457.1165 1.221713e-16 1.285830e-17 5.441974e-01 0 0
