# obs_wvl flux error
2.980000000000000000e+03 5.904199514597373542e-16 1.604684940933107349e-16
2.985491760541339772e+03 -2.247606626718494599e-16 1.189693386424257345e-16
2.990983521082679545e+03 -9.095552743702383570e-17 1.258789922496711094e-16
2.996475281624019317e+03 2.330814150464012171e-16 1.088816211903324694e-16
3.001967042165359089e+03 3.654714526977518837e-16 1.115762998904137172e-16
3.007458802706698862e+03 -2.040923535109110070e-17 1.044032147072405228e-16
3.012950563248038634e+03 1.058711369238182504e-16 1.095690063165585661e-16
3.018442323789378406e+03 2.618385873588696175e-16 9.644715414327342939e-17
3.023934084330718179e+03 3.563124009277411765e-16 1.035790441588360620e-16
3.029425844872057951e+03 -8.963572885524869096e-16 1.581658184091208551e-16
3.034917605413397723e+03 -1.346229678718227094e-15 1.379674747063406980e-16
3.040409365954737495e+03 -4.330899710327383962e-16 9.590126364593153133e-17
3.045901126496077268e+03 2.285541942094725475e-16 8.354422728330053872e-17
3.051392887037417040e+03 -2.149094529974281018e-16 9.436650445276425029e-17
3.056884647578756812e+03 1.098032693561613033e-17 7.422497895401283286e-17
3.062376408120096585e+03 -8.638691055793739239e-17 7.788154443833019808e-17
3.067868168661436357e+03 2.318234705007855718e-16 7.208686786283414603e-17
3.073359929202776129e+03 4.958873671464311010e-16 1.581442561959507660e-16
3.078851689744115902e+03 1.909644365676190510e-17 7.275751866677660533e-17
3.084343450285455674e+03 -3.771021420061587387e-16 8.011277357010314515e-17
3.089835210826795446e+03 3.448674212668853255e-17 6.835376143178105628e-17
3.095326971368135219e+03 1.457521153898084827e-16 7.143166839635420286e-17
3.100818731909474991e+03 7.820765970330256037e-16 7.299820873484498854e-17
3.106310492450814763e+03 2.099517896463744751e-16 6.451664540725683669e-17
3.111802252992154536e+03 2.808116512510849006e-16 6.817702931266856027e-17
3.117294013533494308e+03 -2.101548833628392520e-16 6.387215162471973759e-17
3.122785774074834080e+03 4.890748858209729037e-17 6.517627401024878611e-17
3.128277534616173853e+03 4.099570839581978880e-16 6.641617089841518549e-17
3.133769295157513625e+03 2.450761915021747475e-16 9.040026633152587901e-17
3.139261055698853397e+03 1.954113802177534686e-16 6.110475262073909759e-17
3.144752816240193170e+03 7.130171132711655964e-17 6.957291391967813321e-17
3.150244576781532942e+03 8.856433065919528383e-17 7.216668400852623815e-17
