# obs_wvl flux error
1.663000000000000000e+03 -4.664972123597909553e-15 6.746408631259004016e-15
1.665745863836766148e+03 -4.927202290945732657e-15 5.656969597017023630e-15
1.668491727673532296e+03 -3.888615175502071853e-15 4.199563294936293315e-15
1.671237591510298444e+03 5.469128707528216394e-15 3.974738643143466960e-15
1.673983455347064591e+03 -1.595575557432595027e-14 8.007666791185734461e-15
1.676729319183830739e+03 5.973195029259961123e-15 3.578395056691318600e-15
1.679475183020596887e+03 -2.333021972304781611e-15 3.505137587502998891e-15
1.682221046857363035e+03 3.926668089869148401e-15 3.656727280962855475e-15
1.684966910694129183e+03 -2.316998346494702290e-14 7.084089102743126208e-15
1.687712774530895331e+03 -8.079725186861618774e-15 8.160276944533926681e-15
1.690458638367661479e+03 -6.054770224311015524e-15 4.726794363121534870e-15
1.693204502204427627e+03 -4.234870712163866756e-16 2.950383912305190125e-15
1.695950366041193774e+03 8.438243102804655184e-15 2.664283119779015809e-15
1.698696229877959922e+03 -3.686481294357265780e-15 2.935351860917974087e-15
1.701442093714726070e+03 3.432725921415264993e-16 2.220179564037591074e-15
1.704187957551492218e+03 -2.867315510759904422e-15 1.987454205704001178e-15
1.706933821388258366e+03 1.489721891107017710e-15 1.868244505806287769e-15
1.709679685225024514e+03 8.985983979029376671e-16 2.219566850753638728e-15
1.712425549061790662e+03 -3.889249525245572328e-15 2.500544675110852853e-15
1.715171412898556810e+03 2.187243911729777220e-15 2.104895895424752980e-15
1.717917276735322957e+03 -6.544417298540819573e-16 1.655919830057943142e-15
1.720663140572089105e+03 -1.773326013945587897e-15 4.122344078115138255e-15
1.723409004408855253e+03 -3.731897902451370413e-16 1.736411981776757123e-15
1.726154868245621401e+03 -1.146365614987082451e-14 4.464099380639117964e-15
1.728900732082387549e+03 1.627156978008075233e-16 1.533572508525495443e-15
1.731646595919153697e+03 1.599487078212191136e-15 1.481134675893423053e-15
1.734392459755919845e+03 2.246282689361586896e-15 1.444169071207758595e-15
1.737138323592685992e+03 -1.952661830784268233e-16 2.455821255992922170e-15
1.739884187429452140e+03 -3.182228617292865926e-15 2.960356380036237221e-15
1.742630051266218288e+03 3.911217570403227261e-16 2.429713140969434341e-15
1.745375915102984436e+03 1.082353787333547819e-15 1.466174263525640800e-15
1.748121778939750584e+03 -1.199524241538152587e-15 1.953057743879224133e-15
1.750867642776516732e+03 -1.876635925905553159e-15 1.252904169573972261e-15
1.753613506613282880e+03 1.016861947115700262e-15 1.305678484245887259e-15
1.756359370450049028e+03 1.489144110413711470e-16 1.454640404395392383e-15
1.759105234286815175e+03 1.312209649306322600e-15 1.471813415985153878e-15
1.761851098123581323e+03 5.557072381518621690e-15 1.321043901280251389e-15
1.764596961960347471e+03 -6.488515848539740494e-16 1.586267834017169078e-15
1.767342825797113619e+03 1.288647026624180875e-15 1.309667115408001983e-15
1.770088689633879767e+03 5.180065096931804271e-15 1.793908219976938362e-15
1.772834553470645915e+03 -3.200563687827679224e-15 3.746509113210470983e-15
1.775580417307412063e+03 -1.341189072651294229e-15 1.335049113834423137e-15
1.778326281144178211e+03 2.366441802283786166e-15 1.046384164183241517e-15
1.781072144980944358e+03 4.513037949674241506e-16 1.034597186254668876e-15
1.783818008817710506e+03 1.892405186728566940e-17 1.207510194594530363e-15
1.786563872654476654e+03 7.280523331107546920e-15 1.066236184741449697e-15
1.789309736491242802e+03 -3.817864882152104636e-16 1.533935319252748833e-15
1.792055600328008950e+03 -5.399585798431271807e-16 1.024312537995318870e-15
1.794801464164775098e+03 4.865441811632120379e-16 1.035468341758526111e-15
1.797547328001541246e+03 -2.660221620362553835e-16 1.118032791910075059e-15
1.800293191838307393e+03 5.492670363365931535e-16 1.137857643493961136e-15
1.803039055675073541e+03 -4.279017678920954525e-15 2.011300251739484561e-15
1.805784919511839689e+03 5.223034550810069392e-16 9.026574846823689213e-16
1.808530783348605837e+03 -8.840251291205304316e-15 2.517463012625385042e-15
1.811276647185371985e+03 -3.751560641556459296e-15 1.469014643738717449e-15
1.814022511022138133e+03 -4.364048480164706527e-16 1.460672989094206225e-15
1.816768374858904281e+03 9.080665535485910029e-16 8.665889520282395221e-16
1.819514238695670429e+03 2.647297744697460657e-15 8.341659662034503441e-16
1.822260102532436576e+03 9.515340184116539766e-16 1.066268993813960697e-15
1.825005966369202724e+03 -5.082605146814146634e-15 1.869135359148624909e-15
1.827751830205968872e+03 -1.493291485618136400e-15 1.144776231819113568e-15
1.830497694042735020e+03 1.990093209825081310e-15 8.618719626992469201e-16
1.833243557879501168e+03 7.062142005869585875e-16 7.879419545385265106e-16
1.835989421716267316e+03 -3.330012179494057600e-15 1.337488184064724438e-15
1.838735285553033464e+03 -1.489432173342292258e-15 1.094597440201558049e-15
1.841481149389799612e+03 -7.895942510043707049e-16 1.182625546797877175e-15
1.844227013226565759e+03 7.373590942719189343e-16 7.288912391268126949e-16
1.846972877063331907e+03 1.693392654046621370e-15 8.175159116328117801e-16
1.849718740900098055e+03 4.094488336443102798e-16 6.879687395713493973e-16
1.852464604736864203e+03 5.775965828056083455e-16 7.006268517999477561e-16
1.855210468573630351e+03 -4.450248187213537011e-16 9.263260006662702808e-16
1.857956332410396499e+03 6.015850322000666888e-16 6.965067829394844082e-16
1.860702196247162647e+03 6.322833807689576232e-16 6.720764109940646523e-16
1.863448060083928794e+03 2.931793513024498644e-15 7.309740126382282417e-16
1.866193923920694942e+03 3.364771104374199941e-16 7.144633071139039354e-16
1.868939787757461090e+03 -1.654845338475523846e-15 1.186686397660811484e-15
1.871685651594227238e+03 -5.526520348649869323e-17 6.488938939723774910e-16
1.874431515430993386e+03 1.548813812987077157e-15 6.048585344581743374e-16
1.877177379267759534e+03 1.220661483637461624e-15 6.172039008596512502e-16
1.879923243104525682e+03 2.416768826819218006e-15 9.218462704513269093e-16
1.882669106941291830e+03 -3.885985740703971426e-16 5.976375195903236638e-16
1.885414970778057977e+03 -7.261112333321819457e-16 5.528711709342354814e-16
1.888160834614824125e+03 3.501705078660832642e-16 5.410668291997053576e-16
1.890906698451590273e+03 1.883241161067426779e-14 9.092694542874248840e-16
1.893652562288356421e+03 1.304680252623068223e-13 3.977885363080226211e-15
1.896398426125122569e+03 8.659301626877962486e-16 6.730301187601279791e-16
1.899144289961888717e+03 7.483165673914512861e-16 6.290777758819833365e-16
1.901890153798654865e+03 9.685861674852375794e-16 5.286723282496200498e-16
1.904636017635421013e+03 -1.469538552892359374e-15 8.623484542128128432e-16
1.907381881472187160e+03 -9.099510456925789862e-16 5.822091090072822618e-16
1.910127745308953308e+03 1.043879237538100259e-15 5.389042003540743734e-16
1.912873609145719456e+03 5.638408879911544832e-17 1.178218028584328761e-15
1.915619472982485604e+03 -1.193226293750665149e-15 1.010371213643485699e-15
1.918365336819251752e+03 2.797999031371688189e-15 7.376318171961144947e-16
1.921111200656017900e+03 1.372727225965352637e-16 8.041976271125876143e-16
1.923857064492784048e+03 -2.910788369242078131e-16 7.683491382091386310e-16
1.926602928329550195e+03 -1.241080148376948088e-15 5.322374419562153145e-16
1.929348792166316343e+03 -4.578838290412529271e-16 6.408533505172437092e-16
1.932094656003082491e+03 2.070553273327840783e-15 6.366411540115945754e-16
1.934840519839848639e+03 -5.438135469150659202e-17 7.260818932169858272e-16
1.937586383676614787e+03 2.101159106380761950e-15 7.049875030183305235e-16
1.940332247513380935e+03 -5.857383649246158867e-16 4.730783024487233487e-16
1.943078111350147083e+03 -2.287087969968580681e-15 8.714547067408281027e-16
1.945823975186913231e+03 2.489783469849319153e-16 4.296471351141625334e-16
1.948569839023679378e+03 2.333054360649470090e-16 4.224851727621438229e-16
1.951315702860445526e+03 5.123837731299322797e-18 4.614905203270713316e-16
1.954061566697211674e+03 4.790817536556219301e-16 4.840474773919425305e-16
1.956807430533977822e+03 -2.032761447326486859e-17 4.252670630365106049e-16
1.959553294370743970e+03 5.165118988839628194e-16 4.065259915046577139e-16
1.962299158207510118e+03 6.993625153631075761e-16 4.664534964910603897e-16
1.965045022044276266e+03 4.993430991005254905e-16 4.378077201728533032e-16
