# obs_wvl flux error
5.290000000000000000e+03 5.405898735857321384e-16 2.996925651860862490e-17
5.294879530651278401e+03 6.479312064804981937e-16 2.835865558550684536e-17
5.299759061302556802e+03 6.656312223709670153e-16 2.671752947106010461e-17
5.304638591953835203e+03 6.280645366991873247e-16 2.495542129784454154e-17
5.309518122605113604e+03 6.020243736836016466e-16 2.628762500210746076e-17
5.314397653256392005e+03 6.328640593519334622e-16 3.055157962199439313e-17
5.319277183907670405e+03 6.554507071159328149e-16 3.640108963097826244e-17
5.324156714558948806e+03 6.358352187011255969e-16 2.970185490230445745e-17
5.329036245210227207e+03 6.252658013239116996e-16 5.831370407008474089e-17
5.333915775861505608e+03 6.378568171455610050e-16 2.703494928174565981e-17
5.338795306512784009e+03 6.388467354953387920e-16 3.506906471643691357e-17
5.343674837164062410e+03 6.166913527468671388e-16 3.199547522639491116e-17
5.348554367815340811e+03 5.851452837896498389e-16 3.050826302906308791e-17
5.353433898466619212e+03 6.505578558702393585e-16 2.743771939220423009e-17
5.358313429117897613e+03 8.195011757459140256e-16 2.931607114149098044e-17
5.363192959769176014e+03 6.026184337099549596e-16 2.983262714015318243e-17
5.368072490420454415e+03 5.622528942314765074e-16 3.125372662667374545e-17
5.372952021071732815e+03 6.203192401130182568e-16 2.727500118479612858e-17
5.377831551723011216e+03 6.911528226781410469e-16 3.356165580146133841e-17
5.382711082374289617e+03 5.943448713487102840e-16 2.735670962124828724e-17
5.387590613025568018e+03 5.462805493528783422e-16 3.009012083049681364e-17
5.392470143676846419e+03 5.701604384222505787e-16 2.672217177253955310e-17
5.397349674328124820e+03 5.556347925370703914e-16 2.551814495076594695e-17
5.402229204979403221e+03 5.915647425061682280e-16 2.701253495252379308e-17
5.407108735630681622e+03 5.816924943890366321e-16 2.669930494001468089e-17
5.411988266281960023e+03 4.517206399648872636e-16 4.728038185224822242e-17
5.416867796933238424e+03 5.665482649363531470e-16 2.789557519059078800e-17
5.421747327584516825e+03 5.956145433865258292e-16 2.499146820240236740e-17
5.426626858235795225e+03 5.915696332807840872e-16 2.497147191668419797e-17
5.431506388887073626e+03 5.494601726411294119e-16 4.313836072006275818e-17
5.436385919538352027e+03 5.650684621205236980e-16 2.354030981989408124e-17
5.441265450189630428e+03 5.769016610100142770e-16 2.302250416403127479e-17
5.446144980840908829e+03 5.373704227368614191e-16 2.606781903198385468e-17
5.451024511492187230e+03 6.301828911317633470e-16 3.734137447869392857e-17
5.455904042143465631e+03 5.481682993741384670e-16 2.205902669867839961e-17
5.460783572794744032e+03 5.857920590069771820e-16 2.212305163152003987e-17
5.465663103446022433e+03 5.959683711969350981e-16 2.145154075246305328e-17
5.470542634097300834e+03 5.816202331057703616e-16 3.724709859681895225e-17
5.475422164748579235e+03 4.989920579189695223e-16 2.333919751584654260e-17
5.480301695399857635e+03 5.774237979627936611e-16 2.773330037527134484e-17
5.485181226051136036e+03 6.029386416068190830e-16 2.093719195873769113e-17
5.490060756702414437e+03 5.798646344260064378e-16 2.509239529078536013e-17
5.494940287353692838e+03 5.187861961729721596e-16 1.978251190447093926e-17
5.499819818004971239e+03 5.482900138673577311e-16 2.027800621648217981e-17
5.504699348656249640e+03 6.183287286851504700e-16 2.129460243362320681e-17
5.509578879307528041e+03 5.645855087126084761e-16 2.767137600927495344e-17
5.514458409958806442e+03 5.320903990819477991e-16 2.909135475916070200e-17
5.519337940610084843e+03 5.888404281336381662e-16 2.130213751871992145e-17
5.524217471261363244e+03 5.758193419249904873e-16 3.107155391287728459e-17
5.529097001912641645e+03 5.765081218914772504e-16 2.102494463191611583e-17
5.533976532563920046e+03 4.905774934177617967e-16 2.374100311609303591e-17
5.538856063215198446e+03 5.948491395948958151e-16 2.043810070386709832e-17
5.543735593866476847e+03 5.703633781763800353e-16 2.488755912097505227e-17
5.548615124517755248e+03 5.306346174383351997e-16 1.995461719533376792e-17
5.553494655169033649e+03 5.609190249802681525e-16 2.050472091935774076e-17
5.558374185820312050e+03 5.615585086140738131e-16 2.054680181124789355e-17
5.563253716471590451e+03 5.602302907256751987e-16 1.942323935499398115e-17
5.568133247122868852e+03 5.309232162767025173e-16 1.948015422828083365e-17
5.573012777774147253e+03 5.203338673183883539e-16 1.933399488482449887e-17
5.577892308425425654e+03 5.371180305536287944e-16 2.165368052760634924e-17
5.582771839076704055e+03 5.458927621403983255e-16 2.199296078688933639e-17
5.587651369727982456e+03 5.170041933802939804e-16 3.074010087236500158e-17
5.592530900379260856e+03 5.624428561659431263e-16 3.123308827212189598e-17
5.597410431030539257e+03 5.701063654956448294e-16 2.126573208999409543e-17
5.602289961681817658e+03 5.600894619634940159e-16 1.949910042273720521e-17
5.607169492333096059e+03 5.662171926148077309e-16 4.309112058511769748e-17
5.612049022984374460e+03 6.088306163348519125e-16 2.279772948255018442e-17
5.616928553635652861e+03 5.677998039425996135e-16 2.137399853240998861e-17
5.621808084286931262e+03 5.401237003362093752e-16 2.209925648170753396e-17
5.626687614938209663e+03 4.909238584149967007e-16 1.914264553859679498e-17
5.631567145589488064e+03 5.604815408958556943e-16 2.832557678466829351e-17
5.636446676240766465e+03 4.671405824944825368e-16 3.174491235098052243e-17
5.641326206892044866e+03 5.401106622474929147e-16 1.866400492936945681e-17
5.646205737543323266e+03 5.291692199673754942e-16 2.003653389507189307e-17
5.651085268194601667e+03 5.655308294666260855e-16 1.986927544638373882e-17
