# obs_wvl flux error
5.290000000000000000e+03 5.664822401116981465e-16 2.398064169698894097e-17
5.299759061302555892e+03 6.530801097329627284e-16 1.697073108371966049e-17
5.309518122605111785e+03 6.156626680016739650e-16 1.690262343942914405e-17
5.319277183907667677e+03 6.453195551413572511e-16 2.177276155807450206e-17
5.329036245210223569e+03 6.307973781605405440e-16 3.179785995151808517e-17
5.338795306512779462e+03 6.333214774392644497e-16 2.097408282561012559e-17
5.348554367815335354e+03 6.087525036825021267e-16 1.912473917494364516e-17
5.358313429117891246e+03 7.250271265653069094e-16 1.828745051167813761e-17
5.368072490420447139e+03 5.849596045589656326e-16 1.913267248125750174e-17
5.377831551723003031e+03 6.502567220647944493e-16 1.985775423716384831e-17
5.387590613025558923e+03 5.634876226862972393e-16 1.827353075341379006e-17
5.397349674328114816e+03 5.681876637400029587e-16 1.628564500090958457e-17
5.407108735630670708e+03 5.526194935912840326e-16 1.928485785158814993e-17
5.416867796933226600e+03 5.442251874463276286e-16 1.998422839627991596e-17
5.426626858235782493e+03 5.824205598396089026e-16 1.783699269101844629e-17
5.436385919538338385e+03 5.638439914847242594e-16 1.752551807274260372e-17
5.446144980840894277e+03 5.700545643700332631e-16 1.724980582798191760e-17
5.455904042143450170e+03 5.783520464937662504e-16 1.591227018103360959e-17
5.465663103446006062e+03 5.900899846279746690e-16 1.539228020398734592e-17
5.475422164748561954e+03 5.388371807764596275e-16 1.684265562750087939e-17
5.485181226051117847e+03 5.912451089747368933e-16 1.430227089969654088e-17
5.494940287353673739e+03 5.412054340238767352e-16 1.301283571037510813e-17
5.504699348656229631e+03 5.877282679067987103e-16 1.384170790410672320e-17
5.514458409958785523e+03 5.539615108269102866e-16 1.726527151161382687e-17
5.524217471261341416e+03 5.794645795990440077e-16 1.750474728217976044e-17
5.533976532563897308e+03 5.377486843488487203e-16 1.415888993348508320e-17
5.543735593866453200e+03 5.670738708682884068e-16 1.455326746906374791e-17
5.553494655169009093e+03 5.533685734025697000e-16 1.267492369534396383e-17
5.563253716471564985e+03 5.533336694739879331e-16 1.218510075325308287e-17
5.573012777774120877e+03 5.270251067779022668e-16 1.224921266750926563e-17
5.582771839076676770e+03 5.366232534980866739e-16 1.459971724584339547e-17
5.592530900379232662e+03 5.528856536776209179e-16 1.846706402569590676e-17
5.602289961681788554e+03 5.641286327883666325e-16 1.552350133655998961e-17
5.612049022984344447e+03 5.880611928987789663e-16 1.689313490217354840e-17
5.621808084286900339e+03 5.347618299019029791e-16 1.333776171903606913e-17
5.631567145589456231e+03 5.198837585314773376e-16 1.706569592909146150e-17
5.641326206892012124e+03 5.188971985077913251e-16 1.344970445182290278e-17
5.651085268194568016e+03 5.447936506155141024e-16 1.244471568259308301e-17
5.660844329497123908e+03 5.078001376855276237e-16 1.337316661601508706e-17
5.670603390799679801e+03 5.258233686470630371e-16 1.279944515813677907e-17
5.680362452102235693e+03 5.301049699083264426e-16 1.119724741753532512e-17
5.690121513404791585e+03 5.262637464091760696e-16 1.268168404796100142e-17
5.699880574707347478e+03 4.478954203176190437e-16 1.595089400636223739e-17
5.709639636009903370e+03 4.934652016344711685e-16 1.169034938225642532e-17
5.719398697312459262e+03 4.902358810446090258e-16 1.139730469052335654e-17
5.729157758615015155e+03 6.708503142287832383e-16 2.436272626942837344e-17
5.738916819917571047e+03 4.752379542896954225e-16 1.468876497010879239e-17
5.748675881220126939e+03 5.103308568098410705e-16 1.151871870242613601e-17
5.758434942522682832e+03 4.788161110363250611e-16 1.255126072675803988e-17
5.768194003825238724e+03 4.544368511632307431e-16 1.290816388140682794e-17
5.777953065127794616e+03 4.725878710091253087e-16 1.310687371037033604e-17
5.787712126430350509e+03 4.894782079091860419e-16 1.074181301920135738e-17
5.797471187732906401e+03 4.889230377071345706e-16 1.087258391281433195e-17
5.807230249035462293e+03 5.038042223543007938e-16 1.578283357985239305e-17
5.816989310338018186e+03 4.716042744188632607e-16 2.546999892136416305e-17
5.826748371640574078e+03 5.151671265854638613e-16 1.133336699998619266e-17
5.836507432943129970e+03 5.466238831916952181e-16 1.070956445665512853e-17
5.846266494245685863e+03 5.541260055060294441e-16 1.078180367394651793e-17
5.856025555548241755e+03 5.345081612979912582e-16 1.351024011117909436e-17
5.865784616850797647e+03 5.250507281270498445e-16 1.155346823297295803e-17
5.875543678153353540e+03 5.439037113330160192e-16 1.119730253201781886e-17
5.885302739455909432e+03 5.209374157045243898e-16 1.117915317481837862e-17
5.895061800758465324e+03 5.551681993431453384e-16 1.084320689045709285e-17
5.904820862061021217e+03 5.394315730318750529e-16 1.058012454332135435e-17
5.914579923363577109e+03 5.340130631428785607e-16 1.438899807917516843e-17
