# obs_wvl flux error
1.579000000000000000e+03 -8.781201135156513349e-13 1.665880541151798511e-12
1.580548185797257247e+03 -2.365526101768658046e-13 4.669161720965566770e-13
1.582096371594514494e+03 -9.579392889998954676e-15 1.392219046308965483e-14
1.583644557391771741e+03 -1.363279950445959031e-14 8.580833886003939428e-15
1.585192743189028988e+03 -5.436816969220984487e-15 6.748482713492124588e-15
1.586740928986286235e+03 5.672269885090123603e-15 5.916454311813861149e-15
1.588289114783543482e+03 6.302010006270121300e-15 4.896893337212813187e-15
1.589837300580800729e+03 7.152108053390162210e-16 3.905309361713978269e-15
1.591385486378057976e+03 2.105551002408194620e-15 3.557355372099829332e-15
1.592933672175315223e+03 -7.058077168887796663e-16 2.868578169596326560e-15
1.594481857972572470e+03 3.276247937197177120e-15 2.916329342815433053e-15
1.596030043769829717e+03 1.525819618767451853e-15 2.413590372255584239e-15
1.597578229567086964e+03 6.916143593425559407e-16 2.134589736467696510e-15
1.599126415364344211e+03 1.034239919786176918e-15 1.940300772543266903e-15
1.600674601161601458e+03 3.443319494147021074e-15 1.906358751819080418e-15
1.602222786958858705e+03 4.026455581342526444e-15 1.755712907334335221e-15
1.603770972756115953e+03 -7.524499491010153338e-16 1.239215111601638043e-15
1.605319158553373200e+03 -3.614245667472934083e-16 1.248836309960488984e-15
1.606867344350630447e+03 1.080977116153894843e-15 1.189655595386873651e-15
1.608415530147887694e+03 1.402253045136958975e-15 1.158683594504400966e-15
1.609963715945144941e+03 1.658393291072932787e-15 1.080012853218570293e-15
1.611511901742402188e+03 7.478904218428350183e-16 9.429027154647344289e-16
1.613060087539659435e+03 1.677653416671493146e-16 8.285104274401844728e-16
1.614608273336916682e+03 -1.093843267651587728e-17 7.616085485312321367e-16
1.616156459134173929e+03 1.344957702057712597e-15 8.197717621829035393e-16
1.617704644931431176e+03 1.255779909518514292e-15 7.513249085685670727e-16
1.619252830728688423e+03 5.511262333726442756e-16 6.459541264188414981e-16
1.620801016525945670e+03 1.352989287934864555e-15 6.872666476327429414e-16
1.622349202323202917e+03 1.442106089148948646e-15 6.434037309836228544e-16
1.623897388120460164e+03 1.288676367749109190e-15 6.051481663720338405e-16
1.625445573917717411e+03 1.667728176891796640e-15 5.930566633227158830e-16
1.626993759714974658e+03 3.255332701401644401e-15 6.889809443362757383e-16
1.628541945512231905e+03 1.983391272275351581e-15 5.513319601910880149e-16
1.630090131309489152e+03 1.339634284464837211e-15 5.057206214892945937e-16
1.631638317106746399e+03 2.131534485722093028e-15 5.558946975377801153e-16
1.633186502904003646e+03 2.384451445664176764e-15 5.297907427323766706e-16
1.634734688701260893e+03 3.104477527973677409e-15 5.575564685319590200e-16
1.636282874498518140e+03 1.888937304486898022e-15 4.631254914882593802e-16
1.637831060295775387e+03 2.333007570416206625e-15 4.945155256877577446e-16
1.639379246093032634e+03 3.197099759463095616e-15 5.170285651261864902e-16
1.640927431890289881e+03 2.356388741727679384e-15 4.587996182844253872e-16
1.642475617687547128e+03 2.949230317704302297e-15 4.878577479199447925e-16
1.644023803484804375e+03 2.411910851569803249e-15 4.409441119476966104e-16
1.645571989282061622e+03 3.010482850738934925e-15 4.639486189577927935e-16
1.647120175079318869e+03 2.147254415046843278e-15 4.107046895110439852e-16
1.648668360876576116e+03 3.051312683704929207e-15 4.534988517171044438e-16
1.650216546673833363e+03 3.359945551545012196e-15 4.553303763446566788e-16
1.651764732471090610e+03 2.683264249375274785e-15 4.092024084605435474e-16
1.653312918268347858e+03 2.751777770811926335e-15 4.129468929411408319e-16
1.654861104065605105e+03 2.564874470939358002e-15 3.960224817432966848e-16
1.656409289862862352e+03 3.118081431846800799e-15 4.176980779402914377e-16
1.657957475660119599e+03 3.001185238439720527e-15 4.005590176319411517e-16
1.659505661457376846e+03 2.084804062819782451e-15 3.523336665398465067e-16
1.661053847254634093e+03 2.591738865132263567e-15 3.828640882379650558e-16
1.662602033051891340e+03 2.120475764385274685e-15 3.467133301601757015e-16
1.664150218849148587e+03 2.429808691354043233e-15 3.578392598326530669e-16
1.665698404646405834e+03 3.129904315825817707e-15 3.922888954135807041e-16
1.667246590443663081e+03 2.974962639813581564e-15 3.763382369517770113e-16
1.668794776240920328e+03 3.069340749567053175e-15 3.745742556206116294e-16
1.670342962038177575e+03 2.762805584846988622e-15 3.570558349942813879e-16
1.671891147835434822e+03 2.752127322138431227e-15 3.587100854510160366e-16
1.673439333632692069e+03 3.088213212562759760e-15 3.676857628199804117e-16
1.674987519429949316e+03 2.840351739542176860e-15 3.510848341589134407e-16
1.676535705227206563e+03 2.304469708636868280e-15 3.267895622602781486e-16
1.678083891024463810e+03 2.717257114003599285e-15 3.388369476084505827e-16
1.679632076821721057e+03 3.537986107787669606e-15 3.794879085696663097e-16
1.681180262618978304e+03 2.608781934258666198e-15 3.209800057396192613e-16
1.682728448416235551e+03 2.559537831391630480e-15 3.268987740854415254e-16
1.684276634213492798e+03 2.934366624939605015e-15 3.386437610173806269e-16
1.685824820010750045e+03 2.244844512961479275e-15 3.026481278854202699e-16
1.687373005808007292e+03 2.624471100018877861e-15 3.201996234960479008e-16
1.688921191605264539e+03 2.261253857534789859e-15 3.062900155171443145e-16
1.690469377402521786e+03 2.712221010986266186e-15 3.219506955223789173e-16
1.692017563199779033e+03 2.716689193988934057e-15 3.156092118699505593e-16
1.693565748997036280e+03 2.589789696852664171e-15 3.129546255604198453e-16
1.695113934794293527e+03 2.481558940197482878e-15 3.091786471114377593e-16
1.696662120591550774e+03 3.243996290830199716e-15 3.362468205886121849e-16
1.698210306388808021e+03 2.344124134099842616e-15 2.896600842173912037e-16
1.699758492186065268e+03 2.827789591467952032e-15 3.157791511066874230e-16
1.701306677983322516e+03 3.004171974521149304e-15 3.193563325501732262e-16
1.702854863780579763e+03 3.069702043089754180e-15 3.209439079355052382e-16
1.704403049577837010e+03 2.805099679676688733e-15 3.095197732319168231e-16
1.705951235375094257e+03 2.465951985492703001e-15 2.931391176055012494e-16
1.707499421172351504e+03 2.339506793180847124e-15 2.856398594127388283e-16
1.709047606969608751e+03 1.891665464520216630e-15 2.643980666367093484e-16
1.710595792766865998e+03 2.534726470480729386e-15 2.929570346050132259e-16
1.712143978564123245e+03 1.963470765824663154e-15 2.584401741775581073e-16
1.713692164361380492e+03 1.904777516781051314e-15 2.604030986593747079e-16
1.715240350158637739e+03 2.601413312564856197e-15 2.946417721285365105e-16
1.716788535955894986e+03 2.312784122096707613e-15 2.764100379364312138e-16
