# obs_wvl flux error
1.579000000000000000e+03 -7.800749736875021332e-13 1.482563164641512751e-12
1.582096371594514494e+03 -5.416809299224918014e-15 1.487292489920429908e-14
1.585192743189028988e+03 -5.077428574821751763e-15 5.885735501588107251e-15
1.588289114783543482e+03 5.958665170078013149e-15 4.211527658741869063e-15
1.591385486378057976e+03 9.748857177390823750e-16 2.927282309595237529e-15
1.594481857972572470e+03 1.806030779180206814e-15 2.311515781646006507e-15
1.597578229567086964e+03 6.704411720844275722e-16 1.758257078861073027e-15
1.600674601161601458e+03 3.017830790395021534e-15 1.519760189104172153e-15
1.603770972756115953e+03 3.866485316188554832e-16 1.108583592962490122e-15
1.606867344350630447e+03 9.371137704514349893e-16 9.509010127439309231e-16
1.609963715945144941e+03 1.440758143031670857e-15 8.574967510842856894e-16
1.613060087539659435e+03 2.048731532787655450e-16 6.650496076959046334e-16
1.616156459134173929e+03 1.008039687436869004e-15 6.177264564512246399e-16
1.619252830728688423e+03 8.355495698990074802e-16 5.201373610160117160e-16
1.622349202323202917e+03 1.449902114346534414e-15 4.993698468176477365e-16
1.625445573917717411e+03 1.873590444427627829e-15 4.566415903856283136e-16
1.628541945512231905e+03 2.244681912953336346e-15 4.450494939546513214e-16
1.631638317106746399e+03 1.978432203141355830e-15 4.047800908781670849e-16
1.634734688701260893e+03 2.697426352051637098e-15 4.045899129212220416e-16
1.637831060295775387e+03 2.327888552386698187e-15 3.599712047709107402e-16
1.640927431890289881e+03 2.712001568498660439e-15 3.506168253431365427e-16
1.644023803484804375e+03 2.700242015228852005e-15 3.327768242558257335e-16
1.647120175079318869e+03 2.574096601172805798e-15 3.111630025592971590e-16
1.650216546673833363e+03 3.194181351897425365e-15 3.257429140650771709e-16
1.653312918268347858e+03 2.666594009473791000e-15 2.940616525788059600e-16
1.656409289862862352e+03 2.949927216001660376e-15 2.926650450119491577e-16
1.659505661457376846e+03 2.407192734949092710e-15 2.602838570759243585e-16
1.662602033051891340e+03 2.325957746078694362e-15 2.514189047300029392e-16
1.665698404646405834e+03 2.939272364225807669e-15 2.678173825387869686e-16
1.668794776240920328e+03 2.971258263693145418e-15 2.596429673391194336e-16
1.671891147835434822e+03 2.817559531449906681e-15 2.483617252314311724e-16
1.674987519429949316e+03 2.793799301996905817e-15 2.424902735957015896e-16
1.678083891024463810e+03 2.782595127688448599e-15 2.327609129745213240e-16
1.681180262618978304e+03 2.848776628376976602e-15 2.283936534737043596e-16
1.684276634213492798e+03 2.688244567361555740e-15 2.244805643837457539e-16
1.687373005808007292e+03 2.430076357619352389e-15 2.114510085776798239e-16
1.690469377402521786e+03 2.591872759058753596e-15 2.123291052033269798e-16
1.693565748997036280e+03 2.595579347291094627e-15 2.080184175176204556e-16
1.696662120591550774e+03 2.844763816445900595e-15 2.148712921795905284e-16
1.699758492186065268e+03 2.730223175409011599e-15 2.042655618149426382e-16
1.702854863780579763e+03 2.993912040887830800e-15 2.086184028547198528e-16
1.705951235375094257e+03 2.516351818249565401e-15 1.921819913081105859e-16
1.709047606969608751e+03 2.153847757018153200e-15 1.763873887177421163e-16
1.712143978564123245e+03 2.100912393095076452e-15 1.710849823789924610e-16
1.715240350158637739e+03 2.358194332909482486e-15 1.828273593055273738e-16
1.718336721753152233e+03 2.729718672753674744e-15 1.870399537028424243e-16
1.721433093347666727e+03 2.510574445667863524e-15 1.755614410012234187e-16
1.724529464942181221e+03 2.761976120003091817e-15 1.830349178429516237e-16
1.727625836536695715e+03 2.312730883807724948e-15 1.674802815320012919e-16
1.730722208131210209e+03 2.787952984763694475e-15 1.818250538268742403e-16
1.733818579725724703e+03 2.290868893486683841e-15 1.648778151121422259e-16
1.736914951320239197e+03 2.222151179812891870e-15 1.592895907694620718e-16
1.740011322914753691e+03 2.493452892773486431e-15 1.622509879630399963e-16
1.743107694509268185e+03 2.489479191763689974e-15 1.611154338329677819e-16
1.746204066103782679e+03 2.146863439328046815e-15 1.542879208710004980e-16
1.749300437698297173e+03 1.870394644190461039e-15 1.446094544463490389e-16
1.752396809292811668e+03 2.221464003871245831e-15 1.530415266430277734e-16
1.755493180887326162e+03 2.298190027170157507e-15 1.501042396981087389e-16
1.758589552481840656e+03 2.344253276963232596e-15 1.488825321221125305e-16
1.761685924076355150e+03 2.355556404496191830e-15 1.506859340808207340e-16
1.764782295670869644e+03 2.263694191395092173e-15 1.473914351421485471e-16
1.767878667265384138e+03 2.178734985232104271e-15 1.395625086560661764e-16
1.770975038859898632e+03 2.224367909016304527e-15 1.406106504320846201e-16
1.774071410454413126e+03 2.344164428240736253e-15 1.441798349197418714e-16
1.777167782048927620e+03 2.069358624445530590e-15 1.324167625733803159e-16
1.780264153643442114e+03 2.298015054076487164e-15 1.393874833712342960e-16
1.783360525237956608e+03 2.313563635483960451e-15 1.369612905238606860e-16
1.786456896832471102e+03 2.057989074977864472e-15 1.308231840892172076e-16
1.789553268426985596e+03 1.909007896565244611e-15 1.263258439815095072e-16
1.792649640021500090e+03 1.893984090296136526e-15 1.239850954764183834e-16
1.795746011616014584e+03 1.904909569646460649e-15 1.231495302890439114e-16
1.798842383210529078e+03 1.755007593908990709e-15 1.191543784883791362e-16
1.801938754805043573e+03 1.753914552656693912e-15 1.193229579055852113e-16
1.805035126399558067e+03 1.787254829247624227e-15 1.173783296192146482e-16
1.808131497994072561e+03 1.740827975217561032e-15 1.142412922710433750e-16
1.811227869588587055e+03 1.792313151284646528e-15 1.155822157053278739e-16
1.814324241183101549e+03 1.644356562621668570e-15 1.107148293693665684e-16
1.817420612777616043e+03 1.788459898133147941e-15 1.139228897876542072e-16
1.820516984372130537e+03 1.812508108166648096e-15 1.129883630257766679e-16
1.823613355966645031e+03 1.635525607708447398e-15 1.070110456220148852e-16
1.826709727561159525e+03 1.580200819251777826e-15 1.046852882609542398e-16
1.829806099155674019e+03 1.414821931684343097e-15 9.937068245475960449e-17
1.832902470750188513e+03 1.424117392229276577e-15 1.018508055939433683e-16
1.835998842344703007e+03 1.341794923562996340e-15 9.475491365230478011e-17
1.839095213939217501e+03 1.279641861669376486e-15 9.427922718799703584e-17
1.842191585533731995e+03 1.192537256255928239e-15 9.225072787643966600e-17
1.845287957128246489e+03 1.068339716990132349e-15 8.686126792341396788e-17
1.848384328722760984e+03 9.124016091572649252e-16 8.166056701022494747e-17
1.851480700317275478e+03 1.066781936201281329e-15 8.638285975246950027e-17
1.854577071911789972e+03 1.124672320132225283e-15 8.740205085026480364e-17
1.857673443506304466e+03 1.009255524566714965e-15 8.438390253875694823e-17
1.860769815100818960e+03 1.086266394587796370e-15 8.604412573233436036e-17
1.863866186695333454e+03 1.074076810592432838e-15 8.579395024093166767e-17
1.866962558289847948e+03 8.847205340801707403e-16 7.768477163578409673e-17
1.870058929884362442e+03 9.469042339044136952e-16 8.043732843573590422e-17
1.873155301478876936e+03 9.269970734969860881e-16 8.014843530540020646e-17
1.876251673073391430e+03 8.761632364847502450e-16 7.603537196369787498e-17
1.879348044667905924e+03 8.890694823656705595e-16 7.682162572428305025e-17
1.882444416262420418e+03 8.291395141673771226e-16 7.507008925993615795e-17
1.885540787856934912e+03 1.019852725573895617e-15 8.098671365553915561e-17
1.888637159451449406e+03 7.733303163815686158e-16 7.109356189724939007e-17
1.891733531045963900e+03 7.300283114094356524e-16 7.045947337556799587e-17
1.894829902640478394e+03 8.487142400110851381e-16 7.386973235395414178e-17
1.897926274234992889e+03 8.302164900364832883e-16 7.201649821983727631e-17
1.901022645829507383e+03 9.270848599319169472e-16 7.600406517445323425e-17
