# obs_wvl flux error
1.579000000000000000e+03 9.793585349160763287e-14 2.081589837565206183e-13
1.580548186346262810e+03 4.940231015116796720e-14 9.145506550969902995e-14
1.582096372692525620e+03 -1.127940259807341289e-14 1.562005185719737041e-14
1.583644559038788429e+03 -1.288238845586663091e-14 8.489561009016767374e-15
1.585192745385051239e+03 -2.028217581347556350e-15 6.475142413457085984e-15
1.586740931731314049e+03 1.376141417910234546e-15 5.318308536952339726e-15
1.588289118077576859e+03 3.894498039409322287e-15 4.533927396732720723e-15
1.589837304423839669e+03 -3.140816833170061020e-15 3.402121519829778680e-15
1.591385490770102479e+03 1.743724975295104536e-15 3.319106387061139194e-15
1.592933677116365288e+03 4.280497691832125172e-15 3.030329286772700822e-15
1.594481863462628098e+03 -5.329994368400654782e-16 2.428485969380128168e-15
1.596030049808890908e+03 -6.504605758724956601e-16 2.154926737147904052e-15
1.597578236155153718e+03 -9.265648888902962447e-17 1.919250766618337140e-15
1.599126422501416528e+03 4.598168273795221299e-16 1.756811579260907891e-15
1.600674608847679337e+03 6.033644930389525180e-16 1.578770797199136210e-15
1.602222795193942147e+03 1.439609030841987842e-15 1.494295072270108916e-15
1.603770981540204957e+03 2.442650603375233929e-15 1.392024657165286945e-15
1.605319167886467767e+03 7.304188410344072295e-16 1.184385396610565387e-15
1.606867354232730577e+03 1.082567148421496111e-15 1.142782605361812758e-15
1.608415540578993387e+03 1.079885513882578232e-15 1.034308966430216484e-15
1.609963726925256196e+03 1.228559531267713157e-15 9.658550328676448652e-16
1.611511913271519006e+03 9.411257338419710739e-16 8.633373949621080707e-16
1.613060099617781816e+03 -2.212263778784717314e-16 7.323148025832175135e-16
1.614608285964044626e+03 1.524422724254472488e-16 7.252271587531908158e-16
1.616156472310307436e+03 1.671711291321608125e-15 7.539691053033438057e-16
1.617704658656570246e+03 1.547172170976974508e-15 6.944593868076083621e-16
1.619252845002833055e+03 1.247558229171564532e-15 6.465192078411605952e-16
1.620801031349095865e+03 1.132715191468543729e-15 5.999532516869474155e-16
1.622349217695358675e+03 9.514038998875274917e-16 5.475385473821053136e-16
1.623897404041621485e+03 1.677419169033084414e-15 5.847744024913570728e-16
1.625445590387884295e+03 1.410600862314554310e-15 5.219365054001018646e-16
1.626993776734147104e+03 9.815475668770446180e-16 4.785041736028805207e-16
1.628541963080409914e+03 1.298588555729034216e-15 4.901391030407530836e-16
1.630090149426672724e+03 1.935377763286635049e-15 4.930846924204911635e-16
1.631638335772935534e+03 1.714883910981933485e-15 4.559293182851517994e-16
1.633186522119198344e+03 1.105510657431558794e-15 4.106240200471051236e-16
1.634734708465461154e+03 1.629613605617615581e-15 4.353418518862373746e-16
1.636282894811723963e+03 1.352572852330152613e-15 3.891930969037115333e-16
1.637831081157986773e+03 1.374314304209195198e-15 3.935225277775604839e-16
1.639379267504249583e+03 1.944248326714712136e-15 4.109616490974849705e-16
1.640927453850512393e+03 1.507327318423369254e-15 3.685029364375120265e-16
1.642475640196775203e+03 1.134949575515274783e-15 3.412615678087419271e-16
1.644023826543038012e+03 1.107037716952544293e-15 3.377011377828815637e-16
1.645572012889300822e+03 2.030746248785138428e-15 3.779115436840501236e-16
1.647120199235563632e+03 1.998301247265682202e-15 3.559649142948392311e-16
1.648668385581826442e+03 1.489370526578275280e-15 3.241753597305223748e-16
1.650216571928089252e+03 1.469319554823742897e-15 3.216257295531039288e-16
1.651764758274352062e+03 1.666314998594351965e-15 3.245108273856298814e-16
1.653312944620614871e+03 1.472223983678369025e-15 3.045291951131925047e-16
1.654861130966877681e+03 1.609937055831699823e-15 3.094362011950257614e-16
1.656409317313140491e+03 1.902731743780735932e-15 3.203694000992358194e-16
1.657957503659403301e+03 1.809650074489658780e-15 3.082741522428771183e-16
