# obs_wvl flux error
1.579000000000000000e+03 -4.386773268787692825e-13 2.860434939578584198e-13
1.582096420836912330e+03 -1.362001514303475271e-14 1.878702993811286438e-14
1.585192841673824660e+03 5.199576920842388014e-15 7.899369414964522279e-15
1.588289262510736989e+03 -3.984600121022196573e-15 4.653565788615175558e-15
1.591385683347649319e+03 4.040633760738012963e-16 3.562036969500720020e-15
1.594482104184561649e+03 3.328721475186092595e-15 2.892188932992502785e-15
1.597578525021473979e+03 1.821307161166115219e-15 2.212097721969646258e-15
1.600674945858386309e+03 3.273558054688093316e-15 1.866050617985411662e-15
1.603771366695298639e+03 -6.202200841592389823e-16 1.340973192434587252e-15
1.606867787532210968e+03 -9.626373659742413249e-16 1.105421432717357865e-15
1.609964208369123298e+03 -3.526665570645570615e-16 9.382539031153167310e-16
1.613060629206035628e+03 8.530908870851154312e-16 8.529362044716681044e-16
1.616157050042947958e+03 1.758986260787939215e-16 7.047102727459844978e-16
1.619253470879860288e+03 2.257005937060546700e-16 6.231335455256369372e-16
1.622349891716772618e+03 -5.536060869650368872e-16 4.948048990508788258e-16
1.625446312553684947e+03 8.308143030831723752e-17 4.686950195382773583e-16
1.628542733390597277e+03 4.691998057330618620e-16 4.428839847956665194e-16
1.631639154227509607e+03 4.501667477825199157e-17 3.804898804246467519e-16
1.634735575064421937e+03 -5.967620978380590192e-16 3.126868353398224800e-16
1.637831995901334267e+03 6.723239207466986873e-16 3.467022152568247007e-16
1.640928416738246597e+03 4.419866718309714218e-16 3.138878732460335451e-16
1.644024837575158926e+03 5.096892103080272566e-16 3.007277372702729273e-16
1.647121258412071256e+03 2.696072538352074876e-16 2.643749789861759181e-16
1.650217679248983586e+03 5.510150314440782572e-16 2.611040126896302400e-16
1.653314100085895916e+03 5.918309763886495186e-16 2.519129363475452631e-16
1.656410520922808246e+03 2.631423303987863422e-16 2.211524547759827620e-16
1.659506941759720576e+03 5.660362141221106341e-16 2.252607007068505392e-16
1.662603362596632905e+03 6.447681471437126103e-16 2.174529615056074231e-16
1.665699783433545235e+03 5.207850056264494726e-16 2.047445430355955294e-16
1.668796204270457565e+03 4.491821032104938359e-16 1.977224812598283521e-16
1.671892625107369895e+03 2.734959708696317252e-16 1.767071316348739103e-16
1.674989045944282225e+03 6.485564053268632222e-16 1.873460756037266093e-16
1.678085466781194555e+03 7.834085977910339605e-16 1.870853532350580006e-16
1.681181887618106884e+03 5.456310563964605669e-16 1.724696173202784693e-16
