# LMC-SN1987A-STIS-2 o48z12030 G750M CCD z=0.0009 a2center=532.0 extrsize=25 exptime=2759.0 mode=fixed flags=finder_fail,extended_host
# rest_wvl obs_wvl flux error net dq mask
6291.7005 6297.3630 5.985499e-18 8.677355e-12 4.126879e-03 24592 0
6292.2561 6297.9192 3.001059e-17 1.844922e-17 1.966026e-02 16 0
6292.8118 6298.4753 1.842997e-17 1.928387e-17 1.185501e-02 16 0
6293.3675 6299.0315 -2.699064e-18 1.963894e-17 -1.862512e-03 16400 0
6293.9231 6299.5877 1.888920e-17 1.920427e-17 1.255175e-02 0 0
6294.4788 6300.1439 1.549793e-17 1.821729e-17 1.020962e-02 0 0
6295.0345 6300.7000 3.213356e-16 2.587942e-17 2.166727e-01 0 0
6295.5902 6301.2562 6.211342e-16 3.340889e-17 4.218959e-01 16 0
6296.1459 6301.8124 7.410444e-17 2.044022e-17 4.906109e-02 0 0
6296.7016 6302.3686 1.574335e-17 1.969373e-17 1.033015e-02 0 0
6297.2573 6302.9248 3.799094e-17 2.187274e-17 2.500758e-02 272 0
6297.8130 6303.4810 4.431512e-17 2.194209e-17 2.921870e-02 0 0
6298.3687 6304.0372 6.553537e-18 2.036894e-17 4.287577e-03 16 0
6298.9244 6304.5934 1.922597e-17 1.982008e-17 1.260775e-02 16 0
6299.4801 6305.1496 -7.451578e-18 1.925812e-17 -5.157887e-03 16400 0
6300.0358 6305.7058 3.003313e-17 1.909552e-17 1.975871e-02 0 0
6300.5915 6306.2620 3.905013e-17 1.906237e-17 2.575252e-02 16 0
6301.1472 6306.8183 6.244461e-17 1.883652e-17 4.138531e-02 16 0
6301.7030 6307.3745 1.054821e-16 1.839816e-17 7.036833e-02 0 0
6302.2587 6307.9307 1.639159e-16 2.013788e-17 1.100056e-01 0 0
6302.8144 6308.4869 1.121669e-16 2.008041e-17 7.492837e-02 16 0
6303.3701 6309.0432 8.033773e-17 1.841494e-17 5.345861e-02 0 0
6303.9259 6309.5994 3.975359e-17 1.959025e-17 2.626283e-02 0 0
6304.4816 6310.1557 2.486869e-17 1.975077e-17 1.637332e-02 0 0
6305.0374 6310.7119 5.168103e-17 1.793247e-17 3.424801e-02 0 0
6305.5931 6311.2681 6.601515e-18 2.000331e-17 4.327785e-03 16 0
6306.1489 6311.8244 1.196892e-16 2.180268e-17 8.015437e-02 0 0
6306.7046 6312.3806 1.008758e-17 2.123695e-17 6.620434e-03 16 0
6307.2604 6312.9369 1.225768e-17 1.901080e-17 8.051232e-03 16 0
6307.8161 6313.4932 1.818824e-17 2.057964e-17 1.197031e-02 16 0
6308.3719 6314.0494 8.740548e-18 1.939180e-17 5.737487e-03 16 0
6308.9277 6314.6057 3.550304e-17 1.887943e-17 2.348719e-02 0 0
6309.4834 6315.1620 8.534567e-17 8.768923e-17 5.700598e-02 16 0
6310.0392 6315.7182 1.054679e-17 1.958482e-17 6.930897e-03 0 0
6310.5950 6316.2745 -3.439287e-18 1.912315e-17 -2.393874e-03 16384 0
6311.1508 6316.8308 8.543053e-18 1.880464e-17 5.612396e-03 16 0
6311.7065 6317.3871 3.631302e-17 1.875039e-17 2.405923e-02 0 0
6312.2623 6317.9434 1.160634e-17 1.952171e-17 7.636011e-03 0 0
6312.8181 6318.4997 5.207199e-17 1.925554e-17 3.464044e-02 0 0
6313.3739 6319.0559 -3.580013e-17 2.354454e-17 -2.495252e-02 16400 0
6313.9297 6319.6122 1.481663e-16 2.254918e-17 9.988891e-02 16 0
6314.4855 6320.1685 4.916466e-17 1.972380e-17 3.271282e-02 16 0
6315.0413 6320.7248 2.613150e-17 1.744994e-17 1.729304e-02 0 0
6315.5971 6321.2811 1.600674e-17 1.865888e-17 1.056114e-02 16 0
6316.1529 6321.8375 2.375199e-17 1.961229e-17 1.571494e-02 0 0
6316.7087 6322.3938 2.919860e-17 2.085615e-17 1.935413e-02 16 0
6317.2645 6322.9501 2.929800e-17 1.828941e-17 1.942543e-02 16 0
6317.8204 6323.5064 2.690498e-17 1.873119e-17 1.783096e-02 16 0
6318.3762 6324.0627 1.350417e-17 1.856214e-17 8.911042e-03 16 0
6318.9320 6324.6190 -1.481114e-17 1.854034e-17 -1.035151e-02 16400 0
6319.4878 6325.1754 -6.442534e-18 2.199547e-17 -4.503911e-03 16400 0
6320.0437 6325.7317 -3.198269e-17 1.844440e-17 -2.236484e-02 16400 0
6320.5995 6326.2880 1.104806e-17 1.757966e-17 7.288013e-03 0 0
6321.1553 6326.8444 4.154241e-18 2.432458e-17 2.726214e-03 16 0
6321.7112 6327.4007 2.462289e-17 2.009477e-17 1.633496e-02 16 0
6322.2670 6327.9571 -1.468048e-17 1.885665e-17 -1.027687e-02 16400 0
6322.8229 6328.5134 6.837194e-18 1.734512e-17 4.501063e-03 0 0
6323.3787 6329.0697 -4.240446e-18 1.707876e-17 -2.970069e-03 16384 0
