# LMC-SN1987A-STIS-2 o4fx04090 G750M CCD z=0.0009 a2center=603.8 extrsize=25 exptime=515.0 mode=adaptive_clamphi flags=none
# rest_wvl obs_wvl flux error net dq mask
6290.0073 6295.6683 3.328550e-15 8.728850e-10 3.148745e+00 8192 0
6290.5630 6296.2245 2.417773e-15 8.356045e-17 2.283914e+00 16 0
6291.1187 6296.7807 2.197079e-15 8.230535e-17 2.074797e+00 16 0
6291.6744 6297.3369 2.185048e-15 7.992066e-17 2.063989e+00 0 0
6292.2301 6297.8932 2.427948e-15 8.288735e-17 2.295606e+00 0 0
6292.7859 6298.4494 2.385339e-15 8.224246e-17 2.255723e+00 0 0
6293.3416 6299.0056 2.386299e-15 8.260194e-17 2.257349e+00 0 0
6293.8973 6299.5618 2.422217e-15 8.279114e-17 2.292176e+00 0 0
6294.4531 6300.1181 2.408823e-15 8.291848e-17 2.280102e+00 16 0
6295.0088 6300.6743 1.437091e-15 8.276672e-17 1.355581e+00 16 0
6295.5645 6301.2305 2.370249e-15 8.486987e-17 2.244673e+00 16 0
6296.1203 6301.7868 2.410708e-15 8.820313e-17 2.283904e+00 16 0
6296.6760 6302.3430 3.394726e-15 9.389731e-17 3.223011e+00 0 0
6297.2318 6302.8993 2.616141e-15 8.702037e-17 2.481196e+00 16 0
6297.7875 6303.4555 2.467859e-15 8.343298e-17 2.340467e+00 0 0
6298.3433 6304.0118 2.447214e-15 8.279601e-17 2.321462e+00 0 0
6298.8990 6304.5680 2.210107e-15 8.053209e-17 2.095843e+00 16 0
6299.4548 6305.1243 2.336900e-15 8.239968e-17 2.217516e+00 16 0
6300.0106 6305.6806 2.413051e-15 8.251353e-17 2.290904e+00 0 0
6300.5663 6306.2368 2.346568e-15 8.192693e-17 2.228069e+00 16 0
6301.1221 6306.7931 2.374415e-15 8.237800e-17 2.255341e+00 16 0
6301.6779 6307.3494 2.263780e-15 8.097863e-17 2.150259e+00 0 0
6302.2337 6307.9057 2.362782e-15 8.254525e-17 2.245556e+00 0 0
6302.7895 6308.4620 2.241140e-15 8.111066e-17 2.129882e+00 16 0
6303.3452 6309.0183 2.231655e-15 8.236437e-17 2.121440e+00 16 0
6303.9010 6309.5745 2.347746e-15 8.173935e-17 2.233163e+00 16 0
6304.4568 6310.1308 2.301893e-15 8.160127e-17 2.189929e+00 16 0
6305.0126 6310.6871 2.248786e-15 8.058386e-17 2.139726e+00 16 0
6305.5684 6311.2434 2.391008e-15 8.375976e-17 2.276582e+00 16 0
6306.1242 6311.7997 2.330139e-15 8.163555e-17 2.218934e+00 0 0
6306.6800 6312.3560 2.303203e-15 8.139670e-17 2.193773e+00 16 0
6307.2358 6312.9124 2.345156e-15 8.197145e-17 2.234640e+00 16 0
6307.7917 6313.4687 2.402611e-15 8.373881e-17 2.290396e+00 16 0
6308.3475 6314.0250 2.298747e-15 8.236226e-17 2.191439e+00 16 0
6308.9033 6314.5813 3.193023e-15 9.211807e-17 3.050375e+00 16 0
6309.4591 6315.1376 5.605694e-15 1.168355e-16 5.368829e+00 16 0
6310.0149 6315.6939 5.931743e-15 1.182426e-16 5.683764e+00 16 0
6310.5708 6316.2503 6.665232e-15 1.259995e-16 6.390624e+00 16 0
6311.1266 6316.8066 5.815947e-15 1.210611e-16 5.575721e+00 16 0
6311.6824 6317.3629 8.033492e-15 1.344798e-16 7.710730e+00 0 0
6312.2383 6317.9193 6.191350e-15 1.199031e-16 5.940198e+00 0 0
6312.7941 6318.4756 6.045342e-15 1.228998e-16 5.801388e+00 16 0
6313.3500 6319.0320 4.256262e-15 1.024442e-16 4.080762e+00 0 0
6313.9058 6319.5883 4.547731e-15 1.231627e-16 4.362586e+00 16 0
6314.4616 6320.1447 2.177523e-15 9.109114e-17 2.081871e+00 16 0
6315.0175 6320.7010 2.254656e-15 8.031037e-17 2.156718e+00 0 0
6315.5734 6321.2574 2.310861e-15 8.282203e-17 2.211462e+00 16 0
6316.1292 6321.8137 2.540846e-15 8.814318e-17 2.433629e+00 16 0
6316.6851 6322.3701 2.215026e-15 1.278625e-16 2.120425e+00 16 0
6317.2409 6322.9265 2.127632e-15 8.001691e-17 2.036832e+00 16 0
6317.7968 6323.4828 2.388785e-15 8.243310e-17 2.289153e+00 16 0
6318.3527 6324.0392 2.285542e-15 8.095838e-17 2.190265e+00 0 0
6318.9086 6324.5956 2.264797e-15 8.071436e-17 2.170892e+00 16 0
6319.4644 6325.1519 2.175547e-15 7.916994e-17 2.085420e+00 16 0
6320.0203 6325.7083 2.323580e-15 8.372240e-17 2.228878e+00 16 0
6320.5762 6326.2647 2.314860e-15 8.159040e-17 2.221105e+00 16 0
6321.1321 6326.8211 2.277961e-15 8.088046e-17 2.186116e+00 16 0
6321.6880 6327.3775 2.324865e-15 8.087239e-17 2.232051e+00 0 0
6322.2439 6327.9339 2.383355e-15 8.169453e-17 2.289207e+00 16 0
