# LMC-SN1987A-STIS-2 o4fx03050 G750L CCD z=0.0009 a2center=1023.3 extrsize=25 exptime=700.0 mode=fixed flags=extended_host,no_defringe(no_flat),center_mismatch(1023vs950)
# rest_wvl obs_wvl flux error net dq mask
5246.5363 5251.2581 -1.995182e-16 4.646371e-11 -1.255960e-01 27152 0
5251.4124 5256.1386 -5.991049e-17 3.080127e-11 -4.918158e-02 27152 0
5256.2885 5261.0191 -5.615878e-17 4.212556e-11 -5.687013e-02 27152 0
5261.1646 5265.8997 -5.712513e-17 2.687057e-11 -6.882104e-02 27152 0
5266.0408 5270.7802 -6.345337e-17 1.290875e-11 -8.865364e-02 27152 0
5270.9170 5275.6608 -6.100034e-17 3.083985e-11 -9.698313e-02 27152 0
5275.7932 5280.5414 -2.962095e-17 1.736484e-11 -5.281264e-02 27152 0
5280.6694 5285.4221 -3.380239e-17 1.665559e-11 -6.680541e-02 27152 0
5285.5457 5290.3027 -4.521563e-17 1.693736e-11 -9.812164e-02 27152 0
5290.4220 5295.1834 -3.135354e-17 1.158776e-11 -7.411689e-02 27152 0
5295.2983 5300.0641 -6.756915e-17 1.584823e-11 -1.727895e-01 26640 0
5300.1747 5304.9448 -5.199221e-17 1.116326e-11 -1.387474e-01 26640 0
5305.0511 5309.8256 -5.791838e-17 1.080155e-11 -1.610244e-01 26640 0
5309.9274 5314.7064 -7.491434e-17 1.628969e-11 -2.105490e-01 26640 0
5314.8039 5319.5872 -5.624135e-17 1.086905e-11 -1.595502e-01 26640 0
5319.6803 5324.4680 -1.249141e-16 5.388064e-11 -3.512321e-01 26640 0
5324.5568 5329.3489 -7.225987e-17 1.815624e-11 -2.009304e-01 26640 0
5329.4333 5334.2298 1.110106e-18 1.386112e-11 3.032655e-03 10256 0
5334.3098 5339.1107 -1.554561e-17 9.920616e-12 -4.144138e-02 10256 0
5339.1863 5343.9916 -4.684496e-17 1.364494e-11 -1.219988e-01 26640 0
5344.0629 5348.8725 -6.612856e-17 1.151879e-11 -1.680948e-01 26640 0
5348.9395 5353.7535 -7.285056e-17 1.988122e-11 -1.814585e-01 26640 0
5353.8161 5358.6345 -5.544521e-17 1.397325e-11 -1.355066e-01 26640 0
5358.6927 5363.5155 -6.241348e-17 1.475283e-11 -1.504352e-01 26640 0
5363.5694 5368.3966 -6.503177e-17 1.347472e-11 -1.549827e-01 26640 0
5368.4461 5373.2777 -5.850860e-17 1.524452e-11 -1.385813e-01 26640 0
5373.3228 5378.1587 -6.116142e-17 1.767940e-11 -1.444587e-01 26640 0
5378.1995 5383.0399 -3.528568e-17 1.391850e-11 -8.346080e-02 10256 0
5383.0762 5387.9210 -2.333857e-17 1.513128e-11 -5.546736e-02 10256 0
5387.9530 5392.8022 6.953599e-16 4.224394e-10 1.666137e+00 10256 0
5392.8298 5397.6833 -2.119429e-17 1.599268e-11 -5.135586e-02 10256 0
5397.7066 5402.5646 -7.204282e-17 2.187039e-11 -1.769897e-01 26640 0
5402.5835 5407.4458 -4.465209e-17 1.442920e-11 -1.115506e-01 26640 0
5407.4603 5412.3270 3.543279e-16 1.057526e-11 9.016073e-01 10256 0
5412.3372 5417.2083 3.660303e-16 6.983298e-12 9.511338e-01 10256 0
5417.2141 5422.0896 4.774896e-16 2.900902e-10 1.267735e+00 10256 0
5422.0910 5426.9709 -3.795552e-17 5.320341e-12 -1.031106e-01 26640 0
5426.9680 5431.8523 -4.451961e-17 1.022087e-11 -1.237194e-01 26640 0
5431.8450 5436.7336 -6.149087e-17 1.382337e-11 -1.748244e-01 26640 0
5436.7220 5441.6150 -6.279989e-17 1.292845e-11 -1.825715e-01 26640 0
5441.5990 5446.4964 -4.964310e-17 9.478025e-12 -1.474892e-01 26640 0
5446.4760 5451.3778 -5.989353e-17 1.134396e-11 -1.817417e-01 26640 0
5451.3531 5456.2593 -4.569419e-17 9.533234e-12 -1.414406e-01 26640 0
5456.2301 5461.1407 -4.621310e-17 9.510177e-12 -1.458403e-01 26640 0
5461.1072 5466.0222 -4.501886e-17 1.384826e-11 -1.445467e-01 26640 0
5465.9844 5470.9037 -5.813396e-17 1.025203e-11 -1.898349e-01 26640 0
5470.8615 5475.7853 -4.225862e-17 8.271528e-12 -1.399251e-01 26640 0
5475.7387 5480.6668 -5.731696e-17 1.265247e-11 -1.924086e-01 26640 0
5480.6158 5485.5484 -4.549186e-17 1.085635e-11 -1.542406e-01 26640 0
5485.4930 5490.4300 -4.562482e-17 8.022891e-12 -1.562180e-01 26640 0
5490.3703 5495.3116 -3.674742e-17 8.202528e-12 -1.266018e-01 26640 0
5495.2475 5500.1932 -4.339995e-17 9.618791e-12 -1.504024e-01 26640 0
5500.1248 5505.0749 -3.780006e-17 4.515706e-12 -1.315131e-01 26640 0
5505.0021 5509.9566 9.302802e-18 1.436226e-11 3.249183e-02 10256 0
5509.8794 5514.8383 8.369158e-17 6.203984e-11 2.931617e-01 10256 0
5514.7567 5519.7200 1.085229e-16 7.973602e-11 3.812681e-01 10512 0
5519.6340 5524.6017 3.095380e-17 3.508002e-11 1.090112e-01 10256 0
5524.5114 5529.4834 -2.950789e-17 2.925193e-12 -1.041356e-01 26640 0
5529.3888 5534.3652 -2.550861e-17 5.421890e-12 -9.016214e-02 10256 0
5534.2662 5539.2470 -3.786526e-17 7.711550e-12 -1.340121e-01 26640 0
5539.1436 5544.1288 -3.897510e-17 1.032771e-11 -1.381246e-01 26640 0
5544.0210 5549.0106 -4.249123e-17 1.247197e-11 -1.507899e-01 26640 0
5548.8985 5553.8925 -6.259063e-17 1.841938e-11 -2.225314e-01 26640 0
5553.7760 5558.7744 -2.300470e-17 1.439505e-11 -8.196996e-02 10256 0
5558.6535 5563.6562 -4.165614e-17 8.589407e-12 -1.488152e-01 26640 0
5563.5310 5568.5382 -4.280409e-17 7.851984e-12 -1.533629e-01 26640 0
5568.4085 5573.4201 -2.304672e-17 1.148007e-11 -8.283322e-02 10256 0
5573.2861 5578.3020 -2.195424e-17 8.404676e-12 -7.917438e-02 10256 0
5578.1636 5583.1840 -4.720894e-17 1.187270e-11 -1.708680e-01 26640 0
5583.0412 5588.0660 -3.341679e-17 6.489280e-12 -1.214202e-01 26640 0
5587.9188 5592.9479 -4.565469e-17 9.026176e-12 -1.665677e-01 26640 0
