# LMC-SN1987A-STIS-2 o4fx060m0 G430M CCD z=0.0009 a2center=1021.3 extrsize=17 exptime=1400.0 mode=fixed flags=extended_host,center_mismatch(1021vs569)
# rest_wvl obs_wvl flux error net dq mask
4304.5108 4308.3848 4.166380e-14 2.401333e-08 9.815311e+00 10256 0
4304.7882 4308.6626 -1.717965e-16 1.004995e-10 -4.047885e-02 26640 0
4305.0657 4308.9403 -2.669339e-16 1.511503e-10 -6.290635e-02 26640 0
4305.3432 4309.2180 -3.857757e-16 1.965602e-10 -9.092902e-02 26640 0
4305.6206 4309.4957 -2.532457e-16 1.395860e-10 -5.970170e-02 26640 0
4305.8981 4309.7734 -2.423385e-16 1.684874e-10 -5.714050e-02 26640 0
4306.1755 4310.0511 -2.739655e-16 1.474182e-10 -6.460918e-02 26640 0
4306.4530 4310.3288 -1.968430e-16 1.153533e-10 -4.642963e-02 26640 0
4306.7305 4310.6065 -3.097714e-16 1.678189e-10 -7.307914e-02 26640 0
4307.0079 4310.8842 -2.793999e-16 1.647828e-10 -6.592575e-02 26640 0
4307.2854 4311.1619 -2.526022e-16 1.223124e-10 -5.961324e-02 26640 0
4307.5628 4311.4397 -2.327418e-16 1.184780e-10 -5.493598e-02 26640 0
4307.8403 4311.7174 -8.561316e-16 3.104325e-10 -2.021155e-01 26640 0
4308.1178 4311.9951 -2.495586e-16 1.233234e-10 -5.892619e-02 26640 0
4308.3952 4312.2728 -3.028761e-16 1.439214e-10 -7.152825e-02 26640 0
4308.6727 4312.5505 -8.075098e-16 4.848381e-10 -1.907379e-01 26640 0
4308.9501 4312.8282 -3.978356e-16 1.738889e-10 -9.398737e-02 26640 0
4309.2276 4313.1059 -3.574264e-16 1.870207e-10 -8.445571e-02 26640 0
4309.5051 4313.3836 -2.944856e-16 1.356293e-10 -6.959581e-02 26640 0
4309.7825 4313.6613 -3.247739e-16 1.521360e-10 -7.676739e-02 26640 0
4310.0600 4313.9390 -3.042557e-16 1.337188e-10 -7.193014e-02 26640 0
4310.3374 4314.2167 -3.303698e-16 1.619492e-10 -7.811762e-02 26640 0
4310.6149 4314.4944 -3.795208e-16 1.563476e-10 -8.975542e-02 26640 0
4310.8923 4314.7721 -3.220181e-16 1.471936e-10 -7.616963e-02 26640 0
4311.1698 4315.0499 -3.046913e-16 1.595253e-10 -7.208388e-02 26640 0
4311.4473 4315.3276 -2.999347e-16 1.286990e-10 -7.097105e-02 26640 0
4311.7247 4315.6053 -3.068064e-16 1.162648e-10 -7.260981e-02 26640 0
4312.0022 4315.8830 -3.378068e-16 1.668371e-10 -7.996052e-02 26640 0
4312.2796 4316.1607 -2.941090e-16 1.428016e-10 -6.962927e-02 26640 0
4312.5571 4316.4384 -2.365912e-16 1.320652e-10 -5.602197e-02 26640 0
4312.8345 4316.7161 -2.496292e-16 1.199765e-10 -5.911959e-02 26640 0
4313.1120 4316.9938 -3.145768e-16 1.136905e-10 -7.451421e-02 26640 0
4313.3894 4317.2715 -3.362330e-16 1.581301e-10 -7.965791e-02 26640 0
4313.6669 4317.5492 -2.363076e-16 1.536165e-10 -5.599414e-02 26640 0
4313.9444 4317.8269 -2.675502e-16 1.608486e-10 -6.340831e-02 26640 0
4314.2218 4318.1046 -3.203538e-16 1.138126e-10 -7.593587e-02 26640 0
4314.4993 4318.3823 -3.644675e-16 1.845814e-10 -8.640760e-02 26640 0
4314.7767 4318.6600 -2.780032e-16 1.525059e-10 -6.592029e-02 26640 0
4315.0542 4318.9377 -4.369107e-16 1.765909e-10 -1.036187e-01 26640 0
4315.3316 4319.2154 -3.454734e-16 1.528074e-10 -8.194754e-02 26640 0
4315.6091 4319.4931 -3.353677e-16 1.604940e-10 -7.956435e-02 26640 0
4315.8865 4319.7708 -3.369291e-16 1.616722e-10 -7.994878e-02 26640 0
4316.1640 4320.0485 -2.722277e-16 1.116916e-10 -6.460729e-02 26640 0
4316.4414 4320.3262 -3.626642e-16 2.153883e-10 -8.608545e-02 26640 0
4316.7189 4320.6039 -3.495231e-16 1.894902e-10 -8.298065e-02 26640 0
4316.9963 4320.8816 -3.786861e-16 1.787281e-10 -8.991997e-02 26640 0
4317.2738 4321.1593 -3.369464e-16 1.315905e-10 -8.002275e-02 26640 0
4317.5512 4321.4370 -2.520722e-16 1.204688e-10 -5.987608e-02 26640 0
4317.8287 4321.7147 -2.684688e-16 1.364621e-10 -6.378198e-02 26640 0
4318.1061 4321.9924 -1.817742e-16 9.850173e-11 -4.319288e-02 26640 0
4318.3836 4322.2701 -3.387271e-16 1.848461e-10 -8.050179e-02 26640 0
4318.6610 4322.5478 -2.258473e-16 1.191951e-10 -5.368415e-02 26640 0
4318.9384 4322.8255 -1.584495e-16 8.752447e-11 -3.767018e-02 26640 0
4319.2159 4323.1032 -2.673687e-16 1.011523e-10 -6.357598e-02 26640 0
4319.4933 4323.3809 -2.711763e-16 1.260906e-10 -6.449257e-02 26640 0
4319.7708 4323.6586 -2.516793e-16 1.235750e-10 -5.986610e-02 26640 0
4320.0482 4323.9363 -2.955809e-16 1.341461e-10 -7.032106e-02 26640 0
4320.3257 4324.2140 -2.771228e-16 1.109636e-10 -6.594119e-02 26640 0
4320.6031 4324.4917 -3.083540e-16 1.453058e-10 -7.338537e-02 26640 0
4320.8806 4324.7694 2.391837e-15 1.432527e-09 5.693843e-01 10256 0
4321.1580 4325.0470 1.408406e-16 2.305308e-10 3.354144e-02 10256 0
4321.4354 4325.3247 -1.303352e-16 1.087169e-10 -3.103472e-02 26640 0
4321.7129 4325.6024 -5.400404e-17 1.882405e-11 -1.286138e-02 26640 0
4321.9903 4325.8801 -1.215269e-16 5.466889e-11 -2.894736e-02 26640 0
4322.2678 4326.1578 -1.825272e-16 9.263108e-11 -4.348498e-02 26640 0
4322.5452 4326.4355 -2.555618e-16 1.177505e-10 -6.089517e-02 26640 0
4322.8226 4326.7132 -1.784732e-16 1.219518e-10 -4.253389e-02 26640 0
4323.1001 4326.9909 -2.930462e-16 1.381824e-10 -6.985112e-02 26640 0
4323.3775 4327.2686 -2.448896e-16 1.236490e-10 -5.838250e-02 26640 0
4323.6550 4327.5463 -2.284176e-16 1.213141e-10 -5.446493e-02 26640 0
4323.9324 4327.8239 -2.986933e-16 1.327799e-10 -7.123408e-02 26640 0
