# LMC-SN1987A-STIS-2 o4fx060p0 G430M CCD z=0.0009 a2center=1018.9 extrsize=17 exptime=1400.0 mode=fixed flags=finder_fail,extended_host,center_mismatch(1019vs227)
# rest_wvl obs_wvl flux error net dq mask
3276.0991 3279.0475 1.677112e-14 7.934251e-09 1.421271e+00 10256 0
3276.3771 3279.3258 1.126907e-14 5.715067e-09 9.549114e-01 10256 0
3276.6551 3279.6041 9.532248e-16 7.137272e-10 8.076441e-02 10256 0
3276.9331 3279.8823 -8.371008e-16 4.580840e-10 -7.092206e-02 26640 0
3277.2111 3280.1606 -7.682268e-16 3.754227e-10 -6.508111e-02 26640 0
3277.4891 3280.4389 -1.036679e-15 4.756330e-10 -8.781566e-02 26640 0
3277.7672 3280.7171 -7.861590e-16 3.688599e-10 -6.658858e-02 26640 0
3278.0452 3280.9954 1.231795e-14 5.597271e-09 1.043242e+00 10256 0
3278.3232 3281.2737 5.398701e-15 4.008313e-09 4.571884e-01 10256 0
3278.6012 3281.5520 -3.455326e-15 3.454579e-10 -2.925930e-01 26640 0
3278.8792 3281.8302 -1.060405e-15 4.467005e-10 -8.978600e-02 26640 0
3279.1573 3282.1085 -6.402880e-16 3.246208e-10 -5.420932e-02 26640 0
3279.4353 3282.3868 3.244117e-15 2.517398e-09 2.746280e-01 10256 0
3279.7133 3282.6651 3.455533e-15 2.294619e-09 2.924995e-01 10256 0
3279.9913 3282.9433 -7.574915e-16 3.632166e-10 -6.411530e-02 26640 0
3280.2694 3283.2216 -9.113071e-16 4.755050e-10 -7.712770e-02 26640 0
3280.5474 3283.4999 3.588700e-15 2.303441e-09 3.036911e-01 10256 0
3280.8254 3283.7782 1.337415e-15 1.084343e-09 1.131655e-01 10256 0
3281.1035 3284.0565 -2.632098e-16 1.509007e-10 -2.227065e-02 26640 0
3281.3815 3284.3347 -8.065837e-16 3.508158e-10 -6.824045e-02 26640 0
3281.6595 3284.6130 -9.458120e-16 4.283507e-10 -8.001269e-02 26640 0
3281.9376 3284.8913 -9.072168e-16 4.365375e-10 -7.674088e-02 26640 0
3282.2156 3285.1696 -1.071405e-15 3.970175e-10 -9.062147e-02 26640 0
3282.4936 3285.4479 2.583994e-15 4.165004e-10 2.185311e-01 10256 0
3282.7716 3285.7261 3.166706e-14 1.818442e-09 2.677961e+00 10256 0
3283.0497 3286.0044 2.502836e-14 7.983873e-10 2.116360e+00 10256 0
3283.3277 3286.2827 9.448436e-15 5.511471e-09 7.988673e-01 10256 0
3283.6058 3286.5610 1.568190e-15 8.920283e-10 1.325746e-01 10256 0
3283.8838 3286.8393 -6.440183e-16 2.543911e-10 -5.444331e-02 26640 0
3284.1618 3287.1176 4.682219e-15 2.909340e-09 3.957728e-01 10256 0
3284.4399 3287.3959 -2.934553e-16 1.560789e-10 -2.480339e-02 26640 0
3284.7179 3287.6742 3.409589e-15 1.757140e-09 2.881482e-01 10256 0
3284.9959 3287.9524 1.796492e-14 9.862082e-09 1.518137e+00 10256 0
3285.2740 3288.2307 1.072134e-14 6.526335e-09 9.059274e-01 10256 0
3285.5520 3288.5090 1.814933e-15 1.126248e-09 1.533384e-01 10256 0
3285.8301 3288.7873 -3.733655e-16 8.336159e-11 -3.154351e-02 26640 0
3286.1081 3289.0656 -6.159878e-16 2.018232e-10 -5.203662e-02 26640 0
3286.3861 3289.3439 -3.924590e-16 1.704164e-10 -3.315069e-02 26640 0
3286.6642 3289.6222 -4.798981e-16 1.615372e-10 -4.053297e-02 26640 0
3286.9422 3289.9005 3.180596e-17 1.446760e-10 2.683856e-03 10256 0
3287.2203 3290.1788 -3.267731e-16 9.670183e-11 -2.759485e-02 26640 0
3287.4983 3290.4571 -8.287065e-18 9.545967e-11 -7.018242e-04 10256 0
3287.7764 3290.7354 -1.281149e-15 5.006856e-10 -1.081692e-01 26640 0
3288.0544 3291.0137 -8.830303e-16 3.563451e-10 -7.454878e-02 26640 0
