# LMC-SN1987A-STIS-2 o4fx06070 G750M CCD z=0.0009 a2center=1020.7 extrsize=25 exptime=950.0 mode=fixed flags=finder_fail,extended_host,center_mismatch(1021vs564)
# rest_wvl obs_wvl flux error net dq mask
6288.5437 6294.2034 -1.177552e-16 2.703758e-11 -9.904464e-02 26640 0
6289.0996 6294.7598 -3.748427e-17 4.422199e-11 -3.153720e-02 26640 0
6289.6555 6295.3162 -5.823504e-17 3.384378e-11 -4.900973e-02 26640 0
6290.2114 6295.8726 -7.118977e-17 5.034008e-11 -5.992930e-02 26640 0
6290.7673 6296.4290 -7.420811e-17 3.285133e-11 -6.248802e-02 26640 0
6291.3232 6296.9854 -1.576182e-17 3.422041e-11 -1.327625e-02 26640 0
6291.8791 6297.5418 -8.925790e-17 5.264839e-11 -7.520371e-02 26640 0
6292.4351 6298.0982 -7.323976e-17 3.232246e-11 -6.172528e-02 26640 0
6292.9910 6298.6547 -7.151704e-17 4.638513e-11 -6.029055e-02 26640 0
6293.5469 6299.2111 -3.376009e-17 2.815107e-11 -2.846864e-02 26640 0
6294.1028 6299.7675 -4.880855e-17 2.728595e-11 -4.117015e-02 26640 0
6294.6587 6300.3239 -8.960423e-17 4.020110e-11 -7.560290e-02 26640 0
6295.2146 6300.8803 2.737032e-17 5.952881e-11 2.311562e-02 10256 0
6295.7706 6301.4368 -9.662537e-17 4.742647e-11 -8.157322e-02 26640 0
6296.3265 6301.9932 -1.067061e-16 5.087140e-11 -9.010913e-02 26640 0
6296.8824 6302.5496 3.917887e-16 2.125631e-10 3.309998e-01 10256 0
6297.4384 6303.1061 -1.143255e-16 4.970537e-11 -9.659822e-02 26640 0
6297.9943 6303.6625 -7.552493e-19 6.393102e-12 -6.297864e-04 10256 0
6298.5502 6304.2189 -1.118727e-16 3.880563e-11 -9.457926e-02 26640 0
6299.1062 6304.7754 -7.501566e-17 4.249840e-11 -6.343758e-02 26640 0
6299.6621 6305.3318 -6.234605e-17 2.598314e-11 -5.273834e-02 26640 0
6300.2180 6305.8882 -8.484466e-17 4.535290e-11 -7.179013e-02 26640 0
6300.7740 6306.4447 -7.387244e-17 3.722603e-11 -6.252380e-02 26640 0
6301.3299 6307.0011 -7.439891e-17 4.700666e-11 -6.298716e-02 26640 0
6301.8859 6307.5576 -6.764537e-17 3.914829e-11 -5.728568e-02 26640 0
6302.4418 6308.1140 -9.903479e-17 3.791532e-11 -8.389156e-02 26640 0
6302.9978 6308.6705 -1.136913e-16 4.275341e-11 -9.633408e-02 26640 0
6303.5537 6309.2269 -9.090430e-17 4.401476e-11 -7.704770e-02 26640 0
6304.1097 6309.7834 -7.811913e-17 3.492333e-11 -6.623002e-02 26640 0
6304.6656 6310.3398 -8.590927e-17 3.676462e-11 -7.285503e-02 26640 0
6305.2216 6310.8963 -8.100467e-17 3.946216e-11 -6.871501e-02 26640 0
6305.7775 6311.4527 -8.008888e-17 3.094420e-11 -6.795725e-02 26640 0
6306.3335 6312.0092 -5.913469e-17 2.480090e-11 -5.019123e-02 26640 0
6306.8895 6312.5657 -6.110551e-17 3.670941e-11 -5.187853e-02 26640 0
6307.4454 6313.1221 -6.951747e-17 3.499723e-11 -5.903682e-02 26640 0
6308.0014 6313.6786 -6.944189e-17 2.690874e-11 -5.898916e-02 26640 0
6308.5574 6314.2351 -1.007812e-16 3.800150e-11 -8.563513e-02 26640 0
6309.1133 6314.7915 -7.335831e-17 2.411291e-11 -6.235095e-02 26640 0
6309.6693 6315.3480 1.498353e-15 9.220074e-10 1.273970e+00 10256 0
6310.2253 6315.9045 8.066127e-17 4.820070e-11 6.861836e-02 10256 0
6310.7812 6316.4609 -8.270326e-17 4.082835e-11 -7.035261e-02 26640 0
6311.3372 6317.0174 -7.361833e-17 3.562948e-11 -6.264186e-02 26640 0
6311.8932 6317.5739 -7.142914e-18 1.102399e-11 -6.074023e-03 10256 0
6312.4492 6318.1304 -5.379099e-17 3.479829e-11 -4.579628e-02 26640 0
6313.0051 6318.6868 -6.575985e-17 5.219722e-11 -5.600183e-02 26640 0
6313.5611 6319.2433 -7.266435e-17 4.736875e-11 -6.189898e-02 26640 0
6314.1171 6319.7998 -6.361434e-17 2.855643e-11 -5.420479e-02 26640 0
6314.6731 6320.3563 -7.232673e-17 1.988577e-11 -6.164558e-02 26640 0
6315.2291 6320.9128 5.969896e-17 6.098839e-11 5.091462e-02 10256 0
6315.7851 6321.4693 -9.449488e-17 4.442546e-11 -8.058462e-02 26640 0
6316.3410 6322.0257 -2.688178e-17 2.225065e-11 -2.293087e-02 10256 0
6316.8970 6322.5822 6.283910e-16 3.794468e-10 5.362411e-01 10256 0
6317.4530 6323.1387 1.282685e-16 7.623150e-11 1.095031e-01 10256 0
6318.0090 6323.6952 -6.468353e-17 3.010675e-11 -5.522268e-02 26640 0
6318.5650 6324.2517 -4.659564e-17 2.361082e-11 -3.979136e-02 26640 0
6319.1210 6324.8082 -8.235030e-17 3.325248e-11 -7.034421e-02 26640 0
6319.6770 6325.3647 -1.006601e-16 3.121741e-11 -8.600826e-02 26640 0
6320.2330 6325.9212 -6.284779e-17 3.346124e-11 -5.371455e-02 26640 0
6320.7890 6326.4777 -5.972034e-17 1.869589e-11 -5.105560e-02 26640 0
6321.3450 6327.0342 -1.009375e-16 4.282024e-11 -8.631632e-02 26640 0
6321.9010 6327.5907 -8.558069e-17 3.561158e-11 -7.320406e-02 26640 0
6322.4570 6328.1472 -8.930117e-17 3.587465e-11 -7.640738e-02 26640 0
6323.0130 6328.7037 -1.174669e-16 4.618504e-11 -1.005339e-01 26640 0
6323.5690 6329.2602 -8.673451e-17 4.220182e-11 -7.425188e-02 26640 0
6324.1250 6329.8167 7.056977e-18 3.686782e-11 6.050598e-03 10256 0
6324.6810 6330.3732 1.206952e-15 5.935682e-10 1.033876e+00 10256 0
6325.2370 6330.9297 1.295771e-15 6.430408e-10 1.110248e+00 10256 0
6325.7930 6331.4862 -8.618367e-17 3.712495e-11 -7.385904e-02 26640 0
6326.3490 6332.0428 -7.628962e-17 3.690964e-11 -6.539708e-02 26640 0
6326.9050 6332.5993 -1.029906e-16 4.224842e-11 -8.830891e-02 26640 0
6327.4611 6333.1558 -9.996788e-17 3.770413e-11 -8.573961e-02 26640 0
6328.0171 6333.7123 -3.142075e-17 3.864183e-11 -2.695576e-02 26640 0
6328.5731 6334.2688 -7.924141e-17 3.597468e-11 -6.799875e-02 26640 0
6329.1291 6334.8253 -5.424063e-17 3.161546e-11 -4.655722e-02 26640 0
6329.6851 6335.3818 -5.413504e-17 3.736172e-11 -4.647872e-02 26640 0
6330.2411 6335.9384 -7.255011e-17 2.566483e-11 -6.230560e-02 26640 0
6330.7972 6336.4949 -8.678899e-17 3.966219e-11 -7.455330e-02 26640 0
6331.3532 6337.0514 -1.040872e-16 3.758715e-11 -8.943601e-02 26640 0
6331.9092 6337.6079 -1.129822e-16 4.353864e-11 -9.710424e-02 26640 0
6332.4652 6338.1644 -7.364979e-17 2.560596e-11 -6.331585e-02 26640 0
6333.0212 6338.7210 -9.968774e-17 4.241349e-11 -8.572255e-02 26640 0
6333.5773 6339.2775 -3.609545e-17 2.882764e-11 -3.104690e-02 26640 0
6334.1333 6339.8340 -9.219602e-17 4.037506e-11 -7.932137e-02 26640 0
6334.6893 6340.3905 -5.773643e-17 3.984627e-11 -4.968671e-02 26640 0
6335.2454 6340.9471 -7.712546e-17 4.036971e-11 -6.638958e-02 26640 0
6335.8014 6341.5036 -8.221807e-17 3.460832e-11 -7.079151e-02 26640 0
6336.3574 6342.0601 -7.310109e-17 4.136088e-11 -6.295778e-02 26640 0
6336.9134 6342.6167 -7.546077e-17 4.082634e-11 -6.500673e-02 26640 0
6337.4695 6343.1732 -4.937633e-17 3.641096e-11 -4.254684e-02 26640 0
6338.0255 6343.7297 -7.654933e-17 4.053396e-11 -6.597828e-02 26640 0
6338.5815 6344.2863 -5.756899e-17 3.594613e-11 -4.963171e-02 26640 0
6339.1376 6344.8428 -9.799408e-17 4.589799e-11 -8.450477e-02 26640 0
6339.6936 6345.3993 -7.154362e-17 3.355590e-11 -6.171105e-02 26640 0
