# LMC-SN1987A-STIS-2 o4fx05030 G750L CCD z=0.0009 a2center=492.9 extrsize=25 exptime=975.0 mode=adaptive_clamphi flags=no_defringe(no_flat),center_mismatch(493vs942)
# rest_wvl obs_wvl flux error net dq mask
5260.5813 5265.3159 -6.444750e-18 1.828113e-11 -1.026511e-02 8720 0
5265.4456 5270.1845 -9.145574e-18 1.739401e-17 -1.438842e-02 512 0
5270.3099 5275.0531 1.336995e-17 1.538369e-17 1.715627e-02 512 0
5275.1742 5279.9219 -5.388509e-18 1.310045e-17 -1.095024e-02 512 0
5280.0386 5284.7906 2.150648e-17 1.277177e-17 3.692118e-02 512 0
5284.9031 5289.6595 -6.541593e-18 1.450960e-17 -1.574599e-02 528 0
5289.7676 5294.5284 2.475781e-17 1.186234e-17 5.173611e-02 528 0
5294.6322 5299.3974 2.502899e-17 1.182605e-17 5.695195e-02 528 0
5299.4968 5304.2664 1.858895e-18 9.344661e-18 1.253642e-03 512 0
5304.3615 5309.1355 -7.492488e-18 8.776146e-18 -2.295645e-02 512 0
5309.2263 5314.0046 7.735284e-18 8.526565e-18 1.790033e-02 0 0
5314.0911 5318.8738 3.698659e-17 9.377876e-18 9.668650e-02 0 0
5318.9560 5323.7431 6.925632e-18 9.860123e-18 1.556306e-02 272 0
5323.8209 5328.6124 -1.193262e-16 3.385886e-17 -3.310951e-01 16656 0
5328.6859 5333.4818 -8.613895e-18 1.449060e-17 -2.479382e-02 16 0
5333.5510 5338.3512 2.034667e-17 9.538347e-18 4.830835e-02 0 0
5338.4161 5343.2207 4.391974e-16 1.587667e-17 1.120581e+00 0 0
5343.2813 5348.0903 1.096023e-15 2.384838e-17 2.754027e+00 16 0
5348.1465 5352.9599 3.081642e-17 1.473717e-17 6.966189e-02 16 0
5353.0118 5357.8295 -2.908557e-18 9.862725e-18 -1.033789e-02 0 0
5357.8772 5362.6993 -5.061749e-18 1.206279e-17 -1.523584e-02 16 0
5362.7426 5367.5691 3.808626e-17 1.132333e-17 8.289889e-02 16 0
5367.6081 5372.4389 1.095450e-15 2.416176e-17 2.554709e+00 16 0
5372.4736 5377.3088 6.223769e-16 1.930578e-17 1.439979e+00 0 0
5377.3392 5382.1788 6.459519e-18 1.575839e-17 1.023106e-02 16 0
5382.2048 5387.0488 -1.614927e-17 9.852437e-18 -4.036208e-02 0 0
5387.0705 5391.9189 -5.715055e-18 1.042596e-17 -1.732841e-02 16 0
