# LMC-SN1987A-STIS-2 o5i212030 G750M CCD z=0.0009 a2center=511.9 extrsize=25 exptime=2604.0 mode=fixed flags=finder_fail,extended_host,center_mismatch(512vs522)
# rest_wvl obs_wvl flux error net dq mask
6291.9779 6297.6407 2.150537e-17 2.016147e-17 1.342224e-02 512 0
6292.5336 6298.1969 4.777015e-17 2.030366e-17 3.089476e-02 16 0
6293.0892 6298.7530 3.788264e-19 2.083713e-17 2.605980e-04 16400 0
6293.6449 6299.3092 8.910106e-18 2.443142e-17 5.931801e-03 16 0
6294.2006 6299.8653 3.525906e-17 2.136069e-17 2.229239e-02 0 0
6294.7562 6300.4215 3.570740e-17 2.355246e-17 2.252026e-02 16 0
6295.3119 6300.9777 4.884027e-17 2.450501e-17 3.103562e-02 16 0
6295.8676 6301.5338 1.021296e-16 4.636644e-17 6.585108e-02 16 0
6296.4232 6302.0900 2.551633e-17 2.107150e-17 1.588929e-02 0 0
6296.9789 6302.6462 1.481616e-16 2.138926e-17 9.637474e-02 0 0
6297.5346 6303.2024 6.017577e-17 1.937497e-17 3.865146e-02 0 0
6298.0903 6303.7586 5.256527e-17 1.939684e-17 3.371504e-02 0 0
6298.6460 6304.3147 8.587382e-17 2.332343e-17 5.545581e-02 16 0
6299.2017 6304.8709 1.539391e-16 2.408472e-17 1.003695e-01 16 0
6299.7574 6305.4271 2.049928e-16 2.289946e-17 1.343685e-01 0 0
6300.3131 6305.9833 2.564419e-16 4.628840e-17 1.688195e-01 16 0
6300.8688 6306.5395 4.070635e-16 2.506120e-17 2.702819e-01 0 0
6301.4245 6307.0957 4.320338e-16 2.578160e-17 2.872415e-01 256 0
6301.9802 6307.6520 5.616957e-16 2.652119e-17 3.752207e-01 0 0
6302.5359 6308.2082 3.822037e-16 2.640114e-17 2.537091e-01 16 0
6303.0916 6308.7644 2.090650e-16 2.468613e-17 1.373173e-01 16 0
6303.6473 6309.3206 8.430568e-17 3.216862e-17 5.456014e-02 16 0
6304.2030 6309.8768 8.566170e-17 1.978604e-17 5.546561e-02 0 0
6304.7588 6310.4331 4.034934e-17 1.944604e-17 2.587505e-02 16 0
6305.3145 6310.9893 5.302082e-17 2.372306e-17 3.412301e-02 16 0
6305.8702 6311.5455 4.305343e-17 2.362032e-17 2.764371e-02 16 0
6306.4260 6312.1018 6.996944e-17 2.039023e-17 4.522095e-02 16 0
6306.9817 6312.6580 2.043703e-17 1.954608e-17 1.301479e-02 0 0
6307.5375 6313.2142 -4.057116e-16 8.638394e-17 -2.811218e-01 16400 0
6308.0932 6313.7705 9.312890e-17 2.155218e-17 6.048992e-02 0 0
6308.6490 6314.3267 -1.244476e-16 2.136140e-17 -8.627872e-02 16400 0
6309.2047 6314.8830 -1.601716e-17 1.976030e-17 -1.110765e-02 16384 0
6309.7605 6315.4393 -3.982647e-17 2.157734e-17 -2.762666e-02 16400 0
6310.3162 6315.9955 2.340226e-17 1.833440e-17 1.494419e-02 0 0
6310.8720 6316.5518 -6.308376e-18 2.016018e-17 -4.378377e-03 16400 0
6311.4278 6317.1081 1.984562e-17 2.283891e-17 1.265145e-02 16 0
6311.9835 6317.6643 2.043709e-17 1.951327e-17 1.303573e-02 0 0
6312.5393 6318.2206 5.503984e-17 2.104481e-17 3.555523e-02 16 0
6313.0951 6318.7769 1.530787e-16 2.442212e-17 1.004910e-01 0 0
6313.6509 6319.3332 1.486542e-17 4.711069e-17 9.444221e-03 16 0
6314.2066 6319.8894 6.650452e-17 2.223736e-17 4.310635e-02 16 0
6314.7624 6320.4457 8.678641e-17 2.185796e-17 5.648885e-02 0 0
6315.3182 6321.0020 3.057351e-17 2.075130e-17 1.962440e-02 16 0
6315.8740 6321.5583 -6.907021e-18 1.934894e-17 -4.805708e-03 16384 0
6316.4298 6322.1146 -2.405830e-18 1.971661e-17 -1.674365e-03 16384 0
6316.9856 6322.6709 -6.705635e-17 3.808923e-17 -4.668133e-02 16400 0
6317.5414 6323.2272 -2.187650e-16 1.878790e-17 -1.523349e-01 16400 0
6318.0972 6323.7835 7.682945e-17 2.142596e-17 4.999357e-02 16 0
6318.6530 6324.3398 3.027482e-17 1.946290e-17 1.945480e-02 0 0
6319.2088 6324.8961 2.842758e-17 1.864042e-17 1.825625e-02 0 0
