# obs_wvl flux error
6.298000000000000000e+03 1.284905793239193120e-17 7.692425579161774165e-18
6.299112507531617666e+03 -3.779853547621553554e-18 5.994956501954176140e-18
6.300225015063235332e+03 1.399815462916019740e-17 5.713108421429437417e-18
6.301337522594852999e+03 2.363541138028346086e-17 8.266320796646067121e-18
6.302450030126470665e+03 7.354630606692533363e-17 6.250263518283766507e-18
6.303562537658088331e+03 2.953119843281855653e-17 5.537864510226388342e-18
6.304675045189705997e+03 4.670592837982033174e-17 7.344396632076987800e-18
6.305787552721323664e+03 1.271918042365655829e-16 7.577854406512123598e-18
6.306900060252941330e+03 1.979121933089336632e-16 6.829888047176317124e-18
6.308012567784558996e+03 2.153086679161359953e-16 6.811028748095759522e-18
6.309125075316176662e+03 8.598544923281514235e-17 7.027113707597627008e-18
6.310237582847794329e+03 3.419262171828369394e-17 5.464178863624953043e-18
6.311350090379411995e+03 3.009967197786725464e-17 5.676477456943102813e-18
6.312462597911029661e+03 -3.227498220608053065e-19 6.396930526805564401e-18
6.313575105442647327e+03 -5.360597379704045499e-17 1.557782817776504009e-17
6.314687612974264994e+03 -1.734848514074990718e-18 5.751300930456259626e-18
6.315800120505882660e+03 1.146703524357577183e-17 6.179339251526182027e-18
6.316912628037500326e+03 2.362059956145612712e-17 5.876949263147861636e-18
6.318025135569117992e+03 3.024214905631450534e-17 5.685875745519759833e-18
6.319137643100735659e+03 1.167285276960702878e-16 9.231427773325523018e-18
6.320250150632353325e+03 4.359026584020015011e-17 6.477865742830197485e-18
6.321362658163970991e+03 1.329199522571399667e-17 5.291163993826582422e-18
6.322475165695588657e+03 1.725869282339785416e-16 7.015531016201986998e-18
6.323587673227206324e+03 -4.190625843511457241e-17 5.736899364757668815e-18
6.324700180758823990e+03 1.869295225172073485e-17 5.386457473177945506e-18
6.325812688290441656e+03 1.017870000715658889e-17 5.891854928016074000e-18
6.326925195822059322e+03 1.930173158621973395e-18 5.964292289948475765e-18
6.328037703353676989e+03 1.332725089044161312e-17 6.601368399263374666e-18
6.329150210885294655e+03 8.647045538034290516e-19 7.154211746810182458e-18
6.330262718416912321e+03 4.171427759644260691e-17 5.993433805178805131e-18
6.331375225948529987e+03 8.362947073002389889e-17 1.054362261172162189e-17
6.332487733480147654e+03 1.888245044260226306e-17 5.315786634845227187e-18
6.333600241011765320e+03 2.721746673820243018e-17 5.339060998453986829e-18
6.334712748543382986e+03 8.512195083375615981e-18 5.453280582941115590e-18
6.335825256075000652e+03 -3.061642105468560406e-17 6.990635927423283464e-18
6.336937763606618319e+03 -9.298740490269989389e-17 6.441062387067684464e-18
6.338050271138235985e+03 1.091058703755310221e-17 5.785859011456942924e-18
6.339162778669853651e+03 8.679107709782891579e-17 6.972808432875500548e-18
6.340275286201471317e+03 9.797653728909998329e-18 5.476517090505595154e-18
6.341387793733088984e+03 1.139956755184398055e-17 5.254213610656321491e-18
6.342500301264706650e+03 5.968842069623479596e-18 5.914757626856680043e-18
6.343612808796324316e+03 3.139380559166647505e-17 7.225630574384325607e-18
6.344725316327941982e+03 1.230009491505621026e-17 5.234680879526863146e-18
6.345837823859559649e+03 2.377223937593275057e-17 1.056222227068696921e-17
6.346950331391177315e+03 1.600987234998277018e-17 6.153935798407515688e-18
6.348062838922794981e+03 -6.871815714255734316e-18 5.320516892296652382e-18
6.349175346454412647e+03 1.281344203263090571e-17 5.741910807846528458e-18
6.350287853986030314e+03 3.982967325616443448e-17 6.946922619714013634e-18
6.351400361517647980e+03 1.401891722956994454e-17 6.144320076011288002e-18
6.352512869049265646e+03 1.809342227340272652e-17 6.966345581479718607e-18
6.353625376580883312e+03 -7.643069563115603209e-18 7.587799630737745295e-18
6.354737884112500979e+03 1.759586215226511896e-17 5.635862205036669955e-18
6.355850391644118645e+03 1.959861911630398945e-17 5.410462852284348143e-18
6.356962899175736311e+03 1.468423735530716071e-17 6.156763511152503671e-18
6.358075406707353977e+03 6.568973899036923529e-18 5.556108281938591691e-18
6.359187914238971643e+03 1.690720208104211310e-17 6.011408246957198298e-18
6.360300421770589310e+03 5.305349922260575087e-18 5.240725016688670128e-18
6.361412929302206976e+03 5.835105057558082439e-18 6.301640376862395609e-18
6.362525436833824642e+03 9.986565946150311697e-18 5.401215012980038088e-18
