# LMC-SN1987A-STIS-2 o4fx56090 G430M CCD z=0.0009 a2center=260.3 extrsize=17 exptime=1000.0 mode=fixed flags=extended_host,center_mismatch(260vs235)
# rest_wvl obs_wvl flux error net dq mask
4814.5874 4818.9205 -2.026996e-16 5.298371e-16 -5.746282e-02 528 0
4814.8636 4819.1970 -3.038489e-17 8.891462e-17 -1.445865e-02 16 0
4815.1399 4819.4735 -1.020143e-16 8.438417e-17 -3.001177e-02 16 0
4815.4161 4819.7500 -1.121244e-16 9.490457e-17 -3.191043e-02 16 0
4815.6923 4820.0265 -4.768608e-17 8.601546e-17 -1.641142e-02 16 0
4815.9686 4820.3029 -2.402203e-16 7.937286e-17 -6.362857e-02 16384 0
4816.2448 4820.5794 -9.562880e-17 8.182136e-17 -2.743127e-02 0 0
4816.5210 4820.8559 -7.539080e-17 8.465226e-17 -2.136766e-02 0 0
4816.7973 4821.1324 -1.423634e-16 7.860020e-17 -3.772443e-02 16384 0
4817.0735 4821.4089 1.618968e-17 8.302870e-17 1.548739e-03 0 0
4817.3498 4821.6854 -1.648544e-16 8.860528e-17 -4.369645e-02 16400 0
4817.6260 4821.9619 -1.524203e-16 8.385455e-17 -4.040629e-02 16400 0
4817.9022 4822.2383 -7.031193e-17 7.902295e-17 -2.068697e-02 0 0
4818.1785 4822.5148 4.791211e-16 1.298755e-16 1.130006e-01 16 0
4818.4547 4822.7913 2.830652e-14 3.354855e-16 7.426369e+00 0 0
4818.7309 4823.0678 9.184205e-17 8.545246e-17 1.768949e-02 0 0
4819.0072 4823.3443 1.937309e-16 8.516459e-17 4.241019e-02 0 0
4819.2834 4823.6208 1.773945e-14 2.764453e-16 4.637825e+00 16 0
4819.5597 4823.8973 2.334795e-15 1.221591e-16 5.888025e-01 0 0
4819.8359 4824.1738 -1.489135e-16 8.608350e-17 -3.952077e-02 16400 0
4820.1121 4824.4502 -1.383137e-16 8.040689e-17 -3.671280e-02 16384 0
4820.3884 4824.7267 7.771401e-16 1.444017e-16 1.882595e-01 16 0
4820.6646 4825.0032 1.208238e-14 2.279701e-16 3.147970e+00 0 0
