# LMC-SN1987A-STIS-2 o4fx560c0 G430M CCD z=0.0009 a2center=764.6 extrsize=17 exptime=1000.0 mode=fixed flags=extended_host,center_mismatch(765vs265)
# rest_wvl obs_wvl flux error net dq mask
4813.7473 4818.0797 1.553414e-15 1.549944e-16 4.027349e-01 528 0
4814.0238 4818.3564 5.706965e-17 8.540023e-17 1.362656e-02 16 0
4814.3003 4818.6332 1.684365e-15 1.115798e-16 4.371676e-01 0 0
4814.5768 4818.9099 4.751655e-15 1.580168e-16 1.244610e+00 0 0
4814.8533 4819.1867 1.533757e-15 1.140472e-16 3.977843e-01 16 0
4815.1298 4819.4634 1.063642e-14 2.157777e-16 2.799009e+00 0 0
4815.4063 4819.7402 8.603010e-16 9.548294e-17 2.215588e-01 0 0
4815.6828 4820.0169 6.206496e-17 9.332484e-17 1.557378e-02 16 0
4815.9593 4820.2937 5.848946e-15 1.666597e-16 1.534604e+00 0 0
4816.2358 4820.5704 1.723095e-14 2.647976e-16 4.545019e+00 0 0
4816.5123 4820.8472 1.375906e-15 1.036527e-16 3.561155e-01 0 0
4816.7888 4821.1239 2.661333e-16 9.999217e-17 6.815141e-02 16 0
4817.0653 4821.4007 2.243763e-15 1.381096e-16 5.839558e-01 16 0
4817.3418 4821.6774 2.042884e-14 2.900089e-16 5.393328e+00 16 0
4817.6183 4821.9542 1.048724e-16 8.181131e-17 2.739180e-02 16 0
4817.8948 4822.2309 8.759972e-17 7.756117e-17 2.306152e-02 0 0
4818.1713 4822.5077 3.105846e-17 7.791390e-17 8.243600e-03 16384 0
4818.4478 4822.7844 1.890439e-16 9.225545e-17 4.854189e-02 16 0
4818.7243 4823.0612 1.787602e-16 8.029109e-17 4.592971e-02 0 0
4819.0008 4823.3379 1.626896e-16 8.416911e-17 4.185583e-02 0 0
4819.2773 4823.6146 1.439301e-16 7.639544e-17 3.710873e-02 0 0
4819.5538 4823.8914 7.673004e-17 9.103632e-17 2.022958e-02 16 0
4819.8303 4824.1681 1.326257e-16 8.330646e-17 3.423368e-02 16 0
4820.1068 4824.4449 5.580507e-17 9.380522e-17 1.482621e-02 16400 0
4820.3833 4824.7216 -1.654616e-16 8.295174e-17 -4.396567e-02 16400 0
4820.6598 4824.9984 -1.960905e-17 7.910627e-17 -5.211143e-03 16384 0
4820.9363 4825.2751 2.429036e-17 7.686389e-17 6.456102e-03 16384 0
4821.2128 4825.5519 4.079637e-17 8.026340e-17 1.084471e-02 16384 0
4821.4893 4825.8286 3.449014e-17 8.599401e-17 9.169620e-03 16400 0
4821.7658 4826.1054 4.687773e-17 8.476035e-17 1.246474e-02 16400 0
4822.0423 4826.3821 -1.355776e-16 1.059443e-16 -3.605490e-02 16400 0
4822.3188 4826.6589 5.273535e-17 7.684680e-17 1.402615e-02 16384 0
4822.5953 4826.9356 1.253926e-16 7.861365e-17 3.228353e-02 0 0
4822.8718 4827.2124 -3.463108e-18 9.481046e-17 -9.213462e-04 16400 0
4823.1483 4827.4891 5.006762e-17 1.055459e-16 1.330952e-02 16 0
4823.4248 4827.7659 -1.393506e-16 7.701119e-17 -3.708392e-02 16384 0
4823.7013 4828.0426 7.307395e-17 7.743576e-17 1.903798e-02 0 0
4823.9778 4828.3193 1.380830e-16 7.796715e-17 3.544372e-02 0 0
4824.2543 4828.5961 -9.418193e-18 7.731683e-17 -2.507409e-03 16384 0
4824.5308 4828.8728 1.032181e-17 1.310042e-16 2.748360e-03 16400 0
4824.8072 4829.1496 -5.056789e-17 8.251590e-17 -1.346644e-02 16400 0
4825.0837 4829.4263 9.590785e-17 8.889447e-17 2.471709e-02 16 0
4825.3602 4829.7031 -2.053231e-17 9.466481e-17 -5.469360e-03 16400 0
4825.6367 4829.9798 4.318163e-18 7.693164e-17 1.150425e-03 16384 0
4825.9132 4830.2566 -1.074874e-16 7.396798e-17 -2.864025e-02 16384 0
4826.1897 4830.5333 1.194940e-15 9.972914e-17 3.105104e-01 0 0
4826.4662 4830.8100 6.947360e-15 1.785850e-16 1.833978e+00 0 0
