# LMC-SN1987A-STIS-2 o4fx560e0 G430M CCD z=0.0009 a2center=1.6 extrsize=17 exptime=1400.0 mode=adaptive_clamphi flags=center_mismatch(2vs237)
# rest_wvl obs_wvl flux error net dq mask
4305.9735 4309.8489 -1.151905e-16 5.910227e-17 -2.700808e-02 18944 0
4306.2504 4310.1260 1.126978e-17 5.696741e-17 2.145160e-03 2560 0
4306.5273 4310.4031 -4.407905e-17 8.583628e-17 -1.033868e-02 18960 0
4306.8041 4310.6803 -1.008770e-16 5.450903e-17 -2.366485e-02 18960 0
4307.0810 4310.9574 -3.543086e-18 5.432036e-17 -8.755687e-04 2560 0
4307.3579 4311.2345 2.538282e-15 1.013644e-16 5.628433e-01 2560 0
4307.6348 4311.5117 1.256728e-15 8.512239e-17 2.719860e-01 2576 0
4307.9117 4311.7888 -6.995017e-17 5.401756e-17 -1.642151e-02 18944 0
4308.1886 4312.0660 2.778292e-17 6.020308e-17 5.674560e-03 2560 0
4308.4655 4312.3431 -1.275703e-16 5.313691e-17 -2.995919e-02 18944 0
4308.7424 4312.6202 -1.733791e-16 5.309572e-17 -4.072448e-02 18944 0
4309.0193 4312.8974 -1.332604e-16 5.138869e-17 -3.130675e-02 18944 0
4309.2962 4313.1745 -1.853916e-16 1.329014e-16 -4.356171e-02 18960 0
4309.5731 4313.4517 -9.741688e-17 5.514838e-17 -2.289429e-02 18944 0
4309.8500 4313.7288 -2.118329e-17 5.609504e-17 -6.128866e-03 2560 0
4310.1268 4314.0060 1.689324e-15 9.441553e-17 3.707826e-01 2576 0
4310.4037 4314.2831 1.843183e-14 2.587369e-16 4.263362e+00 2576 0
4310.6806 4314.5603 6.317558e-16 7.057915e-17 1.331869e-01 2560 0
4310.9575 4314.8374 -3.053380e-17 5.837068e-17 -8.032059e-03 2560 0
4311.2344 4315.1146 -1.672131e-16 5.250167e-17 -3.933970e-02 18944 0
4311.5113 4315.3917 -1.655507e-16 6.167044e-17 -3.895558e-02 18960 0
4311.7882 4315.6688 2.918118e-15 1.089951e-16 6.525893e-01 2560 0
4312.0651 4315.9460 1.719589e-15 1.894342e-16 3.781693e-01 2560 0
4312.3420 4316.2232 6.926596e-16 9.089156e-17 1.468130e-01 2560 0
4312.6189 4316.5003 -4.145814e-17 5.453914e-17 -1.026457e-02 2560 0
4312.8958 4316.7775 -6.478347e-17 5.325642e-17 -1.525779e-02 18944 0
