# LMC-SN1987A-STIS-2 o4fx560f0 G430M CCD z=0.0009 a2center=1015.2 extrsize=17 exptime=1400.0 mode=adaptive_clamphi flags=center_mismatch(1015vs246)
# rest_wvl obs_wvl flux error net dq mask
4304.5121 4308.3862 5.563301e-15 5.205124e-16 1.305720e+00 2576 0
4304.7896 4308.6639 1.478218e-15 1.955215e-16 3.469597e-01 2576 0
4305.0671 4308.9416 -2.327546e-16 7.577884e-17 -5.465411e-02 18960 0
4305.3445 4309.2193 -1.576335e-16 7.295381e-17 -3.702117e-02 18960 0
4305.6220 4309.4970 -4.328824e-16 8.409121e-17 -1.016831e-01 18960 0
4305.8994 4309.7748 -2.994076e-16 1.146639e-16 -7.034262e-02 18960 0
4306.1769 4310.0525 -6.156453e-16 1.938851e-16 -1.446649e-01 18960 0
4306.4544 4310.3302 -4.665427e-16 1.021679e-16 -1.096481e-01 18960 0
4306.7318 4310.6079 -2.722801e-16 7.382730e-17 -6.400330e-02 18960 0
4307.0093 4310.8856 -4.023862e-16 8.306076e-17 -9.460331e-02 18960 0
4307.2867 4311.1633 -2.949772e-16 8.607301e-17 -6.936312e-02 18960 0
4307.5642 4311.4410 -2.065656e-16 7.783828e-17 -4.858197e-02 18960 0
4307.8417 4311.7187 -2.812486e-16 1.090680e-16 -6.615829e-02 18960 0
4308.1191 4311.9964 -3.580426e-16 7.656973e-17 -8.423748e-02 18960 0
4308.3966 4312.2741 -3.079193e-16 7.639470e-17 -7.245768e-02 18960 0
4308.6740 4312.5518 -7.578073e-16 3.962836e-16 -1.783541e-01 18960 0
4308.9515 4312.8295 1.724773e-14 1.646001e-15 4.059814e+00 2576 0
4309.2289 4313.1072 4.223116e-15 4.613560e-16 9.941381e-01 2576 0
4309.5064 4313.3850 -2.652595e-16 1.609699e-16 -6.246335e-02 18960 0
4309.7839 4313.6627 -4.382479e-16 8.104186e-17 -1.032169e-01 18960 0
4310.0613 4313.9404 -3.963261e-16 7.383300e-17 -9.335991e-02 18960 0
4310.3388 4314.2181 -3.492321e-16 7.402464e-17 -8.228081e-02 18960 0
4310.6162 4314.4958 -1.391346e-16 7.384382e-17 -3.278658e-02 18960 0
4310.8937 4314.7735 2.204311e-15 2.581184e-16 5.194193e-01 2576 0
4311.1711 4315.0512 -2.749006e-16 7.478955e-17 -6.480220e-02 18960 0
4311.4486 4315.3289 -2.158542e-16 7.175765e-17 -5.089217e-02 18960 0
4311.7260 4315.6066 -3.048127e-16 7.424557e-17 -7.187869e-02 18960 0
4312.0035 4315.8843 -3.531759e-16 7.334659e-17 -8.329801e-02 18960 0
4312.2810 4316.1620 1.030475e-16 8.633250e-17 2.429623e-02 2576 0
4312.5584 4316.4397 1.629210e-15 1.993476e-16 3.842951e-01 2576 0
4312.8359 4316.7174 1.821763e-15 2.002513e-16 4.297955e-01 2576 0
4313.1133 4316.9951 2.877042e-15 3.133928e-16 6.789130e-01 2576 0
4313.3908 4317.2728 -2.757680e-16 7.820641e-17 -6.509823e-02 18960 0
4313.6682 4317.5505 -3.913468e-16 8.335153e-17 -9.239820e-02 18960 0
4313.9457 4317.8282 -2.031555e-17 7.875170e-17 -4.797407e-03 18960 0
4314.2231 4318.1059 2.760185e-15 2.937439e-16 6.517917e-01 2576 0
4314.5006 4318.3836 5.866584e-15 6.124222e-16 1.385675e+00 2576 0
4314.7780 4318.6613 5.678151e-15 5.228942e-16 1.341399e+00 2576 0
4315.0555 4318.9390 4.427992e-16 1.232810e-16 1.045925e-01 2576 0
4315.3329 4319.2167 1.828053e-15 2.247931e-16 4.319598e-01 2576 0
4315.6104 4319.4944 3.721735e-16 1.152836e-16 8.793836e-02 2576 0
4315.8878 4319.7721 -3.653666e-16 7.992268e-17 -8.638530e-02 18960 0
4316.1653 4320.0498 -6.277195e-16 1.568364e-16 -1.484406e-01 18960 0
4316.4427 4320.3275 -3.902589e-16 9.759387e-17 -9.230301e-02 18960 0
4316.7202 4320.6052 -6.364641e-16 9.950495e-17 -1.505612e-01 18960 0
4316.9976 4320.8829 -1.176445e-15 1.256265e-16 -2.783470e-01 18960 0
4317.2751 4321.1606 -1.037192e-15 3.024697e-16 -2.454426e-01 18960 0
4317.5525 4321.4383 -4.816910e-16 1.770980e-16 -1.140080e-01 18960 0
4317.8300 4321.7160 -1.017276e-15 2.063888e-16 -2.408137e-01 18960 0
4318.1074 4321.9937 1.695242e-16 9.551382e-17 4.011205e-02 2576 0
4318.3849 4322.2714 4.671963e-14 3.295069e-15 1.106316e+01 2576 0
4318.6623 4322.5491 4.205902e-14 2.987233e-15 9.961243e+00 2576 0
4318.9398 4322.8268 2.484624e-15 2.275637e-16 5.884582e-01 2576 0
4319.2172 4323.1045 -2.646644e-16 7.474567e-17 -6.270713e-02 18960 0
4319.4946 4323.3822 -3.409575e-16 7.480510e-17 -8.079737e-02 18960 0
4319.7721 4323.6599 5.528955e-17 7.340072e-17 1.309010e-02 2576 0
4320.0495 4323.9376 2.176539e-15 2.476804e-16 5.158417e-01 2576 0
4320.3270 4324.2153 -4.003179e-16 6.949139e-17 -9.491370e-02 18960 0
4320.6044 4324.4930 -3.103326e-16 7.331378e-17 -7.359135e-02 18960 0
4320.8819 4324.7707 -5.120961e-16 8.165024e-17 -1.214580e-01 18960 0
4321.1593 4325.0484 -4.836874e-16 7.761550e-17 -1.147401e-01 18960 0
4321.4367 4325.3260 -4.250359e-16 7.441552e-17 -1.008443e-01 18960 0
4321.7142 4325.6037 -4.484387e-16 7.501891e-17 -1.064153e-01 18960 0
4321.9916 4325.8814 -3.416659e-16 7.144963e-17 -8.109203e-02 18960 0
4322.2691 4326.1591 -4.050832e-16 7.504428e-17 -9.616037e-02 18960 0
4322.5465 4326.4368 -5.322734e-16 7.348627e-17 -1.263752e-01 18960 0
