# LMC-SN1987A-STIS-2 o4fx560i0 G430M CCD z=0.0009 a2center=276.9 extrsize=17 exptime=1400.0 mode=adaptive_clamphi flags=none
# rest_wvl obs_wvl flux error net dq mask
4306.2593 4310.1349 8.151465e-15 6.171759e-16 1.871234e+00 528 0
4306.5364 4310.4122 4.333888e-15 1.299377e-16 9.850662e-01 0 0
4306.8134 4310.6895 7.032390e-16 8.218873e-17 1.531776e-01 16 0
4307.0905 4310.9669 5.424723e-16 7.977930e-17 1.175275e-01 16 0
4307.3675 4311.2442 7.076860e-16 7.861677e-17 1.542265e-01 0 0
4307.6446 4311.5215 5.644593e-16 8.615806e-17 1.223352e-01 16 0
4307.9216 4311.7988 6.117688e-16 8.259106e-17 1.328710e-01 16 0
4308.1987 4312.0761 7.427218e-16 9.063440e-17 1.621530e-01 16 0
4308.4758 4312.3534 3.764768e-16 7.876002e-17 8.092415e-02 0 0
4308.7528 4312.6307 7.569626e-16 9.403791e-17 1.654062e-01 16 0
4309.0299 4312.9080 6.337945e-16 8.781494e-17 1.379048e-01 16 0
4309.3070 4313.1853 6.129517e-16 7.928675e-17 1.332881e-01 0 0
4309.5840 4313.4626 7.557445e-16 7.780996e-17 1.652166e-01 0 0
4309.8611 4313.7400 3.696297e-15 1.271655e-16 8.402353e-01 16 0
4310.1381 4314.0173 9.744262e-16 1.512647e-16 2.145253e-01 16 0
4310.4152 4314.2946 6.596231e-16 7.973021e-17 1.437928e-01 16 0
4310.6923 4314.5719 5.391438e-16 7.756467e-17 1.169993e-01 0 0
4310.9693 4314.8492 6.004547e-16 7.773389e-17 1.306468e-01 0 0
4311.2464 4315.1265 6.916914e-16 8.013368e-17 1.510427e-01 0 0
4311.5235 4315.4039 5.875879e-16 7.580413e-17 1.278277e-01 0 0
4311.8006 4315.6812 8.404282e-16 8.480925e-17 1.845108e-01 0 0
4312.0776 4315.9585 2.064925e-15 1.026241e-16 4.641593e-01 0 0
4312.3547 4316.2358 6.470860e-16 8.306489e-17 1.411719e-01 16 0
4312.6318 4316.5131 4.655090e-16 7.473244e-17 1.008274e-01 0 0
4312.9088 4316.7905 8.186574e-16 8.185717e-17 1.797417e-01 0 0
4313.1859 4317.0678 5.168173e-16 7.808598e-17 1.122231e-01 0 0
4313.4630 4317.3451 6.494940e-16 7.971033e-17 1.418123e-01 0 0
4313.7401 4317.6224 6.173571e-16 7.878165e-17 1.346525e-01 0 0
4314.0171 4317.8998 9.445418e-16 8.210195e-17 2.083250e-01 0 0
4314.2942 4318.1771 5.272115e-15 1.410474e-16 1.209785e+00 0 0
4314.5713 4318.4544 6.008056e-16 7.610068e-17 1.310263e-01 0 0
4314.8484 4318.7317 6.000859e-16 7.670147e-17 1.308888e-01 0 0
4315.1255 4319.0091 5.923919e-16 8.168935e-17 1.291935e-01 16 0
4315.4025 4319.2864 7.914177e-16 7.957839e-17 1.738971e-01 0 0
4315.6796 4319.5637 5.010155e-16 7.775772e-17 1.088839e-01 0 0
4315.9567 4319.8411 6.093878e-16 7.857929e-17 1.330614e-01 0 0
4316.2338 4320.1184 6.449145e-16 7.462837e-17 1.410408e-01 0 0
4316.5109 4320.3957 6.247055e-16 8.444121e-17 1.365377e-01 16 0
4316.7879 4320.6731 4.792202e-16 8.145870e-17 1.041168e-01 16 0
4317.0650 4320.9504 4.549991e-16 9.114592e-17 9.876321e-02 16 0
