# LMC-SN1987A-STIS-2 o4fx560s0 G430M CCD z=0.0009 a2center=275.1 extrsize=17 exptime=1050.0 mode=adaptive_clamphi flags=none
# rest_wvl obs_wvl flux error net dq mask
4048.9378 4052.5818 1.090316e-14 9.620698e-16 2.222425e+00 528 0
4049.2150 4052.8593 9.935155e-15 2.331355e-16 2.021177e+00 0 0
4049.4923 4053.1368 7.774180e-15 2.125479e-16 1.573711e+00 16 0
4049.7695 4053.4143 1.532983e-14 2.890694e-16 3.136366e+00 16 0
4050.0468 4053.6918 7.879243e-16 1.114638e-16 1.492432e-01 0 0
4050.3240 4053.9693 9.372027e-16 1.248688e-16 1.787404e-01 16 0
4050.6013 4054.2468 7.360769e-16 1.176810e-16 1.391835e-01 16 0
4050.8785 4054.5243 9.562024e-16 1.275236e-16 1.825454e-01 16 0
4051.1558 4054.8018 6.704375e-16 1.157889e-16 1.264496e-01 0 0
4051.4331 4055.0794 9.846726e-16 1.309406e-16 1.882043e-01 16 0
4051.7103 4055.3569 1.083655e-15 1.298028e-16 2.078108e-01 16 0
4051.9876 4055.6344 7.315617e-16 1.125481e-16 1.385267e-01 0 0
4052.2649 4055.9119 8.134047e-16 1.091433e-16 1.545703e-01 0 0
4052.5421 4056.1894 7.869179e-16 1.227584e-16 1.494040e-01 16 0
4052.8194 4056.4669 8.084309e-16 1.969842e-16 1.536496e-01 16 0
4053.0966 4056.7444 6.777117e-16 1.112162e-16 1.281074e-01 16 0
4053.3739 4057.0220 6.956091e-16 1.098118e-16 1.316175e-01 0 0
4053.6512 4057.2995 6.120043e-16 1.298933e-16 1.153619e-01 16 0
4053.9285 4057.5770 8.388014e-16 1.139808e-16 1.597304e-01 0 0
4054.2057 4057.8545 8.722176e-16 1.163222e-16 1.663413e-01 16 0
4054.4830 4058.1320 6.671711e-16 1.115691e-16 1.261484e-01 0 0
4054.7603 4058.4096 6.839350e-16 1.646492e-16 1.294397e-01 16 0
4055.0375 4058.6871 7.382435e-16 1.172400e-16 1.400869e-01 16 0
4055.3148 4058.9646 5.879463e-16 1.075719e-16 1.107786e-01 0 0
4055.5921 4059.2421 6.912666e-16 1.099917e-16 1.309331e-01 0 0
4055.8694 4059.5197 8.579588e-16 1.150137e-16 1.637119e-01 0 0
4056.1466 4059.7972 9.251153e-16 1.156962e-16 1.770160e-01 0 0
4056.4239 4060.0747 7.921798e-16 1.131684e-16 1.508044e-01 0 0
4056.7012 4060.3522 7.984968e-16 1.137328e-16 1.520745e-01 16 0
4056.9785 4060.6298 4.788095e-16 1.060885e-16 8.971877e-02 0 0
4057.2558 4060.9073 6.766171e-16 1.079256e-16 1.281863e-01 0 0
4057.5330 4061.1848 8.301364e-16 1.118591e-16 1.583954e-01 0 0
4057.8103 4061.4624 7.218622e-16 1.140082e-16 1.370999e-01 16 0
4058.0876 4061.7399 7.461874e-16 1.108603e-16 1.419039e-01 0 0
4058.3649 4062.0174 5.919725e-16 1.107391e-16 1.117181e-01 0 0
4058.6422 4062.2950 6.988706e-16 1.113345e-16 1.326500e-01 0 0
4058.9195 4062.5725 7.300153e-16 1.063784e-16 1.387920e-01 0 0
4059.1968 4062.8500 6.576371e-16 1.173314e-16 1.246019e-01 16 0
4059.4741 4063.1276 5.775386e-16 1.149246e-16 1.089605e-01 16 0
4059.7513 4063.4051 4.019501e-16 1.070484e-16 7.497055e-02 0 0
4060.0286 4063.6827 7.834426e-16 1.092280e-16 1.494183e-01 0 0
4060.3059 4063.9602 7.614992e-16 1.127920e-16 1.451119e-01 0 0
4060.5832 4064.2377 7.221140e-16 1.113003e-16 1.373710e-01 0 0
4060.8605 4064.5153 6.396024e-16 1.964270e-16 1.211745e-01 16 0
4061.1378 4064.7928 7.179135e-16 1.079803e-16 1.365875e-01 0 0
4061.4151 4065.0704 8.647995e-16 1.175276e-16 1.656621e-01 16 0
4061.6924 4065.3479 1.302232e-14 2.586613e-16 2.677118e+00 0 0
4061.9697 4065.6255 3.082893e-15 1.532995e-16 6.159194e-01 16 0
4062.2470 4065.9030 9.580832e-16 1.131987e-16 1.843108e-01 0 0
4062.5243 4066.1806 5.275686e-16 1.078734e-16 9.935395e-02 0 0
4062.8016 4066.4581 2.155385e-15 1.434547e-16 4.264057e-01 16 0
4063.0789 4066.7357 2.858412e-15 1.454844e-16 5.703359e-01 0 0
4063.3562 4067.0132 9.859665e-16 2.106187e-16 1.900128e-01 16 0
4063.6335 4067.2908 7.813760e-16 1.104059e-16 1.493386e-01 0 0
4063.9108 4067.5683 6.012625e-16 1.083081e-16 1.138343e-01 0 0
4064.1881 4067.8459 5.537895e-16 1.048033e-16 1.045458e-01 0 0
4064.4654 4068.1234 5.755679e-16 1.277463e-16 1.088242e-01 16 0
4064.7427 4068.4010 6.198191e-16 1.053934e-16 1.175271e-01 0 0
4065.0200 4068.6785 6.609194e-16 1.081199e-16 1.256375e-01 0 0
4065.2973 4068.9561 6.775690e-16 1.361476e-16 1.289414e-01 16 0
