# obs_wvl flux error
5.450556150559933485e+03 -2.056258945683220007e-19 6.342565503683459836e-17
5.451112301119866970e+03 2.224081972224352260e-17 5.045592536396007601e-17
5.451668451679800455e+03 6.393045201270777803e-17 4.195437566975981726e-17
5.452224602239733940e+03 1.008285635096688200e-16 3.959308543238389934e-17
5.452780752799667425e+03 2.102618664024672375e-16 4.090607614732825515e-17
5.453336903359600910e+03 6.703498418955126174e-16 4.644813718202663461e-17
5.453893053919534395e+03 2.445376880941034223e-16 4.857578907969190962e-17
5.454449204479467880e+03 1.185701695321641083e-16 4.286513909888696801e-17
5.455005355039401366e+03 1.368858810275236911e-16 4.217977536656032905e-17
5.455561505599334851e+03 1.490206449297436641e-16 4.315576454168471906e-17
5.456117656159268336e+03 -9.124658579646564979e-17 7.751825852603047559e-17
5.456673806719201821e+03 7.800742259917434081e-16 4.813560660576185332e-17
5.457229957279135306e+03 3.468712480442658806e-16 4.055652664450535410e-17
5.457786107839068791e+03 1.158043436090438783e-16 4.883470517008858018e-17
5.458342258399002276e+03 1.505947342231654597e-16 3.957555042081932948e-17
5.458898408958935761e+03 7.832844535820587770e-16 5.142674657266591961e-17
5.459454559518869246e+03 2.317266629685098263e-15 6.266513970009030942e-17
5.460010710078802731e+03 3.744155958798418528e-15 5.947091621009694106e-17
5.460566860638736216e+03 2.373213819027440472e-15 5.224282279435013748e-17
5.461123011198669701e+03 1.437377447304617460e-15 5.345708576560513628e-17
5.461679161758603186e+03 3.023945585812996664e-16 4.529240177129657100e-17
5.462235312318536671e+03 1.600715476446347363e-16 4.137225368762920752e-17
5.462791462878470156e+03 3.664163342561954921e-16 4.145990491459873641e-17
5.463347613438403641e+03 1.642328051261499976e-16 4.137876444496930062e-17
5.463903763998337126e+03 1.637543287178558292e-15 5.662971213204990472e-17
5.464459914558270611e+03 1.745898876151086738e-15 5.695652894643859415e-17
5.465016065118204097e+03 1.598189466583943300e-15 5.112625985198591118e-17
5.465572215678137582e+03 6.977700921330304656e-16 4.242866210142195750e-17
5.466128366238071067e+03 9.222948795919390202e-17 4.514392831510458216e-17
5.466684516798004552e+03 -8.964533126897804811e-17 5.322503755444288802e-17
5.467240667357938037e+03 7.231097614885636651e-17 4.011156197778525020e-17
5.467796817917871522e+03 1.852626755445625291e-16 5.143782800842010802e-17
5.468352968477805007e+03 4.055163935121867265e-16 5.287744772760052080e-17
5.468909119037738492e+03 1.240035244160009468e-15 6.491609165114570894e-17
5.469465269597671977e+03 8.586975232254951429e-16 4.938973779876226246e-17
5.470021420157605462e+03 5.165093278758918104e-17 4.076663496492258789e-17
5.470577570717538947e+03 1.320258809506862659e-17 4.583048840575775503e-17
5.471133721277472432e+03 4.695732022881000996e-17 4.040235526643847530e-17
5.471689871837405917e+03 7.953738667219782296e-17 4.286360048726556424e-17
5.472246022397339402e+03 2.564969341532916092e-17 4.230870138749442233e-17
5.472802172957272887e+03 1.359257621624760460e-16 3.809359677294184707e-17
5.473358323517206372e+03 7.742000184435740904e-17 3.590535966189318478e-17
5.473914474077139857e+03 1.356357770927384212e-16 3.753298314038206242e-17
5.474470624637073342e+03 1.545111083178130302e-16 3.757438307423867363e-17
5.475026775197006828e+03 3.632672736906192172e-16 4.091010622660242992e-17
5.475582925756940313e+03 1.344311219669941114e-15 5.139364077868912267e-17
5.476139076316873798e+03 8.810346587861653181e-16 4.313953148349049088e-17
5.476695226876807283e+03 7.960929000609043071e-17 3.865849824481821703e-17
5.477251377436740768e+03 6.954787664301459901e-17 3.820060180534229361e-17
5.477807527996674253e+03 6.206436860316626190e-16 4.441590396868545674e-17
5.478363678556607738e+03 4.562723651859942568e-16 4.037014090135565305e-17
5.478919829116541223e+03 1.377773906009772072e-16 3.783783519197304576e-17
5.479475979676474708e+03 1.283900591208119482e-16 3.782903614310875950e-17
5.480032130236408193e+03 1.726264691175680146e-16 3.769002837431489467e-17
5.480588280796341678e+03 1.450062872535126364e-16 3.640405472838132433e-17
5.481144431356275163e+03 9.388366641898160079e-17 4.084773321464182888e-17
5.481700581916208648e+03 1.620145435452470738e-16 3.513380019546413711e-17
5.482256732476142133e+03 1.052223855707652101e-16 3.878454717835508022e-17
5.482812883036075618e+03 1.071454522501172948e-16 3.638582552746759596e-17
5.483369033596009103e+03 1.324648520887856696e-16 3.614394297850165729e-17
5.483925184155942588e+03 5.440553323887316246e-16 4.127305159047882768e-17
5.484481334715876073e+03 2.436007153600359433e-16 3.574075420219095516e-17
5.485037485275809559e+03 1.345897289213809028e-16 4.279065605665029079e-17
5.485593635835743044e+03 9.121615851523878611e-17 3.751316795744934685e-17
5.486149786395676529e+03 3.998258206411805171e-17 3.454738962171636866e-17
5.486705936955610014e+03 7.184220712283312418e-17 3.575390809375066862e-17
5.487262087515543499e+03 5.593067715105677584e-16 3.775250557681308078e-17
5.487818238075476984e+03 8.580661622640459432e-16 4.440099340411841183e-17
5.488374388635410469e+03 9.017141619503322260e-16 4.660531659523658712e-17
5.488930539195343954e+03 3.854291660767780996e-17 3.404074214826964167e-17
5.489486689755277439e+03 8.868446720375333284e-16 4.491291441016780564e-17
5.490042840315210924e+03 7.153732749161688644e-16 4.462659629373699406e-17
5.490598990875144409e+03 1.878164967888246894e-16 3.608436733207216085e-17
5.491155141435077894e+03 3.568552949916983519e-17 3.463282402861718367e-17
5.491711291995011379e+03 1.658706883503752391e-16 4.151700793264995349e-17
5.492267442554944864e+03 1.370246356239183578e-17 4.457307324782188733e-17
5.492823593114878349e+03 7.395102154432458271e-17 3.723156773068540314e-17
5.493379743674811834e+03 2.393983717275355708e-17 3.524936975047525512e-17
5.493935894234745319e+03 8.030286371394402308e-17 3.496340364277802195e-17
5.494492044794678804e+03 5.883705156011628318e-16 4.563448630146892266e-17
5.495048195354612290e+03 5.510601747302636990e-16 4.829824287656800945e-17
5.495604345914545775e+03 5.120062712775470150e-16 4.252339960083693332e-17
5.496160496474479260e+03 3.836202680033961159e-16 4.436650828585667695e-17
5.496716647034412745e+03 2.527089902917818036e-16 3.726546606348258048e-17
5.497272797594346230e+03 -3.916057882090823408e-17 3.805871415295353364e-17
5.497828948154279715e+03 6.723808694263908695e-17 3.747572021235437410e-17
5.498385098714213200e+03 1.027155847082495951e-16 3.538412115759807091e-17
5.498941249274146685e+03 8.108456645153746362e-17 4.079628254927107116e-17
5.499497399834080170e+03 5.595503952533798731e-17 3.606277359938435945e-17
5.500053550394013655e+03 1.448632137717582277e-16 3.652097583535575367e-17
5.500609700953947140e+03 1.502384990444683908e-16 4.345478606126149419e-17
5.501165851513880625e+03 9.176029782164454387e-17 3.681366318463755214e-17
5.501722002073814110e+03 1.605554683079199005e-16 3.591640801442004160e-17
5.502278152633747595e+03 1.870898715129960421e-16 3.552257822271789525e-17
5.502834303193681080e+03 1.558851367880362724e-15 4.937466807477850708e-17
5.503390453753614565e+03 1.626444235340583877e-15 4.402927227966741972e-17
5.503946604313548050e+03 1.923585874027661800e-16 3.876996206156913556e-17
5.504502754873481535e+03 9.839596063630310132e-17 3.714858819489000578e-17
5.505058905433415021e+03 1.677467160909306988e-16 3.825729964501071660e-17
5.505615055993348506e+03 6.847260219119114791e-17 3.488421541488593482e-17
5.506171206553281991e+03 1.699185714066222377e-16 3.455514206798822659e-17
5.506727357113215476e+03 1.460423742555757715e-16 3.477760824537978030e-17
5.507283507673148961e+03 1.857518047595716698e-16 3.426340126944616585e-17
5.507839658233082446e+03 2.135221656168746549e-16 3.691547272954664051e-17
5.508395808793015931e+03 5.314745917202431388e-17 3.359921998986271074e-17
5.508951959352949416e+03 1.148380398114722191e-16 4.222963653927133294e-17
5.509508109912882901e+03 1.216044862487157095e-16 3.381931086403286115e-17
5.510064260472816386e+03 5.626349158240069621e-16 3.884394880286092590e-17
5.510620411032749871e+03 1.152540826094025670e-15 4.528915926778256374e-17
5.511176561592683356e+03 1.244074778078440982e-15 4.490506531815437630e-17
5.511732712152616841e+03 6.121964803424481783e-16 3.470427655226095127e-17
5.512288862712550326e+03 1.425674642908077405e-16 3.465454347972296169e-17
5.512845013272483811e+03 1.061390488168879685e-16 3.827033876006745943e-17
5.513401163832417296e+03 5.651747666188205528e-17 3.567739039046314441e-17
5.513957314392350781e+03 4.960930262471262669e-16 3.885128992533584464e-17
5.514513464952284266e+03 2.657398340367702025e-16 3.334172004361181287e-17
5.515069615512217752e+03 1.161575510606561711e-16 3.540634673709156780e-17
5.515625766072151237e+03 1.037023806985271949e-15 4.860784001480603484e-17
5.516181916632084722e+03 1.453060406711556318e-15 4.692705970608151849e-17
5.516738067192018207e+03 1.742497982881685204e-15 4.741345454128239725e-17
5.517294217751951692e+03 2.071535971064808067e-15 5.064850128988067157e-17
5.517850368311885177e+03 1.479471194990095989e-15 4.097132094067870215e-17
5.518406518871818662e+03 1.843794932652938760e-16 4.220051518625598247e-17
5.518962669431752147e+03 5.619817943396475290e-17 3.811959703298563179e-17
5.519518819991685632e+03 1.038145647034589605e-16 3.221740917493582172e-17
5.520074970551619117e+03 2.285572251707065092e-16 3.830091672589210876e-17
5.520631121111552602e+03 2.713336982583692994e-16 3.904915918908032334e-17
5.521187271671486087e+03 2.991138737880592705e-16 3.604675980598781953e-17
5.521743422231419572e+03 6.064261887530170687e-16 4.626536677918405481e-17
5.522299572791353057e+03 6.781276032613647881e-17 3.313965945416197051e-17
5.522855723351286542e+03 1.866665022702255668e-17 3.221036112198044763e-17
5.523411873911220027e+03 8.277024639730980678e-17 3.802729117403254027e-17
5.523968024471153512e+03 1.685805501463061317e-16 3.403117910649479610e-17
5.524524175031086997e+03 7.325263256829251334e-16 4.350982258123107043e-17
5.525080325591020483e+03 2.970088186418352226e-16 3.328958137866994587e-17
5.525636476150953968e+03 2.142045949327754635e-16 3.363852577452447096e-17
5.526192626710887453e+03 2.359405848207752764e-16 3.440752011088542342e-17
5.526748777270820938e+03 1.296402632852741759e-16 4.052991250008841983e-17
5.527304927830754423e+03 3.354174844330982692e-16 3.474096676733243343e-17
5.527861078390687908e+03 3.993761046630239679e-16 3.630629777715317002e-17
5.528417228950621393e+03 8.519550501556006413e-17 3.123081151055960428e-17
5.528973379510554878e+03 2.881372677343366003e-17 3.131975984491884210e-17
5.529529530070488363e+03 6.688905486070868358e-17 3.235062922453821952e-17
5.530085680630421848e+03 7.905763065530689403e-17 3.270782969394037312e-17
5.530641831190355333e+03 1.589108469725698647e-16 4.121076643660685849e-17
5.531197981750288818e+03 4.035507955233110713e-16 3.428225147722404449e-17
5.531754132310222303e+03 4.444312241185539239e-16 3.754489697981500729e-17
5.532310282870155788e+03 -6.126613676231038356e-18 3.057803818320126186e-17
5.532866433430089273e+03 6.087072632852823951e-17 3.130925265029771429e-17
5.533422583990022758e+03 6.972365066061535445e-17 3.376314431456963079e-17
5.533978734549956243e+03 3.725797697749796811e-17 3.224373209043673081e-17
5.534534885109889728e+03 4.689986601612757941e-17 3.229425415020193914e-17
5.535091035669823214e+03 9.022031034169313695e-17 3.350349060187598688e-17
5.535647186229756699e+03 5.080849507004710729e-17 3.139515382814365510e-17
5.536203336789690184e+03 6.077883816694150158e-17 3.157470088940271789e-17
5.536759487349623669e+03 1.095150167935163262e-16 3.184737134917028157e-17
5.537315637909557154e+03 4.419693818063159754e-16 3.677552104272887613e-17
5.537871788469490639e+03 1.394857849648880123e-15 4.620521093994688248e-17
5.538427939029424124e+03 3.903064166242165626e-16 4.266477681971656224e-17
5.538984089589357609e+03 -6.126190426083039049e-17 3.993268197258575511e-17
5.539540240149291094e+03 3.211644544136030168e-18 3.666333806764518121e-17
5.540096390709224579e+03 3.608897391019639803e-17 2.972187343426999122e-17
5.540652541269158064e+03 5.670495990327535714e-17 3.557770788633033332e-17
5.541208691829091549e+03 2.496314679814502613e-17 3.091933180276799634e-17
5.541764842389025034e+03 1.626682589852983249e-17 3.442290119937376227e-17
5.542320992948958519e+03 7.732614439286946486e-16 3.930382189195533977e-17
5.542877143508892004e+03 1.193646572976310670e-15 4.372956034749236268e-17
5.543433294068825489e+03 1.164038335191295991e-15 4.919516189714130328e-17
5.543989444628758974e+03 1.968970299327083573e-15 5.360296518442465472e-17
5.544545595188692459e+03 1.410452264637952148e-15 5.134350473443225367e-17
5.545101745748625945e+03 1.714741653508444116e-15 4.374181192940866450e-17
5.545657896308559430e+03 2.599837185469679275e-15 5.153879884381135329e-17
5.546214046868492915e+03 3.100663012644040114e-15 5.748632849072127133e-17
5.546770197428426400e+03 1.886497764273272733e-15 4.805028212415420212e-17
5.547326347988359885e+03 1.966769280933408957e-15 4.163835896099481129e-17
5.547882498548293370e+03 7.602304251200496928e-16 3.931201155226905905e-17
5.548438649108226855e+03 9.340915029651973987e-17 3.227915860172915062e-17
5.548994799668160340e+03 1.489854503252941523e-16 3.660517849393627778e-17
5.549550950228093825e+03 5.226936532191702728e-17 3.248648792923761153e-17
5.550107100788027310e+03 6.416766532617849481e-17 3.222953755961509257e-17
5.550663251347960795e+03 1.567330152020417823e-16 3.199332537658367869e-17
5.551219401907894280e+03 8.029431773085767949e-16 4.156194844918480308e-17
5.551775552467827765e+03 5.912298853475392447e-16 3.441448920781850804e-17
5.552331703027761250e+03 1.091757226715824456e-15 4.315195829868849237e-17
5.552887853587694735e+03 6.454532843859968853e-16 3.316614553154925893e-17
5.553444004147628220e+03 6.190150826262291553e-17 3.027666040467558597e-17
5.554000154707561705e+03 6.861355683589025605e-17 3.307234311876010791e-17
5.554556305267495190e+03 7.808235354321489144e-17 3.047609790621950237e-17
5.555112455827428676e+03 1.196440154985797145e-16 3.030442183952824023e-17
5.555668606387362161e+03 1.575634307290110777e-16 4.090970506836117563e-17
5.556224756947295646e+03 2.495796684932901812e-16 3.400683501151664181e-17
5.556780907507229131e+03 4.195574254605429405e-16 3.632687051700979189e-17
5.557337058067162616e+03 3.748385864934572983e-18 3.012684692149817022e-17
5.557893208627096101e+03 -6.275896278063751893e-18 2.946473640716499205e-17
5.558449359187029586e+03 -2.433466568089420677e-17 2.973403021811827754e-17
5.559005509746963071e+03 1.154062194546428003e-17 3.229708596809255279e-17
5.559561660306896556e+03 6.592727067130770476e-17 3.833693161962180818e-17
5.560117810866830041e+03 5.795628907548610414e-17 3.403877043494436449e-17
5.560673961426763526e+03 1.002281566026437413e-16 3.073460185521798102e-17
5.561230111986697011e+03 4.252556434577776471e-17 2.942835292818913163e-17
5.561786262546630496e+03 6.550387486115220686e-17 3.266100982982235288e-17
5.562342413106563981e+03 6.664932639540369878e-17 3.056909518025986243e-17
5.562898563666497466e+03 -1.968345198672261779e-17 2.911216232473282429e-17
5.563454714226430951e+03 1.582486619511672773e-17 3.211458158416415460e-17
5.564010864786364436e+03 2.833718428518391830e-16 3.669881637839598790e-17
5.564567015346297921e+03 4.755445295308562404e-16 3.886279221247958951e-17
5.565123165906231407e+03 3.806983942498089543e-17 3.001328104207359018e-17
5.565679316466164892e+03 8.475869150970410059e-17 3.209346958592644122e-17
5.566235467026098377e+03 3.396542704018987737e-16 3.047652487915947746e-17
5.566791617586031862e+03 1.122601004009526517e-15 4.019047491732927563e-17
5.567347768145965347e+03 3.424245635256117473e-15 5.833878475497479773e-17
5.567903918705898832e+03 1.918700972287808664e-15 5.252253369699867377e-17
5.568460069265832317e+03 1.130455777216405100e-15 4.017306614876134232e-17
5.569016219825765802e+03 9.612806101574753735e-16 3.435422282880345369e-17
5.569572370385699287e+03 4.652281790727271388e-16 3.503564218415739946e-17
5.570128520945632772e+03 7.639766247541642762e-17 3.059696957204707330e-17
5.570684671505566257e+03 9.878389680732035732e-17 3.177424222774888835e-17
5.571240822065499742e+03 4.017621499294615143e-17 2.971221198277974424e-17
5.571796972625433227e+03 1.017703770725942998e-15 4.036292840555766057e-17
5.572353123185366712e+03 1.371312734094532133e-15 4.028888272307037195e-17
5.572909273745300197e+03 6.879235786384637363e-16 3.466370522730454190e-17
5.573465424305233682e+03 4.891422544098648760e-16 3.520206041934446990e-17
5.574021574865167167e+03 4.663437716917497930e-16 3.890569493536143874e-17
5.574577725425100653e+03 1.240143532708802436e-15 4.331282800974575536e-17
5.575133875985034138e+03 3.965421696649278736e-15 8.140599711140103531e-17
5.575690026544967623e+03 2.397937750869922361e-15 4.549890985865396025e-17
5.576246177104901108e+03 7.481376737425375624e-15 7.458372324457780764e-17
5.576802327664834593e+03 3.988403172862690343e-15 5.496396102247645931e-17
5.577358478224768078e+03 4.579130704916156700e-16 3.164564482158143871e-17
5.577914628784701563e+03 9.338046808963142656e-16 4.518529313257058478e-17
5.578470779344635048e+03 3.953501098155828929e-16 3.072130268908878448e-17
