# LMC-SN1987A-STIS-2 o67p01040 G750M CCD z=0.0009 a2center=550.0 extrsize=25 exptime=500.0 mode=fixed flags=extended_host
# rest_wvl obs_wvl flux error net dq mask
6291.2689 6296.9310 1.413944e-15 1.011627e-16 1.303030e+00 512 0
6291.8245 6297.4872 9.087152e-16 6.707124e-17 8.289540e-01 0 0
6292.3802 6298.0434 1.002202e-15 7.003085e-17 9.169057e-01 16 0
6292.9359 6298.5995 9.851100e-16 6.903929e-17 9.011553e-01 0 0
6293.4916 6299.1557 1.023120e-15 8.433647e-17 9.371132e-01 16 0
6294.0473 6299.7119 9.415241e-16 7.309730e-17 8.608069e-01 16 0
6294.6030 6300.2681 9.895645e-16 8.035075e-17 9.061773e-01 16 0
6295.1587 6300.8243 7.504105e-16 6.606967e-17 6.821569e-01 0 0
6295.7144 6301.3805 8.792828e-16 6.763746e-17 8.032529e-01 0 0
6296.2701 6301.9368 8.766373e-16 7.345805e-17 8.011031e-01 16 0
6296.8258 6302.4930 1.186197e-15 6.963207e-17 9.860440e-01 16 0
6297.3815 6303.0492 1.294664e-15 6.994194e-17 1.192358e+00 0 0
6297.9373 6303.6054 1.259845e-15 7.064525e-17 1.159942e+00 16 0
6298.4930 6304.1616 2.433551e-15 8.448239e-17 2.270701e+00 0 0
6299.0487 6304.7178 2.522624e-15 8.592863e-17 2.355878e+00 0 0
6299.6044 6305.2741 1.298999e-15 7.137966e-17 1.198104e+00 16 0
6300.1602 6305.8303 1.203371e-15 6.829506e-17 1.108268e+00 0 0
6300.7159 6306.3866 1.251099e-15 6.862408e-17 1.153699e+00 0 0
6301.2716 6306.9428 1.331902e-15 7.139306e-17 1.230425e+00 16 0
6301.8274 6307.4990 1.282729e-15 7.007791e-17 1.184373e+00 16 0
6302.3831 6308.0553 1.232212e-15 8.605998e-17 1.137044e+00 16 0
6302.9389 6308.6115 3.562828e-15 9.808110e-17 3.350205e+00 16 0
6303.4946 6309.1678 2.112605e-15 8.128518e-17 1.972272e+00 0 0
