# LMC-SN1987A-STIS-2 o6am01030 G750M CCD z=0.0009 a2center=485.7 extrsize=25 exptime=654.0 mode=fixed flags=extended_host
# rest_wvl obs_wvl flux error net dq mask
6291.1632 6296.8253 2.724226e-15 1.583051e-16 2.535089e+00 528 0
6291.7188 6297.3814 5.329785e-15 1.011825e-16 4.998419e+00 0 0
6292.2745 6297.9375 1.326130e-15 6.215851e-17 1.219421e+00 0 0
6292.8301 6298.4936 8.207027e-16 5.557283e-17 7.455229e-01 0 0
6293.3857 6299.0498 6.660488e-16 5.446276e-17 6.009834e-01 0 0
6293.9413 6299.6059 5.921569e-16 5.534459e-17 5.318688e-01 0 0
6294.4970 6300.1620 4.162303e-16 5.656425e-17 3.667086e-01 16 0
6295.0526 6300.7182 1.288021e-16 5.421236e-17 9.632558e-02 16 0
6295.6083 6301.2743 2.623433e-15 8.544784e-17 2.448682e+00 0 0
6296.1639 6301.8305 1.587056e-16 5.774498e-17 1.227746e-01 0 0
6296.7196 6302.3866 1.199236e-15 5.430022e-17 9.928615e-01 0 0
6297.2752 6302.9428 1.164577e-15 5.502396e-17 9.613135e-01 16 0
6297.8309 6303.4989 1.284432e-15 6.278625e-17 1.071560e+00 16 0
6298.3866 6304.0551 1.201096e-15 9.961909e-17 9.952056e-01 16 0
6298.9422 6304.6113 1.206834e-15 5.776041e-17 1.000690e+00 16 0
6299.4979 6305.1674 1.180710e-15 5.574922e-17 1.084102e+00 0 0
6300.0536 6305.7236 1.151667e-15 5.840096e-17 1.057129e+00 16 0
6300.6092 6306.2798 1.044698e-15 5.913803e-17 9.567640e-01 16 0
6301.1649 6306.8360 1.275822e-15 6.590571e-17 1.175023e+00 16 0
6301.7206 6307.3922 1.253930e-15 5.721616e-17 1.154773e+00 0 0
6302.2763 6307.9483 1.347087e-15 6.909884e-17 1.243179e+00 16 0
6302.8320 6308.5045 1.167948e-15 6.619679e-17 1.074417e+00 16 0
6303.3877 6309.0607 1.223128e-15 5.742608e-17 1.126904e+00 16 0
6303.9434 6309.6169 1.380623e-15 5.966236e-17 1.276195e+00 0 0
6304.4991 6310.1731 1.580850e-15 6.249503e-17 1.466216e+00 0 0
6305.0548 6310.7293 9.816021e-16 5.364863e-17 9.000914e-01 0 0
6305.6105 6311.2856 1.099400e-15 5.616864e-17 1.011571e+00 16 0
6306.1662 6311.8418 1.179632e-15 5.951556e-17 1.087749e+00 16 0
6306.7219 6312.3980 1.153292e-15 5.789589e-17 1.063223e+00 16 0
6307.2777 6312.9542 1.065125e-15 5.912805e-17 9.802570e-01 16 0
