# LMC-SN1987A-STIS-2 o6am020c0 G430L CCD z=0.0009 a2center=815.0 extrsize=17 exptime=981.0 mode=adaptive_clamphi flags=center_mismatch(815vs381)
# rest_wvl obs_wvl flux error net dq mask
2891.9252 2894.5279 6.439075e-16 1.773941e-15 6.665302e-03 512 0
2894.6677 2897.2729 4.401322e-16 1.413736e-15 5.372533e-03 512 0
2897.4102 2900.0178 -2.518035e-15 1.202320e-15 -4.138611e-02 16896 0
2900.1527 2902.7628 -2.224621e-15 1.316048e-15 -4.126764e-02 528 0
2902.8952 2905.5078 -8.371147e-16 2.098953e-15 -1.848038e-02 528 0
2905.6378 2908.2528 1.952543e-14 1.370569e-15 4.389845e-01 512 0
2908.3803 2910.9979 5.509187e-14 1.842314e-15 1.385913e+00 528 0
2911.1229 2913.7429 -9.639738e-16 7.744866e-16 -2.779630e-02 528 0
2913.8656 2916.4880 -2.516302e-15 6.682629e-16 -7.948051e-02 16896 0
2916.6082 2919.2331 -9.828240e-16 6.297588e-16 -3.495920e-02 528 0
2919.3509 2921.9783 -1.319693e-15 4.969244e-16 -5.211656e-02 16896 0
2922.0936 2924.7234 -9.397526e-16 4.756524e-16 -4.190443e-02 16896 0
2924.8363 2927.4686 -1.543437e-15 4.358654e-16 -7.721458e-02 16912 0
2927.5790 2930.2138 -8.710628e-16 3.580164e-16 -4.965705e-02 16896 0
2930.3218 2932.9591 -2.481460e-16 3.205613e-16 -1.688455e-02 512 0
2933.0646 2935.7043 7.882653e-16 8.645268e-16 5.494234e-02 528 0
2935.8074 2938.4496 7.588025e-17 2.622825e-16 4.662734e-03 512 0
2938.5502 2941.1949 -5.437563e-16 2.318991e-16 -5.153805e-02 16912 0
2941.2930 2943.9402 -3.949175e-16 2.040068e-16 -4.199628e-02 16912 0
2944.0359 2946.6855 -4.784816e-17 1.780848e-16 -6.912081e-03 512 0
2946.7788 2949.4309 -1.813291e-16 2.108210e-16 -2.430119e-02 528 0
2949.5217 2952.1763 -1.718495e-16 1.641807e-16 -2.532314e-02 528 0
2952.2647 2954.9217 -4.896416e-16 1.512859e-16 -7.801883e-02 16912 0
2955.0076 2957.6671 -1.628184e-16 1.334294e-16 -2.847627e-02 528 0
2957.7506 2960.4126 4.611826e-17 1.318995e-16 6.906345e-03 528 0
2960.4936 2963.1580 -9.495141e-17 1.605332e-16 -1.973474e-02 528 0
2963.2366 2965.9035 2.699546e-15 1.612177e-16 5.660153e-01 528 0
2965.9797 2968.6491 2.526181e-17 1.046506e-16 4.056118e-03 528 0
2968.7227 2971.3946 -1.022901e-16 1.013194e-16 -2.442735e-02 528 0
2971.4658 2974.1401 3.059891e-17 9.092422e-17 5.797587e-03 512 0
2974.2089 2976.8857 -6.027364e-17 8.988991e-17 -1.598971e-02 16 0
2976.9521 2979.6313 -2.245476e-16 7.745766e-17 -5.833917e-02 16384 0
2979.6952 2982.3770 -5.148415e-17 1.121508e-16 -1.451724e-02 16 0
2982.4384 2985.1226 -2.456020e-16 7.906432e-17 -6.666599e-02 16384 0
2985.1816 2987.8683 -6.521677e-17 7.856835e-17 -1.862825e-02 0 0
2987.9248 2990.6140 -1.586814e-16 7.529032e-17 -4.447334e-02 16384 0
2990.6681 2993.3597 6.174003e-17 8.343194e-17 1.551917e-02 16 0
2993.4113 2996.1054 3.266772e-15 1.445484e-16 9.267251e-01 16 0
2996.1546 2998.8511 5.404413e-15 1.734784e-16 1.557186e+00 272 0
2998.8979 3001.5969 -4.781704e-17 7.130152e-17 -1.486583e-02 0 0
3001.6412 3004.3427 1.278903e-17 7.708092e-17 2.308244e-03 0 0
3004.3846 3007.0885 -1.211942e-16 7.250718e-17 -3.662100e-02 16400 0
3007.1279 3009.8343 -9.350360e-17 6.894064e-17 -2.872950e-02 0 0
3009.8713 3012.5802 -5.621128e-17 7.579946e-17 -1.808225e-02 16 0
3012.6147 3015.3261 4.555514e-18 8.452485e-17 3.556535e-05 16 0
3015.3582 3018.0720 -1.026177e-16 6.369092e-17 -3.285622e-02 16384 0
3018.1016 3020.8179 -1.385099e-16 6.782092e-17 -4.505436e-02 16384 0
3020.8451 3023.5638 1.922684e-17 6.617229e-17 4.778797e-03 0 0
3023.5886 3026.3098 8.501235e-17 1.412394e-16 2.623802e-02 16 0
3026.3321 3029.0558 3.584503e-17 8.135500e-17 1.046677e-02 16 0
3029.0756 3031.8018 -7.154436e-17 1.182268e-16 -2.510009e-02 16 0
3031.8191 3034.5478 -8.408732e-17 6.173696e-17 -2.974463e-02 16384 0
3034.5627 3037.2938 -1.354587e-16 5.698976e-17 -4.875917e-02 16384 0
3037.3063 3040.0399 -5.366692e-17 5.622535e-17 -2.012530e-02 0 0
3040.0499 3042.7860 -8.306069e-17 5.589066e-17 -3.095884e-02 16384 0
3042.7935 3045.5320 2.987307e-17 5.890896e-17 9.596122e-03 16 0
3045.5372 3048.2782 -8.267331e-17 7.948606e-17 -3.188825e-02 16400 0
3048.2809 3051.0243 -5.974424e-17 5.548730e-17 -2.369790e-02 16 0
3051.0245 3053.7705 -1.671161e-17 6.345932e-17 -7.687945e-03 16 0
3053.7682 3056.5166 -4.414087e-17 5.176021e-17 -1.840176e-02 0 0
3056.5120 3059.2628 -1.298295e-17 5.086300e-17 -6.413592e-03 0 0
3059.2557 3062.0091 1.611802e-15 8.920574e-17 6.618830e-01 16 0
3061.9995 3064.7553 6.316327e-17 6.489021e-17 2.449532e-02 16 0
3064.7433 3067.5015 -2.010387e-17 5.068431e-17 -9.548044e-03 0 0
3067.4871 3070.2478 2.952216e-15 1.176195e-16 1.268353e+00 16 0
3070.2309 3072.9941 2.119239e-14 2.406522e-16 9.283562e+00 0 0
3072.9747 3075.7404 5.753454e-16 6.198644e-17 2.489083e-01 0 0
3075.7186 3078.4868 -9.415313e-18 5.819775e-17 -5.323859e-03 16 0
3078.4625 3081.2331 4.510644e-17 4.861961e-17 1.841647e-02 0 0
3081.2064 3083.9795 -5.411632e-17 4.513298e-17 -2.486884e-02 0 0
