# LMC-SN1987A-STIS-2 o6am020d0 G430L CCD z=0.0009 a2center=567.2 extrsize=17 exptime=920.0 mode=adaptive_clamphi flags=center_mismatch(567vs391)
# rest_wvl obs_wvl flux error net dq mask
2896.0658 2898.6723 -7.174305e-16 1.437969e-15 -1.230233e-02 512 0
2898.8079 2901.4168 -2.817585e-15 1.234528e-15 -4.920013e-02 16896 0
2901.5501 2904.1614 -7.244201e-16 1.185008e-15 -1.500422e-02 528 0
2904.2922 2906.9061 -8.430322e-16 1.038769e-15 -1.830583e-02 16896 0
2907.0344 2909.6507 1.251604e-15 1.129876e-15 2.532235e-02 528 0
2909.7766 2912.3954 2.406658e-15 1.387280e-15 5.758885e-02 528 0
2912.5189 2915.1401 1.317997e-15 1.096109e-15 3.444675e-02 528 0
2915.2611 2917.8849 -2.791297e-16 6.877813e-16 -1.042960e-02 512 0
2918.0034 2920.6296 -3.935425e-16 5.818602e-16 -1.547220e-02 512 0
2920.7457 2923.3744 1.203136e-15 6.082377e-16 4.381590e-02 528 0
2923.4881 2926.1192 -7.298169e-16 5.527564e-16 -3.631490e-02 528 0
2926.2304 2928.8640 -1.052767e-16 4.577155e-16 -9.773608e-03 512 0
2928.9728 2931.6089 5.625860e-17 4.186371e-16 -1.406502e-03 528 0
2931.7152 2934.3538 -3.425181e-16 3.508776e-16 -2.639359e-02 528 0
2934.4577 2937.0987 -2.139364e-16 2.946141e-16 -2.025132e-02 512 0
2937.2001 2939.8436 6.439184e-18 2.712999e-16 -4.113376e-03 512 0
2939.9426 2942.5886 -4.915116e-16 2.299101e-16 -4.993818e-02 512 0
2942.6851 2945.3335 -2.350433e-16 2.004928e-16 -2.904098e-02 512 0
2945.4277 2948.0785 -6.779796e-17 1.896020e-16 -1.257746e-02 512 0
2948.1702 2950.8236 -3.881216e-16 1.841599e-16 -5.372410e-02 528 0
2950.9128 2953.5686 4.272103e-15 3.364555e-16 6.270167e-01 528 0
2953.6554 2956.3137 1.686275e-16 1.543633e-16 2.154850e-02 528 0
2956.3980 2959.0588 -8.410382e-17 1.331250e-16 -1.886472e-02 512 0
2959.1407 2961.8039 -2.764082e-16 2.322518e-16 -5.407109e-02 528 0
2961.8834 2964.5491 1.401599e-16 1.394339e-16 2.241747e-02 784 0
2964.6261 2967.2943 -1.362633e-17 1.070031e-16 -7.610004e-03 512 0
2967.3688 2970.0395 5.788775e-16 4.182218e-16 1.216749e-01 528 0
2970.1116 2972.7847 5.832374e-17 9.992884e-17 8.226074e-03 512 0
2972.8543 2975.5299 1.906605e-16 1.015263e-16 3.967211e-02 512 0
2975.5971 2978.2752 8.972240e-18 9.506567e-17 -2.749909e-03 512 0
2978.3400 2981.0205 -1.632559e-17 9.124030e-17 -8.907568e-03 0 0
2981.0828 2983.7658 1.905372e-17 8.967396e-17 -1.492389e-04 0 0
2983.8257 2986.5111 1.479687e-17 8.490513e-17 -1.164790e-03 0 0
2986.5686 2989.2565 -6.776828e-17 1.120878e-16 -2.246410e-02 16 0
2989.3115 2992.0019 -5.032768e-17 8.281886e-17 -1.818196e-02 0 0
2992.0544 2994.7473 4.228755e-15 1.617259e-16 1.177533e+00 0 0
2994.7974 2997.4927 4.503039e-16 9.567901e-17 1.188160e-01 16 0
2997.5404 3000.2382 -1.774708e-16 7.693790e-17 -5.280965e-02 0 0
3000.2834 3002.9837 -2.165444e-16 7.568147e-17 -6.416872e-02 16384 0
3003.0264 3005.7292 1.106722e-17 9.381626e-17 -1.956914e-03 16 0
3005.7695 3008.4747 -1.277750e-17 8.134179e-17 -8.707874e-03 16 0
3008.5126 3011.2202 3.075131e-16 8.274394e-17 8.485980e-02 0 0
3011.2557 3013.9658 4.446386e-15 1.525357e-16 1.359665e+00 0 0
3013.9988 3016.7114 2.382140e-16 8.069903e-17 6.649499e-02 0 0
3016.7420 3019.4570 1.705747e-16 8.069449e-17 4.679541e-02 16 0
3019.4851 3022.2027 -9.014298e-17 7.514330e-17 -3.260043e-02 16 0
3022.2283 3024.9483 -8.243166e-17 7.050661e-17 -3.069535e-02 16 0
3024.9715 3027.6940 1.644999e-16 7.970441e-17 4.744189e-02 0 0
3027.7148 3030.4397 2.324894e-18 1.114921e-16 -4.458833e-03 16 0
3030.4580 3033.1854 2.850218e-15 1.199911e-16 9.715601e-01 0 0
3033.2013 3035.9312 7.169214e-16 8.868026e-17 2.403766e-01 16 0
3035.9446 3038.6770 1.992952e-16 6.962981e-17 6.325165e-02 0 0
3038.6879 3041.4228 7.053818e-17 7.412653e-17 1.924349e-02 16 0
3041.4313 3044.1686 -3.998524e-17 6.090741e-17 -1.931735e-02 0 0
3044.1747 3046.9144 -2.759572e-17 9.368665e-17 -1.516484e-02 16 0
3046.9181 3049.6603 -9.146090e-17 5.837975e-17 -3.835720e-02 0 0
3049.6615 3052.4062 1.162343e-16 6.299795e-17 3.805525e-02 0 0
3052.4049 3055.1521 1.567789e-15 9.397217e-17 6.070009e-01 16 0
3055.1484 3057.8980 9.252077e-16 7.727838e-17 3.593022e-01 0 0
3057.8919 3060.6440 1.378962e-15 3.370479e-16 5.492713e-01 16 0
3060.6354 3063.3899 9.794638e-17 6.445151e-17 3.346034e-02 16 0
3063.3789 3066.1359 9.843632e-17 6.022200e-17 3.418206e-02 0 0
3066.1224 3068.8819 2.608871e-17 5.672517e-17 5.156457e-03 16 0
3068.8660 3071.6280 -3.763518e-17 5.362118e-17 -2.080844e-02 0 0
3071.6096 3074.3740 5.478485e-17 5.567040e-17 1.734950e-02 0 0
3074.3532 3077.1201 3.382560e-17 6.257715e-17 8.737721e-03 16 0
3077.0968 3079.8662 6.275577e-17 6.158319e-17 2.119013e-02 16 0
3079.8405 3082.6123 3.518009e-17 5.374104e-17 9.558812e-03 0 0
3082.5842 3085.3585 2.695734e-17 5.660757e-17 6.112620e-03 16 0
3085.3279 3088.1047 4.194794e-17 5.568465e-17 1.272373e-02 16 0
3088.0716 3090.8508 -2.714503e-17 5.655503e-17 -1.736990e-02 16 0
3090.8153 3093.5971 7.285662e-17 5.549174e-17 2.664988e-02 16 0
3093.5591 3096.3433 3.700105e-17 5.182942e-17 1.084248e-02 0 0
3096.3029 3099.0895 8.038892e-17 5.193956e-17 3.039716e-02 16 0
3099.0467 3101.8358 3.277835e-17 5.947247e-17 9.101838e-03 16 0
3101.7905 3104.5821 -7.811472e-18 5.031652e-17 -9.127729e-03 0 0
3104.5343 3107.3284 -2.279875e-17 5.273852e-17 -1.591694e-02 16 0
3107.2782 3110.0747 1.571630e-17 5.793684e-17 1.505926e-03 16 0
3110.0221 3112.8211 -1.316956e-17 5.610663e-17 -1.166596e-02 16 0
3112.7660 3115.5675 9.793766e-17 5.820810e-17 3.959066e-02 16 0
3115.5099 3118.3139 5.544451e-17 5.109381e-17 1.999021e-02 0 0
3118.2538 3121.0603 8.973537e-17 5.035518e-17 3.615540e-02 0 0
3120.9978 3123.8067 8.034962e-17 5.078229e-17 3.192797e-02 0 0
3123.7418 3126.5532 3.504406e-17 5.014241e-17 1.071794e-02 0 0
3126.4858 3129.2996 2.034757e-18 5.246764e-17 -4.786000e-03 16 0
3129.2298 3132.0461 1.256134e-17 4.975796e-17 1.893342e-04 0 0
3131.9739 3134.7927 1.274210e-16 8.923741e-17 5.535690e-02 16 0
3134.7179 3137.5392 1.191047e-16 5.309349e-17 5.163939e-02 16 0
3137.4620 3140.2857 -8.655640e-17 4.669079e-17 -4.703254e-02 0 0
3140.2061 3143.0323 1.232771e-16 5.069138e-17 5.432326e-02 16 0
3142.9503 3145.7789 2.942228e-15 9.920779e-17 1.487633e+00 16 0
3145.6944 3148.5255 1.300620e-15 7.401621e-17 6.526318e-01 16 0
3148.4386 3151.2722 -1.875832e-17 4.930350e-17 -1.507563e-02 16 0
3151.1828 3154.0188 5.304948e-17 1.190544e-16 2.053889e-02 16 0
3153.9270 3156.7655 -1.395124e-17 5.572250e-17 -1.283070e-02 16 0
3156.6712 3159.5122 -1.812992e-17 4.670998e-17 -1.498219e-02 0 0
3159.4154 3162.2589 -5.268750e-17 4.328119e-17 -3.240468e-02 0 0
3162.1597 3165.0056 2.600172e-16 1.177792e-16 1.284678e-01 16 0
3164.9040 3167.7524 2.703156e-17 4.815394e-17 7.957608e-03 16 0
3167.6483 3170.4992 1.998406e-16 6.673221e-17 9.854598e-02 16 0
3170.3926 3173.2460 -2.985765e-17 4.676781e-17 -2.144141e-02 16 0
3173.1369 3175.9928 4.381157e-17 4.524325e-17 1.706233e-02 0 0
3175.8813 3178.7396 -1.083235e-16 4.118025e-17 -6.240973e-02 0 0
3178.6257 3181.4864 -7.000628e-17 5.203865e-17 -4.293770e-02 16 0
3181.3701 3184.2333 6.792941e-17 4.704609e-17 3.057227e-02 16 0
3184.1145 3186.9802 8.192071e-17 4.372826e-17 3.846847e-02 0 0
3186.8589 3189.7271 8.613677e-17 4.338785e-17 4.110926e-02 0 0
3189.6034 3192.4740 3.675252e-17 4.229399e-17 1.414628e-02 0 0
3192.3478 3195.2210 -4.370361e-17 3.871762e-17 -3.007018e-02 0 0
3195.0923 3197.9679 6.826577e-17 5.244342e-17 3.207941e-02 16 0
3197.8368 3200.7149 -3.543868e-17 3.947147e-17 -2.585652e-02 0 0
3200.5814 3203.4619 -6.568539e-17 6.565129e-17 -4.286744e-02 16 0
3203.3259 3206.2089 8.025460e-17 4.611438e-17 3.974361e-02 16 0
3206.0705 3208.9559 -8.776735e-18 4.021472e-17 -1.113696e-02 0 0
3208.8151 3211.7030 5.930196e-18 3.863750e-17 -2.721764e-03 0 0
3211.5597 3214.4501 -2.022920e-17 4.168679e-17 -1.784325e-02 16 0
3214.3043 3217.1972 -2.948045e-17 3.781060e-17 -2.329723e-02 0 0
3217.0489 3219.9443 9.770575e-16 6.500990e-17 5.845340e-01 16 0
3219.7936 3222.6914 -4.048720e-17 1.344402e-16 -2.998399e-02 16 0
3222.5383 3225.4385 -7.342444e-17 3.911723e-17 -4.943003e-02 16 0
3225.2829 3228.1857 2.954745e-17 3.879677e-17 1.148633e-02 0 0
3228.0277 3230.9329 -1.177965e-17 6.600626e-17 -1.329035e-02 16 0
3230.7724 3233.6801 4.735922e-17 4.127220e-17 2.249306e-02 16 0
3233.5171 3236.4273 -1.265921e-17 3.861783e-17 -1.392566e-02 0 0
3236.2619 3239.1745 1.158754e-17 4.399311e-17 8.255839e-04 16 0
3239.0067 3241.9218 7.807349e-17 4.394997e-17 4.195107e-02 16 0
3241.7515 3244.6690 8.198546e-17 4.066369e-17 4.462504e-02 0 0
3244.4963 3247.4163 3.610005e-17 3.920327e-17 1.615464e-02 0 0
3247.2411 3250.1636 -4.184066e-17 3.644183e-17 -3.224798e-02 0 0
3249.9860 3252.9109 7.904114e-17 3.865741e-17 4.344923e-02 0 0
3252.7308 3255.6583 -3.701706e-17 3.555567e-17 -2.950109e-02 0 0
3255.4757 3258.4056 -1.763638e-18 3.492863e-17 -7.453345e-03 0 0
3258.2206 3261.1530 -7.322374e-17 3.533926e-17 -5.236217e-02 0 0
3260.9655 3263.9004 -4.299318e-18 4.159291e-17 -9.098545e-03 16 0
3263.7105 3266.6478 -3.030162e-17 3.779705e-17 -2.567566e-02 0 0
3266.4554 3269.3952 5.260172e-17 3.836466e-17 2.750604e-02 0 0
3269.2004 3272.1427 -9.610493e-18 3.751888e-17 -1.258076e-02 16 0
3271.9454 3274.8901 -7.849163e-17 3.294692e-17 -5.666815e-02 0 0
3274.6904 3277.6376 -3.714593e-17 3.400524e-17 -3.042704e-02 0 0
3277.4354 3280.3851 7.878311e-18 3.564351e-17 -1.297675e-03 0 0
3280.1804 3283.1326 1.276837e-17 3.543228e-17 1.912415e-03 0 0
3282.9255 3285.8801 1.543216e-17 4.505404e-17 3.684036e-03 16 0
3285.6706 3288.6277 3.400729e-17 4.928903e-17 1.599395e-02 16 0
3288.4156 3291.3752 9.344250e-18 3.498928e-17 -2.959445e-04 0 0
3291.1607 3294.1228 2.645465e-17 3.618873e-17 1.110246e-02 16 0
3293.9059 3296.8704 -7.911476e-19 3.397607e-17 -7.025830e-03 0 0
3296.6510 3299.6180 -8.412647e-17 3.351053e-17 -6.215800e-02 0 0
3299.3961 3302.3656 -2.358695e-17 4.319989e-17 -2.230830e-02 16 0
3302.1413 3305.1132 2.942551e-17 3.376807e-17 1.333965e-02 0 0
3304.8865 3307.8609 8.153281e-17 5.250742e-17 4.894651e-02 16 0
3307.6317 3310.6086 -1.145177e-18 4.009020e-17 -7.331222e-03 16 0
3310.3769 3313.3562 -2.223392e-17 3.312119e-17 -2.168623e-02 0 0
3313.1221 3316.1039 1.668972e-17 3.441178e-17 4.865371e-03 0 0
3315.8674 3318.8517 3.306443e-16 3.989558e-17 2.246584e-01 0 0
3318.6126 3321.5994 4.125262e-15 8.650938e-17 2.959997e+00 16 0
3321.3579 3324.3471 1.188212e-16 3.979736e-17 7.645790e-02 16 0
3324.1032 3327.0949 4.287215e-17 4.240471e-17 2.332874e-02 16 0
3326.8485 3329.8427 -7.720598e-18 3.426773e-17 -1.202053e-02 0 0
3329.5938 3332.5905 1.018038e-16 4.832959e-17 6.536788e-02 16 0
3332.3392 3335.3383 9.298630e-17 3.583034e-17 5.936577e-02 0 0
3335.0845 3338.0861 -2.536258e-17 4.224825e-17 -2.456775e-02 16 0
3337.8299 3340.8340 5.701710e-17 3.386403e-17 3.405885e-02 0 0
3340.5753 3343.5818 1.427432e-15 5.625336e-17 1.045961e+00 0 0
3343.3207 3346.3297 8.299760e-19 3.187369e-17 -6.096311e-03 0 0
3346.0661 3349.0776 -5.068998e-17 3.017033e-17 -4.300250e-02 0 0
3348.8115 3351.8255 2.110861e-17 3.260464e-17 8.585349e-03 0 0
3351.5570 3354.5734 1.897835e-17 3.268689e-17 7.088140e-03 0 0
3354.3025 3357.3213 1.472010e-17 3.289244e-17 4.021361e-03 0 0
3357.0479 3360.0693 1.389828e-15 1.066959e-16 1.044508e+00 16 0
3359.7934 3362.8172 6.519840e-15 1.016863e-16 5.001079e+00 0 0
3362.5389 3365.5652 7.980749e-17 3.391839e-17 5.259164e-02 0 0
3365.2844 3368.3132 -2.238322e-17 2.966852e-17 -2.334723e-02 0 0
3368.0300 3371.0612 -2.677538e-17 2.940768e-17 -2.668438e-02 0 0
3370.7755 3373.8092 -3.315746e-17 3.030625e-17 -3.152461e-02 0 0
3373.5211 3376.5573 -2.166671e-17 5.225705e-17 -2.305364e-02 16 0
3376.2667 3379.3053 4.006071e-17 3.151923e-17 2.353403e-02 0 0
3379.0123 3382.0534 -6.066012e-18 3.026514e-17 -1.141857e-02 0 0
3381.7579 3384.8014 6.175425e-18 3.085608e-17 -2.128929e-03 0 0
3384.5035 3387.5495 7.881375e-18 4.195680e-17 -8.132383e-04 16 0
3387.2491 3390.2976 -2.720182e-17 3.528389e-17 -2.767319e-02 16 0
3389.9948 3393.0458 5.711163e-18 2.985986e-17 -2.457500e-03 0 0
3392.7404 3395.7939 -3.243130e-17 3.095554e-17 -3.188568e-02 16 0
3395.4861 3398.5420 7.236091e-17 3.180169e-17 4.968501e-02 0 0
3398.2318 3401.2902 -1.393107e-17 3.143919e-17 -1.774641e-02 16 0
3400.9775 3404.0384 -1.547848e-17 3.008150e-17 -1.900868e-02 0 0
3403.7232 3406.7866 4.289647e-17 3.313449e-17 2.695923e-02 16 0
3406.4690 3409.5348 -1.200288e-17 3.262504e-17 -1.638778e-02 16 0
3409.2147 3412.2830 9.455755e-18 3.131341e-17 5.746484e-04 0 0
3411.9605 3415.0312 -8.663987e-18 3.258118e-17 -1.382915e-02 16 0
3414.7062 3417.7795 1.040997e-18 2.833625e-17 -6.116308e-03 0 0
3417.4520 3420.5277 -2.131452e-17 3.995679e-17 -2.401596e-02 16 0
3420.1978 3423.2760 -2.905660e-17 2.834885e-17 -3.028768e-02 0 0
3422.9436 3426.0243 -1.533175e-17 3.205863e-17 -1.934621e-02 16 0
3425.6895 3428.7726 -1.214964e-17 2.853604e-17 -1.682688e-02 0 0
3428.4353 3431.5209 3.171899e-15 6.939947e-17 2.672667e+00 0 0
3431.1811 3434.2692 1.570170e-15 5.233079e-17 1.317024e+00 0 0
3433.9270 3437.0175 2.945107e-17 3.016783e-17 1.718793e-02 16 0
3436.6729 3439.7659 6.809953e-17 4.331966e-17 4.928848e-02 272 0
3439.4188 3442.5143 6.282177e-16 3.943113e-17 5.234772e-01 0 0
3442.1647 3445.2626 3.228082e-16 3.661138e-17 2.646525e-01 16 0
3444.9106 3448.0110 2.552117e-18 2.979258e-17 -4.930474e-03 0 0
3447.6565 3450.7594 -5.249768e-17 2.703035e-17 -5.050508e-02 0 0
3450.4025 3453.5078 -1.020668e-17 2.825523e-17 -1.558229e-02 0 0
3453.1484 3456.2563 4.057938e-17 3.154699e-17 2.702647e-02 16 0
3455.8944 3459.0047 3.818925e-17 3.541547e-17 2.509068e-02 16 0
3458.6404 3461.7531 9.827660e-18 2.847413e-17 1.187809e-03 0 0
3461.3864 3464.5016 -3.403409e-17 2.793378e-17 -3.572749e-02 0 0
3464.1324 3467.2501 1.531035e-17 2.837822e-17 5.863778e-03 0 0
3466.8784 3469.9986 7.469077e-18 2.978821e-17 -7.794797e-04 16 0
3469.6244 3472.7471 1.318085e-17 3.149123e-17 4.094779e-03 0 0
3472.3705 3475.4956 3.087478e-17 2.872519e-17 1.925762e-02 0 0
3475.1165 3478.2441 -6.442950e-17 2.615156e-17 -6.178312e-02 0 0
3477.8626 3480.9927 1.673737e-17 2.737944e-17 7.204942e-03 0 0
3480.6087 3483.7412 1.309872e-16 3.161769e-17 1.063612e-01 16 0
3483.3547 3486.4898 1.924279e-15 5.696857e-17 1.704268e+00 16 0
3486.1008 3489.2383 1.419228e-14 1.348973e-16 1.277612e+01 16 0
3488.8470 3491.9869 8.440086e-15 1.042145e-16 7.598958e+00 0 0
3491.5931 3494.7355 8.368744e-15 1.032739e-16 7.552105e+00 0 0
3494.3392 3497.4841 3.325181e-15 6.923613e-17 2.989565e+00 16 0
3497.0854 3500.2327 1.521613e-15 5.008482e-17 1.359744e+00 0 0
3499.8315 3502.9814 3.199719e-16 3.392052e-17 2.768717e-01 16 0
3502.5777 3505.7300 1.553968e-17 2.690743e-17 6.394655e-03 0 0
3505.3239 3508.4787 1.824881e-17 2.662487e-17 8.807525e-03 0 0
3508.0701 3511.2273 4.070409e-17 2.784467e-17 2.870585e-02 16 0
3510.8163 3513.9760 -2.535657e-17 2.648952e-17 -2.957720e-02 0 0
3513.5625 3516.7247 -1.569564e-17 2.545003e-17 -2.113286e-02 0 0
3516.3087 3519.4734 -9.983646e-18 2.645671e-17 -1.612328e-02 0 0
