# obs_wvl flux error
2.972000000000000000e+03 3.011858081714791871e-18 6.775650802636623430e-17
2.974747556643076678e+03 4.407588876280934493e-17 3.608822206439449417e-17
2.977495113286153355e+03 4.543880986848535328e-17 3.552787943309432492e-17
2.980242669929230033e+03 -5.440237828240132279e-18 3.875766106028279403e-17
2.982990226572306710e+03 -8.162067073356866882e-17 4.228792944336641682e-17
2.985737783215383388e+03 -1.034207037892017118e-16 4.482031949159744880e-17
2.988485339858460065e+03 -1.853227036078541459e-16 4.741705986102488409e-17
2.991232896501536743e+03 8.012421713987413833e-17 3.672689706335320490e-17
2.993980453144613421e+03 6.733161089818055434e-17 3.525164551888140099e-17
2.996728009787690098e+03 -9.703368265769285598e-18 3.931340025901263201e-17
2.999475566430766776e+03 -1.442351954901209372e-17 3.812268074169305230e-17
3.002223123073843453e+03 -8.212320463238772725e-18 4.077544019090080308e-17
3.004970679716920131e+03 -4.407252215454443832e-18 3.467902650784237932e-17
3.007718236359996808e+03 1.530630787530760316e-17 2.820104115546921837e-17
3.010465793003073486e+03 2.312275255324979747e-17 3.007729281380261961e-17
3.013213349646150164e+03 6.167350828276151537e-17 3.005017795857299933e-17
3.015960906289226841e+03 2.190602000756903396e-17 3.774691445237046484e-17
3.018708462932303519e+03 3.992847814801281586e-17 2.805063885249742155e-17
3.021456019575380196e+03 1.205364086114975097e-16 4.134460384705670686e-17
3.024203576218456874e+03 -4.222372466294885512e-17 3.025733474254515157e-17
3.026951132861533551e+03 -6.689507315349045065e-17 2.844314638775056483e-17
3.029698689504610229e+03 4.705067945761051798e-18 2.617068324752769587e-17
3.032446246147686907e+03 -1.694027632016822567e-17 2.761351542253776913e-17
3.035193802790763584e+03 3.789573171505273971e-17 2.675412239050368799e-17
3.037941359433840262e+03 -2.353606061752998186e-18 2.536685823474656490e-17
3.040688916076916939e+03 4.200987398225769293e-17 2.409872779005191590e-17
3.043436472719993617e+03 9.616924078694122173e-18 2.258042267071397983e-17
3.046184029363070294e+03 3.213724862024400985e-17 2.293348945741804353e-17
3.048931586006146972e+03 1.760720261799810630e-17 2.199119609538336237e-17
3.051679142649223650e+03 3.035039089231783142e-17 2.109659658784671076e-17
3.054426699292300327e+03 2.019562906672771975e-17 2.120383273923479751e-17
3.057174255935377005e+03 6.460405434090592646e-17 2.096881573386001845e-17
3.059921812578453682e+03 7.502616977219374146e-17 2.362540134447195173e-17
3.062669369221530360e+03 6.643983650849240635e-17 2.277155710023400479e-17
3.065416925864607038e+03 7.589532487558222800e-17 2.181210305468177156e-17
3.068164482507683715e+03 4.062276728962269932e-17 2.068939498493186422e-17
3.070912039150760393e+03 5.090634277635315154e-17 2.076883388235673751e-17
3.073659595793837070e+03 6.851049966327684185e-17 2.016155328118044291e-17
3.076407152436913748e+03 1.735956885440027492e-17 2.304367844570256120e-17
3.079154709079990425e+03 -1.622894940778240794e-17 2.070354040844223984e-17
3.081902265723067103e+03 5.800038039239910387e-18 2.617543460450087817e-17
3.084649822366143781e+03 1.003931542386150695e-17 2.168946210652123319e-17
3.087397379009220458e+03 2.066578315455300653e-17 1.953056888934964669e-17
3.090144935652297136e+03 1.841578850444873842e-17 2.091172950399538294e-17
3.092892492295373813e+03 2.774446072878415841e-17 1.945379594272061485e-17
3.095640048938450491e+03 7.995475908290948680e-17 2.097407063029046394e-17
3.098387605581527168e+03 6.745263850501698748e-17 2.009642506776727068e-17
3.101135162224603846e+03 -1.695259438622885690e-17 1.969525208733780048e-17
3.103882718867680524e+03 -8.094941587838198597e-18 2.656516030727606028e-17
3.106630275510757201e+03 6.403542826154209147e-18 1.872359312152186216e-17
3.109377832153833879e+03 1.402437107812339856e-17 1.777934145509536215e-17
3.112125388796910556e+03 2.352962800304028242e-17 1.858010977457858977e-17
3.114872945439987234e+03 1.983144186678888170e-17 1.830546567479178041e-17
3.117620502083063911e+03 3.400573253918498023e-18 1.776426232914784968e-17
3.120368058726140589e+03 3.895737075133741858e-17 1.932688645153342100e-17
3.123115615369217267e+03 1.318152948952190011e-17 1.795229029458859402e-17
3.125863172012293944e+03 4.462634298717203715e-17 1.835478454458085573e-17
3.128610728655370622e+03 5.970553255720565729e-17 1.838183402641363987e-17
3.131358285298447299e+03 4.895616366522497529e-17 1.828676285535232739e-17
3.134105841941523977e+03 5.319212770071551338e-17 2.109538327379834225e-17
3.136853398584600654e+03 2.577150070948456110e-17 1.842471945362826537e-17
3.139600955227677332e+03 1.989524482093133231e-17 1.801006222588362669e-17
3.142348511870754010e+03 2.873840315795594443e-18 1.724314223564709195e-17
3.145096068513830687e+03 3.961566793890767604e-17 1.842511684946426660e-17
3.147843625156907365e+03 8.189041329154212709e-18 1.922032141586634858e-17
3.150591181799984042e+03 -8.356429519418690875e-18 1.705704302712266497e-17
3.153338738443060720e+03 -2.060743371300471956e-17 1.835122517531155723e-17
3.156086295086137397e+03 5.772705422394010441e-17 2.049060734907683837e-17
3.158833851729214075e+03 1.869745392898087590e-17 1.705787701628148475e-17
3.161581408372290753e+03 8.402041596551876506e-18 1.805515593496604731e-17
3.164328965015367430e+03 2.200787273260880216e-17 1.905863491037242607e-17
