# LMC-SN1987A-STIS-2 o6gl24020 G750M CCD z=0.0009 a2center=497.8 extrsize=25 exptime=2900.0 mode=fixed flags=finder_fail,extended_host
# rest_wvl obs_wvl flux error net dq mask
6290.2840 6295.9452 4.264468e-18 2.091429e-17 3.565391e-03 16912 0
6290.8396 6296.5014 7.725356e-17 2.017896e-17 5.964737e-02 0 0
6291.3952 6297.0575 1.525633e-17 1.829344e-17 1.195337e-02 0 0
6291.9509 6297.6136 -1.037902e-17 2.108906e-17 -8.685032e-03 16400 0
6292.5065 6298.1698 3.938185e-17 1.824865e-17 3.027625e-02 0 0
6293.0622 6298.7259 1.213517e-17 2.085838e-17 9.499850e-03 16 0
6293.6178 6299.2821 1.263671e-17 2.158318e-17 9.767115e-03 16 0
6294.1734 6299.8382 6.993448e-18 4.339865e-17 5.275534e-03 16 0
6294.7291 6300.3944 -4.208641e-17 1.868255e-17 -3.526793e-02 16400 0
6295.2848 6300.9505 1.591416e-17 1.817869e-17 1.169375e-02 0 0
6295.8404 6301.5067 6.308096e-17 1.846020e-17 4.910955e-02 16 0
6296.3961 6302.0628 7.969157e-17 1.836876e-17 6.196740e-02 0 0
6296.9517 6302.6190 4.798505e-17 1.883099e-17 3.753111e-02 16 0
6297.5074 6303.1752 8.831730e-17 2.603085e-17 6.870490e-02 16 0
6298.0631 6303.7313 2.035949e-17 1.963904e-17 1.657895e-02 0 0
6298.6188 6304.2875 3.363389e-17 1.835920e-17 2.659985e-02 0 0
6299.1744 6304.8437 3.272482e-17 1.842845e-17 2.590925e-02 0 0
6299.7301 6305.3999 6.715701e-17 2.437725e-17 5.231532e-02 16 0
6300.2858 6305.9561 1.685063e-16 2.654749e-17 1.321282e-01 16 0
6300.8415 6306.5123 3.236688e-16 2.327768e-17 2.572249e-01 0 0
6301.3972 6307.0685 4.874879e-16 2.803081e-17 3.910576e-01 16 0
6301.9529 6307.6247 9.660629e-16 3.137359e-17 7.860172e-01 16 0
6302.5086 6308.1809 1.165479e-15 3.014144e-17 9.516905e-01 0 0
