# LMC-SN1987A-STIS-2 o6kq01070 G750M CCD z=0.0009 a2center=530.7 extrsize=25 exptime=793.0 mode=fixed flags=extended_host
# rest_wvl obs_wvl flux error net dq mask
6290.0704 6295.7315 2.834996e-15 1.943538e-16 2.635036e+00 528 0
6290.6261 6296.2877 3.069617e-15 7.531235e-17 2.857006e+00 0 0
6291.1818 6296.8438 3.427502e-15 7.966247e-17 3.195494e+00 16 0
6291.7374 6297.4000 1.333938e-15 5.834698e-17 1.224614e+00 0 0
6292.2931 6297.9562 1.414664e-15 5.863177e-17 1.300766e+00 0 0
6292.8488 6298.5123 1.382826e-15 6.003793e-17 1.271272e+00 16 0
6293.4044 6299.0685 2.566218e-15 7.458088e-17 2.386190e+00 16 0
6293.9601 6299.6247 1.442687e-15 6.051898e-17 1.328333e+00 16 0
6294.5158 6300.1809 1.343949e-15 7.930402e-17 1.235930e+00 16 0
6295.0715 6300.7370 1.337345e-15 6.249027e-17 1.230126e+00 16 0
6295.6272 6301.2932 1.462530e-15 5.988566e-17 1.348039e+00 16 0
6296.1829 6301.8494 1.443501e-15 5.923781e-17 1.330551e+00 0 0
6296.7386 6302.4056 1.686819e-15 6.202039e-17 1.560165e+00 0 0
6297.2943 6302.9618 3.575277e-15 7.903328e-17 3.345878e+00 0 0
6297.8500 6303.5180 1.437913e-15 6.439730e-17 1.326531e+00 16 0
6298.4057 6304.0742 1.340598e-15 5.826979e-17 1.235290e+00 0 0
6298.9614 6304.6304 1.444546e-15 8.352148e-17 1.333607e+00 16 0
6299.5171 6305.1867 1.443198e-15 7.268516e-17 1.332750e+00 16 0
6300.0728 6305.7429 1.303550e-15 5.806522e-17 1.201536e+00 0 0
6300.6285 6306.2991 1.248371e-15 5.962384e-17 1.149920e+00 16 0
6301.1843 6306.8553 1.209194e-15 9.320587e-17 1.113368e+00 16 0
6301.7400 6307.4116 1.323982e-15 5.903133e-17 1.221922e+00 16 0
6302.2957 6307.9678 1.312391e-15 5.758760e-17 1.211367e+00 0 0
6302.8515 6308.5240 1.416386e-15 5.975731e-17 1.309907e+00 16 0
6303.4072 6309.0803 1.318176e-15 6.099060e-17 1.217578e+00 16 0
6303.9629 6309.6365 1.438646e-15 5.974532e-17 1.331751e+00 0 0
6304.5187 6310.1927 1.548750e-15 6.138821e-17 1.436272e+00 0 0
6305.0744 6310.7490 1.284635e-15 5.840512e-17 1.187021e+00 16 0
6305.6302 6311.3052 1.454849e-15 5.945220e-17 1.348307e+00 0 0
6306.1859 6311.8615 1.369356e-15 5.861700e-17 1.267849e+00 0 0
6306.7417 6312.4178 5.105768e-15 9.094083e-17 4.820311e+00 0 0
6307.2975 6312.9740 1.469570e-15 6.045249e-17 1.363487e+00 0 0
6307.8532 6313.5303 1.481281e-15 8.868866e-17 1.374998e+00 16 0
6308.4090 6314.0866 1.416539e-15 5.924308e-17 1.314089e+00 256 0
6308.9648 6314.6428 1.333055e-15 1.116099e-16 1.235419e+00 16 0
6309.5205 6315.1991 1.485782e-15 6.577272e-17 1.380527e+00 16 0
6310.0763 6315.7554 1.479351e-15 5.960456e-17 1.374851e+00 16 0
6310.6321 6316.3117 1.523277e-15 6.165405e-17 1.416944e+00 16 0
6311.1879 6316.8680 1.785456e-15 6.337017e-17 1.666381e+00 0 0
6311.7437 6317.4242 2.191716e-15 8.255866e-17 2.053349e+00 16 0
6312.2995 6317.9805 1.347329e-15 5.838590e-17 1.251227e+00 0 0
6312.8553 6318.5368 1.250815e-15 5.885745e-17 1.160052e+00 16 0
6313.4111 6319.0931 1.353469e-15 5.855809e-17 1.257818e+00 16 0
6313.9669 6319.6494 1.327584e-15 5.854350e-17 1.233622e+00 16 0
6314.5227 6320.2057 1.746453e-15 1.826866e-16 1.632279e+00 16 0
6315.0785 6320.7620 1.442585e-15 8.033053e-17 1.343659e+00 16 0
6315.6343 6321.3183 1.366548e-15 5.907472e-17 1.271776e+00 16 0
6316.1901 6321.8747 1.235392e-15 6.042836e-17 1.147518e+00 16 0
6316.7459 6322.4310 1.324791e-15 5.783358e-17 1.232837e+00 0 0
6317.3017 6322.9873 1.418490e-15 6.069385e-17 1.322352e+00 16 0
6317.8576 6323.5436 1.331159e-15 2.142175e-16 1.239640e+00 16 0
6318.4134 6324.0999 1.282674e-15 5.824244e-17 1.193880e+00 16 0
6318.9692 6324.6563 3.228280e-15 8.789597e-17 3.052826e+00 16 0
6319.5250 6325.2126 1.899801e-15 6.922130e-17 1.783087e+00 16 0
6320.0809 6325.7689 1.348345e-14 1.397396e-16 1.289899e+01 16 0
6320.6367 6326.3253 1.022098e-14 1.226787e-16 9.767835e+00 0 0
6321.1926 6326.8816 9.857193e-15 1.255683e-16 9.421055e+00 16 0
6321.7484 6327.4380 1.452139e-15 6.019233e-17 1.357634e+00 16 0
6322.3042 6327.9943 1.288310e-15 5.749816e-17 1.201764e+00 0 0
6322.8601 6328.5507 1.302958e-15 5.927994e-17 1.216094e+00 16 0
6323.4159 6329.1070 1.359073e-15 6.449788e-17 1.270002e+00 16 0
6323.9718 6329.6634 1.230882e-15 5.760424e-17 1.148054e+00 0 0
6324.5277 6330.2197 1.327799e-15 5.815822e-17 1.240896e+00 0 0
6325.0835 6330.7761 1.246524e-15 5.757691e-17 1.163667e+00 0 0
6325.6394 6331.3325 1.725855e-15 1.097832e-16 1.622333e+00 16 0
6326.1953 6331.8888 1.322596e-15 5.781399e-17 1.237031e+00 0 0
