# LMC-SN1987A-STIS-2 o91o75040 G750L CCD z=0.0009 a2center=785.7 extrsize=25 exptime=1423.0 mode=adaptive_clamphi flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5242.6188 5247.3371 8.218009e-16 7.313613e-17 3.761368e-01 512 0
5247.4875 5252.2102 4.817519e-16 5.631266e-17 3.084263e-01 528 0
5252.3563 5257.0834 5.278963e-16 3.518939e-17 4.367793e-01 512 0
5257.2251 5261.9566 3.516471e-16 6.217469e-17 3.551265e-01 528 0
5262.0940 5266.8299 4.915404e-16 2.808587e-17 5.906109e-01 528 0
5266.9629 5271.7032 4.967724e-16 2.515271e-17 6.905069e-01 528 0
5271.8319 5276.5766 4.556717e-16 2.055462e-17 7.187876e-01 528 0
5276.7009 5281.4500 4.292393e-16 1.985489e-17 7.578815e-01 528 0
5281.5700 5286.3234 4.327199e-16 1.673339e-17 8.462083e-01 512 0
5286.4391 5291.1969 4.186098e-16 1.587945e-17 8.979456e-01 512 0
5291.3083 5296.0705 3.689844e-16 1.452402e-17 8.608787e-01 0 0
5296.1775 5300.9441 4.355149e-16 1.466006e-17 1.094173e+00 0 0
5301.0468 5305.8177 8.269720e-16 1.745987e-17 2.178452e+00 16 0
5305.9161 5310.6914 3.516263e-16 1.278774e-17 9.549696e-01 16 0
5310.7854 5315.5651 3.490962e-16 1.339487e-17 9.570512e-01 16 0
5315.6548 5320.4389 7.421587e-16 1.649303e-17 2.063226e+00 16 0
5320.5243 5325.3127 4.072767e-16 1.358941e-17 1.114725e+00 0 0
5325.3938 5330.1866 5.736610e-16 1.523963e-17 1.556795e+00 0 0
5330.2633 5335.0605 3.407261e-16 2.001415e-17 9.007084e-01 16 0
5335.1329 5339.9345 2.845080e-16 1.316645e-17 7.341164e-01 16 0
5340.0025 5344.8085 2.351122e-16 1.428112e-17 5.910964e-01 16 0
5344.8722 5349.6826 2.784316e-16 1.699147e-17 6.843007e-01 16 0
5349.7419 5354.5567 2.895593e-16 1.314544e-17 6.981564e-01 0 0
5354.6117 5359.4308 2.669313e-16 2.172523e-17 6.307790e-01 16 0
5359.4815 5364.3050 2.618140e-16 2.024913e-17 6.107196e-01 16 0
5364.3513 5369.1793 2.596284e-16 1.701056e-17 5.986726e-01 16 0
5369.2212 5374.0535 2.882949e-16 1.474798e-17 6.623180e-01 16 0
5374.0912 5378.9279 2.854940e-16 1.497930e-17 6.539593e-01 16 0
5378.9612 5383.8023 2.860544e-16 1.557163e-17 6.569716e-01 16 0
5383.8312 5388.6767 2.910668e-16 1.576545e-17 6.718819e-01 16 0
5388.7013 5393.5511 3.187997e-16 1.388960e-17 7.433667e-01 16 0
