# LMC-SN1987A-STIS-2 ob7i100d0 G430L CCD z=0.0009 a2center=492.0 extrsize=17 exptime=426.0 mode=fixed flags=extended_host
# rest_wvl obs_wvl flux error net dq mask
2891.9378 2894.5406 2.929240e-15 7.193631e-15 7.315170e-03 528 0
2894.6796 2897.2848 6.119248e-15 5.961843e-15 3.748698e-02 512 0
2897.4214 2900.0290 2.036359e-14 5.477456e-15 2.265757e-01 512 0
2900.1632 2902.7733 1.041016e-14 4.761770e-15 1.138150e-01 512 0
2902.9050 2905.5176 1.370503e-14 4.383663e-15 1.849605e-01 528 0
2905.6468 2908.2619 1.104553e-14 3.994787e-15 1.644769e-01 528 0
2908.3887 2911.0063 1.004911e-14 3.670043e-15 1.660625e-01 528 0
2911.1306 2913.7507 1.252342e-14 3.153343e-15 2.436638e-01 512 0
2913.8726 2916.4951 5.948179e-15 2.783295e-15 1.181510e-01 512 0
2916.6145 2919.2395 1.702547e-14 2.582783e-15 4.425479e-01 512 0
2919.3565 2921.9839 9.469071e-15 2.301019e-15 2.465692e-01 512 0
2922.0985 2924.7284 3.600490e-15 2.412003e-15 7.749464e-02 528 0
2924.8406 2927.4729 4.558633e-15 1.968739e-15 1.299210e-01 528 0
2927.5826 2930.2174 2.731981e-15 1.722659e-15 7.363246e-02 528 0
2930.3247 2932.9620 4.313352e-15 1.373821e-15 1.699460e-01 512 0
2933.0668 2935.7066 5.747327e-15 1.304360e-15 2.873539e-01 528 0
2935.8090 2938.4512 9.148237e-15 1.144993e-15 5.751281e-01 512 0
2938.5511 2941.1958 -1.499125e-15 1.620788e-15 -1.426563e-01 528 0
2941.2933 2943.9405 6.201981e-15 9.471015e-16 4.833448e-01 528 0
2944.0355 2946.6851 7.378793e-15 8.143417e-16 6.678710e-01 512 0
2946.7778 2949.4299 7.444385e-15 7.739081e-16 7.580908e-01 528 0
2949.5200 2952.1746 6.052476e-15 6.987469e-16 6.702772e-01 528 0
2952.2623 2954.9193 6.847835e-15 6.408486e-16 8.560510e-01 512 0
2955.0046 2957.6641 7.167561e-15 6.124155e-16 9.907618e-01 528 0
2957.7469 2960.4089 7.054432e-15 5.496574e-16 1.061462e+00 512 0
2960.4893 2963.1537 6.979386e-15 5.479605e-16 1.132767e+00 512 0
2963.2317 2965.8986 8.264168e-15 5.089808e-16 1.455797e+00 512 0
2965.9741 2968.6435 7.748579e-15 5.386505e-16 1.438013e+00 528 0
2968.7165 2971.3884 8.248650e-15 4.813745e-16 1.614540e+00 528 0
2971.4590 2974.1333 7.368668e-15 4.455228e-16 1.490826e+00 512 0
