# LMC-SN1987A-STIS-2 ob7i10070 G750L CCD z=0.0009 a2center=511.0 extrsize=25 exptime=310.0 mode=fixed flags=finder_fail,extended_host,no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5251.8808 5256.6075 8.804765e-17 1.674903e-16 4.984761e-02 528 0
5256.7450 5261.4761 -7.518118e-17 1.317014e-16 -7.821986e-02 16896 0
5261.6093 5266.3448 -2.424586e-16 1.279236e-16 -2.991753e-01 16912 0
5266.4737 5271.2135 9.177785e-17 9.902746e-17 8.300906e-02 512 0
5271.3381 5276.0823 7.744764e-17 8.604183e-17 7.384315e-02 512 0
5276.2025 5280.9511 4.261759e-17 7.735364e-17 2.129277e-02 512 0
5281.0671 5285.8200 -1.854961e-16 7.004031e-17 -3.731391e-01 16912 0
5285.9317 5290.6890 -2.142452e-16 7.386210e-17 -4.728111e-01 16912 0
5290.7963 5295.5580 2.343861e-17 6.617465e-17 -1.213734e-02 528 0
5295.6610 5300.4271 7.894119e-17 6.340236e-17 1.020122e-01 528 0
5300.5258 5305.2962 7.857041e-17 6.029369e-17 1.015123e-01 16 0
5305.3906 5310.1654 -2.761789e-17 5.405360e-17 -1.215528e-01 16 0
5310.2555 5315.0347 1.132939e-16 5.179208e-17 1.888132e-01 16 0
5315.1204 5319.9040 -6.281681e-17 5.075418e-17 -1.969392e-01 16 0
5319.9854 5324.7734 8.035099e-17 4.963107e-17 1.127535e-01 0 0
5324.8505 5329.6428 2.258315e-17 5.652409e-17 -1.685525e-02 16 0
5329.7156 5334.5123 2.083179e-16 5.646952e-17 3.956558e-01 16 0
5334.5808 5339.3819 1.857715e-16 5.516967e-17 3.341667e-01 16 0
5339.4460 5344.2515 2.305924e-16 5.548254e-17 4.232098e-01 16 0
5344.3113 5349.1212 2.830806e-16 5.762594e-17 5.252883e-01 16 0
5349.1766 5353.9909 3.774238e-16 6.131748e-17 7.178424e-01 16 0
5354.0421 5358.8607 3.803383e-16 7.036632e-17 7.085148e-01 16 0
5358.9075 5363.7305 5.473076e-16 6.793596e-17 1.056246e+00 16 0
5363.7730 5368.6004 1.948400e-16 6.073963e-17 3.073699e-01 0 0
5368.6386 5373.4704 3.710755e-16 6.430656e-17 6.644810e-01 16 0
5373.5043 5378.3404 5.067037e-16 6.429318e-17 9.466900e-01 16 0
5378.3700 5383.2105 1.871986e-16 8.841342e-17 2.889376e-01 16 0
5383.2357 5388.0806 4.963168e-16 6.439857e-17 9.315712e-01 16 0
5388.1015 5392.9508 4.005755e-16 8.988107e-17 7.359055e-01 16 0
5392.9674 5397.8211 3.729509e-16 6.054451e-17 6.863390e-01 0 0
5397.8333 5402.6914 1.207324e-16 5.811281e-17 1.664718e-01 16 0
5402.6993 5407.5617 5.216914e-16 6.224462e-17 1.043170e+00 16 0
5407.5654 5412.4322 4.497802e-16 6.026090e-17 9.003390e-01 16 0
5412.4314 5417.3026 3.390810e-16 5.524317e-17 6.662011e-01 0 0
5417.2976 5422.1732 4.357068e-16 5.755005e-17 9.112982e-01 16 0
5422.1638 5427.0438 4.146542e-17 5.896619e-17 1.582325e-02 16 0
5427.0301 5431.9144 9.445551e-17 5.264155e-17 1.369692e-01 16 0
5431.8964 5436.7851 1.845744e-16 5.125906e-17 3.565434e-01 16 0
5436.7628 5441.6559 2.309675e-16 4.969824e-17 4.824784e-01 0 0
5441.6292 5446.5267 2.645024e-16 6.597017e-17 5.819187e-01 16 0
5446.4957 5451.3975 -1.497961e-16 7.151724e-17 -4.598773e-01 16400 0
5451.3622 5456.2685 2.122895e-16 4.625609e-17 4.696181e-01 16 0
5456.2289 5461.1395 1.886752e-16 4.849075e-17 4.162374e-01 0 0
5461.0955 5466.0105 3.244098e-16 4.928372e-17 8.075831e-01 0 0
5465.9622 5470.8816 2.619242e-16 4.617648e-17 6.423421e-01 16 0
5470.8290 5475.7527 1.761618e-16 4.273519e-17 4.053626e-01 0 0
5475.6958 5480.6239 1.726750e-16 4.241032e-17 4.020821e-01 0 0
5480.5627 5485.4952 1.652235e-16 4.261626e-17 3.852292e-01 0 0
5485.4296 5490.3665 6.992598e-17 4.499492e-17 1.151670e-01 16 0
5490.2966 5495.2379 1.696523e-16 4.132495e-17 4.058425e-01 0 0
5495.1637 5500.1093 5.058065e-16 4.563558e-17 1.453520e+00 16 0
5500.0308 5504.9808 4.725183e-17 4.064390e-17 5.315891e-02 16 0
5504.8979 5509.8523 1.303077e-16 4.069438e-17 2.947068e-01 16 0
5509.7651 5514.7239 3.275308e-16 4.383811e-17 9.016883e-01 0 0
5514.6324 5519.5956 -3.668749e-18 5.372682e-17 -8.903600e-02 16 0
5519.4997 5524.4672 6.171430e-17 3.991142e-17 9.546283e-02 0 0
5524.3671 5529.3390 1.031180e-16 4.268624e-17 2.170763e-01 16 0
5529.2345 5534.2108 9.789607e-17 4.122652e-17 2.018899e-01 16 0
5534.1020 5539.0827 4.899254e-17 3.992632e-17 5.883643e-02 16 0
5538.9695 5543.9546 1.013054e-16 3.979916e-17 2.124378e-01 0 0
5543.8371 5548.8265 1.803257e-16 4.035230e-17 4.524070e-01 0 0
