# LMC-SN1987A-STIS-2 ob7i200a0 G750M CCD z=0.0009 a2center=513.8 extrsize=25 exptime=389.0 mode=fixed flags=finder_fail,extended_host
# rest_wvl obs_wvl flux error net dq mask
6290.2919 6295.9531 3.097474e-16 1.242757e-16 1.921363e-01 528 0
6290.8475 6296.5093 2.504660e-16 1.218966e-16 1.493982e-01 0 0
6291.4032 6297.0654 -4.023429e-16 1.420476e-16 -3.765470e-01 16400 0
6291.9588 6297.6216 2.311725e-16 1.294753e-16 1.333790e-01 0 0
6292.5144 6298.1777 3.644715e-16 1.299144e-16 2.350239e-01 0 0
6293.0701 6298.7339 7.072229e-17 1.289861e-16 8.868754e-03 16 0
6293.6258 6299.2900 -8.575767e-17 1.253470e-16 -1.008937e-01 16 0
6294.1814 6299.8462 7.096780e-17 1.441994e-16 3.696516e-03 16 0
6294.7371 6300.4023 5.289783e-16 1.410757e-16 3.580261e-01 16 0
6295.2927 6300.9585 8.628670e-16 1.411325e-16 6.335726e-01 16 0
6295.8484 6301.5147 -1.911304e-17 1.216090e-16 -5.930707e-02 0 0
6296.4041 6302.0709 -1.584971e-16 1.288362e-16 -1.572460e-01 16 0
6296.9598 6302.6270 3.832155e-16 1.293820e-16 2.463028e-01 16 0
6297.5155 6303.1832 2.583849e-16 1.206940e-16 1.483659e-01 0 0
6298.0711 6303.7394 7.308020e-18 1.216120e-16 -4.060788e-02 0 0
6298.6268 6304.2956 3.463364e-16 1.422702e-16 2.172172e-01 16 0
6299.1825 6304.8518 5.288142e-16 1.331841e-16 3.634227e-01 16 0
6299.7382 6305.4080 9.399762e-16 1.305208e-16 7.048736e-01 16 0
6300.2939 6305.9642 1.287008e-15 1.301521e-16 1.001999e+00 16 0
6300.8496 6306.5204 2.110239e-15 1.435965e-16 1.725429e+00 16 0
6301.4053 6307.0766 3.471162e-15 1.605123e-16 2.951487e+00 16 0
6301.9610 6307.6328 4.280500e-15 1.745917e-16 3.690624e+00 16 0
6302.5167 6308.1890 6.409459e-15 1.789185e-16 5.650716e+00 16 0
6303.0725 6308.7452 8.710753e-15 1.911099e-16 7.785302e+00 0 0
6303.6282 6309.3014 1.083989e-14 2.096143e-16 9.768909e+00 16 0
6304.1839 6309.8577 1.185902e-14 2.252253e-16 1.072216e+01 16 0
6304.7396 6310.4139 1.207639e-14 2.582186e-16 1.092830e+01 16 0
6305.2954 6310.9701 1.172711e-14 2.234868e-16 1.060563e+01 16 0
6305.8511 6311.5264 1.054371e-14 2.637861e-16 9.504717e+00 16 0
6306.4068 6312.0826 8.346594e-15 1.889742e-16 7.461063e+00 0 0
6306.9626 6312.6388 6.507913e-15 1.777407e-16 5.756157e+00 16 0
6307.5183 6313.1951 6.145267e-15 1.773832e-16 5.422077e+00 16 0
6308.0741 6313.7513 5.149551e-15 2.218361e-16 4.503450e+00 16 0
6308.6298 6314.3076 4.901341e-15 1.806588e-16 4.275990e+00 0 0
6309.1856 6314.8638 4.112544e-15 1.622839e-16 3.551807e+00 16 0
6309.7413 6315.4201 3.494906e-15 1.643178e-16 2.987464e+00 16 0
6310.2971 6315.9764 2.993451e-15 1.512590e-16 2.531631e+00 16 0
6310.8529 6316.5326 2.649516e-15 1.529461e-16 2.220708e+00 16 0
6311.4086 6317.0889 2.097651e-15 1.372041e-16 1.724838e+00 16 0
6311.9644 6317.6452 1.628334e-15 1.711905e-16 1.308019e+00 16 0
6312.5202 6318.2014 -5.766053e-15 1.808749e-16 -5.456438e+00 16400 0
6313.0759 6318.7577 6.050233e-16 1.432151e-16 4.282569e-01 16 0
6313.6317 6319.3140 6.621716e-16 1.429370e-16 4.758083e-01 0 0
6314.1875 6319.8703 3.619220e-16 1.499132e-16 2.303320e-01 0 0
6314.7433 6320.4266 1.407265e-15 1.474410e-16 1.115411e+00 0 0
6315.2991 6320.9828 3.078209e-16 1.418762e-16 1.872358e-01 16 0
6315.8549 6321.5391 5.157601e-16 1.267338e-16 3.551877e-01 0 0
6316.4107 6322.0954 5.803518e-16 1.310156e-16 4.084603e-01 16 0
6316.9665 6322.6517 1.784426e-16 1.334547e-16 8.572522e-02 16 0
6317.5223 6323.2080 5.873806e-16 1.238614e-16 4.144723e-01 16 0
6318.0781 6323.7643 7.061035e-15 3.598118e-16 6.307987e+00 16 0
6318.6339 6324.3207 2.344968e-16 1.220488e-16 1.293358e-01 16 0
6319.1897 6324.8770 3.018099e-16 1.257206e-16 1.825074e-01 16 0
6319.7455 6325.4333 7.879365e-16 1.438503e-16 5.829887e-01 16 0
6320.3013 6325.9896 -4.798056e-16 1.883702e-16 -4.558638e-01 16400 0
6320.8571 6326.5459 -1.083530e-16 1.206410e-16 -1.284301e-01 0 0
6321.4130 6327.1022 9.629886e-17 1.278954e-16 2.223946e-02 16 0
6321.9688 6327.6586 2.315794e-16 1.236242e-16 1.269357e-01 16 0
6322.5246 6328.2149 1.017371e-16 1.204636e-16 2.625577e-02 16 0
6323.0805 6328.7712 3.558811e-16 1.225754e-16 2.258729e-01 0 0
6323.6363 6329.3276 3.452018e-16 1.262129e-16 2.173013e-01 16 0
6324.1921 6329.8839 -1.216110e-17 1.849855e-16 -5.936219e-02 16 0
6324.7480 6330.4402 2.310267e-16 1.316599e-16 1.264035e-01 0 0
6325.3038 6330.9966 -2.142826e-17 1.243332e-16 -6.639996e-02 16 0
6325.8597 6331.5529 -3.262718e-16 1.635258e-16 -3.108690e-01 16400 0
6326.4155 6332.1093 -1.405009e-16 1.206346e-16 -1.527146e-01 16 0
6326.9714 6332.6656 6.195701e-17 1.173445e-16 -4.544899e-03 0 0
6327.5272 6333.2220 1.091998e-16 1.206755e-16 3.140067e-02 0 0
6328.0831 6333.7784 1.378082e-16 1.213241e-16 5.339292e-02 0 0
6328.6389 6334.3347 -3.009818e-16 1.551503e-16 -2.871756e-01 16400 0
6329.1948 6334.8911 1.143503e-16 1.198321e-16 3.517561e-02 0 0
6329.7507 6335.4474 7.271134e-16 1.285289e-16 5.341893e-01 0 0
6330.3065 6336.0038 1.037840e-16 1.569334e-16 2.692246e-02 16 0
6330.8624 6336.5602 1.505220e-15 1.426016e-16 1.212406e+00 0 0
6331.4183 6337.1166 -9.021948e-17 1.251105e-16 -1.179621e-01 16 0
6331.9742 6337.6729 6.626807e-17 1.230670e-16 -1.989856e-03 16 0
6332.5300 6338.2293 -3.917765e-16 1.471232e-16 -3.745353e-01 16400 0
6333.0859 6338.7857 1.357548e-17 1.182502e-16 -4.184367e-02 16 0
6333.6418 6339.3421 1.438051e-15 2.586356e-16 1.154541e+00 16 0
6334.1977 6339.8985 1.666924e-16 1.177021e-16 7.534012e-02 0 0
6334.7536 6340.4549 1.488045e-16 1.164111e-16 6.131829e-02 0 0
6335.3095 6341.0113 1.175938e-16 1.174157e-16 3.700931e-02 0 0
6335.8654 6341.5677 1.674083e-16 1.751885e-16 7.576938e-02 16 0
6336.4213 6342.1241 -1.143053e-16 1.662110e-16 -1.366173e-01 16 0
6336.9772 6342.6805 1.893042e-16 1.181046e-16 9.290119e-02 0 0
6337.5331 6343.2369 -1.950477e-18 1.155491e-16 -5.425388e-02 0 0
6338.0890 6343.7933 2.433016e-16 1.240858e-16 1.356736e-01 16 0
6338.6449 6344.3497 -5.680356e-16 2.002463e-16 -5.446858e-01 16400 0
6339.2008 6344.9061 7.868952e-17 1.224393e-16 6.509438e-03 16 0
6339.7567 6345.4625 -4.300423e-17 1.176527e-16 -8.525018e-02 16 0
6340.3127 6346.0189 -1.483170e-16 1.168233e-16 -1.621040e-01 16 0
6340.8686 6346.5754 3.732745e-17 1.180501e-16 -2.525702e-02 0 0
6341.4245 6347.1318 1.203798e-16 1.168112e-16 3.850161e-02 0 0
6341.9804 6347.6882 -2.005223e-16 1.315922e-16 -1.996119e-01 16 0
6342.5364 6348.2446 1.573892e-16 1.345207e-16 6.735016e-02 0 0
6343.0923 6348.8011 5.812852e-17 1.850250e-16 -9.782568e-03 16 0
6343.6482 6349.3575 2.507698e-16 1.338765e-16 1.414708e-01 16 0
6344.2042 6349.9139 4.248799e-16 1.212194e-16 2.833427e-01 0 0
6344.7601 6350.4704 -3.406699e-16 1.386834e-16 -3.276427e-01 16400 0
6345.3160 6351.0268 1.564581e-16 1.228331e-16 6.637333e-02 16 0
6345.8720 6351.5833 3.588454e-16 1.210823e-16 2.291075e-01 0 0
6346.4279 6352.1397 -7.328444e-17 1.305456e-16 -1.091156e-01 16 0
6346.9839 6352.6962 5.446931e-16 1.283226e-16 3.835194e-01 16 0
6347.5398 6353.2526 -8.666634e-18 1.239986e-16 -6.117111e-02 16 0
6348.0958 6353.8091 3.053781e-16 1.195339e-16 1.855129e-01 0 0
6348.6517 6354.3655 6.522029e-17 1.180175e-16 -5.169451e-03 16 0
6349.2077 6354.9220 1.749325e-16 1.191011e-16 8.065371e-02 0 0
6349.7637 6355.4784 1.258635e-16 1.174068e-16 4.187873e-02 0 0
6350.3196 6356.0349 1.769444e-16 1.253805e-16 8.216447e-02 16 0
6350.8756 6356.5914 1.130703e-16 1.156512e-16 3.172383e-02 0 0
