# LMC-SN1987A-STIS-2 obkf20080 G750M CCD z=0.0009 a2center=878.8 extrsize=25 exptime=395.0 mode=fixed flags=extended_host
# rest_wvl obs_wvl flux error net dq mask
6288.0588 6293.7181 1.407419e-15 1.505451e-16 1.244926e+00 528 0
6288.6147 6294.2744 9.300307e-16 1.284038e-16 8.114589e-01 16 0
6289.1705 6294.8308 5.866215e-16 1.247723e-16 5.036587e-01 0 0
6289.7264 6295.3871 7.549864e-16 1.261769e-16 6.546711e-01 16 0
6290.2823 6295.9435 8.125278e-16 1.252744e-16 7.069139e-01 0 0
6290.8381 6296.4999 7.329237e-16 1.333978e-16 6.356953e-01 16 0
6291.3940 6297.0563 1.016262e-15 1.340531e-16 8.917081e-01 16 0
6291.9499 6297.6126 8.870597e-16 1.280651e-16 7.747719e-01 0 0
6292.5058 6298.1690 6.850544e-16 1.288243e-16 5.928151e-01 16 0
6293.0616 6298.7254 1.095195e-15 1.359451e-16 9.639205e-01 16 0
6293.6175 6299.2818 1.203661e-15 1.327446e-16 1.063109e+00 16 0
6294.1734 6299.8382 8.501803e-16 1.318518e-16 7.427631e-01 16 0
6294.7293 6300.3946 6.700130e-16 1.433833e-16 5.805360e-01 16 0
6295.2852 6300.9510 4.984283e-16 1.578380e-16 4.268599e-01 16 0
6295.8411 6301.5073 8.962512e-16 1.271637e-16 7.850977e-01 16 0
6296.3970 6302.0637 8.762675e-16 1.255759e-16 7.672277e-01 0 0
6296.9529 6302.6201 8.715989e-16 1.397111e-16 7.632208e-01 16 0
6297.5088 6303.1765 1.252243e-15 1.357993e-16 1.109621e+00 16 0
6298.0647 6303.7330 7.895058e-16 2.190108e-16 6.893542e-01 16 0
6298.6206 6304.2894 8.919921e-16 1.328151e-16 7.823664e-01 16 0
6299.1765 6304.8458 1.052421e-15 1.272533e-16 9.283797e-01 0 0
6299.7324 6305.4022 1.102123e-15 1.277570e-16 9.739276e-01 16 0
6300.2883 6305.9586 9.373737e-16 1.463215e-16 8.242536e-01 16 0
6300.8443 6306.5150 8.955958e-16 1.264265e-16 7.865362e-01 16 0
6301.4002 6307.0714 1.037263e-15 1.317264e-16 9.156455e-01 16 0
6301.9561 6307.6279 7.403021e-16 1.286777e-16 6.461655e-01 0 0
6302.5120 6308.1843 9.725230e-16 1.516676e-16 8.571912e-01 16 0
6303.0680 6308.7407 1.156820e-15 1.343306e-16 1.025596e+00 16 0
6303.6239 6309.2971 1.174114e-15 1.288969e-16 1.041708e+00 16 0
6304.1798 6309.8536 7.188484e-16 1.446266e-16 6.274548e-01 16 0
6304.7358 6310.4100 7.990877e-16 1.284845e-16 7.003872e-01 0 0
6305.2917 6310.9665 1.068955e-15 1.334961e-16 9.464447e-01 16 0
6305.8476 6311.5229 1.079821e-15 1.276607e-16 9.566494e-01 0 0
6306.4036 6312.0793 6.487060e-16 1.981768e-16 5.646281e-01 16 0
6306.9595 6312.6358 1.236715e-15 1.315324e-16 1.100910e+00 16 0
6307.5155 6313.1922 7.621427e-16 1.654349e-16 6.677917e-01 16 0
6308.0714 6313.7487 1.014516e-15 1.349705e-16 8.980165e-01 16 0
6308.6274 6314.3051 1.253111e-15 1.315618e-16 1.116922e+00 16 0
6309.1833 6314.8616 1.709209e-15 1.333015e-16 1.537419e+00 16 0
6309.7393 6315.4180 1.422414e-15 1.308205e-16 1.273311e+00 16 0
6310.2952 6315.9745 1.461949e-15 1.362753e-16 1.310110e+00 0 0
6310.8512 6316.5310 2.076044e-15 1.428595e-16 1.878416e+00 16 0
6311.4072 6317.0874 1.265289e-15 1.413952e-16 1.129739e+00 16 0
6311.9631 6317.6439 1.702232e-15 1.336574e-16 1.533217e+00 0 0
6312.5191 6318.2004 1.530163e-15 1.350430e-16 1.374608e+00 16 0
6313.0751 6318.7568 1.306548e-15 1.284540e-16 1.168712e+00 0 0
6313.6310 6319.3133 1.447347e-15 1.332772e-16 1.298915e+00 16 0
6314.1870 6319.8698 7.105186e-16 1.784594e-16 6.229618e-01 16 0
6314.7430 6320.4262 1.290774e-15 1.311442e-16 1.155180e+00 16 0
6315.2990 6320.9827 9.640036e-16 1.262640e-16 8.550008e-01 0 0
6315.8549 6321.5392 4.910362e-16 1.237790e-16 4.242039e-01 0 0
6316.4109 6322.0957 9.208602e-16 1.259677e-16 8.159180e-01 16 0
6316.9669 6322.6522 9.888554e-16 1.245058e-16 8.785312e-01 0 0
6317.5229 6323.2087 9.013907e-16 1.324170e-16 7.985194e-01 16 0
6318.0789 6323.7651 9.094560e-16 1.270763e-16 8.061372e-01 0 0
6318.6349 6324.3216 1.001886e-15 1.311723e-16 8.912453e-01 16 0
6319.1909 6324.8781 9.568150e-16 1.276315e-16 8.500688e-01 0 0
6319.7468 6325.4346 1.176697e-15 1.282053e-16 1.052802e+00 0 0
6320.3028 6325.9911 1.045855e-15 1.478379e-16 9.324654e-01 16 0
6320.8588 6326.5476 1.046267e-15 1.841776e-16 9.331059e-01 16 0
6321.4148 6327.1041 7.009513e-16 1.236556e-16 6.163775e-01 0 0
6321.9708 6327.6606 8.439686e-16 1.275917e-16 7.475460e-01 16 0
6322.5268 6328.2171 9.829950e-16 1.379843e-16 8.755839e-01 16 0
6323.0829 6328.7736 7.055492e-16 1.282292e-16 6.210687e-01 16 0
6323.6389 6329.3301 1.077826e-15 1.259585e-16 9.635315e-01 0 0
6324.1949 6329.8866 9.570591e-16 1.434790e-16 8.524096e-01 16 0
6324.7509 6330.4432 8.356954e-16 1.263390e-16 7.409536e-01 16 0
6325.3069 6330.9997 7.483082e-16 1.253922e-16 6.609106e-01 16 0
6325.8629 6331.5562 9.411317e-16 1.507233e-16 8.384264e-01 16 0
6326.4189 6332.1127 9.317211e-16 1.278186e-16 8.299787e-01 16 0
6326.9750 6332.6692 8.667348e-16 1.428246e-16 7.703198e-01 16 0
6327.5310 6333.2258 8.756969e-16 1.396058e-16 7.787828e-01 16 0
6328.0870 6333.7823 9.764416e-16 1.272943e-16 8.719393e-01 0 0
6328.6430 6334.3388 8.127590e-16 1.261382e-16 7.212249e-01 16 0
6329.1990 6334.8953 8.194924e-16 1.253124e-16 7.276161e-01 16 0
6329.7551 6335.4519 7.944038e-16 1.335030e-16 7.047049e-01 16 0
6330.3111 6336.0084 4.900861e-16 1.611129e-16 4.259329e-01 16 0
6330.8671 6336.5649 8.676665e-16 1.280075e-16 7.726237e-01 16 0
6331.4232 6337.1215 2.583492e-15 2.746063e-16 2.374944e+00 16 0
6331.9792 6337.6780 -3.734192e-14 3.085807e-16 -3.557769e+01 16400 0
6332.5352 6338.2345 4.590148e-16 1.267808e-16 3.979708e-01 0 0
6333.0913 6338.7911 9.178432e-16 1.318198e-16 8.198312e-01 16 0
6333.6473 6339.3476 9.292456e-16 1.246314e-16 8.306014e-01 16 0
6334.2034 6339.9042 1.099257e-15 1.279401e-16 9.884802e-01 0 0
6334.7594 6340.4607 7.480409e-16 1.230706e-16 6.635883e-01 0 0
6335.3155 6341.0172 1.086227e-15 1.250116e-16 9.769095e-01 0 0
6335.8715 6341.5738 1.062020e-15 1.236892e-16 9.546803e-01 0 0
6336.4276 6342.1303 9.117002e-16 1.245122e-16 8.154460e-01 16 0
6336.9836 6342.6869 8.205657e-16 1.259737e-16 7.312815e-01 16 0
6337.5397 6343.2434 1.110285e-15 1.264038e-16 1.000349e+00 16 0
6338.0957 6343.8000 8.409084e-16 1.232385e-16 7.504907e-01 16 0
6338.6518 6344.3566 6.489918e-16 1.252267e-16 5.733746e-01 16 0
6339.2078 6344.9131 6.856014e-16 1.286747e-16 6.072747e-01 16 0
6339.7639 6345.4697 8.550478e-16 1.430139e-16 7.641785e-01 16 0
6340.3199 6346.0262 5.519423e-16 1.232471e-16 4.844314e-01 16 0
6340.8760 6346.5828 6.666245e-16 1.353520e-16 5.902019e-01 16 0
6341.4321 6347.1394 8.644962e-16 1.250268e-16 7.735382e-01 16 0
6341.9881 6347.6959 5.563822e-16 1.230276e-16 4.888483e-01 16 0
6342.5442 6348.2525 8.335204e-16 1.267000e-16 7.451805e-01 0 0
6343.1003 6348.8091 9.141507e-16 1.318422e-16 8.202863e-01 16 0
6343.6563 6349.3656 1.043396e-15 1.511565e-16 9.408811e-01 16 0
6344.2124 6349.9222 6.622204e-16 1.316466e-16 5.869869e-01 16 0
6344.7685 6350.4788 9.759430e-16 1.300074e-16 8.784732e-01 16 0
6345.3246 6351.0354 1.048312e-15 1.258310e-16 9.462116e-01 16 0
6345.8806 6351.5919 6.034104e-16 1.342874e-16 5.330306e-01 16 0
6346.4367 6352.1485 1.035375e-15 1.561017e-16 9.346248e-01 16 0
6346.9928 6352.7051 1.146617e-15 1.441585e-16 1.038876e+00 16 0
6347.5489 6353.2617 8.849318e-16 1.288566e-16 7.947456e-01 0 0
6348.1049 6353.8182 9.727166e-16 1.383312e-16 8.768249e-01 0 0
6348.6610 6354.3748 1.092519e-15 1.295862e-16 9.890462e-01 0 0
6349.2171 6354.9314 8.394948e-16 1.256469e-16 7.530039e-01 0 0
6349.7732 6355.4880 7.065102e-16 1.326767e-16 6.294849e-01 16 0
6350.3293 6356.0446 8.665101e-16 1.223134e-16 7.785659e-01 0 0
6350.8854 6356.6012 1.249421e-15 1.261917e-16 1.137256e+00 0 0
6351.4415 6357.1578 9.513523e-16 1.230730e-16 8.581957e-01 0 0
6351.9976 6357.7144 6.311122e-16 1.215638e-16 5.600590e-01 16 0
6352.5536 6358.2709 8.929563e-16 1.317215e-16 8.040419e-01 16 0
6353.1097 6358.8275 7.730665e-16 1.318761e-16 6.923558e-01 16 0
6353.6658 6359.3841 8.085094e-16 1.275702e-16 7.255775e-01 16 0
6354.2219 6359.9407 9.126526e-16 1.277745e-16 8.230627e-01 16 0
6354.7780 6360.4973 7.191923e-16 1.272671e-16 6.426395e-01 16 0
6355.3341 6361.0539 8.768913e-16 1.269985e-16 7.900130e-01 16 0
6355.8902 6361.6105 9.699512e-16 1.318715e-16 8.773518e-01 16 0
6356.4463 6362.1671 9.275665e-16 1.284486e-16 8.378487e-01 0 0
6357.0024 6362.7237 9.870571e-16 1.297986e-16 8.938346e-01 16 0
6357.5585 6363.2803 3.924193e-16 1.978314e-16 3.401269e-01 16 0
6358.1146 6363.8369 9.151849e-16 1.437427e-16 8.268618e-01 16 0
6358.6707 6364.3935 7.509515e-16 1.221879e-16 6.733482e-01 0 0
6359.2268 6364.9501 7.007135e-16 1.254516e-16 6.265922e-01 272 0
6359.7829 6365.5067 9.550619e-16 1.279384e-16 8.648955e-01 0 0
6360.3390 6366.0634 7.227593e-16 1.203519e-16 6.474710e-01 0 0
6360.8952 6366.6200 8.363398e-16 1.219979e-16 7.539201e-01 16 0
6361.4513 6367.1766 7.579189e-16 1.226680e-16 6.806529e-01 0 0
6362.0074 6367.7332 7.655811e-16 1.228253e-16 6.879833e-01 16 0
6362.5635 6368.2898 8.332069e-16 1.232062e-16 7.515193e-01 16 0
6363.1196 6368.8464 5.895649e-16 1.255165e-16 5.238150e-01 16 0
6363.6757 6369.4030 5.916110e-16 1.189670e-16 5.258336e-01 0 0
6364.2318 6369.9596 6.049782e-16 1.348628e-16 5.384157e-01 16 0
6364.7879 6370.5163 8.700016e-16 1.283257e-16 7.867903e-01 16 0
6365.3441 6371.0729 9.598106e-16 1.303511e-16 8.714709e-01 16 0
6365.9002 6371.6295 1.002711e-15 1.398842e-16 9.121046e-01 16 0
6366.4563 6372.1861 5.697395e-16 1.763085e-16 5.059690e-01 16 0
6367.0124 6372.7427 7.408767e-16 1.366384e-16 6.662287e-01 16 0
6367.5685 6373.2994 7.874979e-16 1.304460e-16 7.101467e-01 16 0
6368.1247 6373.8560 9.363989e-16 1.229010e-16 8.504416e-01 0 0
6368.6808 6374.4126 6.371913e-16 1.316208e-16 5.694680e-01 16 0
6369.2369 6374.9692 8.708090e-16 1.226404e-16 7.890273e-01 0 0
6369.7930 6375.5258 9.318072e-16 1.366728e-16 8.467116e-01 16 0
6370.3492 6376.0825 8.772415e-16 1.280516e-16 7.954549e-01 16 0
6370.9053 6376.6391 5.713669e-16 1.235324e-16 5.083124e-01 16 0
6371.4614 6377.1957 7.092354e-16 1.264962e-16 6.376826e-01 16 0
6372.0175 6377.7523 8.789111e-16 1.245028e-16 7.975793e-01 16 0
6372.5737 6378.3090 1.228051e-15 1.254913e-16 1.128214e+00 0 0
6373.1298 6378.8656 1.171894e-15 1.286533e-16 1.075197e+00 16 0
6373.6859 6379.4222 1.207191e-15 1.293712e-16 1.108951e+00 0 0
6374.2421 6379.9789 9.101905e-16 1.265388e-16 8.278559e-01 0 0
6374.7982 6380.5355 9.332489e-16 1.264425e-16 8.498442e-01 0 0
6375.3543 6381.0921 1.129639e-15 1.489360e-16 1.036111e+00 16 0
6375.9104 6381.6488 1.103682e-15 1.290682e-16 1.011721e+00 16 0
6376.4666 6382.2054 6.239024e-16 1.219111e-16 5.586429e-01 16 0
