# LMC-SN1987A-STIS-2 ocd602020 G750L CCD z=0.0009 a2center=266.4 extrsize=25 exptime=676.0 mode=fixed flags=extended_host,no_defringe(no_flat),center_mismatch(266vs794)
# rest_wvl obs_wvl flux error net dq mask
5261.9457 5266.6815 8.913101e-17 1.251323e-16 3.232740e-02 528 0
5266.8095 5271.5496 1.778910e-16 5.849648e-17 1.138700e-01 512 0
5271.6734 5276.4179 1.846481e-15 6.897193e-17 1.868087e+00 512 0
5276.5373 5281.2862 -1.600406e-16 6.864036e-17 -2.024873e-01 16912 0
5281.4013 5286.1546 -1.754255e-16 4.109160e-17 -2.456168e-01 16912 0
5286.2653 5291.0230 -1.610062e-16 9.104380e-17 -2.471823e-01 16912 0
5291.1294 5295.8915 3.583561e-18 3.693352e-17 -2.867694e-02 528 0
5295.9936 5300.7600 -1.866856e-16 3.382066e-17 -3.355249e-01 16912 0
5300.8578 5305.6286 1.623564e-18 2.993255e-17 -2.216094e-02 512 0
5305.7221 5310.4973 1.307623e-15 4.102048e-17 2.301688e+00 512 0
5310.5865 5315.3660 2.188413e-16 3.206955e-17 3.423112e-01 16 0
5315.4508 5320.2348 -3.555413e-17 2.850200e-17 -7.296304e-02 0 0
5320.3153 5325.1036 1.492981e-16 2.932656e-17 2.221639e-01 0 0
5325.1798 5329.9725 5.738882e-17 3.338770e-17 7.082624e-02 16 0
5330.0444 5334.8414 -1.003419e-16 3.374829e-17 -1.878801e-01 16400 0
5334.9090 5339.7104 -8.713835e-17 3.323110e-17 -1.595667e-01 16400 0
5339.7737 5344.5795 9.526141e-18 3.273111e-17 -4.772380e-03 0 0
5344.6385 5349.4486 -1.927433e-17 3.412532e-17 -4.488580e-02 16 0
5349.5033 5354.3178 -1.355371e-16 3.007354e-17 -2.329814e-01 16384 0
5354.3681 5359.1870 1.457405e-17 3.881435e-17 1.011014e-03 16 0
5359.2330 5364.0563 9.543395e-16 4.295825e-17 1.402864e+00 0 0
5364.0980 5368.9257 -2.428037e-17 3.730686e-17 -5.032532e-02 16 0
5368.9630 5373.7951 6.018351e-17 3.777715e-17 6.131059e-02 16 0
5373.8281 5378.6646 1.288552e-16 3.629466e-17 1.551477e-01 0 0
5378.6933 5383.5341 1.850816e-16 3.511149e-17 2.347304e-01 0 0
5383.5585 5388.4037 -1.356042e-16 3.098829e-17 -2.259296e-01 16384 0
5388.4237 5393.2733 2.782158e-17 3.416772e-17 1.835775e-02 0 0
5393.2890 5398.1430 2.177055e-17 3.683142e-17 1.044946e-02 16 0
5398.1544 5403.0127 6.324120e-16 5.011654e-17 9.394117e-01 16 0
5403.0198 5407.8826 -9.360848e-19 3.805697e-17 -2.057897e-02 16 0
5407.8853 5412.7524 -5.247814e-17 6.161831e-17 -9.434579e-02 16400 0
5412.7509 5417.6223 3.010591e-17 2.968981e-17 2.482346e-02 0 0
5417.6165 5422.4923 -9.904243e-17 3.283073e-17 -1.858194e-01 16400 0
5422.4821 5427.3623 -1.691030e-16 3.255445e-17 -3.240402e-01 16400 0
5427.3478 5432.2324 8.375908e-17 3.837044e-17 1.139064e-01 16 0
5432.2136 5437.1026 -5.818318e-17 2.822452e-17 -1.162223e-01 16400 0
5437.0794 5441.9728 -7.313260e-17 2.741941e-17 -1.491007e-01 16400 0
5441.9453 5446.8430 7.021093e-16 3.521784e-17 1.277777e+00 16 0
5446.8112 5451.7133 5.353146e-16 3.135842e-17 9.772969e-01 0 0
5451.6772 5456.5837 -1.323209e-16 2.559199e-17 -2.866923e-01 16400 0
5456.5432 5461.4541 -7.162399e-17 2.543905e-17 -1.582144e-01 16400 0
5461.4093 5466.3246 5.564143e-17 2.531511e-17 8.122495e-02 0 0
5466.2754 5471.1951 2.078069e-16 2.736586e-17 3.793311e-01 0 0
5471.1417 5476.0657 1.188918e-16 5.069384e-17 2.067095e-01 16 0
5476.0079 5480.9363 4.493576e-17 2.632710e-17 6.456862e-02 16 0
5480.8742 5485.8070 -3.075945e-17 2.541082e-17 -7.759903e-02 16 0
5485.7406 5490.6778 -7.714548e-17 2.256560e-17 -1.835213e-01 16400 0
5490.6070 5495.5486 -7.389352e-17 5.176630e-17 -1.769013e-01 16400 0
5495.4735 5500.4194 7.359344e-17 2.390809e-17 1.244233e-01 0 0
5500.3400 5505.2903 -4.658120e-17 2.590587e-17 -1.127197e-01 16400 0
5505.2066 5510.1613 -2.484902e-17 2.523617e-17 -6.846918e-02 16 0
5510.0732 5515.0323 9.761770e-17 2.908397e-17 1.753473e-01 16 0
5514.9399 5519.9034 1.991085e-17 3.354847e-17 1.811954e-02 16 0
5519.8067 5524.7745 -9.514648e-17 2.160888e-17 -2.332113e-01 16384 0
5524.6735 5529.6457 -9.846297e-17 2.131277e-17 -2.419792e-01 16384 0
5529.5403 5534.5169 7.866386e-17 2.386201e-17 1.377660e-01 0 0
5534.4072 5539.3882 1.102321e-17 2.323037e-17 4.777834e-04 16 0
5539.2742 5544.2595 -8.198483e-17 2.164426e-17 -2.024363e-01 16384 0
5544.1412 5549.1309 2.248365e-17 2.514745e-17 2.343048e-02 16 0
5549.0082 5554.0023 7.772450e-18 2.687182e-17 -6.002761e-03 16 0
5553.8754 5558.8738 -9.523214e-17 2.360718e-17 -2.364907e-01 16400 0
5558.7425 5563.7454 7.530401e-17 2.620145e-17 1.324173e-01 16 0
5563.6097 5568.6170 3.109945e-17 2.561954e-17 4.124032e-02 16 0
5568.4770 5573.4886 1.757714e-17 2.400090e-17 1.373538e-02 16 0
5573.3443 5578.3604 2.426754e-18 2.243432e-17 -1.679067e-02 0 0
5578.2117 5583.2321 4.275600e-17 3.117251e-17 6.588829e-02 16 0
5583.0792 5588.1039 1.016314e-16 2.429210e-17 1.914812e-01 16 0
5587.9466 5592.9758 -4.425200e-17 2.452950e-17 -1.127295e-01 16400 0
5592.8142 5597.8477 -3.711860e-17 2.121139e-17 -9.692549e-02 0 0
5597.6818 5602.7197 7.631449e-16 3.036189e-17 1.751005e+00 16 0
5602.5494 5607.5917 1.229601e-15 3.443642e-17 2.914729e+00 16 0
5607.4171 5612.4638 2.677612e-17 2.355892e-17 3.421085e-02 16 0
5612.2848 5617.3359 -5.372209e-17 2.164285e-17 -1.405431e-01 16400 0
5617.1526 5622.2080 1.621680e-17 4.294971e-17 1.205834e-02 16 0
5622.0205 5627.0803 4.632852e-18 2.111863e-17 -1.245087e-02 0 0
5626.8883 5631.9525 -8.409241e-17 2.153819e-17 -2.237309e-01 16400 0
5631.7563 5636.8249 -1.182694e-17 2.382973e-17 -4.747195e-02 16 0
5636.6243 5641.6972 4.029592e-17 2.449784e-17 6.563104e-02 16 0
5641.4923 5646.5697 1.779884e-16 2.267847e-17 3.840948e-01 0 0
5646.3604 5651.4422 9.295398e-16 3.184209e-17 2.276199e+00 16 0
5651.2286 5656.3147 6.741654e-16 2.810207e-17 1.625875e+00 0 0
5656.0968 5661.1873 2.601407e-16 2.450018e-17 5.882600e-01 16 0
5660.9650 5666.0599 3.373662e-16 2.906535e-17 7.822507e-01 16 0
5665.8333 5670.9326 4.420804e-17 2.308254e-17 7.640387e-02 16 0
5670.7017 5675.8053 -8.988362e-17 5.136673e-17 -2.481436e-01 16400 0
5675.5701 5680.6781 -6.463539e-18 2.032260e-17 -3.707927e-02 0 0
5680.4385 5685.5509 4.726555e-18 2.451164e-17 -1.237944e-02 16 0
5685.3070 5690.4238 1.645447e-17 2.169280e-17 1.397166e-02 16 0
5690.1756 5695.2967 -5.654653e-17 2.283839e-17 -1.581087e-01 16400 0
5695.0442 5700.1697 -8.744345e-17 1.989130e-17 -2.451560e-01 16384 0
5699.9128 5705.0427 1.221267e-17 3.773815e-17 4.440144e-03 16 0
5704.7815 5709.9158 -4.943679e-18 2.004195e-17 -3.422341e-02 0 0
5709.6503 5714.7889 -1.039847e-16 1.863105e-17 -2.936087e-01 16384 0
5714.5190 5719.6621 -1.138155e-16 1.806632e-17 -3.220777e-01 16384 0
5719.3879 5724.5353 1.989612e-18 1.982274e-17 -1.875880e-02 0 0
5724.2568 5729.4086 -4.341716e-17 2.025268e-17 -1.234042e-01 16400 0
5729.1257 5734.2819 -3.266213e-17 1.966506e-17 -9.706809e-02 0 0
5733.9947 5739.1553 7.526783e-16 2.864213e-17 1.924949e+00 16 0
5738.8638 5744.0287 1.825240e-17 1.967906e-17 1.866343e-02 0 0
5743.7328 5748.9022 -2.115328e-17 1.994599e-17 -7.174478e-02 16 0
5748.6020 5753.7757 -2.693800e-17 1.941273e-17 -8.505928e-02 0 0
5753.4712 5758.6493 7.494151e-16 3.230876e-17 1.937580e+00 16 0
5758.3404 5763.5229 -3.123097e-17 2.695279e-17 -9.529845e-02 16 0
5763.2097 5768.3966 -5.984412e-17 2.461679e-17 -1.737333e-01 16400 0
