# LMC-SN1987A-STIS-2 ocd6020a0 G750L CCD z=0.0009 a2center=919.2 extrsize=25 exptime=770.0 mode=fixed flags=finder_fail,extended_host,no_defringe(no_flat),center_mismatch(919vs874)
# rest_wvl obs_wvl flux error net dq mask
5242.0190 5246.7368 1.452488e-14 1.036301e-15 4.549482e+00 528 0
5246.8915 5251.6137 8.836801e-16 1.257386e-16 3.870230e-01 528 0
5251.7640 5256.4906 -2.394902e-17 8.217726e-17 -1.533095e-02 512 0
5256.6365 5261.3675 3.941369e-16 7.571504e-17 2.743896e-01 528 0
5261.5091 5266.2444 -1.647093e-16 5.473537e-17 -1.402984e-01 16896 0
5266.3817 5271.1214 -1.242454e-16 6.607343e-17 -1.225565e-01 16912 0
5271.2543 5275.9984 -6.770402e-17 4.405617e-17 -7.591510e-02 16896 0
5276.1270 5280.8755 5.170706e-17 4.393508e-17 6.186431e-02 528 0
5280.9997 5285.7526 3.272961e-17 5.514148e-17 4.278892e-02 528 0
5285.8724 5290.6297 -4.550286e-17 3.470734e-17 -6.950133e-02 16912 0
5290.7452 5295.5069 -8.716808e-18 2.907627e-17 -1.463242e-02 0 0
5295.6180 5300.3841 3.803628e-18 2.764004e-17 5.994460e-03 16 0
5300.4909 5305.2613 1.294088e-17 2.590085e-17 2.285478e-02 0 0
5305.3638 5310.1386 -2.354428e-17 3.111384e-17 -4.591935e-02 16400 0
5310.2367 5315.0159 -1.209816e-16 3.683685e-17 -2.381992e-01 16400 0
5315.1097 5319.8933 -6.042210e-17 2.772373e-17 -1.197219e-01 16400 0
5319.9827 5324.7706 -3.262811e-17 4.286484e-17 -6.376633e-02 16400 0
5324.8557 5329.6481 7.219938e-16 3.488682e-17 1.368172e+00 16 0
5329.7288 5334.5255 1.814368e-16 2.847438e-17 3.320644e-01 0 0
5334.6019 5339.4030 2.037777e-16 4.731355e-17 3.648897e-01 16 0
5339.4750 5344.2805 2.395401e-17 3.033592e-17 4.091399e-02 16 0
5344.3482 5349.1581 1.696925e-17 2.764880e-17 2.805532e-02 0 0
5349.2214 5354.0357 8.083694e-18 2.760667e-17 1.265324e-02 0 0
5354.0946 5358.9133 -2.724323e-17 2.858478e-17 -4.617934e-02 16384 0
5358.9679 5363.7910 -4.685402e-17 5.749320e-17 -7.852571e-02 16400 0
5363.8412 5368.6687 -1.338150e-16 8.683924e-17 -2.221409e-01 16400 0
5368.7146 5373.5464 -3.711746e-17 2.836049e-17 -6.137153e-02 16384 0
5373.5879 5378.4242 -1.252021e-17 2.998059e-17 -2.099737e-02 0 0
5378.4613 5383.3020 -2.129582e-16 7.087450e-17 -3.529986e-01 16400 0
5383.3348 5388.1798 -2.767577e-17 3.019352e-17 -4.618508e-02 16400 0
5388.2083 5393.0577 -1.961247e-16 3.710146e-17 -3.306885e-01 16400 0
5393.0818 5397.9356 -5.167456e-17 3.536286e-17 -8.825818e-02 16400 0
5397.9553 5402.8135 -2.893315e-17 2.813712e-17 -5.018988e-02 16384 0
5402.8289 5407.6915 -4.267850e-18 4.936808e-17 -8.384546e-03 16 0
5407.7025 5412.5695 1.782028e-16 4.252620e-17 3.120487e-01 16 0
5412.5762 5417.4475 1.279296e-15 4.028145e-17 2.322419e+00 16 0
5417.4499 5422.3256 6.916572e-16 3.654025e-17 1.277879e+00 16 0
5422.3236 5427.2037 1.628449e-18 2.673307e-17 1.871999e-03 16 0
5427.1973 5432.0818 -3.080488e-17 2.592679e-17 -6.033423e-02 16400 0
5432.0711 5436.9600 -3.945772e-17 2.294378e-17 -7.891810e-02 16384 0
5436.9449 5441.8382 -2.770566e-17 2.333188e-17 -5.656008e-02 16384 0
5441.8188 5446.7164 3.870758e-17 2.406478e-17 7.720355e-02 0 0
5446.6926 5451.5947 6.515944e-16 3.085592e-17 1.363946e+00 16 0
5451.5665 5456.4729 8.348956e-18 2.158425e-17 1.631624e-02 0 0
5456.4405 5461.3513 -5.302762e-17 2.212420e-17 -1.173099e-01 16400 0
5461.3145 5466.2296 -2.969990e-17 2.126570e-17 -6.678940e-02 16384 0
5466.1885 5471.1080 -9.818383e-18 2.068267e-17 -2.306577e-02 0 0
5471.0625 5475.9865 -1.445393e-17 2.055942e-17 -3.373564e-02 0 0
5475.9366 5480.8649 -2.440765e-17 2.264332e-17 -5.709912e-02 16400 0
5480.8107 5485.7434 -2.421253e-17 2.642069e-17 -5.716313e-02 16400 0
5485.6848 5490.6219 -7.560791e-18 2.239983e-17 -1.886218e-02 16 0
5490.5590 5495.5005 -3.960309e-17 2.417892e-17 -9.497687e-02 16400 0
5495.4332 5500.3790 2.119033e-17 2.464496e-17 4.828497e-02 16 0
5500.3074 5505.2577 8.041670e-16 2.934893e-17 1.923069e+00 16 0
5505.1816 5510.1363 5.722588e-16 2.881128e-17 1.370996e+00 16 0
5510.0559 5515.0150 3.182200e-16 2.455986e-17 7.613280e-01 16 0
5514.9302 5519.8937 2.416919e-16 2.397694e-17 5.786062e-01 16 0
5519.8046 5524.7724 2.053927e-15 4.758336e-17 5.002192e+00 16 0
5524.6790 5529.6512 9.250061e-16 3.800370e-17 2.248819e+00 16 0
5529.5534 5534.5300 1.310902e-15 3.348196e-17 3.198502e+00 16 0
5534.4278 5539.4088 2.310428e-17 2.298657e-17 5.390240e-02 16 0
5539.3023 5544.2877 -1.617767e-17 1.966003e-17 -4.037809e-02 0 0
5544.1768 5549.1666 -2.707953e-17 2.075366e-17 -6.713559e-02 16400 0
5549.0513 5554.0455 -1.159325e-17 2.008827e-17 -2.952787e-02 16 0
5553.9259 5558.9244 -7.541052e-17 3.710223e-17 -1.876010e-01 16400 0
5558.8005 5563.8034 -2.690497e-17 1.948197e-17 -6.713457e-02 16400 0
5563.6751 5568.6824 -1.667759e-17 1.990522e-17 -4.215163e-02 16 0
5568.5498 5573.5614 -2.619185e-18 2.378306e-17 -8.044954e-03 16 0
5573.4244 5578.4405 -5.128054e-17 1.940364e-17 -1.291315e-01 16384 0
5578.2991 5583.3196 -4.941147e-17 2.511811e-17 -1.249254e-01 16400 0
5583.1739 5588.1987 -1.607755e-17 1.983725e-17 -4.131518e-02 0 0
5588.0486 5593.0779 5.943257e-18 2.019050e-17 1.301625e-02 0 0
5592.9234 5597.9571 -8.660053e-17 4.643739e-17 -2.221873e-01 16400 0
5597.7983 5602.8363 3.002705e-18 2.382909e-17 5.775761e-03 16 0
5602.6731 5607.7155 -4.758716e-17 2.807503e-17 -1.235374e-01 16400 0
5607.5480 5612.5948 -4.652252e-18 2.437078e-17 -1.355709e-02 16 0
5612.4229 5617.4741 7.463701e-17 1.912785e-17 1.890447e-01 0 0
